,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Mehrcam.Pars,20040310,6026.0,6000.0,6000.0,39478472400,6572654,2818,D,0.0,6000.0
1,Mehrcam.Pars,20040314,6300.0,6030.0,6030.0,75660300,12010,4,D,6000.0,6030.0
2,Mehrcam.Pars,20040316,6030.0,5897.0,5976.0,2672032316,447058,195,D,6030.0,5976.0
3,Mehrcam.Pars,20040317,6199.0,5890.0,5957.0,939371180,157666,75,D,5976.0,5957.0
4,Mehrcam.Pars,20040327,6199.0,5956.0,6010.0,360143411,59366,29,D,5957.0,6010.0
5,Mehrcam.Pars,20040328,6197.0,5949.0,6166.0,1294483858,209923,62,D,6010.0,6166.0
6,Mehrcam.Pars,20040329,6310.0,6100.0,6205.0,2160083786,348097,98,D,6166.0,6205.0
7,Mehrcam.Pars,20040330,6330.0,6250.0,6292.0,868552010,138023,71,D,6205.0,6292.0
8,Mehrcam.Pars,20040403,6300.0,6268.0,6283.0,912531719,145223,49,D,6292.0,6283.0
9,Mehrcam.Pars,20040404,6292.0,6258.0,6283.0,142034621,22583,11,D,6283.0,6283.0
10,Mehrcam.Pars,20040405,6263.0,6050.0,6263.0,91542891,15059,11,D,6283.0,6263.0
11,Mehrcam.Pars,20040406,6217.0,5950.0,6217.0,152328170,25486,15,D,6263.0,6217.0
12,Mehrcam.Pars,20040407,6022.0,5907.0,6022.0,596442299,100928,36,D,6217.0,6022.0
13,Mehrcam.Pars,20040410,5991.0,5850.0,5991.0,253981325,42973,32,D,6022.0,5991.0
14,Mehrcam.Pars,20040412,6150.0,5963.0,6042.0,1069639814,177013,68,D,5991.0,6042.0
15,Mehrcam.Pars,20040525,6100.0,5988.0,6052.0,151378520,25010,6,D,6042.0,6052.0
16,Mehrcam.Pars,20040526,6027.0,5750.0,6027.0,95786215,16466,9,D,6052.0,6027.0
17,Mehrcam.Pars,20040529,5750.0,5726.0,5734.0,1180525566,205861,90,D,6027.0,5734.0
18,Mehrcam.Pars,20040530,5959.0,5724.0,5888.0,2483208526,421696,140,D,5734.0,5888.0
19,Mehrcam.Pars,20040531,6182.0,5980.0,6114.0,4723982543,772598,246,D,5888.0,6114.0
20,Mehrcam.Pars,20040601,6006.0,5809.0,5956.0,781281582,131886,63,D,6114.0,5956.0
21,Mehrcam.Pars,20040608,6100.0,4800.0,5517.0,262665470,47610,20,D,5956.0,5517.0
22,Mehrcam.Pars,20040609,5510.0,5440.0,5510.0,113152000,20688,12,D,5517.0,5510.0
23,Mehrcam.Pars,20040612,5461.0,5235.0,5461.0,155475360,29616,18,D,5510.0,5461.0
24,Mehrcam.Pars,20040613,5454.0,5188.0,5454.0,18757280,3615,3,D,5461.0,5454.0
25,Mehrcam.Pars,20040614,5434.0,5182.0,5434.0,58377750,11265,4,D,5454.0,5434.0
26,Mehrcam.Pars,20040615,5417.0,5163.0,5417.0,50481191,9777,3,D,5434.0,5417.0
27,Mehrcam.Pars,20040616,5416.0,5147.0,5416.0,1253411,243,2,D,5417.0,5416.0
28,Mehrcam.Pars,20040619,5382.0,5146.0,5382.0,102973820,20010,6,D,5416.0,5382.0
29,Mehrcam.Pars,20040620,5357.0,5113.0,5357.0,74457946,14562,6,D,5382.0,5357.0
30,Mehrcam.Pars,20040621,5355.0,5090.0,5355.0,4084830,802,4,D,5357.0,5355.0
31,Mehrcam.Pars,20040623,5351.0,5088.0,5351.0,9975110,1960,2,D,5355.0,5351.0
32,Mehrcam.Pars,20040627,5210.0,5084.0,5210.0,426864068,83962,16,D,5351.0,5210.0
33,Mehrcam.Pars,20040629,5159.0,4950.0,5159.0,154986590,31310,8,D,5210.0,5159.0
34,Mehrcam.Pars,20040630,5078.0,4902.0,5078.0,246768440,50340,17,D,5159.0,5078.0
35,Mehrcam.Pars,20040703,5076.0,4825.0,5076.0,5010860,1038,2,D,5078.0,5076.0
36,Mehrcam.Pars,20040704,5028.0,4823.0,5028.0,144740280,30010,6,D,5076.0,5028.0
37,Mehrcam.Pars,20040705,5028.0,4777.0,5028.0,145820,30,2,D,5028.0,5028.0
38,Mehrcam.Pars,20040706,5027.0,4777.0,5027.0,671280,140,2,D,5028.0,5027.0
39,Mehrcam.Pars,20040707,4776.0,4776.0,4776.0,8744856,1831,2,D,5027.0,4776.0
40,Mehrcam.Pars,20040710,4538.0,4538.0,4538.0,22690000,5000,5,D,4776.0,4538.0
41,Mehrcam.Pars,20040711,4312.0,4312.0,4312.0,21560000,5000,6,D,4538.0,4312.0
42,Mehrcam.Pars,20040712,4097.0,4097.0,4097.0,1982948,484,1,D,4312.0,4097.0
43,Mehrcam.Pars,20040713,3893.0,3893.0,3893.0,73967000,19000,8,D,4097.0,3893.0
44,Mehrcam.Pars,20040719,3699.0,3699.0,3699.0,3699000,1000,1,D,3893.0,3699.0
45,Mehrcam.Pars,20040720,3515.0,3515.0,3515.0,7030000,2000,2,D,3699.0,3515.0
46,Mehrcam.Pars,20040724,3515.0,3340.0,3497.0,519538698,148556,48,D,3515.0,3497.0
47,Mehrcam.Pars,20040725,3363.0,3323.0,3363.0,406886673,122427,32,D,3497.0,3363.0
48,Mehrcam.Pars,20040726,3415.0,3195.0,3267.0,524822530,160614,66,D,3363.0,3267.0
49,Mehrcam.Pars,20040728,3430.0,3284.0,3284.0,59680540,17400,10,D,3267.0,3284.0
50,Mehrcam.Pars,20040731,3448.0,3323.0,3323.0,131622702,38174,23,D,3284.0,3323.0
51,Mehrcam.Pars,20040801,3489.0,3373.0,3373.0,169096714,48466,29,D,3323.0,3373.0
52,Mehrcam.Pars,20040802,3541.0,3420.0,3420.0,160342352,45282,16,D,3373.0,3420.0
53,Mehrcam.Pars,20040803,3591.0,3520.0,3520.0,336274894,93644,20,D,3420.0,3520.0
54,Mehrcam.Pars,20040804,3696.0,3540.0,3540.0,67771992,18337,8,D,3520.0,3540.0
55,Mehrcam.Pars,20040807,3717.0,3581.0,3581.0,141140564,37972,14,D,3540.0,3581.0
56,Mehrcam.Pars,20040808,3760.0,3598.0,3598.0,60188460,16008,8,D,3581.0,3598.0
57,Mehrcam.Pars,20040809,3777.0,3682.0,3682.0,285736654,75652,23,D,3598.0,3682.0
58,Mehrcam.Pars,20040810,3866.0,3540.0,3763.0,1408015323,374077,125,D,3682.0,3763.0
59,Mehrcam.Pars,20040811,3695.0,3582.0,3678.0,354639987,97829,49,D,3763.0,3678.0
60,Mehrcam.Pars,20040814,3678.0,3495.0,3628.0,181625485,51540,24,D,3678.0,3628.0
61,Mehrcam.Pars,20040815,3542.0,3447.0,3542.0,364125748,104114,41,D,3628.0,3542.0
62,Mehrcam.Pars,20040816,3520.0,3381.0,3478.0,270688055,79287,28,D,3542.0,3478.0
63,Mehrcam.Pars,20040817,3449.0,3380.0,3401.0,592989730,174320,31,D,3478.0,3401.0
64,Mehrcam.Pars,20040818,3390.0,3255.0,3390.0,51072400,15510,7,D,3401.0,3390.0
65,Mehrcam.Pars,20040821,3337.0,3221.0,3337.0,185259660,57100,14,D,3390.0,3337.0
66,Mehrcam.Pars,20040822,3321.0,3201.0,3321.0,64486684,20074,13,D,3337.0,3321.0
67,Mehrcam.Pars,20040823,3315.0,3250.0,3315.0,110479733,33548,13,D,3321.0,3315.0
68,Mehrcam.Pars,20040824,3314.0,3299.0,3314.0,9271886,2810,4,D,3315.0,3314.0
69,Mehrcam.Pars,20040825,3450.0,3300.0,3321.0,52030335,15326,9,D,3314.0,3321.0
70,Mehrcam.Pars,20040828,3409.0,3302.0,3324.0,31514344,9300,8,D,3321.0,3324.0
71,Mehrcam.Pars,20040829,3450.0,3371.0,3371.0,282371206,82679,23,D,3324.0,3371.0
72,Mehrcam.Pars,20040831,3490.0,3382.0,3382.0,85599404,24860,11,D,3371.0,3382.0
73,Mehrcam.Pars,20040901,3537.0,3403.0,3403.0,101421791,28947,11,D,3382.0,3403.0
74,Mehrcam.Pars,20040904,3573.0,3407.0,3407.0,14326070,4010,2,D,3403.0,3407.0
75,Mehrcam.Pars,20040905,3577.0,3410.0,3410.0,12242401,3423,4,D,3407.0,3410.0
76,Mehrcam.Pars,20040906,3580.0,3416.0,3416.0,23225400,6488,5,D,3410.0,3416.0
77,Mehrcam.Pars,20040907,3586.0,3443.0,3443.0,94554218,26368,15,D,3416.0,3443.0
78,Mehrcam.Pars,20040908,3615.0,3447.0,3447.0,17488470,4850,3,D,3443.0,3447.0
79,Mehrcam.Pars,20040911,3619.0,3450.0,3450.0,12932616,3574,4,D,3447.0,3450.0
80,Mehrcam.Pars,20040912,3622.0,3468.0,3468.0,63926760,17650,11,D,3450.0,3468.0
81,Mehrcam.Pars,20040914,3641.0,3495.0,3495.0,92327018,25358,15,D,3468.0,3495.0
