,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Mn..Mines,20030208,4807.0,4800.0,4800.0,643428000,134000,31,D,4807.0,4800.0
1,Iran.Mn..Mines,20030222,4800.0,4800.0,4800.0,4800000,1000,1,D,4800.0,4800.0
2,Iran.Mn..Mines,20030224,4800.0,4800.0,4800.0,480000,100,1,D,4800.0,4800.0
3,Iran.Mn..Mines,20030226,4800.0,4800.0,4800.0,66720000,13900,2,D,4800.0,4800.0
4,Iran.Mn..Mines,20030316,4800.0,4800.0,4800.0,2476800000,516000,1,D,4800.0,4800.0
5,Iran.Mn..Mines,20030318,4800.0,4800.0,4800.0,9600000,2000,1,D,4800.0,4800.0
6,Iran.Mn..Mines,20030319,4800.0,4800.0,4800.0,120000,25,2,D,4800.0,4800.0
7,Iran.Mn..Mines,20030503,4799.0,4799.0,4799.0,4799000,1000,1,D,4800.0,4799.0
8,Iran.Mn..Mines,20030504,4800.0,4800.0,4800.0,9600000,2000,1,D,4799.0,4800.0
9,Iran.Mn..Mines,20030510,4560.0,4560.0,4560.0,4446000,975,1,D,4800.0,4560.0
10,Iran.Mn..Mines,20030512,4560.0,4560.0,4560.0,13994640,3069,3,D,4560.0,4560.0
11,Iran.Mn..Mines,20030513,4560.0,4560.0,4560.0,8805360,1931,1,D,4560.0,4560.0
12,Iran.Mn..Mines,20030514,4562.0,4561.0,4562.0,10263500,2250,2,D,4560.0,4562.0
13,Iran.Mn..Mines,20030520,4564.0,4564.0,4564.0,7872900,1725,2,D,4562.0,4564.0
14,Iran.Mn..Mines,20030521,4564.0,4564.0,4564.0,6846000,1500,1,D,4564.0,4564.0
15,Iran.Mn..Mines,20030524,4564.0,4564.0,4564.0,8101100,1775,1,D,4564.0,4564.0
16,Iran.Mn..Mines,20030525,4649.0,4563.0,4649.0,14907025,3225,3,D,4564.0,4649.0
17,Iran.Mn..Mines,20030526,4650.0,4649.0,4650.0,4649710,1000,2,D,4649.0,4650.0
18,Iran.Mn..Mines,20030527,4650.0,4650.0,4650.0,4650000,1000,1,D,4650.0,4650.0
19,Iran.Mn..Mines,20030528,4650.0,4650.0,4650.0,4650000,1000,1,D,4650.0,4650.0
20,Iran.Mn..Mines,20030531,4644.0,4644.0,4644.0,4644000,1000,1,D,4650.0,4644.0
21,Iran.Mn..Mines,20030601,4640.0,4640.0,4640.0,4640000,1000,1,D,4644.0,4640.0
22,Iran.Mn..Mines,20030602,4640.0,4640.0,4640.0,4640000,1000,1,D,4640.0,4640.0
23,Iran.Mn..Mines,20030603,4640.0,4640.0,4640.0,4640000,1000,1,D,4640.0,4640.0
24,Iran.Mn..Mines,20030607,4640.0,4640.0,4640.0,4640000,1000,1,D,4640.0,4640.0
25,Iran.Mn..Mines,20030608,4643.0,4641.0,4643.0,4642850,1000,2,D,4640.0,4643.0
26,Iran.Mn..Mines,20030609,4640.0,4640.0,4640.0,7145600,1540,8,D,4643.0,4640.0
27,Iran.Mn..Mines,20030610,4650.0,4640.0,4650.0,24690225,5317,7,D,4640.0,4650.0
28,Iran.Mn..Mines,20030625,4150.0,4150.0,4150.0,4150000,1000,1,D,4650.0,4150.0
29,Iran.Mn..Mines,20030630,4150.0,4150.0,4150.0,402550,97,1,D,4150.0,4150.0
30,Iran.Mn..Mines,20030701,4150.0,4150.0,4150.0,4150000,1000,1,D,4150.0,4150.0
31,Iran.Mn..Mines,20030702,4150.0,4150.0,4150.0,4150000,1000,1,D,4150.0,4150.0
32,Iran.Mn..Mines,20030705,4155.0,4155.0,4155.0,2077500,500,1,D,4150.0,4155.0
33,Iran.Mn..Mines,20030706,4160.0,4160.0,4160.0,2080000,500,1,D,4155.0,4160.0
34,Iran.Mn..Mines,20030715,4168.0,4168.0,4168.0,4168000,1000,1,D,4160.0,4168.0
