,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Niromohareke.M.,20020714,15000.0,15000.0,15000.0,1560000000,104000,38,D,0.0,15000.0
1,Niromohareke.M.,20020715,15500.0,15000.0,15010.0,2946506000,196000,43,D,15000.0,15010.0
2,Niromohareke.M.,20020727,14000.0,14000.0,14000.0,14000000,1000,1,D,15010.0,14000.0
3,Niromohareke.M.,20020805,14000.0,14000.0,14000.0,1050000,75,2,D,14000.0,14000.0
4,Niromohareke.M.,20020807,14000.0,14000.0,14000.0,12950000,925,1,D,14000.0,14000.0
5,Niromohareke.M.,20020810,14000.0,14000.0,14000.0,14000000,1000,6,D,14000.0,14000.0
6,Niromohareke.M.,20020813,14000.0,14000.0,14000.0,1050000,75,1,D,14000.0,14000.0
7,Niromohareke.M.,20020817,13300.0,13300.0,13300.0,14962500,1125,1,D,14000.0,13300.0
8,Niromohareke.M.,20020821,13965.0,13500.0,13965.0,424866000,31444,8,D,13300.0,13965.0
9,Niromohareke.M.,20020904,13965.0,13965.0,13965.0,55860000,4000,1,D,13965.0,13965.0
10,Niromohareke.M.,20020910,13965.0,13965.0,13965.0,7401450,530,1,D,13965.0,13965.0
11,Niromohareke.M.,20020924,13267.0,13267.0,13267.0,69466012,5236,7,D,13965.0,13267.0
12,Niromohareke.M.,20020930,13264.0,13263.0,13264.0,49923932,3764,5,D,13267.0,13264.0
13,Niromohareke.M.,20021118,13264.0,13264.0,13264.0,21660112,1633,2,D,13264.0,13264.0
14,Niromohareke.M.,20021119,13264.0,13264.0,13264.0,29180800,2200,2,D,13264.0,13264.0
15,Niromohareke.M.,20021120,13264.0,13264.0,13264.0,19896000,1500,3,D,13264.0,13264.0
16,Niromohareke.M.,20021123,13264.0,13264.0,13264.0,11937600,900,1,D,13264.0,13264.0
17,Niromohareke.M.,20021130,13264.0,13264.0,13264.0,1326400,100,1,D,13264.0,13264.0
18,Niromohareke.M.,20021201,13265.0,13264.0,13264.0,60631315,4571,4,D,13264.0,13264.0
19,Niromohareke.M.,20021209,13264.0,13264.0,13264.0,23371168,1762,2,D,13264.0,13264.0
20,Niromohareke.M.,20021211,13000.0,13000.0,13000.0,15600000,1200,2,D,13264.0,13000.0
21,Niromohareke.M.,20021215,12800.0,12800.0,12800.0,23846400,1863,1,D,13000.0,12800.0
22,Niromohareke.M.,20021222,12800.0,12800.0,12800.0,8960000,700,1,D,12800.0,12800.0
23,Niromohareke.M.,20030112,12800.0,12800.0,12800.0,12800000,1000,1,D,12800.0,12800.0
24,Niromohareke.M.,20030113,12800.0,12800.0,12800.0,30720000,2400,2,D,12800.0,12800.0
25,Niromohareke.M.,20030121,12700.0,12700.0,12700.0,12700000,1000,1,D,12800.0,12700.0
26,Niromohareke.M.,20030122,12700.0,12700.0,12700.0,1651000,130,1,D,12700.0,12700.0
27,Niromohareke.M.,20030125,12700.0,12700.0,12700.0,16129000,1270,1,D,12700.0,12700.0
28,Niromohareke.M.,20030203,12100.0,12100.0,12100.0,29040000,2400,1,D,12700.0,12100.0
29,Niromohareke.M.,20030205,11500.0,11500.0,11500.0,27600000,2400,2,D,12100.0,11500.0
30,Niromohareke.M.,20030210,11502.0,11502.0,11502.0,31055400,2700,2,D,11500.0,11502.0
31,Niromohareke.M.,20030222,11502.0,11502.0,11502.0,3450600,300,1,D,11502.0,11502.0
32,Niromohareke.M.,20030225,11502.0,11502.0,11502.0,115020,10,1,D,11502.0,11502.0
33,Niromohareke.M.,20030226,11502.0,11502.0,11502.0,2288898,199,1,D,11502.0,11502.0
34,Niromohareke.M.,20030303,11502.0,11502.0,11502.0,127396152,11076,4,D,11502.0,11502.0
35,Niromohareke.M.,20030309,11502.0,11502.0,11502.0,287550,25,1,D,11502.0,11502.0
36,Niromohareke.M.,20030312,11502.0,11502.0,11502.0,12721212,1106,3,D,11502.0,11502.0
37,Niromohareke.M.,20030315,11502.0,11502.0,11502.0,115020000,10000,2,D,11502.0,11502.0
38,Niromohareke.M.,20030319,11501.0,11501.0,11501.0,3450300,300,2,D,11502.0,11501.0
39,Niromohareke.M.,20030408,11300.0,11300.0,11300.0,11300000,1000,1,D,11501.0,11300.0
40,Niromohareke.M.,20030409,11501.0,11302.0,11302.0,39847525,3525,3,D,11300.0,11302.0
41,Niromohareke.M.,20030625,1450.0,1450.0,1450.0,725000,500,1,D,11302.0,1450.0
42,Niromohareke.M.,20030629,1464.0,1464.0,1464.0,2386320,1630,2,D,1450.0,1464.0
43,Niromohareke.M.,20030716,1537.0,1537.0,1537.0,153700,100,1,D,1464.0,1537.0
44,Niromohareke.M.,20030719,1613.0,1613.0,1613.0,108753299,67423,15,D,1537.0,1613.0
45,Niromohareke.M.,20030720,1693.0,1693.0,1693.0,192197825,113525,31,D,1613.0,1693.0
46,Niromohareke.M.,20030721,1777.0,1726.0,1777.0,138339354,78777,35,D,1693.0,1777.0
47,Niromohareke.M.,20030722,1865.0,1865.0,1865.0,111340500,59700,17,D,1777.0,1865.0
48,Niromohareke.M.,20030723,1958.0,1958.0,1958.0,277526920,141740,46,D,1865.0,1958.0
49,Niromohareke.M.,20030726,2055.0,2055.0,2055.0,872232420,424444,77,D,1958.0,2055.0
50,Niromohareke.M.,20030727,2157.0,1579.0,2157.0,873832337,485217,182,D,2055.0,2157.0
51,Niromohareke.M.,20030728,2264.0,2264.0,2264.0,788940608,348472,71,D,2157.0,2264.0
52,Niromohareke.M.,20030729,2377.0,2377.0,2377.0,2377000000,1000000,216,D,2264.0,2377.0
53,Niromohareke.M.,20030730,3000.0,2500.0,2802.0,746048337,272933,90,D,2377.0,2802.0
54,Niromohareke.M.,20030803,3223.0,2850.0,3200.0,335318637,107426,46,D,2802.0,3200.0
55,Niromohareke.M.,20030804,3399.0,3001.0,3353.0,648712363,199009,87,D,3200.0,3353.0
56,Niromohareke.M.,20030805,3351.0,2294.0,2800.0,852944040,283543,97,D,3353.0,2800.0
57,Niromohareke.M.,20030806,3149.0,2702.0,3143.0,245787278,83436,34,D,2800.0,3143.0
58,Niromohareke.M.,20030809,3000.0,2858.0,2990.0,269196787,90026,46,D,3143.0,2990.0
59,Niromohareke.M.,20030810,2998.0,2651.0,2998.0,704836078,243362,82,D,2990.0,2998.0
60,Niromohareke.M.,20030811,3000.0,2976.0,2999.0,226621670,75724,37,D,2998.0,2999.0
61,Niromohareke.M.,20030812,3000.0,2981.0,2981.0,270554624,90378,49,D,2999.0,2981.0
62,Niromohareke.M.,20030813,3000.0,2980.0,2994.0,413845738,138632,54,D,2981.0,2994.0
63,Niromohareke.M.,20030816,2995.0,2879.0,2879.0,327275613,110126,40,D,2994.0,2879.0
64,Niromohareke.M.,20030817,2985.0,2900.0,2900.0,260712690,88960,51,D,2879.0,2900.0
65,Niromohareke.M.,20030818,2971.0,2900.0,2904.0,125588979,42647,34,D,2900.0,2904.0
66,Niromohareke.M.,20030819,2989.0,2941.0,2941.0,358844481,120606,52,D,2904.0,2941.0
67,Niromohareke.M.,20030820,2998.0,2900.0,2958.0,197342610,66719,33,D,2941.0,2958.0
