,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Nasir.Machine,20050305,5000.0,5000.0,5000.0,1895925000,379185,197,D,0.0,5000.0
1,Nasir.Machine,20050306,5150.0,5100.0,5101.0,252410460,49473,12,D,5000.0,5101.0
2,Nasir.Machine,20050307,5200.0,5147.0,5147.0,19489070,3748,5,D,5101.0,5147.0
3,Nasir.Machine,20050308,5200.0,5162.0,5162.0,12037620,2315,3,D,5147.0,5162.0
4,Nasir.Machine,20050309,5087.0,4904.0,5087.0,11433054,2331,3,D,5162.0,5087.0
5,Nasir.Machine,20050314,5063.0,4833.0,5063.0,3675380,760,5,D,5087.0,5063.0
6,Nasir.Machine,20050315,5061.0,4810.0,5061.0,291110,60,2,D,5063.0,5061.0
7,Nasir.Machine,20050316,5059.0,4808.0,5059.0,290990,60,2,D,5061.0,5059.0
8,Nasir.Machine,20050328,5100.0,4807.0,4877.0,107583025,22058,24,D,5059.0,4877.0
9,Nasir.Machine,20050329,5099.0,4930.0,4930.0,10667670,2100,4,D,4877.0,4930.0
10,Nasir.Machine,20050330,5100.0,5020.0,5052.0,44954221,8897,9,D,4930.0,5052.0
11,Nasir.Machine,20050404,5003.0,5000.0,5001.0,45387010,9075,14,D,5052.0,5001.0
12,Nasir.Machine,20050406,4995.0,4751.0,4995.0,905130,190,2,D,5001.0,4995.0
13,Nasir.Machine,20050410,4999.0,4841.0,4953.0,116298754,23476,14,D,4995.0,4953.0
14,Nasir.Machine,20050411,4908.0,4840.0,4908.0,15583198,3218,8,D,4953.0,4908.0
15,Nasir.Machine,20050412,4889.0,4663.0,4764.0,34662721,7297,5,D,4908.0,4764.0
16,Nasir.Machine,20050413,5002.0,4850.0,4946.0,64599600,13059,15,D,4764.0,4946.0
17,Nasir.Machine,20050416,5193.0,5009.0,5150.0,186294680,36170,50,D,4946.0,5150.0
18,Nasir.Machine,20050417,5159.0,5002.0,5137.0,67927664,13222,19,D,5150.0,5137.0
19,Nasir.Machine,20050418,5050.0,5000.0,5031.0,35967150,7165,5,D,5137.0,5031.0
20,Nasir.Machine,20050419,5156.0,5046.0,5046.0,5005376,971,2,D,5031.0,5046.0
21,Nasir.Machine,20050420,5000.0,4900.0,4950.0,99049500,20010,9,D,5046.0,4950.0
22,Nasir.Machine,20050423,4954.0,4950.0,4950.0,19712921,3981,4,D,4950.0,4950.0
23,Nasir.Machine,20050424,5000.0,4953.0,4953.0,3024530,605,2,D,4950.0,4953.0
24,Nasir.Machine,20050427,4951.0,4949.0,4951.0,13711310,2770,5,D,4953.0,4951.0
25,Nasir.Machine,20050501,4944.0,4705.0,4944.0,1037490,220,2,D,4951.0,4944.0
26,Nasir.Machine,20050502,4943.0,4935.0,4943.0,3035105,615,2,D,4944.0,4943.0
27,Nasir.Machine,20050503,4925.0,4870.0,4925.0,9856295,2022,4,D,4943.0,4925.0
28,Nasir.Machine,20050504,4850.0,4699.0,4782.0,33340760,7000,6,D,4925.0,4782.0
29,Nasir.Machine,20050507,4703.0,4670.0,4703.0,29599035,6320,10,D,4782.0,4703.0
30,Nasir.Machine,20050509,4710.0,4703.0,4703.0,1411425,300,2,D,4703.0,4703.0
31,Nasir.Machine,20050510,4716.0,4703.0,4705.0,32991850,7010,6,D,4703.0,4705.0
32,Nasir.Machine,20050511,4877.0,4728.0,4728.0,7829130,1624,7,D,4705.0,4728.0
33,Nasir.Machine,20050514,4964.0,4768.0,4768.0,7345955,1485,4,D,4728.0,4768.0
34,Nasir.Machine,20050515,4964.0,4849.0,4849.0,22877076,4660,8,D,4768.0,4849.0
35,Nasir.Machine,20050517,5091.0,5000.0,5063.0,38281611,7539,7,D,4849.0,5063.0
36,Nasir.Machine,20050518,5190.0,5189.0,5189.0,102580574,19766,12,D,5063.0,5189.0
37,Nasir.Machine,20050705,6800.0,6800.0,6800.0,68000000,10000,2,D,5189.0,6800.0
38,Nasir.Machine,20050709,6800.0,6460.0,6800.0,1896180,293,2,D,6800.0,6800.0
39,Nasir.Machine,20050711,6800.0,6460.0,6800.0,1230800,190,2,D,6800.0,6800.0
40,Nasir.Machine,20050807,5000.0,5000.0,5000.0,64300000,12860,4,D,6800.0,5000.0
41,Nasir.Machine,20050810,4934.0,4750.0,4934.0,9976840,2100,2,D,5000.0,4934.0
42,Nasir.Machine,20050816,4934.0,4688.0,4934.0,283740,60,2,D,4934.0,4934.0
43,Nasir.Machine,20051102,4921.0,4688.0,4921.0,1924410,410,2,D,4934.0,4921.0
44,Nasir.Machine,20051105,4687.0,4675.0,4687.0,35576870,7610,4,D,4921.0,4687.0
45,Nasir.Machine,20051107,4628.0,4453.0,4628.0,8952280,2010,4,D,4687.0,4628.0
46,Nasir.Machine,20051108,4454.0,4397.0,4454.0,26426540,6010,3,D,4628.0,4454.0
47,Nasir.Machine,20051115,4422.0,4232.0,4422.0,4796756,1133,3,D,4454.0,4422.0
48,Nasir.Machine,20051204,4232.0,4201.0,4226.0,93023260,22010,16,D,4422.0,4226.0
49,Nasir.Machine,20051206,4132.0,4015.0,4132.0,14314645,3565,5,D,4226.0,4132.0
50,Nasir.Machine,20051210,3926.0,3926.0,3926.0,35334000,9000,16,D,4132.0,3926.0
51,Nasir.Machine,20051211,3735.0,3730.0,3732.0,67962618,18210,16,D,3926.0,3732.0
52,Nasir.Machine,20051212,3918.0,3912.0,3914.0,51757087,13221,12,D,3732.0,3914.0
53,Nasir.Machine,20051213,4109.0,3900.0,4069.0,110933791,27260,41,D,3914.0,4069.0
54,Nasir.Machine,20051214,4272.0,4232.0,4263.0,68846934,16147,28,D,4069.0,4263.0
