,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Mobin.Petr.,20150428,2900.0,2900.0,2900.0,2868393975900,989101371,17924,D,1000.0,2900.0
1,Mobin.Petr.,20150429,3016.0,3016.0,3016.0,36519525536,12108596,677,D,2900.0,3016.0
2,Mobin.Petr.,20150504,3136.0,3136.0,3136.0,143348821056,45710721,905,D,3016.0,3136.0
3,Mobin.Petr.,20150505,3261.0,3261.0,3261.0,283347305178,86889698,2488,D,3136.0,3261.0
4,Mobin.Petr.,20150506,3391.0,3302.0,3390.0,529591564940,156232534,9457,D,3261.0,3391.0
5,Mobin.Petr.,20150509,3525.0,3292.0,3463.0,1338345381145,386457995,36322,D,3390.0,3299.0
6,Mobin.Petr.,20150510,3397.0,3325.0,3333.0,666740758816,200036767,17898,D,3463.0,3325.0
7,Mobin.Petr.,20150511,3430.0,3327.0,3378.0,141797997712,41980337,6826,D,3333.0,3350.0
8,Mobin.Petr.,20150512,3440.0,3320.0,3369.0,110639245549,32842062,4256,D,3378.0,3325.0
9,Mobin.Petr.,20150513,3402.0,3321.0,3375.0,122850868196,36398812,5537,D,3369.0,3366.0
10,Mobin.Petr.,20150517,3380.0,3252.0,3282.0,86189717820,26263829,2784,D,3375.0,3257.0
11,Mobin.Petr.,20150518,3289.0,3216.0,3250.0,69518577006,21393481,2397,D,3282.0,3230.0
12,Mobin.Petr.,20150519,3349.0,3283.0,3312.0,70289545603,21220687,2872,D,3250.0,3308.0
13,Mobin.Petr.,20150520,3340.0,3260.0,3292.0,35006830631,10633119,1270,D,3312.0,3320.0
14,Mobin.Petr.,20150523,3365.0,3223.0,3294.0,110833537155,33649810,2934,D,3292.0,3360.0
15,Mobin.Petr.,20150524,3370.0,3285.0,3327.0,26911030081,8088230,1329,D,3294.0,3302.0
16,Mobin.Petr.,20150525,3350.0,3297.0,3325.0,29080912616,8747417,1338,D,3327.0,3300.0
17,Mobin.Petr.,20150526,3369.0,3316.0,3340.0,39649717280,11872500,1562,D,3325.0,3318.0
