,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iranmerinos,20010409,2426.0,2426.0,2426.0,6183874,2549,3,D,2426.0,2426.0
1,Iranmerinos,20010423,2429.0,2425.0,2429.0,32007849,13194,8,D,2426.0,2429.0
2,Iranmerinos,20010424,2550.0,2550.0,2550.0,6375000,2500,1,D,2429.0,2550.0
3,Iranmerinos,20010425,2677.0,2610.0,2677.0,3089380,1158,3,D,2550.0,2677.0
4,Iranmerinos,20010428,2732.0,2730.0,2732.0,6809220,2494,3,D,2677.0,2732.0
5,Iranmerinos,20010429,2731.0,2731.0,2731.0,20963156,7676,3,D,2732.0,2731.0
6,Iranmerinos,20010430,2731.0,2600.0,2601.0,76396414,29125,20,D,2731.0,2601.0
7,Iranmerinos,20010501,2601.0,2601.0,2601.0,12261114,4714,5,D,2601.0,2601.0
8,Iranmerinos,20010502,2620.0,2620.0,2620.0,2620000,1000,1,D,2601.0,2620.0
9,Iranmerinos,20010505,2580.0,2580.0,2580.0,6450000,2500,1,D,2620.0,2580.0
10,Iranmerinos,20010506,2580.0,2580.0,2580.0,20382000,7900,2,D,2580.0,2580.0
11,Iranmerinos,20010507,2580.0,2579.0,2580.0,5159616,2000,2,D,2580.0,2580.0
12,Iranmerinos,20010508,2580.0,2580.0,2580.0,5761140,2233,4,D,2580.0,2580.0
13,Iranmerinos,20010509,2590.0,2586.0,2590.0,24060410,9299,5,D,2580.0,2590.0
14,Iranmerinos,20010512,2719.0,2593.0,2603.0,104638259,40281,28,D,2590.0,2603.0
15,Iranmerinos,20010513,2733.0,2604.0,2733.0,17694726,6506,2,D,2603.0,2733.0
16,Iranmerinos,20010515,2735.0,2733.0,2735.0,7294011,2667,2,D,2733.0,2735.0
17,Iranmerinos,20010516,2736.0,2736.0,2736.0,1233936,451,1,D,2735.0,2736.0
18,Iranmerinos,20010520,2872.0,2786.0,2788.0,18883678,6623,7,D,2736.0,2788.0
19,Iranmerinos,20010521,2900.0,2900.0,2900.0,14500000,5000,1,D,2788.0,2900.0
20,Iranmerinos,20010523,2950.0,2793.0,2793.0,5072700,1759,4,D,2900.0,2793.0
21,Iranmerinos,20010526,2794.0,2790.0,2790.0,4680040,1676,2,D,2793.0,2790.0
22,Iranmerinos,20010527,2791.0,2790.0,2790.0,23022200,8250,13,D,2790.0,2790.0
23,Iranmerinos,20010528,2792.0,2790.0,2792.0,7820332,2802,7,D,2790.0,2792.0
24,Iranmerinos,20010529,2802.0,2801.0,2802.0,32654139,11658,21,D,2792.0,2802.0
25,Iranmerinos,20010530,2807.0,2807.0,2807.0,2096829,747,1,D,2802.0,2807.0
26,Iranmerinos,20010602,2814.0,2813.0,2814.0,2397392,852,5,D,2807.0,2814.0
27,Iranmerinos,20010606,2817.0,2816.0,2816.0,4551756,1616,3,D,2814.0,2816.0
28,Iranmerinos,20010609,2816.0,2800.0,2816.0,9134200,3250,9,D,2816.0,2816.0
29,Iranmerinos,20010611,2816.0,2781.0,2781.0,17310700,6167,11,D,2816.0,2781.0
30,Iranmerinos,20010612,2781.0,2781.0,2781.0,5562000,2000,1,D,2781.0,2781.0
31,Iranmerinos,20010613,2781.0,2779.0,2779.0,11673800,4200,6,D,2781.0,2779.0
32,Iranmerinos,20010617,2780.0,2777.0,2780.0,11118341,4000,4,D,2779.0,2780.0
33,Iranmerinos,20010618,2780.0,2700.0,2780.0,21478476,7757,8,D,2780.0,2780.0
34,Iranmerinos,20010619,2800.0,2780.0,2800.0,29548540,10593,8,D,2780.0,2800.0
35,Iranmerinos,20010620,2817.0,2816.0,2816.0,11266000,4000,4,D,2800.0,2816.0
36,Iranmerinos,20010623,2850.0,2816.0,2816.0,63084616,22206,25,D,2816.0,2816.0
37,Iranmerinos,20010624,2816.0,2816.0,2816.0,13460480,4780,4,D,2816.0,2816.0
38,Iranmerinos,20010625,2816.0,2815.0,2816.0,6193800,2200,3,D,2816.0,2816.0
39,Iranmerinos,20010626,2850.0,2816.0,2816.0,18372000,6500,6,D,2816.0,2816.0
40,Iranmerinos,20010627,2816.0,2816.0,2816.0,20396288,7243,8,D,2816.0,2816.0
41,Iranmerinos,20010630,2900.0,2900.0,2900.0,18623800,6422,4,D,2816.0,2900.0
42,Iranmerinos,20010701,2951.0,2950.0,2951.0,39178428,13278,6,D,2900.0,2951.0
43,Iranmerinos,20010702,2956.0,2956.0,2956.0,3615188,1223,1,D,2951.0,2956.0
44,Iranmerinos,20010703,2965.0,2965.0,2965.0,50805275,17135,13,D,2956.0,2965.0
45,Iranmerinos,20010709,3054.0,3054.0,3054.0,1911804,626,1,D,2965.0,3054.0
46,Iranmerinos,20010710,3206.0,3200.0,3206.0,21536664,6720,12,D,3054.0,3206.0
47,Iranmerinos,20010711,3366.0,3211.0,3366.0,24069160,7210,30,D,3206.0,3366.0
48,Iranmerinos,20010819,2721.0,2700.0,2720.0,34931484,12845,9,D,3366.0,2720.0
49,Iranmerinos,20010820,2856.0,2856.0,2856.0,4335408,1518,1,D,2720.0,2856.0
50,Iranmerinos,20010822,2998.0,2998.0,2998.0,1499000,500,1,D,2856.0,2998.0
51,Iranmerinos,20010825,3147.0,3147.0,3147.0,94410000,30000,15,D,2998.0,3147.0
52,Iranmerinos,20010826,3147.0,3001.0,3001.0,71296939,23126,10,D,3147.0,3001.0
53,Iranmerinos,20010828,3001.0,3000.0,3000.0,73968048,24648,17,D,3001.0,3000.0
54,Iranmerinos,20010829,3000.0,3000.0,3000.0,12600000,4200,11,D,3000.0,3000.0
55,Iranmerinos,20010901,3000.0,3000.0,3000.0,1875000,625,3,D,3000.0,3000.0
56,Iranmerinos,20010902,3002.0,3001.0,3001.0,22347215,7445,9,D,3000.0,3001.0
57,Iranmerinos,20010903,3001.0,3000.0,3000.0,11839128,3946,14,D,3001.0,3000.0
58,Iranmerinos,20010905,3001.0,3000.0,3000.0,19840515,6613,17,D,3000.0,3000.0
59,Iranmerinos,20010908,3000.0,3000.0,3000.0,10632000,3544,5,D,3000.0,3000.0
60,Iranmerinos,20010909,3010.0,3000.0,3010.0,25579000,8513,12,D,3000.0,3010.0
61,Iranmerinos,20010910,3011.0,3010.0,3011.0,59778727,19857,27,D,3010.0,3011.0
62,Iranmerinos,20010911,3012.0,3012.0,3012.0,7530000,2500,5,D,3011.0,3012.0
63,Iranmerinos,20010912,3060.0,3060.0,3060.0,4590000,1500,2,D,3012.0,3060.0
64,Iranmerinos,20010915,3060.0,2999.0,3060.0,31508963,10500,12,D,3060.0,3060.0
65,Iranmerinos,20010916,3060.0,3060.0,3060.0,44755560,14626,13,D,3060.0,3060.0
66,Iranmerinos,20010917,3061.0,3061.0,3061.0,6122000,2000,4,D,3060.0,3061.0
67,Iranmerinos,20010918,3061.0,3060.0,3061.0,50792234,16594,14,D,3061.0,3061.0
68,Iranmerinos,20010922,3010.0,2908.0,3010.0,20258880,6891,12,D,3061.0,3010.0
69,Iranmerinos,20010923,3011.0,3010.0,3010.0,6279946,2086,6,D,3010.0,3010.0
70,Iranmerinos,20010924,3009.0,3009.0,3009.0,11494380,3820,5,D,3010.0,3009.0
71,Iranmerinos,20010926,3003.0,3003.0,3003.0,300300,100,2,D,3009.0,3003.0
72,Iranmerinos,20010929,3004.0,3000.0,3000.0,28132400,9370,11,D,3003.0,3000.0
73,Iranmerinos,20010930,3020.0,3000.0,3020.0,5777000,1921,3,D,3000.0,3020.0
74,Iranmerinos,20011002,3010.0,3010.0,3010.0,1652490,549,1,D,3020.0,3010.0
75,Iranmerinos,20011007,3010.0,2902.0,3010.0,33699229,11291,10,D,3010.0,3010.0
76,Iranmerinos,20011008,3000.0,2917.0,2917.0,11255110,3830,3,D,3010.0,2917.0
77,Iranmerinos,20011010,3060.0,2900.0,2900.0,63069870,21614,23,D,2917.0,2900.0
78,Iranmerinos,20011014,2900.0,2900.0,2900.0,5800000,2000,2,D,2900.0,2900.0
79,Iranmerinos,20011017,2960.0,2960.0,2960.0,14800000,5000,1,D,2900.0,2960.0
80,Iranmerinos,20011022,2905.0,2905.0,2905.0,4650905,1601,1,D,2960.0,2905.0
81,Iranmerinos,20011023,2907.0,2904.0,2904.0,35393821,12181,11,D,2905.0,2904.0
82,Iranmerinos,20011029,2917.0,2916.0,2917.0,57093168,19573,8,D,2904.0,2917.0
83,Iranmerinos,20011030,2970.0,2970.0,2970.0,4455000,1500,1,D,2917.0,2970.0
84,Iranmerinos,20011031,3000.0,2970.0,3000.0,9979080,3334,3,D,2970.0,3000.0
85,Iranmerinos,20011103,2924.0,2924.0,2924.0,6599468,2257,2,D,3000.0,2924.0
86,Iranmerinos,20011104,2950.0,2925.0,2926.0,6956395,2361,3,D,2924.0,2926.0
87,Iranmerinos,20011105,3030.0,3000.0,3030.0,12675000,4205,2,D,2926.0,3030.0
88,Iranmerinos,20011107,3060.0,3000.0,3060.0,23195200,7638,8,D,3030.0,3060.0
89,Iranmerinos,20011110,3160.0,3158.0,3160.0,34116700,10800,6,D,3060.0,3160.0
90,Iranmerinos,20011111,3162.0,3162.0,3162.0,14229000,4500,21,D,3160.0,3162.0
