,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Motorsazan,20031109,6525.0,6500.0,6511.0,6446968011,990000,993,D,6525.0,6511.0
1,Motorsazan,20031110,6836.0,6836.0,6836.0,6904360000,1010000,462,D,6511.0,6836.0
2,Motorsazan,20031111,7177.0,4089.0,7177.0,3601022800,850000,968,D,6836.0,7177.0
3,Motorsazan,20031112,7535.0,7535.0,7535.0,1507000000,200000,110,D,7177.0,7535.0
4,Motorsazan,20031115,7911.0,7159.0,7641.0,2646083443,346295,475,D,7535.0,7641.0
5,Motorsazan,20031117,7458.0,7259.0,7458.0,125043733,17226,34,D,7641.0,7458.0
6,Motorsazan,20031118,7432.0,7086.0,7432.0,17814550,2514,6,D,7458.0,7432.0
7,Motorsazan,20031119,7265.0,7061.0,7265.0,114423709,16205,19,D,7432.0,7265.0
8,Motorsazan,20031122,7215.0,6902.0,7215.0,33995480,4925,13,D,7265.0,7215.0
9,Motorsazan,20031123,7089.0,6855.0,7089.0,86197110,12574,12,D,7215.0,7089.0
10,Motorsazan,20031124,6898.0,6735.0,6898.0,130418170,19364,24,D,7089.0,6898.0
11,Motorsazan,20031125,6855.0,6554.0,6618.0,1160797438,175389,158,D,6898.0,6618.0
12,Motorsazan,20031129,6948.0,6854.0,6889.0,457314867,66380,88,D,6618.0,6889.0
13,Motorsazan,20031130,7233.0,6948.0,7164.0,870715910,121534,108,D,6889.0,7164.0
14,Motorsazan,20040228,7328.0,7010.0,7125.0,130695906,18437,9,D,7164.0,7125.0
15,Motorsazan,20040309,7125.0,6769.0,7125.0,138940,20,2,D,7125.0,7125.0
16,Motorsazan,20040315,6769.0,6769.0,6769.0,340819150,50350,242,D,7125.0,6769.0
17,Motorsazan,20040316,6431.0,6431.0,6431.0,1027783127,159817,748,D,6769.0,6431.0
18,Motorsazan,20040317,6450.0,3556.0,6301.0,1231164366,303609,1094,D,6431.0,6301.0
19,Motorsazan,20040327,6616.0,6500.0,6522.0,171273385,25915,19,D,6301.0,6522.0
20,Motorsazan,20040328,6617.0,6500.0,6536.0,40723274,6164,16,D,6522.0,6536.0
21,Motorsazan,20040329,6521.0,6300.0,6521.0,19960310,3135,7,D,6536.0,6521.0
22,Motorsazan,20040330,6494.0,6195.0,6494.0,17918930,2892,4,D,6521.0,6494.0
23,Motorsazan,20040406,6475.0,6170.0,6475.0,16655880,2699,3,D,6494.0,6475.0
24,Motorsazan,20040410,6447.0,6152.0,6447.0,25269214,4107,3,D,6475.0,6447.0
25,Motorsazan,20040412,6411.0,6125.0,6411.0,32373485,5285,5,D,6447.0,6411.0
26,Motorsazan,20040413,6308.0,6091.0,6308.0,93864480,15410,54,D,6411.0,6308.0
27,Motorsazan,20040519,6308.0,5993.0,6308.0,93045,15,2,D,6308.0,6308.0
28,Motorsazan,20040524,6308.0,5993.0,6308.0,123010,20,2,D,6308.0,6308.0
29,Motorsazan,20040609,5993.0,5993.0,5993.0,2996500,500,1,D,6308.0,5993.0
30,Motorsazan,20040614,5694.0,5694.0,5694.0,7647042,1343,2,D,5993.0,5694.0
31,Motorsazan,20040616,5410.0,5410.0,5410.0,3516500,650,2,D,5694.0,5410.0
32,Motorsazan,20040619,5140.0,5140.0,5140.0,5756800,1120,5,D,5410.0,5140.0
33,Motorsazan,20040620,4883.0,4883.0,4883.0,246029955,50385,55,D,5140.0,4883.0
34,Motorsazan,20040622,4639.0,4639.0,4639.0,8943992,1928,2,D,4883.0,4639.0
35,Motorsazan,20040712,3603.0,3501.0,3532.0,57028086,16143,8,D,4639.0,3532.0
36,Motorsazan,20040726,3356.0,3356.0,3356.0,3356000,1000,2,D,3532.0,3356.0
37,Motorsazan,20040727,3189.0,3189.0,3189.0,63780000,20000,10,D,3356.0,3189.0
38,Motorsazan,20040801,3180.0,3030.0,3180.0,7606800,2510,4,D,3189.0,3180.0
39,Motorsazan,20040803,3176.0,3021.0,3176.0,3007445,995,2,D,3180.0,3176.0
40,Motorsazan,20040815,3173.0,3018.0,3173.0,2014556,667,2,D,3176.0,3173.0
