,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Aluminum.R.,20010423,8268.0,7000.0,8268.0,7908850,1050,6,D,7370.0,8268.0
1,Aluminum.R.,20010430,8681.0,8681.0,8681.0,8733086,1006,3,D,8268.0,8681.0
2,Aluminum.R.,20010501,8898.0,8898.0,8898.0,4449000,500,6,D,8681.0,8898.0
3,Aluminum.R.,20010502,9120.0,9120.0,9120.0,4560000,500,4,D,8898.0,9120.0
4,Aluminum.R.,20010507,9348.0,9348.0,9348.0,9348000,1000,5,D,9120.0,9348.0
5,Aluminum.R.,20010508,9581.0,9581.0,9581.0,9581000,1000,7,D,9348.0,9581.0
6,Aluminum.R.,20010509,9676.0,9676.0,9676.0,4838000,500,5,D,9581.0,9676.0
7,Aluminum.R.,20010512,9772.0,9772.0,9772.0,4886000,500,4,D,9676.0,9772.0
8,Aluminum.R.,20010515,9869.0,9869.0,9869.0,5427950,550,6,D,9772.0,9869.0
9,Aluminum.R.,20010516,9967.0,9967.0,9967.0,9967000,1000,3,D,9869.0,9967.0
10,Aluminum.R.,20010519,10066.0,5533.0,10066.0,2574477036,257697,111,D,9967.0,10066.0
11,Aluminum.R.,20010528,10166.0,10166.0,10166.0,10166000,1000,3,D,10066.0,10166.0
12,Aluminum.R.,20010529,10267.0,10267.0,10267.0,10267000,1000,2,D,10166.0,10267.0
13,Aluminum.R.,20010530,10369.0,10369.0,10369.0,10369000,1000,1,D,10267.0,10369.0
14,Aluminum.R.,20010606,10472.0,10472.0,10472.0,10472000,1000,2,D,10369.0,10472.0
15,Aluminum.R.,20010609,10576.0,10576.0,10576.0,57744960,5460,4,D,10472.0,10576.0
16,Aluminum.R.,20010611,10681.0,10681.0,10681.0,13725085,1285,2,D,10576.0,10681.0
17,Aluminum.R.,20010612,10787.0,10787.0,10787.0,11865700,1100,2,D,10681.0,10787.0
18,Aluminum.R.,20010613,10894.0,10894.0,10894.0,27235000,2500,3,D,10787.0,10894.0
19,Aluminum.R.,20010616,10895.0,10895.0,10895.0,10895000,1000,1,D,10894.0,10895.0
20,Aluminum.R.,20010618,11003.0,10900.0,11003.0,2753126200,250218,69,D,10895.0,11003.0
21,Aluminum.R.,20010619,11006.0,11004.0,11004.0,24760000,2250,3,D,11003.0,11004.0
22,Aluminum.R.,20010623,11004.0,11004.0,11004.0,38591028,3507,2,D,11004.0,11004.0
23,Aluminum.R.,20010624,11004.0,11003.0,11003.0,3345141,304,2,D,11004.0,11003.0
24,Aluminum.R.,20010627,11009.0,11009.0,11009.0,36935195,3355,2,D,11003.0,11009.0
25,Aluminum.R.,20010702,11119.0,11017.0,11119.0,22177500,2000,3,D,11009.0,11119.0
26,Aluminum.R.,20010703,11200.0,11200.0,11200.0,58352000,5210,6,D,11119.0,11200.0
27,Aluminum.R.,20010704,11200.0,11200.0,11200.0,14481600,1293,2,D,11200.0,11200.0
28,Aluminum.R.,20010707,11202.0,11201.0,11201.0,17855394,1594,2,D,11200.0,11201.0
