,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Refract.,20010410,8500.0,8500.0,8500.0,17000000,2000,1,D,0.0,8500.0
1,Iran.Refract.,20010416,8925.0,8510.0,8510.0,31694500,3700,7,D,8500.0,8510.0
2,Iran.Refract.,20010418,8550.0,8550.0,8550.0,24512850,2867,7,D,8510.0,8550.0
3,Iran.Refract.,20010422,8601.0,8601.0,8601.0,7775304,904,5,D,8550.0,8601.0
4,Iran.Refract.,20010505,8701.0,8701.0,8701.0,4350500,500,1,D,8601.0,8701.0
5,Iran.Refract.,20010515,8918.0,8918.0,8918.0,20618416,2312,2,D,8701.0,8918.0
6,Iran.Refract.,20010602,9140.0,9140.0,9140.0,259594280,28402,25,D,8918.0,9140.0
7,Iran.Refract.,20010618,9231.0,9231.0,9231.0,201697350,21850,18,D,9140.0,9231.0
8,Iran.Refract.,20010623,9323.0,9323.0,9323.0,26011170,2790,8,D,9231.0,9323.0
9,Iran.Refract.,20010624,9416.0,9416.0,9416.0,148895208,15813,15,D,9323.0,9416.0
10,Iran.Refract.,20010729,12000.0,8500.0,11002.0,252496200,23324,12,D,9416.0,11002.0
11,Iran.Refract.,20010730,11002.0,10999.0,11002.0,518648500,47149,35,D,11002.0,11002.0
12,Iran.Refract.,20010731,11150.0,11002.0,11150.0,799433880,72394,43,D,11002.0,11150.0
13,Iran.Refract.,20010801,11200.0,11150.0,11150.0,232113350,20809,9,D,11150.0,11150.0
14,Iran.Refract.,20010804,11250.0,11200.0,11250.0,59460000,5300,3,D,11150.0,11250.0
15,Iran.Refract.,20010805,11400.0,11250.0,11400.0,291307500,25694,7,D,11250.0,11400.0
16,Iran.Refract.,20010807,11500.0,11500.0,11500.0,32775000,2850,5,D,11400.0,11500.0
17,Iran.Refract.,20010808,11560.0,11503.0,11560.0,186372799,16173,9,D,11500.0,11560.0
18,Iran.Refract.,20010811,11849.0,11600.0,11610.0,886496277,74917,14,D,11560.0,11610.0
19,Iran.Refract.,20010812,11750.0,11700.0,11750.0,43812750,3733,5,D,11610.0,11750.0
20,Iran.Refract.,20010813,11810.0,11750.0,11810.0,115639330,9793,11,D,11750.0,11810.0
21,Iran.Refract.,20010818,11901.0,11900.0,11900.0,59218876,4976,11,D,11810.0,11900.0
22,Iran.Refract.,20010821,11900.0,11900.0,11900.0,4760000,400,1,D,11900.0,11900.0
23,Iran.Refract.,20010825,11900.0,11900.0,11900.0,23205000,1950,5,D,11900.0,11900.0
24,Iran.Refract.,20010826,11901.0,11900.0,11901.0,15470055,1300,4,D,11900.0,11901.0
25,Iran.Refract.,20010827,11901.0,11900.0,11901.0,165593958,13915,21,D,11901.0,11901.0
26,Iran.Refract.,20010828,11901.0,11901.0,11901.0,2439705,205,2,D,11901.0,11901.0
27,Iran.Refract.,20010829,11901.0,11901.0,11901.0,20231700,1700,4,D,11901.0,11901.0
28,Iran.Refract.,20010902,11900.0,11900.0,11900.0,84573300,7107,19,D,11901.0,11900.0
29,Iran.Refract.,20010903,11901.0,11900.0,11901.0,9270379,779,3,D,11900.0,11901.0
30,Iran.Refract.,20010904,11901.0,11900.0,11901.0,76839336,6457,10,D,11901.0,11901.0
31,Iran.Refract.,20010908,11901.0,11901.0,11901.0,80522166,6766,6,D,11901.0,11901.0
32,Iran.Refract.,20010909,11902.0,11901.0,11901.0,90549916,7608,9,D,11901.0,11901.0
33,Iran.Refract.,20010910,11901.0,11901.0,11901.0,33298998,2798,6,D,11901.0,11901.0
34,Iran.Refract.,20010911,11902.0,11901.0,11901.0,59508834,5000,6,D,11901.0,11901.0
35,Iran.Refract.,20010915,11899.0,11899.0,11899.0,14873750,1250,2,D,11901.0,11899.0
36,Iran.Refract.,20010918,11781.0,11781.0,11781.0,32621589,2769,8,D,11899.0,11781.0
37,Iran.Refract.,20011003,11664.0,11664.0,11664.0,15466464,1326,5,D,11781.0,11664.0
38,Iran.Refract.,20011006,11548.0,11548.0,11548.0,17899400,1550,5,D,11664.0,11548.0
39,Iran.Refract.,20011020,11433.0,11433.0,11433.0,4230210,370,2,D,11548.0,11433.0
40,Iran.Refract.,20011021,11316.0,11305.0,11306.0,254913839,22531,27,D,11433.0,11306.0
41,Iran.Refract.,20011027,11024.0,11024.0,11024.0,11707488,1062,1,D,11306.0,11024.0
42,Iran.Refract.,20011029,10749.0,10749.0,10749.0,10910235,1015,1,D,11024.0,10749.0
43,Iran.Refract.,20011110,10481.0,10481.0,10481.0,62204735,5935,7,D,10749.0,10481.0
44,Iran.Refract.,20011112,10219.0,10219.0,10219.0,21766470,2130,1,D,10481.0,10219.0
45,Iran.Refract.,20011118,10474.0,9964.0,10474.0,821936828,79204,244,D,10219.0,10474.0
46,Iran.Refract.,20011119,10735.0,10481.0,10735.0,245356075,23045,144,D,10474.0,10735.0
47,Iran.Refract.,20011120,11003.0,11003.0,11003.0,105276704,9568,44,D,10735.0,11003.0
48,Iran.Refract.,20011121,11024.0,11003.0,11003.0,31168393,2831,5,D,11003.0,11003.0
49,Iran.Refract.,20011126,11003.0,11000.0,11000.0,101759000,9250,5,D,11003.0,11000.0
50,Iran.Refract.,20011201,10960.0,10960.0,10960.0,2466000,225,1,D,11000.0,10960.0
51,Iran.Refract.,20011202,10950.0,10947.0,10947.0,119011332,10869,16,D,10960.0,10947.0
52,Iran.Refract.,20011204,10900.0,10900.0,10900.0,10900000,1000,1,D,10947.0,10900.0
53,Iran.Refract.,20011205,10850.0,10800.0,10800.0,27075000,2500,3,D,10900.0,10800.0
54,Iran.Refract.,20011209,10789.0,10700.0,10700.0,27288360,2540,5,D,10800.0,10700.0
55,Iran.Refract.,20011210,10668.0,10668.0,10668.0,14881860,1395,1,D,10700.0,10668.0
56,Iran.Refract.,20011212,10669.0,10500.0,10669.0,255502027,24085,14,D,10668.0,10669.0
57,Iran.Refract.,20011215,10899.0,10669.0,10899.0,33455093,3097,3,D,10669.0,10899.0
58,Iran.Refract.,20011219,10936.0,10936.0,10936.0,10936000,1000,1,D,10899.0,10936.0
59,Iran.Refract.,20011225,10936.0,10898.0,10936.0,87270560,8000,7,D,10936.0,10936.0
60,Iran.Refract.,20011226,11209.0,10935.0,11209.0,350024113,31803,24,D,10936.0,11209.0
61,Iran.Refract.,20020108,11208.0,11208.0,11208.0,61644000,5500,2,D,11209.0,11208.0
62,Iran.Refract.,20020114,11207.0,11207.0,11207.0,2095709,187,1,D,11208.0,11207.0
63,Iran.Refract.,20020213,11000.0,11000.0,11000.0,13838000,1258,3,D,11207.0,11000.0
64,Iran.Refract.,20020217,10725.0,10725.0,10725.0,37537500,3500,3,D,11000.0,10725.0
65,Iran.Refract.,20020218,10725.0,10725.0,10725.0,986700,92,1,D,10725.0,10725.0
66,Iran.Refract.,20020220,10689.0,10685.0,10686.0,61465138,5752,4,D,10725.0,10686.0
67,Iran.Refract.,20020310,10600.0,10590.0,10590.0,774739820,73120,290,D,10686.0,10590.0
68,Iran.Refract.,20020313,10490.0,10326.0,10326.0,38646900,3700,4,D,10590.0,10326.0
69,Iran.Refract.,20020316,10068.0,10068.0,10068.0,20136000,2000,3,D,10326.0,10068.0
70,Iran.Refract.,20020317,10067.0,9817.0,10067.0,78185829,7837,4,D,10068.0,10067.0
71,Iran.Refract.,20020330,10046.0,10000.0,10046.0,117451609,11701,8,D,10067.0,10046.0
72,Iran.Refract.,20020331,10045.0,10045.0,10045.0,37668750,3750,1,D,10046.0,10045.0
