,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Behran.Oil,20010416,31771.0,31535.0,31771.0,196940245,6229,15,D,0.0,31771.0
1,Behran.Oil,20010418,32565.0,32565.0,32565.0,613817685,18849,85,D,31771.0,32565.0
2,Behran.Oil,20010421,32890.0,32890.0,32890.0,35356750,1075,5,D,32565.0,32890.0
3,Behran.Oil,20010422,33218.0,33218.0,33218.0,16177166,487,4,D,32890.0,33218.0
4,Behran.Oil,20010423,33550.0,33550.0,33550.0,12480600,372,5,D,33218.0,33550.0
5,Behran.Oil,20010430,33885.0,33885.0,33885.0,35918100,1060,16,D,33550.0,33885.0
6,Behran.Oil,20010502,34223.0,34223.0,34223.0,187952716,5492,8,D,33885.0,34223.0
7,Behran.Oil,20010512,34565.0,34565.0,34565.0,51847500,1500,3,D,34223.0,34565.0
8,Behran.Oil,20010513,34910.0,34910.0,34910.0,57461860,1646,12,D,34565.0,34910.0
9,Behran.Oil,20010519,35259.0,35259.0,35259.0,33989676,964,5,D,34910.0,35259.0
10,Behran.Oil,20010528,35611.0,35611.0,35611.0,37747660,1060,11,D,35259.0,35611.0
11,Behran.Oil,20010602,35967.0,35967.0,35967.0,53410995,1485,14,D,35611.0,35967.0
12,Behran.Oil,20010612,36326.0,36326.0,36326.0,19616040,540,7,D,35967.0,36326.0
13,Behran.Oil,20010616,36689.0,36689.0,36689.0,43549843,1187,11,D,36326.0,36689.0
14,Behran.Oil,20010618,37055.0,37055.0,37055.0,78334270,2114,13,D,36689.0,37055.0
15,Behran.Oil,20010709,47999.0,37441.0,46820.0,1800083369,40297,168,D,37055.0,46820.0
16,Behran.Oil,20010710,47288.0,47288.0,47288.0,927364968,19611,159,D,46820.0,47288.0
17,Behran.Oil,20010711,47760.0,47760.0,47760.0,73964622480,1548673,125,D,47288.0,47760.0
18,Behran.Oil,20010827,50730.0,45000.0,50730.0,151110772,3164,25,D,47760.0,50730.0
19,Behran.Oil,20010829,51237.0,51237.0,51237.0,96018138,1874,13,D,50730.0,51237.0
20,Behran.Oil,20010904,51749.0,51749.0,51749.0,167666760,3240,21,D,51237.0,51749.0
21,Behran.Oil,20010905,52266.0,52266.0,52266.0,69566046,1331,10,D,51749.0,52266.0
22,Behran.Oil,20010909,52788.0,52788.0,52788.0,89053356,1687,20,D,52266.0,52788.0
23,Behran.Oil,20010910,53315.0,53315.0,53315.0,85783835,1609,22,D,52788.0,53315.0
24,Behran.Oil,20010911,53848.0,53848.0,53848.0,600189808,11146,14,D,53315.0,53848.0
25,Behran.Oil,20010912,54386.0,54386.0,54386.0,95828132,1762,7,D,53848.0,54386.0
26,Behran.Oil,20010915,54929.0,54929.0,54929.0,393731072,7168,24,D,54386.0,54929.0
27,Behran.Oil,20010916,55478.0,54380.0,55478.0,1486029102,27088,98,D,54929.0,55478.0
28,Behran.Oil,20010917,55474.0,54924.0,54999.0,435621460,7897,25,D,55478.0,54999.0
