,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,NiroCholor,20031115,2615.0,2480.0,2575.0,737161095,286000,259,D,2615.0,2575.0
1,NiroCholor,20031117,2703.0,2703.0,2703.0,1075361520,397840,111,D,2575.0,2703.0
2,NiroCholor,20031118,2838.0,2838.0,2838.0,395483814,139353,61,D,2703.0,2838.0
3,NiroCholor,20031119,2979.0,1990.0,2979.0,543133750,257525,221,D,2838.0,2979.0
4,NiroCholor,20031122,3127.0,2831.0,2896.0,355688937,122796,147,D,2979.0,2896.0
5,NiroCholor,20031123,3040.0,3000.0,3023.0,406448988,134408,73,D,2896.0,3023.0
6,NiroCholor,20031124,3020.0,2900.0,3004.0,166187985,55313,28,D,3023.0,3004.0
7,NiroCholor,20031125,2894.0,2854.0,2894.0,47139918,16517,11,D,3004.0,2894.0
8,NiroCholor,20031129,2886.0,2844.0,2886.0,10104632,3548,5,D,2894.0,2886.0
9,NiroCholor,20031130,2828.0,2742.0,2828.0,25231342,9191,9,D,2886.0,2828.0
10,NiroCholor,20031206,2730.0,2687.0,2687.0,155889000,58000,34,D,2828.0,2687.0
11,NiroCholor,20031207,2690.0,2687.0,2687.0,36397900,13540,9,D,2687.0,2687.0
12,NiroCholor,20031208,2687.0,2684.0,2686.0,17414561,6486,5,D,2687.0,2686.0
13,NiroCholor,20031210,2820.0,2669.0,2714.0,65415209,24102,21,D,2686.0,2714.0
14,NiroCholor,20031214,2713.0,2580.0,2648.0,39265480,15010,6,D,2714.0,2648.0
15,NiroCholor,20031216,2626.0,2600.0,2626.0,26026260,10010,6,D,2648.0,2626.0
16,NiroCholor,20031222,2622.0,2597.0,2622.0,7953150,3060,4,D,2626.0,2622.0
17,NiroCholor,20031224,2616.0,2578.0,2616.0,7961244,3088,3,D,2622.0,2616.0
18,NiroCholor,20031227,2574.0,2570.0,2571.0,120004694,46666,15,D,2616.0,2571.0
19,NiroCholor,20031230,2543.0,2540.0,2542.0,63418981,24948,14,D,2571.0,2542.0
20,NiroCholor,20031231,2518.0,2415.0,2518.0,10170595,4211,5,D,2542.0,2518.0
21,NiroCholor,20040104,2393.0,2393.0,2393.0,93047019,38883,13,D,2518.0,2393.0
22,NiroCholor,20040124,2274.0,2274.0,2274.0,152321616,66984,21,D,2393.0,2274.0
23,NiroCholor,20040126,2274.0,2274.0,2274.0,40083798,17627,4,D,2274.0,2274.0
24,NiroCholor,20040127,2274.0,2274.0,2274.0,20238600,8900,4,D,2274.0,2274.0
25,NiroCholor,20040131,2274.0,2267.0,2271.0,38622924,17003,12,D,2274.0,2271.0
26,NiroCholor,20040208,2270.0,2266.0,2270.0,10639870,4690,4,D,2271.0,2270.0
27,NiroCholor,20040410,2225.0,2225.0,2225.0,445000,200,1,D,2270.0,2225.0
28,NiroCholor,20040418,2224.0,2200.0,2224.0,64040,29,4,D,2225.0,2224.0
29,NiroCholor,20040609,2113.0,2113.0,2113.0,1056500,500,1,D,2224.0,2113.0
30,NiroCholor,20040615,2113.0,2008.0,2113.0,100505,50,2,D,2113.0,2113.0
31,NiroCholor,20040620,2008.0,2008.0,2008.0,1004000,500,1,D,2113.0,2008.0
32,NiroCholor,20040622,1908.0,1908.0,1908.0,954000,500,1,D,2008.0,1908.0
33,NiroCholor,20040626,1813.0,1813.0,1813.0,1813000,1000,1,D,1908.0,1813.0
34,NiroCholor,20040627,1723.0,1723.0,1723.0,1723000,1000,2,D,1813.0,1723.0
35,NiroCholor,20040628,1723.0,1637.0,1713.0,11341560,6620,8,D,1723.0,1713.0
36,NiroCholor,20040629,1723.0,1721.0,1721.0,13788508,8009,4,D,1713.0,1721.0
37,NiroCholor,20040630,1721.0,1720.0,1720.0,6039700,3510,3,D,1721.0,1720.0
38,NiroCholor,20040713,1730.0,1730.0,1730.0,2975600,1720,1,D,1720.0,1730.0
39,NiroCholor,20040717,1726.0,1720.0,1726.0,17217260,10010,4,D,1730.0,1726.0
40,NiroCholor,20040801,1720.0,1640.0,1720.0,3317450,2010,4,D,1726.0,1720.0
41,NiroCholor,20040802,1714.0,1634.0,1714.0,3285140,2010,3,D,1720.0,1714.0
42,NiroCholor,20040803,1710.0,1629.0,1710.0,1755243,1077,3,D,1714.0,1710.0
43,NiroCholor,20040804,1708.0,1690.0,1708.0,2993170,1771,2,D,1710.0,1708.0
44,NiroCholor,20040808,1707.0,1690.0,1707.0,33970,20,2,D,1708.0,1707.0
45,NiroCholor,20040809,1701.0,1690.0,1701.0,17141780,10143,4,D,1707.0,1701.0
46,NiroCholor,20040810,1691.0,1640.0,1691.0,8236910,5010,4,D,1701.0,1691.0
47,NiroCholor,20040811,1691.0,1691.0,1691.0,7213806,4266,1,D,1691.0,1691.0
48,NiroCholor,20040814,1691.0,1691.0,1691.0,16417919,9709,4,D,1691.0,1691.0
49,NiroCholor,20040822,1694.0,1691.0,1691.0,19910410,11760,6,D,1691.0,1691.0
