,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Nirou.Moharreke,20010417,1350.0,1350.0,1350.0,1350000,1000,1,D,1350.0,1350.0
1,Nirou.Moharreke,20010418,1350.0,1350.0,1350.0,9756450,7227,8,D,1350.0,1350.0
2,Nirou.Moharreke,20010421,1350.0,1350.0,1350.0,12150000,9000,4,D,1350.0,1350.0
3,Nirou.Moharreke,20010422,1351.0,1350.0,1351.0,318722,236,6,D,1350.0,1351.0
4,Nirou.Moharreke,20010423,1352.0,1352.0,1352.0,1341184,992,1,D,1351.0,1352.0
5,Nirou.Moharreke,20010424,1353.0,1350.0,1353.0,10816500,8000,13,D,1352.0,1353.0
6,Nirou.Moharreke,20010425,1356.0,1178.0,1356.0,204829483,173711,487,D,1353.0,1356.0
7,Nirou.Moharreke,20010428,1357.0,1357.0,1357.0,154698,114,1,D,1356.0,1357.0
8,Nirou.Moharreke,20010429,1361.0,1360.0,1361.0,19500335,14335,12,D,1357.0,1361.0
9,Nirou.Moharreke,20010430,1365.0,1365.0,1365.0,677040,496,2,D,1361.0,1365.0
10,Nirou.Moharreke,20010501,1420.0,1367.0,1420.0,9898877,7123,5,D,1365.0,1420.0
11,Nirou.Moharreke,20010502,1423.0,1420.0,1420.0,23538160,16566,8,D,1420.0,1420.0
12,Nirou.Moharreke,20010505,1422.0,1422.0,1422.0,1043748,734,7,D,1420.0,1422.0
13,Nirou.Moharreke,20010507,1430.0,1430.0,1430.0,128700,90,2,D,1422.0,1430.0
14,Nirou.Moharreke,20010508,1446.0,1440.0,1446.0,12060827,8359,8,D,1430.0,1446.0
15,Nirou.Moharreke,20010509,1451.0,1451.0,1451.0,4222410,2910,1,D,1446.0,1451.0
16,Nirou.Moharreke,20010512,1460.0,1460.0,1460.0,4292400,2940,2,D,1451.0,1460.0
17,Nirou.Moharreke,20010513,1533.0,1475.0,1533.0,5437441,3559,6,D,1460.0,1533.0
