,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Azar.Refract.,20030624,6091.0,6050.0,6050.0,15022397720,2474470,225,D,6050.0,6050.0
1,Azar.Refract.,20030625,6055.0,6055.0,6055.0,9264150,1530,5,D,6050.0,6055.0
2,Azar.Refract.,20030628,6069.0,6069.0,6069.0,60690000,10000,62,D,6055.0,6069.0
3,Azar.Refract.,20030629,6181.0,6117.0,6181.0,85894000,14000,17,D,6069.0,6181.0
4,Azar.Refract.,20030630,6490.0,6150.0,6181.0,377857054,59749,26,D,6181.0,6181.0
5,Azar.Refract.,20030701,6401.0,6200.0,6302.0,356200399,56612,31,D,6181.0,6302.0
6,Azar.Refract.,20030702,6490.0,6350.0,6490.0,389087350,60000,18,D,6302.0,6490.0
7,Azar.Refract.,20030705,6814.0,6500.0,6731.0,383879608,57184,29,D,6490.0,6731.0
8,Azar.Refract.,20030706,7067.0,7000.0,7067.0,163678400,23281,17,D,6731.0,7067.0
9,Azar.Refract.,20030707,7420.0,7101.0,7101.0,400833260,54780,38,D,7067.0,7101.0
10,Azar.Refract.,20030708,7099.0,6900.0,7098.0,576456915,82410,28,D,7101.0,7098.0
11,Azar.Refract.,20030709,7098.0,7096.0,7098.0,55815272,7864,6,D,7098.0,7098.0
12,Azar.Refract.,20030712,7112.0,7098.0,7112.0,177841000,25032,7,D,7098.0,7112.0
13,Azar.Refract.,20030713,7114.0,7100.0,7113.0,217038447,30519,16,D,7112.0,7113.0
14,Azar.Refract.,20030714,7200.0,7122.0,7200.0,589567264,82706,34,D,7113.0,7200.0
15,Azar.Refract.,20030715,7440.0,7201.0,7440.0,1120700498,152513,41,D,7200.0,7440.0
16,Azar.Refract.,20030716,7812.0,7440.0,7812.0,686041068,88097,33,D,7440.0,7812.0
17,Azar.Refract.,20030719,7813.0,7811.0,7812.0,190609990,24400,18,D,7812.0,7812.0
18,Azar.Refract.,20030720,7813.0,7700.0,7700.0,81850215,10552,12,D,7812.0,7700.0
19,Azar.Refract.,20030721,7650.0,7500.0,7500.0,301200000,40000,16,D,7700.0,7500.0
20,Azar.Refract.,20030722,7450.0,7400.0,7400.0,37100000,5000,3,D,7500.0,7400.0
21,Azar.Refract.,20030723,7397.0,7200.0,7200.0,309151860,42748,20,D,7400.0,7200.0
22,Azar.Refract.,20030726,7150.0,7100.0,7100.0,28550000,4000,3,D,7200.0,7100.0
23,Azar.Refract.,20030727,7000.0,6850.0,6850.0,113485522,16260,8,D,7100.0,6850.0
24,Azar.Refract.,20030728,6845.0,6840.0,6840.0,10917365,1596,4,D,6850.0,6840.0
25,Azar.Refract.,20030729,6510.0,6500.0,6500.0,24083000,3700,7,D,6840.0,6500.0
26,Azar.Refract.,20030803,6435.0,6435.0,6435.0,3970395,617,1,D,6500.0,6435.0
27,Azar.Refract.,20030804,6431.0,6000.0,6003.0,212985133,35364,23,D,6435.0,6003.0
28,Azar.Refract.,20030805,6003.0,6000.0,6000.0,72051000,12005,6,D,6003.0,6000.0
29,Azar.Refract.,20030806,6003.0,6000.0,6000.0,460181937,76688,29,D,6000.0,6000.0
