,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Ofogh.Koorosh,20190216,16950.0,16950.0,16950.0,1069315717350,63086473,386816,D,1000.0,16950.0
1,Ofogh.Koorosh,20190217,17797.0,17797.0,17797.0,18670369978,1049074,499,D,16950.0,17797.0
2,Ofogh.Koorosh,20190218,18686.0,18686.0,18686.0,178735439316,9565206,1677,D,17797.0,18686.0
3,Ofogh.Koorosh,20190219,19620.0,19620.0,19620.0,137808819900,7023895,6216,D,18686.0,19620.0
4,Ofogh.Koorosh,20190220,20601.0,20601.0,20601.0,132937655571,6452971,11422,D,19620.0,20601.0
5,Ofogh.Koorosh,20190223,21480.0,19571.0,21309.0,542677871272,25466789,128107,D,20601.0,21150.0
6,Ofogh.Koorosh,20190224,22374.0,20244.0,22276.0,561654898968,25213944,80888,D,21309.0,22374.0
7,Ofogh.Koorosh,20190225,23389.0,22374.0,23039.0,255619855360,11095263,54716,D,22276.0,23300.0
8,Ofogh.Koorosh,20190226,23900.0,22500.0,23395.0,383685644787,16400513,22494,D,23039.0,23660.0
9,Ofogh.Koorosh,20190227,23989.0,23250.0,23541.0,99495832290,4226504,11217,D,23395.0,23400.0
10,Ofogh.Koorosh,20190302,23350.0,22600.0,22802.0,292759704454,12839335,15325,D,23541.0,22800.0
11,Ofogh.Koorosh,20190303,22999.0,22555.0,22765.0,67249712809,2954060,8261,D,22802.0,22802.0
12,Ofogh.Koorosh,20190304,23050.0,22560.0,22805.0,73448855258,3220732,5396,D,22765.0,22765.0
13,Ofogh.Koorosh,20190305,22989.0,22555.0,22719.0,63710688111,2804275,4921,D,22805.0,22581.0
14,Ofogh.Koorosh,20190306,22883.0,22505.0,22743.0,36424896065,1601580,3231,D,22719.0,22597.0
15,Ofogh.Koorosh,20190309,23500.0,22700.0,23054.0,60042212837,2604409,5651,D,22743.0,23201.0
16,Ofogh.Koorosh,20190310,23600.0,23056.0,23200.0,51843687051,2234634,6586,D,23054.0,23300.0
17,Ofogh.Koorosh,20190311,23485.0,22931.0,23159.0,48312224606,2086090,5646,D,23200.0,23050.0
18,Ofogh.Koorosh,20190312,23396.0,23100.0,23210.0,35124538974,1513321,6142,D,23159.0,23200.0
19,Ofogh.Koorosh,20190313,23400.0,22917.0,23241.0,64162068770,2760726,11578,D,23210.0,23394.0
20,Ofogh.Koorosh,20190316,24200.0,23241.0,23740.0,92466392545,3894943,5298,D,23241.0,23950.0
21,Ofogh.Koorosh,20190317,24499.0,24004.0,24241.0,52760638736,2176495,2449,D,23740.0,24200.0
22,Ofogh.Koorosh,20190318,24890.0,24350.0,24543.0,70943053084,2890594,2322,D,24241.0,24700.0
23,Ofogh.Koorosh,20190319,25450.0,24600.0,25140.0,48744684175,1938931,1930,D,24543.0,25400.0
24,Ofogh.Koorosh,20190325,26397.0,25110.0,26024.0,51500959037,1978954,1747,D,25140.0,26397.0
25,Ofogh.Koorosh,20190326,27325.0,26606.0,27276.0,112594215327,4128034,3294,D,26024.0,27280.0
26,Ofogh.Koorosh,20190327,28390.0,27000.0,27521.0,52185494460,1896185,2319,D,27276.0,27927.0
27,Ofogh.Koorosh,20190330,28380.0,27850.0,28098.0,48590192512,1729289,2080,D,27521.0,28070.0
28,Ofogh.Koorosh,20190331,28498.0,27504.0,27892.0,59476000708,2132345,2457,D,28098.0,27780.0
29,Ofogh.Koorosh,20190406,27849.0,26900.0,27334.0,40104565822,1467200,2386,D,27892.0,27232.0
30,Ofogh.Koorosh,20190407,27380.0,26999.0,27173.0,75642175014,2783760,2893,D,27334.0,27302.0
31,Ofogh.Koorosh,20190408,27790.0,27173.0,27531.0,46576722528,1691783,1498,D,27173.0,27631.0
32,Ofogh.Koorosh,20190409,28900.0,27200.0,28279.0,61382592731,2170641,2046,D,27531.0,28730.0
