,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Offset,20010409,21820.0,21820.0,21820.0,36395760,1668,10,D,0.0,21820.0
1,Offset,20010416,21873.0,21873.0,21873.0,4374600,200,1,D,21820.0,21873.0
2,Offset,20010421,22010.0,22000.0,22010.0,1983364000,90112,2,D,21873.0,22010.0
3,Offset,20010422,22030.0,22020.0,22030.0,1984131300,90065,2,D,22010.0,22030.0
4,Offset,20010423,22063.0,22032.0,22063.0,83920242,3806,12,D,22030.0,22063.0
5,Offset,20010424,22500.0,22500.0,22500.0,28462500,1265,3,D,22063.0,22500.0
6,Offset,20010428,22527.0,22527.0,22527.0,2523024,112,2,D,22500.0,22527.0
7,Offset,20010429,22560.0,22530.0,22560.0,42441702,1882,5,D,22527.0,22560.0
8,Offset,20010430,22593.0,22569.0,22593.0,71659668,3173,10,D,22560.0,22593.0
9,Offset,20010501,22610.0,22597.0,22610.0,127033751,5620,17,D,22593.0,22610.0
10,Offset,20010502,22610.0,22610.0,22610.0,1266160,56,1,D,22610.0,22610.0
11,Offset,20010505,22616.0,22615.0,22615.0,49030820,2168,6,D,22610.0,22615.0
12,Offset,20010508,24500.0,22702.0,24500.0,65106272,2688,12,D,22615.0,24500.0
13,Offset,20010515,25725.0,13363.0,25725.0,294241885,21527,259,D,24500.0,25725.0
14,Offset,20010520,27011.0,27011.0,27011.0,68499896,2536,19,D,25725.0,27011.0
15,Offset,20010528,28361.0,28361.0,28361.0,28531166,1006,12,D,27011.0,28361.0
16,Offset,20010529,29779.0,29779.0,29779.0,269976414,9066,28,D,28361.0,29779.0
17,Offset,20010530,31267.0,30999.0,30999.0,224576295,7185,28,D,29779.0,30999.0
18,Offset,20010602,31268.0,30989.0,31268.0,211124373,6769,38,D,30999.0,31268.0
19,Offset,20010603,31295.0,31273.0,31295.0,25114745,803,15,D,31268.0,31295.0
20,Offset,20010606,32600.0,32000.0,32600.0,96575000,3000,14,D,31295.0,32600.0
21,Offset,20010609,32608.0,32600.0,32604.0,131388566,4030,26,D,32600.0,32604.0
22,Offset,20010612,32599.0,32200.0,32200.0,68438674,2121,16,D,32604.0,32200.0
23,Offset,20010613,32390.0,32200.0,32390.0,49961370,1550,9,D,32200.0,32390.0
24,Offset,20010616,32500.0,32390.0,32398.0,88497903,2727,15,D,32390.0,32398.0
25,Offset,20010619,31989.0,31800.0,31800.0,185042450,5806,23,D,32398.0,31800.0
26,Offset,20010620,32500.0,31500.0,32500.0,228644564,7159,30,D,31800.0,32500.0
27,Offset,20010623,32617.0,32600.0,32617.0,79614698,2442,11,D,32500.0,32617.0
28,Offset,20010624,33000.0,32622.0,33000.0,106326914,3252,10,D,32617.0,33000.0
29,Offset,20010625,33433.0,33432.0,33433.0,179767270,5377,23,D,33000.0,33433.0
30,Offset,20010626,33700.0,33433.0,33700.0,151661600,4513,17,D,33433.0,33700.0
31,Offset,20010627,33900.0,33700.0,33850.0,191714386,5673,25,D,33700.0,33850.0
32,Offset,20010630,33851.0,33800.0,33825.0,55614540,1644,18,D,33850.0,33825.0
33,Offset,20010701,33825.0,33823.0,33824.0,62337132,1843,6,D,33825.0,33824.0
34,Offset,20010702,33825.0,33700.0,33825.0,120211311,3558,23,D,33824.0,33825.0
35,Offset,20010703,33825.0,33700.0,33800.0,87251608,2585,18,D,33825.0,33800.0
36,Offset,20010704,33825.0,33823.0,33825.0,19821308,586,4,D,33800.0,33825.0
37,Offset,20010707,33950.0,33825.0,33950.0,47997655,1417,8,D,33825.0,33950.0
38,Offset,20010708,34500.0,34000.0,34500.0,359334654,10530,25,D,33950.0,34500.0
39,Offset,20010926,27070.0,27001.0,27070.0,37839760,1400,5,D,34500.0,27070.0
40,Offset,20011006,28423.0,28423.0,28423.0,32743296,1152,20,D,27070.0,28423.0
41,Offset,20011007,29844.0,29844.0,29844.0,29844000,1000,3,D,28423.0,29844.0
42,Offset,20011009,31336.0,31336.0,31336.0,15354640,490,7,D,29844.0,31336.0
43,Offset,20011010,32902.0,29770.0,29800.0,306507734,9883,60,D,31336.0,29800.0
44,Offset,20011013,30000.0,29785.0,30000.0,152250041,5098,36,D,29800.0,30000.0
45,Offset,20011014,30043.0,30005.0,30042.0,35745376,1190,12,D,30000.0,30042.0
46,Offset,20011016,30225.0,30110.0,30225.0,76731252,2547,10,D,30042.0,30225.0
47,Offset,20011017,30700.0,30264.0,30700.0,149752632,4920,23,D,30225.0,30700.0
48,Offset,20011020,31183.0,30702.0,31183.0,81232968,2626,17,D,30700.0,31183.0
49,Offset,20011021,31500.0,31193.0,31500.0,58260098,1860,8,D,31183.0,31500.0
50,Offset,20011022,32000.0,31642.0,31769.0,30810396,968,5,D,31500.0,31769.0
51,Offset,20011023,33357.0,33357.0,33357.0,150873711,4523,26,D,31769.0,33357.0
52,Offset,20011024,35024.0,35023.0,35024.0,172703194,4931,25,D,33357.0,35024.0
53,Offset,20011027,35084.0,35067.0,35084.0,135353408,3859,11,D,35024.0,35084.0
54,Offset,20011028,35300.0,35087.0,35300.0,23203256,659,11,D,35084.0,35300.0
55,Offset,20011029,35316.0,35313.0,35316.0,2472078,70,2,D,35300.0,35316.0
56,Offset,20011030,35353.0,35343.0,35353.0,6469039,183,3,D,35316.0,35353.0
57,Offset,20011031,36000.0,35652.0,36000.0,24846848,693,6,D,35353.0,36000.0
58,Offset,20011104,36124.0,36073.0,36124.0,43873723,1215,6,D,36000.0,36124.0
59,Offset,20011105,36223.0,36170.0,36223.0,4744123,131,5,D,36124.0,36223.0
60,Offset,20011107,36593.0,36415.0,36593.0,49090882,1346,9,D,36223.0,36593.0
61,Offset,20011111,36846.0,36801.0,36846.0,53349968,1448,4,D,36593.0,36846.0
62,Offset,20011112,37250.0,36953.0,37250.0,122898382,3309,10,D,36846.0,37250.0
63,Offset,20011113,37950.0,37600.0,37950.0,77432712,2050,19,D,37250.0,37950.0
64,Offset,20011117,38898.0,38898.0,38898.0,33880158,871,5,D,37950.0,38898.0
65,Offset,20011118,39870.0,38899.0,39870.0,278928974,7043,39,D,38898.0,39870.0
66,Offset,20011119,39871.0,39869.0,39870.0,107291114,2691,23,D,39870.0,39870.0
67,Offset,20011120,39870.0,39865.0,39865.0,19654060,493,9,D,39870.0,39865.0
68,Offset,20011121,39860.0,39835.0,39850.0,139194890,3493,21,D,39865.0,39850.0
69,Offset,20011124,39875.0,39850.0,39875.0,20849475,523,4,D,39850.0,39875.0
70,Offset,20011125,39875.0,39873.0,39875.0,73608062,1846,10,D,39875.0,39875.0
71,Offset,20011126,39875.0,39500.0,39530.0,201998425,5087,19,D,39875.0,39530.0
72,Offset,20011127,39507.0,39496.0,39496.0,77824380,1970,12,D,39530.0,39496.0
73,Offset,20011128,39496.0,39494.0,39496.0,15876780,402,5,D,39496.0,39496.0
74,Offset,20011201,39496.0,39399.0,39494.0,63889075,1619,11,D,39496.0,39494.0
75,Offset,20011202,39487.0,39100.0,39485.0,56986331,1452,10,D,39494.0,39485.0
76,Offset,20011203,39486.0,39399.0,39486.0,62486984,1585,10,D,39485.0,39486.0
77,Offset,20011204,39405.0,39400.0,39405.0,21631657,549,5,D,39486.0,39405.0
78,Offset,20011205,39421.0,39410.0,39421.0,40287156,1022,4,D,39405.0,39421.0
79,Offset,20011208,39427.0,39424.0,39424.0,114648932,2908,7,D,39421.0,39424.0
80,Offset,20011209,39441.0,39431.0,39441.0,10450431,265,6,D,39424.0,39441.0
81,Offset,20011210,39465.0,39444.0,39465.0,13495968,342,4,D,39441.0,39465.0
82,Offset,20011212,39536.0,39513.0,39536.0,13520612,342,4,D,39465.0,39536.0
83,Offset,20011215,39560.0,39540.0,39560.0,10839020,274,2,D,39536.0,39560.0
84,Offset,20011217,39600.0,39568.0,39600.0,84137312,2126,6,D,39560.0,39600.0
85,Offset,20011218,39601.0,39590.0,39601.0,144022645,3637,9,D,39600.0,39601.0
86,Offset,20011219,39603.0,39601.0,39602.0,24157174,610,6,D,39601.0,39602.0
87,Offset,20011222,39620.0,39608.0,39615.0,43258730,1092,5,D,39602.0,39615.0
88,Offset,20011224,39703.0,39632.0,39703.0,163732856,4128,14,D,39615.0,39703.0
89,Offset,20011225,39760.0,39715.0,39760.0,142817329,3594,16,D,39703.0,39760.0
90,Offset,20011226,39930.0,39900.0,39930.0,32404872,812,9,D,39760.0,39930.0
91,Offset,20011230,40300.0,40005.0,40300.0,45333150,1130,6,D,39930.0,40300.0
92,Offset,20011231,40303.0,40300.0,40303.0,23294788,578,4,D,40300.0,40303.0
93,Offset,20020101,40356.0,40310.0,40356.0,94215885,2335,10,D,40303.0,40356.0
94,Offset,20020105,40440.0,40420.0,40440.0,26678850,660,7,D,40356.0,40440.0
95,Offset,20020106,40480.0,40452.0,40476.0,38813670,959,12,D,40440.0,40476.0
96,Offset,20020107,40501.0,40480.0,40501.0,26197051,647,4,D,40476.0,40501.0
97,Offset,20020108,40750.0,40503.0,40600.0,292708129,7214,26,D,40501.0,40600.0
98,Offset,20020112,40612.0,40600.0,40612.0,73825626,1818,9,D,40600.0,40612.0
99,Offset,20020113,40670.0,40626.0,40670.0,49730598,1224,8,D,40612.0,40670.0
100,Offset,20020115,41686.0,41088.0,41686.0,101568318,2453,19,D,40670.0,41686.0
101,Offset,20020121,42102.0,42102.0,42102.0,35449884,842,7,D,41686.0,42102.0
102,Offset,20020123,42523.0,42523.0,42523.0,98228130,2310,7,D,42102.0,42523.0
103,Offset,20020127,42948.0,42948.0,42948.0,45481932,1059,8,D,42523.0,42948.0
104,Offset,20020128,43377.0,43377.0,43377.0,43377000,1000,12,D,42948.0,43377.0
105,Offset,20020130,43810.0,43810.0,43810.0,100850620,2302,16,D,43377.0,43810.0
106,Offset,20020205,44248.0,44248.0,44248.0,46106416,1042,7,D,43810.0,44248.0
