,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Omid.Inv..Mng.,20080106,3700.0,3700.0,3700.0,687452226300,185797899,4249,D,3700.0,3700.0
1,Omid.Inv..Mng.,20080108,3756.0,3701.0,3734.0,6779351483,1815487,347,D,3700.0,3734.0
2,Omid.Inv..Mng.,20080109,3794.0,3700.0,3721.0,14411105272,3872618,538,D,3734.0,3721.0
3,Omid.Inv..Mng.,20080112,3729.0,3686.0,3700.0,46105764817,12459831,1004,D,3721.0,3700.0
4,Omid.Inv..Mng.,20080113,3774.0,3711.0,3762.0,19890262587,5285821,598,D,3700.0,3762.0
5,Omid.Inv..Mng.,20080114,3837.0,3800.0,3836.0,13181710647,3436056,323,D,3762.0,3836.0
6,Omid.Inv..Mng.,20080115,3912.0,3839.0,3839.0,287609510,73520,24,D,3836.0,3839.0
7,Omid.Inv..Mng.,20080116,3915.0,3915.0,3915.0,40919071050,10451870,654,D,3839.0,3915.0
8,Omid.Inv..Mng.,20080120,3993.0,3840.0,3971.0,59018190560,14860553,1109,D,3915.0,3971.0
9,Omid.Inv..Mng.,20080121,4050.0,3981.0,4046.0,55683934223,13761796,878,D,3971.0,4046.0
10,Omid.Inv..Mng.,20080122,4099.0,3985.0,4042.0,28868176132,7141680,886,D,4046.0,4042.0
11,Omid.Inv..Mng.,20080123,4042.0,4000.0,4019.0,32661415916,8126175,947,D,4042.0,4019.0
12,Omid.Inv..Mng.,20080126,4019.0,3939.0,3960.0,27902918655,7045933,748,D,4019.0,3960.0
13,Omid.Inv..Mng.,20080127,3930.0,3881.0,3888.0,17037042395,4381756,508,D,3960.0,3888.0
14,Omid.Inv..Mng.,20080128,3965.0,3920.0,3963.0,22701697033,5728301,390,D,3888.0,3963.0
15,Omid.Inv..Mng.,20080129,3999.0,3891.0,3934.0,7609169250,1934186,223,D,3963.0,3934.0
16,Omid.Inv..Mng.,20080130,4012.0,3930.0,3995.0,16314367162,4082939,372,D,3934.0,3995.0
17,Omid.Inv..Mng.,20080202,4074.0,4074.0,4074.0,9089354736,2231064,155,D,3995.0,4074.0
18,Omid.Inv..Mng.,20080203,3993.0,3992.0,3992.0,12491425673,3128331,133,D,4074.0,3992.0
19,Omid.Inv..Mng.,20080204,4071.0,3913.0,3947.0,20847180188,5281212,541,D,3992.0,3947.0
20,Omid.Inv..Mng.,20080205,4020.0,3951.0,3989.0,6137446192,1537688,211,D,3947.0,3989.0
21,Omid.Inv..Mng.,20080206,4067.0,3910.0,3987.0,13139655588,3304639,354,D,3989.0,3987.0
22,Omid.Inv..Mng.,20080209,3980.0,3908.0,3964.0,1990746614,508416,72,D,3987.0,3964.0
23,Omid.Inv..Mng.,20080210,3956.0,3885.0,3956.0,667851635,171905,22,D,3964.0,3956.0
24,Omid.Inv..Mng.,20080212,3954.0,3877.0,3954.0,144415143,37249,8,D,3956.0,3954.0
25,Omid.Inv..Mng.,20080213,3948.0,3875.0,3948.0,491649105,126877,15,D,3954.0,3948.0
26,Omid.Inv..Mng.,20080216,3941.0,3870.0,3941.0,568921670,147008,19,D,3948.0,3941.0
27,Omid.Inv..Mng.,20080217,3940.0,3863.0,3940.0,118529199,30683,8,D,3941.0,3940.0
28,Omid.Inv..Mng.,20080218,3934.0,3862.0,3934.0,463479340,120010,9,D,3940.0,3934.0
29,Omid.Inv..Mng.,20080219,3953.0,3856.0,3866.0,17750579470,4590416,426,D,3934.0,3866.0
30,Omid.Inv..Mng.,20080220,3900.0,3856.0,3867.0,6811917261,1761187,141,D,3866.0,3867.0
31,Omid.Inv..Mng.,20080223,3944.0,3880.0,3916.0,8048612338,2055237,225,D,3867.0,3916.0
32,Omid.Inv..Mng.,20080224,3969.0,3880.0,3905.0,4119299879,1056162,136,D,3916.0,3905.0
33,Omid.Inv..Mng.,20080225,3977.0,3906.0,3942.0,21760547221,5518300,158,D,3905.0,3942.0
34,Omid.Inv..Mng.,20080226,3964.0,3864.0,3890.0,8606876774,2212385,214,D,3942.0,3890.0
35,Omid.Inv..Mng.,20080227,3892.0,3814.0,3868.0,2420739654,631370,118,D,3890.0,3868.0
36,Omid.Inv..Mng.,20080301,3809.0,3791.0,3809.0,4660115103,1229238,111,D,3868.0,3809.0
37,Omid.Inv..Mng.,20080302,3840.0,3799.0,3808.0,4456255252,1170276,112,D,3809.0,3808.0
38,Omid.Inv..Mng.,20080303,3884.0,3856.0,3856.0,4013343107,1033509,101,D,3808.0,3856.0
39,Omid.Inv..Mng.,20080304,3927.0,3853.0,3857.0,1831120515,474339,93,D,3856.0,3857.0
40,Omid.Inv..Mng.,20080305,3934.0,3857.0,3927.0,6296756975,1603279,181,D,3857.0,3927.0
41,Omid.Inv..Mng.,20080309,4005.0,4000.0,4004.0,7350085145,1835231,164,D,3927.0,4004.0
42,Omid.Inv..Mng.,20080310,4084.0,4000.0,4081.0,38252856072,9371204,646,D,4004.0,4081.0
43,Omid.Inv..Mng.,20080311,4050.0,4000.0,4007.0,6379622518,1591808,155,D,4081.0,4007.0
44,Omid.Inv..Mng.,20080312,4050.0,4000.0,4009.0,2347334077,584948,98,D,4007.0,4009.0
45,Omid.Inv..Mng.,20080315,4058.0,4011.0,4017.0,3919967425,973903,110,D,4009.0,4017.0
46,Omid.Inv..Mng.,20080316,4049.0,4001.0,4021.0,5215395858,1296552,180,D,4017.0,4021.0
47,Omid.Inv..Mng.,20080317,4101.0,4021.0,4075.0,12864059865,3156314,287,D,4021.0,4075.0
48,Omid.Inv..Mng.,20080318,4156.0,3700.0,4155.0,164099725715,43874692,4918,D,4075.0,4155.0
49,Omid.Inv..Mng.,20080324,4161.0,4111.0,4154.0,247500018,59827,15,D,4155.0,4154.0
50,Omid.Inv..Mng.,20080326,4237.0,4092.0,4164.0,1718603848,409715,92,D,4154.0,4164.0
51,Omid.Inv..Mng.,20080329,4234.0,4166.0,4166.0,527876300,125941,24,D,4164.0,4166.0
52,Omid.Inv..Mng.,20080330,4239.0,4168.0,4171.0,1026208553,244178,71,D,4166.0,4171.0
53,Omid.Inv..Mng.,20080402,4254.0,4186.0,4192.0,3856711933,907422,108,D,4171.0,4192.0
