,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Shazand.Petr.,20010327,8520.0,8113.0,8113.0,16633000,2000,5,D,0.0,8113.0
1,Shazand.Petr.,20010328,7911.0,7911.0,7911.0,105034347,13277,18,D,8113.0,7911.0
2,Shazand.Petr.,20010331,8021.0,7714.0,8021.0,585865699,75113,99,D,7911.0,8021.0
3,Shazand.Petr.,20010403,8155.0,8010.0,8154.0,195848340,24200,31,D,8021.0,8154.0
4,Shazand.Petr.,20010407,8320.0,8169.0,8320.0,168327720,20373,34,D,8154.0,8320.0
5,Shazand.Petr.,20010408,8320.0,8270.0,8290.0,468990964,56406,99,D,8320.0,8290.0
6,Shazand.Petr.,20010409,8270.0,8083.0,8083.0,144458695,17753,21,D,8290.0,8083.0
7,Shazand.Petr.,20010410,8081.0,7881.0,7881.0,69906278,8784,14,D,8083.0,7881.0
8,Shazand.Petr.,20010411,8000.0,7775.0,7777.0,788151231,100125,107,D,7881.0,7777.0
9,Shazand.Petr.,20010414,7791.0,7685.0,7685.0,309205449,39975,51,D,7777.0,7685.0
10,Shazand.Petr.,20010415,7651.0,7600.0,7600.0,409050326,53587,85,D,7685.0,7600.0
11,Shazand.Petr.,20010416,7790.0,7600.0,7790.0,570730858,73915,126,D,7600.0,7790.0
12,Shazand.Petr.,20010417,7984.0,7800.0,7984.0,619781832,77721,93,D,7790.0,7984.0
13,Shazand.Petr.,20010418,7986.0,7905.0,7909.0,459120812,57719,84,D,7984.0,7909.0
14,Shazand.Petr.,20010421,7950.0,7830.0,7833.0,583985159,74080,71,D,7909.0,7833.0
15,Shazand.Petr.,20010422,7833.0,7755.0,7755.0,136404065,17561,27,D,7833.0,7755.0
16,Shazand.Petr.,20010423,7740.0,7690.0,7730.0,458350431,59449,72,D,7755.0,7730.0
17,Shazand.Petr.,20010424,7900.0,7730.0,7900.0,478976617,61085,60,D,7730.0,7900.0
18,Shazand.Petr.,20010425,7904.0,7880.0,7900.0,609853197,77301,74,D,7900.0,7900.0
19,Shazand.Petr.,20010428,8000.0,7900.0,7900.0,809745854,102006,100,D,7900.0,7900.0
20,Shazand.Petr.,20010429,7923.0,7892.0,7903.0,3034588137,383957,114,D,7900.0,7903.0
21,Shazand.Petr.,20010430,7950.0,7901.0,7941.0,756705987,95610,96,D,7903.0,7941.0
22,Shazand.Petr.,20010501,7954.0,7925.0,7954.0,876301300,110275,82,D,7941.0,7954.0
23,Shazand.Petr.,20010502,8051.0,7970.0,8050.0,304179240,37940,62,D,7954.0,8050.0
24,Shazand.Petr.,20010505,8251.0,8051.0,8251.0,141190885,17311,28,D,8050.0,8251.0
25,Shazand.Petr.,20010506,8457.0,8259.0,8456.0,493069640,58415,72,D,8251.0,8456.0
26,Shazand.Petr.,20010507,8551.0,8456.0,8550.0,343620905,40335,43,D,8456.0,8550.0
27,Shazand.Petr.,20010508,8600.0,8456.0,8472.0,815508074,95619,117,D,8550.0,8472.0
28,Shazand.Petr.,20010509,8470.0,8400.0,8400.0,787627549,93146,114,D,8472.0,8400.0
29,Shazand.Petr.,20010512,8459.0,8385.0,8385.0,112728881,13398,19,D,8400.0,8385.0
30,Shazand.Petr.,20010513,8425.0,8302.0,8425.0,954798157,114189,110,D,8385.0,8425.0
31,Shazand.Petr.,20010515,8440.0,8401.0,8425.0,462355610,54866,55,D,8425.0,8425.0
32,Shazand.Petr.,20010516,8500.0,8425.0,8450.0,823479875,97270,54,D,8425.0,8450.0
33,Shazand.Petr.,20010519,8500.0,8400.0,8500.0,634574232,75110,78,D,8450.0,8500.0
34,Shazand.Petr.,20010520,8500.0,8415.0,8421.0,307865086,36472,39,D,8500.0,8421.0
35,Shazand.Petr.,20010521,8449.0,8371.0,8449.0,415276760,49397,54,D,8421.0,8449.0
36,Shazand.Petr.,20010523,8449.0,8400.0,8406.0,127141450,15109,24,D,8449.0,8406.0
37,Shazand.Petr.,20010526,8490.0,8450.0,8490.0,312919630,36919,49,D,8406.0,8490.0
38,Shazand.Petr.,20010527,8574.0,8500.0,8574.0,419696540,49179,65,D,8490.0,8574.0
39,Shazand.Petr.,20010528,8659.0,8659.0,8659.0,494801237,57143,81,D,8574.0,8659.0
40,Shazand.Petr.,20010529,8745.0,8573.0,8573.0,284783814,32924,49,D,8659.0,8573.0
41,Shazand.Petr.,20010530,8488.0,8488.0,8488.0,70951192,8359,14,D,8573.0,8488.0
42,Shazand.Petr.,20010602,8404.0,8404.0,8404.0,206528300,24575,20,D,8488.0,8404.0
43,Shazand.Petr.,20010603,8320.0,8320.0,8320.0,119541760,14368,10,D,8404.0,8320.0
44,Shazand.Petr.,20010606,8237.0,8237.0,8237.0,115013231,13963,15,D,8320.0,8237.0
45,Shazand.Petr.,20010609,8155.0,8155.0,8155.0,223871060,27452,31,D,8237.0,8155.0
46,Shazand.Petr.,20010611,8237.0,8072.0,8170.0,526450670,64514,114,D,8155.0,8170.0
47,Shazand.Petr.,20010612,8169.0,8068.0,8068.0,274789199,33814,48,D,8170.0,8068.0
48,Shazand.Petr.,20010613,8066.0,7900.0,7949.0,360880046,45201,60,D,8068.0,7949.0
49,Shazand.Petr.,20010616,7930.0,7800.0,7856.0,498227275,63381,67,D,7949.0,7856.0
50,Shazand.Petr.,20010617,7854.0,7782.0,7836.0,459140136,58838,86,D,7856.0,7836.0
51,Shazand.Petr.,20010618,8031.0,7790.0,8031.0,430451593,54326,69,D,7836.0,8031.0
52,Shazand.Petr.,20010619,8231.0,8110.0,8112.0,495416396,60626,103,D,8031.0,8112.0
53,Shazand.Petr.,20010620,8253.0,8113.0,8253.0,390615906,47629,51,D,8112.0,8253.0
54,Shazand.Petr.,20010623,8335.0,8270.0,8335.0,341492585,41019,54,D,8253.0,8335.0
55,Shazand.Petr.,20010624,8360.0,8252.0,8278.0,556688105,66747,69,D,8335.0,8278.0
56,Shazand.Petr.,20010625,8252.0,8196.0,8196.0,68434671,8319,24,D,8278.0,8196.0
57,Shazand.Petr.,20010626,8194.0,8115.0,8150.0,245102198,30127,42,D,8196.0,8150.0
58,Shazand.Petr.,20010627,8250.0,8130.0,8250.0,254726752,31123,49,D,8150.0,8250.0
59,Shazand.Petr.,20010630,8331.0,8200.0,8330.0,313091711,37687,49,D,8250.0,8330.0
60,Shazand.Petr.,20010701,8413.0,8330.0,8413.0,596123608,71118,71,D,8330.0,8413.0
61,Shazand.Petr.,20010702,8497.0,8418.0,8497.0,658834208,77544,68,D,8413.0,8497.0
62,Shazand.Petr.,20010703,8564.0,8413.0,8413.0,920086797,109349,88,D,8497.0,8413.0
63,Shazand.Petr.,20010731,8150.0,7700.0,7800.0,656266974,83367,67,D,8413.0,7800.0
64,Shazand.Petr.,20010801,7900.0,7790.0,7795.0,710005510,90912,77,D,7800.0,7795.0
65,Shazand.Petr.,20010804,7780.0,7700.0,7730.0,532220992,68784,59,D,7795.0,7730.0
66,Shazand.Petr.,20010805,7710.0,7581.0,7606.0,1988533280,260853,103,D,7730.0,7606.0
67,Shazand.Petr.,20010806,7605.0,7512.0,7512.0,418055846,55356,83,D,7606.0,7512.0
68,Shazand.Petr.,20010807,7680.0,7510.0,7678.0,388077729,51107,75,D,7512.0,7678.0
69,Shazand.Petr.,20010808,7810.0,7678.0,7810.0,151200480,19496,34,D,7678.0,7810.0
