,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,PARS.Petrochemical,20180711,24000.0,24000.0,24000.0,7408612944000,308692206,182093,D,1000.0,24000.0
1,PARS.Petrochemical,20180714,25200.0,25200.0,25200.0,11997316800,476084,588,D,24000.0,25200.0
2,PARS.Petrochemical,20180715,26460.0,26460.0,26460.0,36897014700,1394445,1341,D,25200.0,26460.0
3,PARS.Petrochemical,20180716,27783.0,27783.0,27783.0,526202574156,18939732,9030,D,26460.0,27783.0
4,PARS.Petrochemical,20180717,29172.0,29172.0,29172.0,1054212368352,36137816,23238,D,27783.0,29172.0
5,PARS.Petrochemical,20180718,31000.0,29101.0,30007.0,4192313955126,139710819,102695,D,29172.0,29150.0
6,PARS.Petrochemical,20180723,25979.0,25180.0,25603.0,624375931385,24387066,15973,D,25257.0,25880.0
7,PARS.Petrochemical,20180724,25980.0,25201.0,25584.0,483394163862,18894507,15934,D,25603.0,25300.0
8,PARS.Petrochemical,20180725,25800.0,24441.0,25207.0,461302693619,18300700,15223,D,25584.0,25584.0
9,PARS.Petrochemical,20180728,26467.0,25900.0,26350.0,135610117786,5146486,3355,D,25207.0,26467.0
10,PARS.Petrochemical,20180729,27667.0,26700.0,27449.0,906957316189,33041849,16472,D,26350.0,27667.0
11,PARS.Petrochemical,20180730,28821.0,27700.0,28612.0,288947244567,10098800,4674,D,27449.0,28821.0
12,PARS.Petrochemical,20180731,30042.0,30042.0,30042.0,34386103242,1144601,781,D,28612.0,30042.0
13,PARS.Petrochemical,20180801,31544.0,31544.0,31544.0,62921037608,1994707,620,D,30042.0,31544.0
14,PARS.Petrochemical,20180804,33910.0,31900.0,32884.0,947498599670,28813029,19951,D,31544.0,33500.0
15,PARS.Petrochemical,20180805,34528.0,33500.0,34504.0,988582910771,28651572,8232,D,32884.0,34528.0
16,PARS.Petrochemical,20180806,36229.0,36200.0,36229.0,1911154285122,52752088,8212,D,34504.0,36229.0
17,PARS.Petrochemical,20180807,37640.0,34800.0,36281.0,1045019013781,28803452,18611,D,36229.0,35500.0
18,PARS.Petrochemical,20180808,35980.0,34699.0,34911.0,640473286735,18346017,12011,D,36281.0,34730.0
19,PARS.Petrochemical,20180811,34499.0,33166.0,33512.0,656342457146,19585502,12625,D,34911.0,33239.0
20,PARS.Petrochemical,20180812,35187.0,33411.0,34476.0,367999265661,10674003,9248,D,33512.0,34190.0
21,PARS.Petrochemical,20180813,34460.0,33011.0,33765.0,183487130587,5434188,4541,D,34476.0,33950.0
22,PARS.Petrochemical,20180814,35295.0,34121.0,34815.0,320343281208,9201202,7665,D,33765.0,34340.0
23,PARS.Petrochemical,20180815,34500.0,33700.0,34027.0,147298384326,4328929,3447,D,34815.0,34160.0
24,PARS.Petrochemical,20180818,35300.0,33200.0,34281.0,267182848752,7793916,5558,D,34027.0,34685.0
25,PARS.Petrochemical,20180819,35990.0,34650.0,35468.0,215857850497,6085926,4905,D,34281.0,34978.0
26,PARS.Petrochemical,20180820,36400.0,34700.0,35641.0,268808783773,7542215,4842,D,35468.0,35400.0
27,PARS.Petrochemical,20180821,36100.0,34750.0,35164.0,220759189024,6278031,4097,D,35641.0,34870.0
28,PARS.Petrochemical,20180825,35200.0,33406.0,33803.0,545029530031,16123643,9748,D,35164.0,33406.0
29,PARS.Petrochemical,20180826,34500.0,32780.0,33687.0,260960825896,7746725,5948,D,33803.0,33623.0
30,PARS.Petrochemical,20180827,34300.0,33550.0,33684.0,191640826246,5689398,4490,D,33687.0,33603.0
31,PARS.Petrochemical,20180828,33470.0,32200.0,32817.0,218308859091,6652327,5511,D,33684.0,32799.0
32,PARS.Petrochemical,20180829,33942.0,33162.0,33590.0,161329029398,4802863,3399,D,32817.0,33600.0
33,PARS.Petrochemical,20180901,33801.0,32500.0,32917.0,116493640893,3538965,2802,D,33590.0,32754.0
34,PARS.Petrochemical,20180902,32790.0,31736.0,32060.0,193718726233,6042357,4539,D,32917.0,32300.0
35,PARS.Petrochemical,20180903,33180.0,32195.0,32603.0,127835246327,3920992,2931,D,32060.0,33000.0
36,PARS.Petrochemical,20180904,34233.0,33160.0,33715.0,127024644311,3767571,2916,D,32603.0,33200.0
