,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Pars.Darou,20010325,9195.0,9194.0,9195.0,27529141,2994,4,D,9194.0,9195.0
1,Pars.Darou,20010326,9195.0,9193.0,9195.0,18386030,2000,7,D,9195.0,9195.0
2,Pars.Darou,20010327,9195.0,9162.0,9195.0,31094299,3382,10,D,9195.0,9195.0
3,Pars.Darou,20010331,9196.0,9193.0,9193.0,31729160,3451,10,D,9195.0,9193.0
4,Pars.Darou,20010403,9195.0,9195.0,9195.0,3907875,425,2,D,9193.0,9195.0
5,Pars.Darou,20010407,9198.0,9196.0,9198.0,5977500,650,4,D,9195.0,9198.0
6,Pars.Darou,20010408,9198.0,9197.0,9197.0,9454920,1028,4,D,9198.0,9197.0
7,Pars.Darou,20010410,9100.0,9045.0,9045.0,58447650,6450,14,D,9197.0,9045.0
8,Pars.Darou,20010411,9016.0,9016.0,9016.0,3831800,425,1,D,9045.0,9016.0
9,Pars.Darou,20010414,9030.0,8979.0,8995.0,215875425,23985,45,D,9016.0,8995.0
10,Pars.Darou,20010415,8975.0,8889.0,8900.0,144952770,16272,29,D,8995.0,8900.0
11,Pars.Darou,20010416,8900.0,8894.0,8894.0,25190534,2831,10,D,8900.0,8894.0
12,Pars.Darou,20010417,8879.0,8859.0,8859.0,28844511,3249,3,D,8894.0,8859.0
13,Pars.Darou,20010418,8854.0,8800.0,8800.0,35304000,4000,6,D,8859.0,8800.0
14,Pars.Darou,20010421,8797.0,8600.0,8600.0,52923754,6091,17,D,8800.0,8600.0
15,Pars.Darou,20010422,8824.0,8695.0,8700.0,281606981,32179,77,D,8600.0,8700.0
16,Pars.Darou,20010423,8750.0,8700.0,8750.0,145910545,16709,46,D,8700.0,8750.0
17,Pars.Darou,20010424,8860.0,8750.0,8831.0,124597966,14123,41,D,8750.0,8831.0
18,Pars.Darou,20010425,9200.0,8860.0,9200.0,202454277,22449,71,D,8831.0,9200.0
