,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Fanavaran.Petr.,20080203,6750.0,6750.0,6750.0,317110038750,46979265,5960,D,6750.0,6750.0
1,Fanavaran.Petr.,20080204,6885.0,6885.0,6885.0,197472712725,28681585,5103,D,6750.0,6885.0
2,Fanavaran.Petr.,20080205,7022.0,6990.0,7021.0,274491838082,39090291,6801,D,6885.0,7021.0
3,Fanavaran.Petr.,20080206,7161.0,7072.0,7160.0,249422135983,34833741,4899,D,7021.0,7160.0
4,Fanavaran.Petr.,20080209,7303.0,7303.0,7303.0,154661524521,21177807,2778,D,7160.0,7303.0
5,Fanavaran.Petr.,20080210,7449.0,7220.0,7382.0,99720884306,13508223,3462,D,7303.0,7382.0
6,Fanavaran.Petr.,20080212,7283.0,7235.0,7235.0,88497261020,12231701,2258,D,7382.0,7235.0
7,Fanavaran.Petr.,20080213,7230.0,7091.0,7105.0,30791865516,4333281,1195,D,7235.0,7105.0
8,Fanavaran.Petr.,20080216,7210.0,7070.0,7140.0,10191674230,1427266,425,D,7105.0,7140.0
9,Fanavaran.Petr.,20080217,7195.0,7100.0,7120.0,6093694685,855804,274,D,7140.0,7120.0
10,Fanavaran.Petr.,20080218,7262.0,7117.0,7205.0,8417360055,1168188,375,D,7120.0,7205.0
11,Fanavaran.Petr.,20080219,7349.0,7272.0,7347.0,25608028338,3485501,858,D,7205.0,7347.0
12,Fanavaran.Petr.,20080220,7486.0,7299.0,7375.0,11024464224,1494767,456,D,7347.0,7375.0
13,Fanavaran.Petr.,20080223,7513.0,7375.0,7480.0,11241389840,1502669,488,D,7375.0,7480.0
14,Fanavaran.Petr.,20080224,7450.0,7372.0,7424.0,9993276506,1346002,337,D,7480.0,7424.0
15,Fanavaran.Petr.,20080225,7424.0,7312.0,7382.0,9870450814,1336975,364,D,7424.0,7382.0
16,Fanavaran.Petr.,20080226,7400.0,7320.0,7387.0,16044632286,2171839,383,D,7382.0,7387.0
17,Fanavaran.Petr.,20080227,7400.0,7278.0,7332.0,6235679576,850473,224,D,7387.0,7332.0
18,Fanavaran.Petr.,20080301,7296.0,7186.0,7186.0,11883835385,1653665,249,D,7332.0,7186.0
19,Fanavaran.Petr.,20080302,7168.0,7055.0,7142.0,2839354211,399713,154,D,7186.0,7142.0
20,Fanavaran.Petr.,20080303,7284.0,7100.0,7240.0,4100193541,563603,162,D,7142.0,7240.0
21,Fanavaran.Petr.,20080304,7300.0,7201.0,7246.0,2395212229,330161,126,D,7240.0,7246.0
22,Fanavaran.Petr.,20080305,7280.0,7190.0,7237.0,3966077408,548306,173,D,7246.0,7237.0
23,Fanavaran.Petr.,20080309,7211.0,7093.0,7100.0,10479273394,1475767,406,D,7237.0,7100.0
