,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Piazar.Agro.,20041205,3550.0,2800.0,2865.0,817770065,285000,316,D,2800.0,2865.0
1,Piazar.Agro.,20041206,3008.0,3008.0,3008.0,451200000,150000,51,D,2865.0,3008.0
2,Piazar.Agro.,20041207,3158.0,3158.0,3158.0,694760000,220000,66,D,3008.0,3158.0
3,Piazar.Agro.,20041211,3450.0,3315.0,3315.0,4277092500,1249500,80,D,3158.0,3315.0
4,Piazar.Agro.,20041212,3480.0,3480.0,3480.0,871740000,250500,62,D,3315.0,3480.0
5,Piazar.Agro.,20041213,3654.0,3654.0,3654.0,299266254,81901,25,D,3480.0,3654.0
6,Piazar.Agro.,20041214,3836.0,3836.0,3836.0,228234328,59498,34,D,3654.0,3836.0
7,Piazar.Agro.,20041215,4027.0,4027.0,4027.0,1494250566,371058,271,D,3836.0,4027.0
8,Piazar.Agro.,20041218,4228.0,4228.0,4228.0,724087280,171260,81,D,4027.0,4228.0
9,Piazar.Agro.,20041219,4439.0,4439.0,4439.0,239484050,53950,26,D,4228.0,4439.0
10,Piazar.Agro.,20041220,4660.0,4660.0,4660.0,202015660,43351,29,D,4439.0,4660.0
11,Piazar.Agro.,20041221,4893.0,4427.0,4610.0,1409773862,305766,223,D,4660.0,4610.0
12,Piazar.Agro.,20041222,4840.0,4840.0,4840.0,93857280,19392,9,D,4610.0,4840.0
13,Piazar.Agro.,20041225,5082.0,5082.0,5082.0,74095560,14580,7,D,4840.0,5082.0
14,Piazar.Agro.,20041226,5336.0,5336.0,5336.0,320917712,60142,29,D,5082.0,5336.0
15,Piazar.Agro.,20041227,5602.0,5602.0,5602.0,261204454,46627,33,D,5336.0,5602.0
16,Piazar.Agro.,20041228,5882.0,5882.0,5882.0,27157194,4617,4,D,5602.0,5882.0
17,Piazar.Agro.,20050201,5849.0,5588.0,5849.0,2533974,453,3,D,5882.0,5849.0
18,Piazar.Agro.,20050202,5797.0,5557.0,5797.0,4003440,720,2,D,5849.0,5797.0
19,Piazar.Agro.,20050223,5766.0,5508.0,5766.0,2371020,430,2,D,5797.0,5766.0
20,Piazar.Agro.,20050227,5478.0,5478.0,5478.0,2739000,500,1,D,5766.0,5478.0
21,Piazar.Agro.,20050228,5205.0,5205.0,5205.0,2602500,500,1,D,5478.0,5205.0
22,Piazar.Agro.,20050301,4945.0,4945.0,4945.0,499445,101,1,D,5205.0,4945.0
23,Piazar.Agro.,20050302,4698.0,4698.0,4698.0,469800,100,1,D,4945.0,4698.0
24,Piazar.Agro.,20050306,4464.0,4464.0,4464.0,2232000,500,1,D,4698.0,4464.0
25,Piazar.Agro.,20050307,4241.0,4241.0,4241.0,2472503,583,2,D,4464.0,4241.0
26,Piazar.Agro.,20050308,4029.0,4029.0,4029.0,2014500,500,1,D,4241.0,4029.0
27,Piazar.Agro.,20050309,3828.0,3828.0,3828.0,1914000,500,2,D,4029.0,3828.0
28,Piazar.Agro.,20050312,3637.0,3637.0,3637.0,1818500,500,1,D,3828.0,3637.0
29,Piazar.Agro.,20050314,3456.0,3456.0,3456.0,1728000,500,1,D,3637.0,3456.0
30,Piazar.Agro.,20050315,3284.0,3284.0,3284.0,1642000,500,1,D,3456.0,3284.0
31,Piazar.Agro.,20050316,3120.0,3120.0,3120.0,307326240,98502,68,D,3284.0,3120.0
32,Piazar.Agro.,20050326,3276.0,3276.0,3276.0,16478280,5030,6,D,3120.0,3276.0
33,Piazar.Agro.,20050327,3439.0,3310.0,3438.0,181401606,52761,26,D,3276.0,3438.0
34,Piazar.Agro.,20050328,3570.0,3440.0,3490.0,148006537,42400,20,D,3438.0,3490.0
