,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Jam.Petr.,20150809,7470.0,7340.0,7453.0,10543677494,1414721,114,D,1000.0,7398.0
1,Jam.Petr.,20150810,7478.0,7250.0,7420.0,4531556292,613872,86,D,7453.0,7460.0
2,Jam.Petr.,20150812,7448.0,7200.0,7406.0,1388057788,189644,46,D,7420.0,7202.0
3,Jam.Petr.,20150815,7469.0,7300.0,7413.0,2791638219,375738,80,D,7406.0,7380.0
4,Jam.Petr.,20150816,7420.0,7301.0,7403.0,4759285874,643821,103,D,7413.0,7400.0
5,Jam.Petr.,20150817,7479.0,7308.0,7407.0,2736966301,368919,84,D,7403.0,7449.0
6,Jam.Petr.,20150818,7480.0,7312.0,7404.0,1909589489,258322,50,D,7407.0,7380.0
7,Jam.Petr.,20150819,7470.0,7306.0,7409.0,2935621432,395561,52,D,7404.0,7459.0
8,Jam.Petr.,20150822,7400.0,7326.0,7409.0,163638200,22158,18,D,7409.0,7326.0
9,Jam.Petr.,20150823,7440.0,7200.0,7407.0,171323010,23497,26,D,7409.0,7200.0
10,Jam.Petr.,20150824,7279.0,7170.0,7397.0,463543267,64481,30,D,7407.0,7180.0
11,Jam.Petr.,20150825,7200.0,7050.0,7381.0,549864095,77252,70,D,7397.0,7060.0
12,Jam.Petr.,20150826,7700.0,7012.0,7424.0,10687613376,1439575,190,D,7381.0,7700.0
13,Jam.Petr.,20150829,7690.0,7430.0,7425.0,262833017,35205,21,D,7424.0,7450.0
14,Jam.Petr.,20150830,7515.0,7203.0,7439.0,3162210948,423342,52,D,7425.0,7379.0
15,Jam.Petr.,20150831,7500.0,7100.0,7317.0,4899084995,680631,145,D,7439.0,7298.0
16,Jam.Petr.,20150901,7400.0,7260.0,7339.0,3228129550,437120,46,D,7317.0,7319.0
17,Jam.Petr.,20150902,7403.0,7200.0,7340.0,299673500,40700,19,D,7339.0,7399.0
18,Jam.Petr.,20150905,7399.0,7190.0,7329.0,922220056,127736,38,D,7340.0,7220.0
19,Jam.Petr.,20150906,7299.0,7190.0,7323.0,466517063,64800,34,D,7329.0,7250.0
20,Jam.Petr.,20150907,7400.0,7140.0,7335.0,2064929957,279697,55,D,7323.0,7275.0
21,Jam.Petr.,20150908,7380.0,7251.0,7338.0,1629440308,221542,56,D,7335.0,7300.0
22,Jam.Petr.,20150909,7370.0,7226.0,7335.0,481078568,66070,49,D,7338.0,7310.0
23,Jam.Petr.,20150912,7400.0,7191.0,7353.0,3717166908,503500,67,D,7335.0,7400.0
24,Jam.Petr.,20150913,7720.0,7181.0,7524.0,121229939299,16112861,147,D,7353.0,7360.0
25,Jam.Petr.,20150914,7300.0,7202.0,7520.0,160805334,22140,21,D,7524.0,7300.0
26,Jam.Petr.,20150915,7497.0,7144.0,7488.0,921000439,128313,55,D,7520.0,7348.0
27,Jam.Petr.,20150916,7337.0,7114.0,7436.0,1422952884,199436,52,D,7488.0,7114.0
28,Jam.Petr.,20150919,7599.0,7110.0,7428.0,1435580071,194500,49,D,7436.0,7450.0
29,Jam.Petr.,20150920,7150.0,7120.0,7420.0,241066702,33818,18,D,7428.0,7126.0
30,Jam.Petr.,20150921,7150.0,7060.0,7410.0,280184837,39509,34,D,7420.0,7105.0
31,Jam.Petr.,20150922,7187.0,7077.0,7403.0,300388723,41878,25,D,7410.0,7187.0
32,Jam.Petr.,20150923,7173.0,7061.0,7377.0,825684886,116184,81,D,7403.0,7100.0
33,Jam.Petr.,20150926,7240.0,7009.0,7326.0,1369445859,194967,55,D,7377.0,7024.0
34,Jam.Petr.,20150927,7150.0,7026.0,7325.0,57715647,8123,11,D,7326.0,7150.0
35,Jam.Petr.,20150928,7199.0,7040.0,7320.0,204417616,28893,22,D,7325.0,7040.0
