,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Kermanshah.Petr,20111113,4500.0,4500.0,4500.0,105777571500,23506127,1922,D,1000.0,4500.0
1,Kermanshah.Petr,20111114,4680.0,4680.0,4680.0,8867729520,1894814,414,D,4500.0,4680.0
2,Kermanshah.Petr,20111116,4867.0,4867.0,4744.0,1182496054,242962,62,D,4680.0,4867.0
3,Kermanshah.Petr,20111119,4933.0,4933.0,4781.0,673384098,136506,37,D,4744.0,4933.0
4,Kermanshah.Petr,20111120,4972.0,4972.0,4922.0,2587403940,520395,118,D,4781.0,4972.0
5,Kermanshah.Petr,20111121,5118.0,5118.0,5118.0,6271479486,1225377,201,D,4922.0,5118.0
6,Kermanshah.Petr,20111122,5499.0,5150.0,5257.0,123283375736,23453026,4311,D,5118.0,5300.0
7,Kermanshah.Petr,20111123,5370.0,5164.0,5273.0,15787677932,2994070,723,D,5257.0,5200.0
8,Kermanshah.Petr,20111126,5300.0,5153.0,5263.0,20793777694,3950957,716,D,5273.0,5273.0
9,Kermanshah.Petr,20111127,5268.0,5200.0,5259.0,20385685754,3876362,494,D,5263.0,5263.0
10,Kermanshah.Petr,20111128,5260.0,5220.0,5255.0,8356687332,1590310,296,D,5259.0,5259.0
11,Kermanshah.Petr,20111129,5349.0,5255.0,5296.0,8416363766,1589069,214,D,5255.0,5320.0
12,Kermanshah.Petr,20111130,5300.0,5280.0,5294.0,5191798692,980666,174,D,5296.0,5296.0
13,Kermanshah.Petr,20111203,5300.0,5201.0,5265.0,6787652763,1289112,137,D,5294.0,5291.0
14,Kermanshah.Petr,20111204,5320.0,5220.0,5276.0,2260095403,427830,114,D,5265.0,5272.0
15,Kermanshah.Petr,20111207,5330.0,5272.0,5279.0,1659449213,314118,89,D,5276.0,5330.0
16,Kermanshah.Petr,20111210,5300.0,5200.0,5277.0,2984028029,565497,114,D,5279.0,5280.0
17,Kermanshah.Petr,20111211,5280.0,5260.0,5276.0,1090775435,206820,37,D,5277.0,5260.0
18,Kermanshah.Petr,20111212,5469.0,5350.0,5405.0,3959218033,732528,204,D,5276.0,5440.0
19,Kermanshah.Petr,20111213,5621.0,5405.0,5462.0,15250985079,2792270,271,D,5405.0,5489.0
20,Kermanshah.Petr,20111214,5480.0,5421.0,5456.0,2754038332,505057,74,D,5462.0,5476.0
21,Kermanshah.Petr,20111217,5480.0,5400.0,5455.0,4555996644,835142,138,D,5456.0,5456.0
22,Kermanshah.Petr,20111218,5450.0,5301.0,5425.0,1637724544,304147,113,D,5455.0,5380.0
23,Kermanshah.Petr,20111219,5320.0,5208.0,5371.0,1209418902,229953,105,D,5425.0,5233.0
24,Kermanshah.Petr,20111220,5258.0,5157.0,5301.0,1193077051,231280,90,D,5371.0,5157.0
25,Kermanshah.Petr,20111221,5148.0,5089.0,5141.0,2867748470,562259,155,D,5301.0,5101.0
26,Kermanshah.Petr,20111224,5299.0,5001.0,5137.0,2124944371,413915,120,D,5141.0,5189.0
27,Kermanshah.Petr,20111225,5200.0,5125.0,5143.0,14001613343,2722335,151,D,5137.0,5143.0
28,Kermanshah.Petr,20111226,5150.0,5000.0,5111.0,891009214,177595,97,D,5143.0,5090.0
29,Kermanshah.Petr,20111227,5049.0,4953.0,5079.0,849802286,170680,86,D,5111.0,4990.0
30,Kermanshah.Petr,20111228,5050.0,4951.0,5047.0,1122258725,225424,104,D,5079.0,5050.0
31,Kermanshah.Petr,20111231,5200.0,5051.0,5079.0,1140087241,221438,75,D,5047.0,5105.0
32,Kermanshah.Petr,20120101,5147.0,5000.0,5054.0,2370368004,470159,108,D,5079.0,5001.0
33,Kermanshah.Petr,20120102,5048.0,4950.0,5042.0,620075135,124308,74,D,5054.0,4950.0
34,Kermanshah.Petr,20120103,5243.0,4980.0,5184.0,7260788675,1400622,265,D,5042.0,5243.0
35,Kermanshah.Petr,20120104,5391.0,5179.0,5362.0,6582591964,1227531,231,D,5184.0,5255.0
36,Kermanshah.Petr,20120107,5277.0,5150.0,5262.0,2153288946,414811,134,D,5362.0,5150.0
37,Kermanshah.Petr,20120108,5169.0,5085.0,5214.0,1108204820,216988,68,D,5262.0,5138.0
38,Kermanshah.Petr,20120109,5400.0,5100.0,5238.0,1674032292,317859,113,D,5214.0,5215.0
39,Kermanshah.Petr,20120110,5339.0,5223.0,5284.0,2781126935,524758,147,D,5238.0,5300.0
40,Kermanshah.Petr,20120111,5440.0,5250.0,5373.0,5408276187,1006596,215,D,5284.0,5420.0
41,Kermanshah.Petr,20120115,5519.0,5390.0,5450.0,2838856748,518283,139,D,5373.0,5498.0
42,Kermanshah.Petr,20120116,5668.0,5550.0,5609.0,3417114546,606460,87,D,5450.0,5668.0
43,Kermanshah.Petr,20120117,5833.0,5703.0,5819.0,13322877019,2289615,444,D,5609.0,5703.0
44,Kermanshah.Petr,20120118,6051.0,5815.0,5952.0,4448931051,747509,159,D,5819.0,6051.0
45,Kermanshah.Petr,20120121,6190.0,6147.0,6182.0,6529124177,1056199,223,D,5952.0,6190.0
46,Kermanshah.Petr,20120204,3752.0,3602.0,3631.0,7607824056,2095125,404,D,3591.0,3602.0
47,Kermanshah.Petr,20120205,3540.0,3486.0,3583.0,878222205,251243,63,D,3631.0,3486.0
48,Kermanshah.Petr,20120206,3440.0,3440.0,3581.0,42009280,12212,8,D,3583.0,3440.0
49,Kermanshah.Petr,20120207,3438.0,3438.0,3547.0,570209490,165855,35,D,3581.0,3438.0
50,Kermanshah.Petr,20120208,3406.0,3406.0,3537.0,164615386,48331,14,D,3547.0,3406.0
51,Kermanshah.Petr,20120212,3396.0,3396.0,3396.0,2558902980,753505,71,D,3537.0,3396.0
52,Kermanshah.Petr,20120213,3261.0,3261.0,3308.0,1499975214,459974,52,D,3396.0,3261.0
53,Kermanshah.Petr,20120214,3100.0,2923.0,3004.0,4575020866,1522820,326,D,3308.0,2999.0
54,Kermanshah.Petr,20120215,3038.0,2951.0,3020.0,267669249254,88635580,156,D,3004.0,3015.0
55,Kermanshah.Petr,20120218,3140.0,2931.0,3077.0,1466415025,472256,121,D,3020.0,3140.0
56,Kermanshah.Petr,20120219,3200.0,3180.0,3124.0,895565300,280220,56,D,3077.0,3200.0
57,Kermanshah.Petr,20120220,3248.0,3230.0,3248.0,2650384402,816020,159,D,3124.0,3248.0
58,Kermanshah.Petr,20120221,3377.0,3160.0,3314.0,3292342300,993588,220,D,3248.0,3233.0
59,Kermanshah.Petr,20120222,3269.0,3182.0,3183.0,3276137849,1029107,116,D,3314.0,3182.0
60,Kermanshah.Petr,20120225,3190.0,3063.0,3162.0,724314209,232151,72,D,3183.0,3090.0
61,Kermanshah.Petr,20120226,3250.0,3066.0,3162.0,969898570,306825,98,D,3162.0,3198.0
62,Kermanshah.Petr,20120227,3288.0,3199.0,3197.0,673880293,205305,46,D,3162.0,3288.0
63,Kermanshah.Petr,20120228,3324.0,3271.0,3286.0,1828222556,552132,178,D,3197.0,3324.0
64,Kermanshah.Petr,20120229,3390.0,3251.0,3310.0,146201469623,44169032,92,D,3286.0,3271.0
65,Kermanshah.Petr,20120303,3442.0,3290.0,3327.0,37849403499,11375338,151,D,3310.0,3442.0
66,Kermanshah.Petr,20120304,3460.0,3420.0,3426.0,1948435268,564561,98,D,3327.0,3460.0
67,Kermanshah.Petr,20120305,3560.0,3400.0,3459.0,1795837067,517399,168,D,3426.0,3469.0
68,Kermanshah.Petr,20120306,3500.0,3350.0,3451.0,1120171534,325518,92,D,3459.0,3460.0
69,Kermanshah.Petr,20120307,3563.0,3451.0,3454.0,1312096160,379497,112,D,3451.0,3451.0
70,Kermanshah.Petr,20120310,3549.0,3400.0,3451.0,1815688929,526358,116,D,3454.0,3454.0
71,Kermanshah.Petr,20120311,3500.0,3443.0,3452.0,986896241,285823,67,D,3451.0,3465.0
72,Kermanshah.Petr,20120312,3469.0,3440.0,3447.0,1821557281,528603,101,D,3452.0,3452.0
73,Kermanshah.Petr,20120313,3500.0,3400.0,3452.0,1105333073,319593,89,D,3447.0,3450.0
74,Kermanshah.Petr,20120314,3590.0,3450.0,3564.0,2443642502,684933,86,D,3452.0,3590.0
75,Kermanshah.Petr,20120317,3706.0,3664.0,3703.0,4292917091,1159445,221,D,3564.0,3706.0
76,Kermanshah.Petr,20120318,3849.0,3555.0,3674.0,3193112498,869105,228,D,3703.0,3555.0
77,Kermanshah.Petr,20120324,3820.0,3700.0,3707.0,703455055,185123,49,D,3674.0,3820.0
78,Kermanshah.Petr,20120325,3855.0,3695.0,3736.0,948341695,250370,90,D,3707.0,3754.0
79,Kermanshah.Petr,20120326,3736.0,3587.0,3700.0,746572708,206635,69,D,3736.0,3587.0
80,Kermanshah.Petr,20120327,3750.0,3610.0,3698.0,1530414520,414001,109,D,3700.0,3669.0
81,Kermanshah.Petr,20120328,3800.0,3644.0,3711.0,1133727260,304094,119,D,3698.0,3799.0
82,Kermanshah.Petr,20120402,3830.0,3640.0,3710.0,682755781,184095,96,D,3711.0,3650.0
83,Kermanshah.Petr,20120403,3678.0,3600.0,3697.0,344738698,95364,61,D,3710.0,3620.0
84,Kermanshah.Petr,20120404,3800.0,3621.0,3706.0,1275910029,343331,76,D,3697.0,3701.0
85,Kermanshah.Petr,20120407,3854.0,3854.0,3780.0,1359556310,352765,67,D,3706.0,3854.0
86,Kermanshah.Petr,20120408,3931.0,3931.0,3931.0,4208159086,1070506,80,D,3780.0,3931.0
87,Kermanshah.Petr,20120409,4088.0,4088.0,4088.0,3052305200,746650,78,D,3931.0,4088.0
88,Kermanshah.Petr,20120410,4251.0,4251.0,4133.0,823750278,193778,22,D,4088.0,4251.0
89,Kermanshah.Petr,20120411,4298.0,4298.0,4298.0,5450268012,1268094,131,D,4133.0,4298.0
90,Kermanshah.Petr,20120414,4721.0,4359.0,4590.0,10486672808,2284923,635,D,4298.0,4635.0
91,Kermanshah.Petr,20120415,4773.0,4700.0,4760.0,3772328444,792462,139,D,4590.0,4773.0
92,Kermanshah.Petr,20120416,4718.0,4570.0,4584.0,9500327935,2072572,304,D,4760.0,4610.0
93,Kermanshah.Petr,20120417,4750.0,4412.0,4663.0,4146364472,889157,203,D,4584.0,4699.0
94,Kermanshah.Petr,20120418,4849.0,4700.0,4841.0,9568891117,1976610,216,D,4663.0,4849.0
95,Kermanshah.Petr,20120421,5034.0,4913.0,5018.0,3709242425,739190,96,D,4841.0,5034.0
96,Kermanshah.Petr,20120422,5197.0,4850.0,5053.0,6416921547,1269880,343,D,5018.0,4930.0
97,Kermanshah.Petr,20120423,5198.0,4851.0,4957.0,6484672956,1308260,366,D,5053.0,4851.0
98,Kermanshah.Petr,20120424,4900.0,4759.0,4821.0,3592432260,745167,276,D,4957.0,4759.0
99,Kermanshah.Petr,20120428,4727.0,4629.0,4728.0,1711100788,368497,109,D,4821.0,4629.0
100,Kermanshah.Petr,20120429,4600.0,4539.0,4705.0,389727343,85837,43,D,4728.0,4539.0
101,Kermanshah.Petr,20120430,4517.0,4517.0,4696.0,146301113,32389,27,D,4705.0,4517.0
102,Kermanshah.Petr,20120501,4509.0,4509.0,4696.0,7349670,1630,5,D,4696.0,4509.0
103,Kermanshah.Petr,20120502,4509.0,4509.0,4695.0,12201354,2706,3,D,4696.0,4509.0
104,Kermanshah.Petr,20120505,4508.0,4508.0,4680.0,250906264,55658,12,D,4695.0,4508.0
105,Kermanshah.Petr,20120506,4493.0,4493.0,4635.0,766887705,170685,20,D,4680.0,4493.0
106,Kermanshah.Petr,20120507,4435.0,4265.0,4321.0,4835325741,1119115,321,D,4635.0,4332.0
107,Kermanshah.Petr,20120508,4493.0,4302.0,4381.0,1818232422,411001,158,D,4321.0,4493.0
108,Kermanshah.Petr,20120509,4556.0,4350.0,4544.0,3982273517,876406,234,D,4381.0,4556.0
109,Kermanshah.Petr,20120512,4502.0,4363.0,4467.0,1602528090,364682,120,D,4544.0,4363.0
110,Kermanshah.Petr,20120513,4340.0,4289.0,4325.0,2481515071,577881,178,D,4467.0,4340.0
111,Kermanshah.Petr,20120514,4349.0,4280.0,4322.0,875906130,203086,89,D,4325.0,4321.0
112,Kermanshah.Petr,20120516,4494.0,4200.0,4313.0,2894903836,671296,158,D,4322.0,4200.0
113,Kermanshah.Petr,20120519,4310.0,4141.0,4247.0,1298888491,311982,153,D,4313.0,4141.0
114,Kermanshah.Petr,20120520,4197.0,4121.0,4217.0,789858793,190922,91,D,4247.0,4146.0
115,Kermanshah.Petr,20120521,4290.0,4081.0,4201.0,1304679723,312114,141,D,4217.0,4179.0
116,Kermanshah.Petr,20120522,4270.0,4110.0,4176.0,1585373006,381590,159,D,4201.0,4179.0
117,Kermanshah.Petr,20120523,4197.0,4125.0,4166.0,1270915522,306053,113,D,4176.0,4153.0
118,Kermanshah.Petr,20120526,4187.0,4000.0,4119.0,1058939843,262095,113,D,4166.0,4038.0
119,Kermanshah.Petr,20120527,4098.0,4010.0,4095.0,1017122355,251088,113,D,4119.0,4012.0
120,Kermanshah.Petr,20120528,4090.0,4002.0,4081.0,793182356,196190,70,D,4095.0,4080.0
121,Kermanshah.Petr,20120529,4100.0,4024.0,4058.0,1438135042,356344,63,D,4081.0,4068.0
122,Kermanshah.Petr,20120530,4079.0,4000.0,4038.0,1806620055,448679,104,D,4058.0,4030.0
123,Kermanshah.Petr,20120602,4130.0,3930.0,4049.0,984703204,241926,77,D,4038.0,4100.0
124,Kermanshah.Petr,20120605,4180.0,4070.0,4095.0,1565886985,378760,106,D,4049.0,4142.0
125,Kermanshah.Petr,20120606,4210.0,4132.0,4170.0,3034817505,727831,181,D,4095.0,4132.0
126,Kermanshah.Petr,20120609,4190.0,4004.0,4025.0,3695540081,918054,108,D,4170.0,4004.0
127,Kermanshah.Petr,20120610,4111.0,3900.0,4032.0,907023954,224053,79,D,4025.0,4066.0
128,Kermanshah.Petr,20120611,4129.0,3911.0,4021.0,2797541492,695825,129,D,4032.0,4021.0
129,Kermanshah.Petr,20120612,4092.0,4000.0,4042.0,1526405911,375952,79,D,4021.0,4000.0
130,Kermanshah.Petr,20120613,4085.0,4027.0,4038.0,912601105,226517,41,D,4042.0,4040.0
131,Kermanshah.Petr,20120616,4140.0,3992.0,4040.0,1626589580,402538,112,D,4038.0,4000.0
132,Kermanshah.Petr,20120617,4130.0,4000.0,4043.0,835296493,206180,63,D,4040.0,4100.0
133,Kermanshah.Petr,20120619,4169.0,4071.0,4074.0,1169749263,283851,59,D,4043.0,4101.0
134,Kermanshah.Petr,20120620,4163.0,4002.0,4093.0,2586902928,631663,103,D,4074.0,4070.0
135,Kermanshah.Petr,20120623,4080.0,3941.0,4024.0,1885238729,472437,123,D,4093.0,3947.0
136,Kermanshah.Petr,20120624,4001.0,3940.0,4005.0,1001553045,252232,77,D,4024.0,3950.0
137,Kermanshah.Petr,20120625,4020.0,3845.0,3969.0,755856817,195021,86,D,4005.0,3900.0
138,Kermanshah.Petr,20120626,3959.0,3811.0,3867.0,1738594759,456109,91,D,3969.0,3813.0
139,Kermanshah.Petr,20120627,3740.0,3713.0,3758.0,1890892404,508878,93,D,3867.0,3740.0
140,Kermanshah.Petr,20120630,3908.0,3770.0,3818.0,1892852424,492418,112,D,3758.0,3908.0
141,Kermanshah.Petr,20120701,3970.0,3900.0,3861.0,869844380,219865,64,D,3818.0,3970.0
142,Kermanshah.Petr,20120702,4015.0,4015.0,3878.0,313663845,78123,14,D,3861.0,4015.0
143,Kermanshah.Petr,20120703,4033.0,4033.0,3898.0,466545506,115682,14,D,3878.0,4033.0
144,Kermanshah.Petr,20120704,4053.0,4053.0,4053.0,3575961900,882300,43,D,3898.0,4053.0
145,Kermanshah.Petr,20120707,4215.0,4130.0,4207.0,6708544774,1594708,201,D,4053.0,4215.0
146,Kermanshah.Petr,20120708,4375.0,4375.0,4357.0,3444323750,787274,79,D,4207.0,4375.0
147,Kermanshah.Petr,20120709,4531.0,4375.0,4514.0,12263621876,2717009,410,D,4357.0,4470.0
148,Kermanshah.Petr,20120716,4550.0,4442.0,4515.0,10539274177,2334492,374,D,4514.0,4500.0
149,Kermanshah.Petr,20120722,4200.0,4066.0,4167.0,3333835962,800028,226,D,4015.0,4189.0
150,Kermanshah.Petr,20120723,4333.0,4203.0,4311.0,3423387753,791050,135,D,4167.0,4333.0
151,Kermanshah.Petr,20120724,4483.0,4483.0,4375.0,1474279380,328860,41,D,4311.0,4483.0
152,Kermanshah.Petr,20120725,4550.0,4550.0,4468.0,2128521850,467807,52,D,4375.0,4550.0
153,Kermanshah.Petr,20120728,4646.0,4500.0,4607.0,19871022663,4312765,668,D,4468.0,4580.0
154,Kermanshah.Petr,20120729,4536.0,4423.0,4431.0,13579540457,3064892,463,D,4607.0,4423.0
155,Kermanshah.Petr,20120730,4423.0,4254.0,4283.0,8411812954,1963861,323,D,4431.0,4369.0
156,Kermanshah.Petr,20120731,4454.0,4300.0,4423.0,4421734566,999816,231,D,4283.0,4454.0
157,Kermanshah.Petr,20120801,4499.0,4330.0,4409.0,5932963816,1345527,338,D,4423.0,4330.0
158,Kermanshah.Petr,20120804,4243.0,4233.0,4366.0,932082353,220054,72,D,4409.0,4233.0
159,Kermanshah.Petr,20120805,4192.0,4192.0,4357.0,190476096,45438,13,D,4366.0,4192.0
160,Kermanshah.Petr,20120806,4280.0,4183.0,4191.0,10275539199,2451907,323,D,4357.0,4183.0
161,Kermanshah.Petr,20120807,4183.0,4024.0,4069.0,3363280720,828252,185,D,4191.0,4024.0
162,Kermanshah.Petr,20120808,4069.0,3907.0,3941.0,7532051536,1910982,418,D,4069.0,4050.0
163,Kermanshah.Petr,20120811,4098.0,4024.0,4024.0,1999773660,488753,94,D,3941.0,4098.0
164,Kermanshah.Petr,20120812,4183.0,3961.0,4108.0,6168509914,1501453,366,D,4024.0,4070.0
165,Kermanshah.Petr,20120813,4200.0,4044.0,4091.0,12400857360,3031461,731,D,4108.0,4070.0
166,Kermanshah.Petr,20120814,4150.0,4028.0,4090.0,5182853773,1267139,284,D,4091.0,4038.0
167,Kermanshah.Petr,20120815,4236.0,4117.0,4175.0,8260002312,1978392,296,D,4090.0,4225.0
168,Kermanshah.Petr,20120818,4224.0,4127.0,4174.0,3191459195,764664,141,D,4175.0,4150.0
169,Kermanshah.Petr,20120821,4270.0,4136.0,4220.0,4761768364,1128392,148,D,4174.0,4231.0
170,Kermanshah.Petr,20120822,4300.0,4218.0,4254.0,3287082431,771797,179,D,4220.0,4299.0
171,Kermanshah.Petr,20120825,4376.0,4200.0,4272.0,5211683721,1220037,238,D,4254.0,4367.0
172,Kermanshah.Petr,20120826,4400.0,4313.0,4320.0,2004611828,459408,167,D,4272.0,4352.0
173,Kermanshah.Petr,20120827,4350.0,4268.0,4281.0,4164142379,972653,189,D,4320.0,4290.0
174,Kermanshah.Petr,20120902,4376.0,4227.0,4275.0,5481661069,1282384,201,D,4281.0,4250.0
175,Kermanshah.Petr,20120903,4446.0,4233.0,4413.0,10802161031,2447980,299,D,4275.0,4446.0
176,Kermanshah.Petr,20120904,4589.0,4496.0,4565.0,15726906159,3445382,400,D,4413.0,4589.0
177,Kermanshah.Petr,20120905,4701.0,4550.0,4620.0,11597543342,2510447,408,D,4565.0,4608.0
