,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,S*Pars.Khodro,20030507,10000.0,4000.0,6621.0,3608122553,561712,318,D,6000.0,6621.0
1,S*Pars.Khodro,20030510,6952.0,6400.0,6952.0,4714117216,680409,330,D,6621.0,6952.0
2,S*Pars.Khodro,20030511,7299.0,7299.0,7299.0,910907901,124799,94,D,6952.0,7299.0
3,S*Pars.Khodro,20030512,7663.0,7663.0,7663.0,1375776705,179535,139,D,7299.0,7663.0
4,S*Pars.Khodro,20030513,8046.0,8046.0,8046.0,1781657964,221434,155,D,7663.0,8046.0
5,S*Pars.Khodro,20030514,8448.0,8448.0,8448.0,1188253440,140655,104,D,8046.0,8448.0
6,S*Pars.Khodro,20030517,8870.0,8402.0,8444.0,6773780046,786860,417,D,8448.0,8444.0
7,S*Pars.Khodro,20030518,8395.0,8022.0,8022.0,3983067223,496179,196,D,8444.0,8022.0
8,S*Pars.Khodro,20030520,8020.0,7621.0,8020.0,4134590656,531907,310,D,8022.0,8020.0
9,S*Pars.Khodro,20030521,8421.0,8020.0,8421.0,1538550525,184518,127,D,8020.0,8421.0
10,S*Pars.Khodro,20030524,8842.0,8159.0,8397.0,1065380072,124564,115,D,8421.0,8397.0
11,S*Pars.Khodro,20030525,8360.0,8100.0,8299.0,1816264116,222675,132,D,8397.0,8299.0
12,S*Pars.Khodro,20030526,8502.0,8100.0,8452.0,3436005095,410828,297,D,8299.0,8452.0
13,S*Pars.Khodro,20030527,8874.0,8453.0,8505.0,3396167865,391999,263,D,8452.0,8505.0
14,S*Pars.Khodro,20030528,8930.0,8518.0,8930.0,3958791055,449749,273,D,8505.0,8930.0
15,S*Pars.Khodro,20030531,9303.0,8901.0,9270.0,2436536958,265109,149,D,8930.0,9270.0
16,S*Pars.Khodro,20030601,9302.0,8807.0,9090.0,2585758328,284740,135,D,9270.0,9090.0
17,S*Pars.Khodro,20030602,9110.0,8800.0,8800.0,1402427323,156235,112,D,9090.0,8800.0
18,S*Pars.Khodro,20030603,8819.0,8800.0,8813.0,577736989,65623,70,D,8800.0,8813.0
19,S*Pars.Khodro,20030607,8703.0,8500.0,8600.0,1880755382,217701,106,D,8813.0,8600.0
20,S*Pars.Khodro,20030608,8559.0,8250.0,8300.0,1362032084,164224,103,D,8600.0,8300.0
21,S*Pars.Khodro,20030609,8002.0,8000.0,8000.0,649467060,81183,61,D,8300.0,8000.0
22,S*Pars.Khodro,20030610,8000.0,7780.0,8000.0,1272953207,161367,86,D,8000.0,8000.0
23,S*Pars.Khodro,20030611,8000.0,7652.0,7899.0,193798168,24574,21,D,8000.0,7899.0
24,S*Pars.Khodro,20030614,7601.0,7505.0,7505.0,955334364,126068,65,D,7899.0,7505.0
25,S*Pars.Khodro,20030615,7504.0,7130.0,7500.0,1293336243,179799,67,D,7505.0,7500.0
26,S*Pars.Khodro,20030616,7860.0,7440.0,7750.0,737988431,96887,70,D,7500.0,7750.0
27,S*Pars.Khodro,20030617,7880.0,7750.0,7880.0,226734600,28828,14,D,7750.0,7880.0
28,S*Pars.Khodro,20030622,8999.0,8000.0,8991.0,623228163,71343,51,D,7880.0,8991.0
29,S*Pars.Khodro,20030623,8992.0,8542.0,8723.0,3275263645,373928,252,D,8991.0,8723.0
30,S*Pars.Khodro,20030624,9001.0,7500.0,9000.0,466792944824,62181069,218,D,8723.0,9000.0
31,S*Pars.Khodro,20030722,16008.0,9500.0,16000.0,10300606316,677638,251,D,9000.0,16000.0
32,S*Pars.Khodro,20030818,8900.0,6800.0,8000.0,7126225866,928452,272,D,16000.0,8000.0
33,S*Pars.Khodro,20030819,8000.0,8000.0,8000.0,17144984000,2143123,424,D,8000.0,8000.0
34,S*Pars.Khodro,20030820,8400.0,8000.0,8192.0,5198672869,634585,185,D,8000.0,8192.0
35,S*Pars.Khodro,20030823,8398.0,8192.0,8192.0,1024854100,124208,69,D,8192.0,8192.0
36,S*Pars.Khodro,20030824,8199.0,8041.0,8192.0,2022919883,250152,137,D,8192.0,8192.0
37,S*Pars.Khodro,20030825,8192.0,7785.0,8192.0,1332752437,168009,103,D,8192.0,8192.0
38,S*Pars.Khodro,20030826,8192.0,7783.0,8192.0,1180436222,151659,58,D,8192.0,8192.0
39,S*Pars.Khodro,20030827,8192.0,7783.0,8192.0,1145689842,145277,64,D,8192.0,8192.0
40,S*Pars.Khodro,20030830,8192.0,7899.0,8192.0,1735368848,217857,75,D,8192.0,8192.0
41,S*Pars.Khodro,20030831,8200.0,8039.0,8192.0,615438708,75289,46,D,8192.0,8192.0
42,S*Pars.Khodro,20030901,8192.0,8050.0,8192.0,798859707,98938,54,D,8192.0,8192.0
43,S*Pars.Khodro,20030902,8192.0,7999.0,8192.0,360382918,44994,36,D,8192.0,8192.0
44,S*Pars.Khodro,20030903,8192.0,7990.0,8192.0,100170632,12530,13,D,8192.0,8192.0
45,S*Pars.Khodro,20030906,8192.0,7783.0,8192.0,432160602,55250,36,D,8192.0,8192.0
46,S*Pars.Khodro,20030907,7783.0,7783.0,7783.0,5611543,721,3,D,8192.0,7783.0
47,S*Pars.Khodro,20030908,7783.0,7394.0,7783.0,590119242,79808,50,D,7783.0,7783.0
48,S*Pars.Khodro,20030909,7783.0,7394.0,7783.0,38489660,5205,10,D,7783.0,7783.0
49,S*Pars.Khodro,20030913,7783.0,7394.0,7783.0,3553010,480,2,D,7783.0,7783.0
50,S*Pars.Khodro,20030916,7775.0,7394.0,7775.0,16366732,2213,6,D,7783.0,7775.0
51,S*Pars.Khodro,20030921,7775.0,7387.0,7775.0,2899584,392,3,D,7775.0,7775.0
52,S*Pars.Khodro,20030922,7775.0,7387.0,7775.0,5167393,699,4,D,7775.0,7775.0
53,S*Pars.Khodro,20030927,7775.0,7387.0,7775.0,6016898,814,3,D,7775.0,7775.0
54,S*Pars.Khodro,20030930,7768.0,7387.0,7768.0,14438008,1954,5,D,7775.0,7768.0
55,S*Pars.Khodro,20031001,7768.0,7380.0,7768.0,1066600,144,2,D,7768.0,7768.0
56,S*Pars.Khodro,20031004,7757.0,7380.0,7757.0,21228650,2876,3,D,7768.0,7757.0
57,S*Pars.Khodro,20031005,7505.0,7370.0,7505.0,2440112540,331087,16,D,7757.0,7505.0
58,S*Pars.Khodro,20031008,7468.0,7130.0,7468.0,76729310,10761,3,D,7505.0,7468.0
59,S*Pars.Khodro,20031011,7460.0,7095.0,7460.0,15470750,2180,3,D,7468.0,7460.0
60,S*Pars.Khodro,20031013,7454.0,7087.0,7454.0,10705040,1510,3,D,7460.0,7454.0
61,S*Pars.Khodro,20031014,7444.0,7082.0,7444.0,19634924,2772,8,D,7454.0,7444.0
62,S*Pars.Khodro,20031015,7440.0,7072.0,7440.0,7329270,1035,5,D,7444.0,7440.0
63,S*Pars.Khodro,20031020,7435.0,7068.0,7435.0,10054366,1422,3,D,7440.0,7435.0
64,S*Pars.Khodro,20031022,7367.0,7064.0,7367.0,141353670,20010,7,D,7435.0,7367.0
65,S*Pars.Khodro,20031025,7216.0,6999.0,7216.0,311751628,44542,31,D,7367.0,7216.0
66,S*Pars.Khodro,20031026,7160.0,6856.0,7160.0,115183840,16800,7,D,7216.0,7160.0
67,S*Pars.Khodro,20031027,7142.0,6802.0,7142.0,36006386,5293,10,D,7160.0,7142.0
68,S*Pars.Khodro,20031028,7142.0,6785.0,7142.0,1564120,230,2,D,7142.0,7142.0
69,S*Pars.Khodro,20031029,7142.0,6785.0,7142.0,2514020,370,2,D,7142.0,7142.0
70,S*Pars.Khodro,20031101,7128.0,6785.0,7128.0,28860035,4253,4,D,7142.0,7128.0
71,S*Pars.Khodro,20031103,7039.0,6772.0,7039.0,183787978,27139,7,D,7128.0,7039.0
72,S*Pars.Khodro,20031104,7035.0,6688.0,7035.0,6758350,1010,3,D,7039.0,7035.0
73,S*Pars.Khodro,20031108,7008.0,6684.0,7008.0,55092768,8242,8,D,7035.0,7008.0
74,S*Pars.Khodro,20031110,6658.0,6658.0,6658.0,3196126294,480043,183,D,7008.0,6658.0
75,S*Pars.Khodro,20031111,6656.0,6326.0,6605.0,327941413,50112,33,D,6658.0,6605.0
76,S*Pars.Khodro,20031112,6555.0,6276.0,6555.0,170446077,26616,23,D,6605.0,6555.0
77,S*Pars.Khodro,20031115,6528.0,6228.0,6528.0,61301633,9800,17,D,6555.0,6528.0
78,S*Pars.Khodro,20031117,6508.0,6202.0,6508.0,41247304,6650,12,D,6528.0,6508.0
79,S*Pars.Khodro,20031118,6480.0,6183.0,6480.0,57993327,9379,7,D,6508.0,6480.0
80,S*Pars.Khodro,20031119,6470.0,6156.0,6470.0,20114792,3267,7,D,6480.0,6470.0
81,S*Pars.Khodro,20031122,6467.0,6147.0,6467.0,5013005,815,2,D,6470.0,6467.0
82,S*Pars.Khodro,20031123,6174.0,6144.0,6174.0,610699677,99355,54,D,6467.0,6174.0
83,S*Pars.Khodro,20031124,6183.0,3587.0,6174.0,7115255950,1981160,2644,D,6174.0,6174.0
84,S*Pars.Khodro,20031125,6159.0,6100.0,6159.0,157657182,25788,11,D,6174.0,6159.0
85,S*Pars.Khodro,20031129,6158.0,6097.0,6158.0,4111684,674,3,D,6159.0,6158.0
86,S*Pars.Khodro,20031130,6084.0,5977.0,6084.0,303044078,50516,22,D,6158.0,6084.0
87,S*Pars.Khodro,20031201,6120.0,5957.0,6040.0,336948719,56161,30,D,6084.0,6040.0
88,S*Pars.Khodro,20031202,6034.0,5738.0,6034.0,16732020,2870,3,D,6040.0,6034.0
89,S*Pars.Khodro,20031203,5900.0,5866.0,5883.0,654659007,111265,47,D,6034.0,5883.0
90,S*Pars.Khodro,20031206,5900.0,5861.0,5873.0,1838337271,312995,52,D,5883.0,5873.0
91,S*Pars.Khodro,20031207,6166.0,5850.0,5930.0,468038772,78616,45,D,5873.0,5930.0
92,S*Pars.Khodro,20031208,6204.0,5930.0,6006.0,355319194,58514,28,D,5930.0,6006.0
93,S*Pars.Khodro,20031209,6304.0,6103.0,6103.0,239611180,38125,25,D,6006.0,6103.0
94,S*Pars.Khodro,20031210,6190.0,6105.0,6105.0,27870150,4525,6,D,6103.0,6105.0
95,S*Pars.Khodro,20031213,6350.0,6191.0,6191.0,286230154,45338,34,D,6105.0,6191.0
96,S*Pars.Khodro,20031214,6500.0,6319.0,6319.0,329650320,50976,43,D,6191.0,6319.0
97,S*Pars.Khodro,20031215,6325.0,6318.0,6321.0,361862687,57225,51,D,6319.0,6321.0
98,S*Pars.Khodro,20031216,6500.0,6330.0,6332.0,207892704,32681,25,D,6321.0,6332.0
99,S*Pars.Khodro,20031217,6400.0,6348.0,6348.0,218721036,34250,27,D,6332.0,6348.0
100,S*Pars.Khodro,20031221,6352.0,6200.0,6347.0,14959120,2359,7,D,6348.0,6347.0
101,S*Pars.Khodro,20031222,6344.0,6296.0,6344.0,35003203,5559,8,D,6347.0,6344.0
102,S*Pars.Khodro,20031223,6286.0,6027.0,6286.0,118541626,19668,11,D,6344.0,6286.0
103,S*Pars.Khodro,20031224,6286.0,5972.0,6286.0,5067396,848,3,D,6286.0,6286.0
104,S*Pars.Khodro,20031227,6268.0,5972.0,6268.0,37447400,6270,3,D,6286.0,6268.0
105,S*Pars.Khodro,20031228,6138.0,5955.0,6138.0,836564379,140218,68,D,6268.0,6138.0
106,S*Pars.Khodro,20031229,6055.0,5832.0,6055.0,997544331,166924,55,D,6138.0,6055.0
107,S*Pars.Khodro,20031230,6026.0,5800.0,6026.0,259898392,44459,21,D,6055.0,6026.0
108,S*Pars.Khodro,20031231,5983.0,5730.0,5983.0,357281488,61598,23,D,6026.0,5983.0
109,S*Pars.Khodro,20040103,5952.0,5690.0,5952.0,200943434,35239,20,D,5983.0,5952.0
110,S*Pars.Khodro,20040104,5925.0,5655.0,5925.0,165543690,29268,13,D,5952.0,5925.0
111,S*Pars.Khodro,20040105,5893.0,5629.0,5893.0,197073930,35010,13,D,5925.0,5893.0
112,S*Pars.Khodro,20040106,5863.0,5599.0,5863.0,186573236,33314,14,D,5893.0,5863.0
113,S*Pars.Khodro,20040107,5861.0,5570.0,5861.0,11789030,2116,4,D,5863.0,5861.0
114,S*Pars.Khodro,20040110,5856.0,5568.0,5856.0,29763840,5345,7,D,5861.0,5856.0
115,S*Pars.Khodro,20040111,5850.0,5564.0,5850.0,31856760,5725,8,D,5856.0,5850.0
116,S*Pars.Khodro,20040207,5000.0,4000.0,4637.0,84096955,18133,12,D,5850.0,4637.0
117,S*Pars.Khodro,20040208,4867.0,4406.0,4632.0,95859613,20983,15,D,4637.0,4632.0
118,S*Pars.Khodro,20040209,4633.0,4500.0,4631.0,76995149,16675,17,D,4632.0,4631.0
119,S*Pars.Khodro,20040214,4627.0,4400.0,4627.0,22037470,5008,4,D,4631.0,4627.0
120,S*Pars.Khodro,20040215,4625.0,4396.0,4625.0,6389678,1453,6,D,4627.0,4625.0
121,S*Pars.Khodro,20040216,4619.0,4394.0,4619.0,36766848,8367,3,D,4625.0,4619.0
122,S*Pars.Khodro,20040217,4594.0,4389.0,4468.0,955964417,217601,57,D,4619.0,4468.0
