,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Plascokar.Saipa,20050405,2500.0,2500.0,2500.0,2500000,1000,1,D,2500.0,2500.0
1,Plascokar.Saipa,20050530,2500.0,2500.0,2500.0,500000,200,4,D,2500.0,2500.0
2,Plascokar.Saipa,20050828,1500.0,1500.0,1500.0,1500000,1000,1,D,2500.0,1500.0
3,Plascokar.Saipa,20050904,1501.0,1501.0,1501.0,7505000,5000,1,D,1500.0,1501.0
4,Plascokar.Saipa,20060129,1685.0,1350.0,1601.0,3202416,2000,5,D,1501.0,1601.0
5,Plascokar.Saipa,20060201,1601.0,1601.0,1601.0,448280,280,1,D,1601.0,1601.0
6,Plascokar.Saipa,20060719,1650.0,1650.0,1650.0,1650000,1000,1,D,1601.0,1650.0
7,Plascokar.Saipa,20060722,1650.0,1650.0,1650.0,8299500,5030,3,D,1650.0,1650.0
8,Plascokar.Saipa,20060725,1660.0,1650.0,1650.0,3781990,2280,3,D,1650.0,1650.0
9,Plascokar.Saipa,20060729,1670.0,1660.0,1660.0,40648000,24400,4,D,1650.0,1660.0
10,Plascokar.Saipa,20060730,1660.0,1640.0,1657.0,23885077,14491,3,D,1660.0,1657.0
11,Plascokar.Saipa,20060731,1653.0,1624.0,1653.0,13027757,8022,2,D,1657.0,1653.0
12,Plascokar.Saipa,20080206,1102.0,1102.0,1102.0,1102000,1000,1,D,1653.0,1102.0
13,Plascokar.Saipa,20080616,1300.0,1300.0,1300.0,13000000,10000,2,D,1102.0,1300.0
14,Plascokar.Saipa,20080617,1339.0,1338.0,1338.0,9496434,7093,7,D,1300.0,1338.0
15,Plascokar.Saipa,20080618,1338.0,1338.0,1338.0,7094076,5302,2,D,1338.0,1338.0
16,Plascokar.Saipa,20080621,1338.0,1338.0,1338.0,133800,100,1,D,1338.0,1338.0
17,Plascokar.Saipa,20080701,1378.0,1338.0,1338.0,68860,50,2,D,1338.0,1338.0
18,Plascokar.Saipa,20081008,1337.0,1298.0,1337.0,1418753,1093,2,D,1338.0,1337.0
19,Plascokar.Saipa,20090201,1370.0,1297.0,1334.0,17931923,13609,6,D,1337.0,1370.0
20,Plascokar.Saipa,20090225,1334.0,1334.0,1334.0,17333996,12994,2,D,1334.0,1334.0
21,Plascokar.Saipa,20090502,1374.0,1350.0,1335.0,3940350,2901,2,D,1334.0,1374.0
22,Plascokar.Saipa,20090622,1616.0,1375.0,1453.0,2180186,1500,3,D,1335.0,1616.0
23,Plascokar.Saipa,20090623,1496.0,1496.0,1459.0,14960000,10000,2,D,1453.0,1496.0
24,Plascokar.Saipa,20090627,1502.0,1502.0,1461.0,4506000,3000,1,D,1459.0,1502.0
25,Plascokar.Saipa,20090628,1504.0,1504.0,1463.0,4512000,3000,1,D,1461.0,1504.0
26,Plascokar.Saipa,20090629,1506.0,1506.0,1506.0,180720000,120000,12,D,1463.0,1506.0
27,Plascokar.Saipa,20090712,1500.0,1200.0,1227.0,13514000,11010,3,D,1099.0,1400.0
28,Plascokar.Saipa,20090713,1263.0,1263.0,1230.0,7905117,6259,4,D,1227.0,1263.0
29,Plascokar.Saipa,20090714,1266.0,1266.0,1235.0,14179200,11200,2,D,1230.0,1266.0
30,Plascokar.Saipa,20090725,1272.0,1272.0,1242.0,19080000,15000,3,D,1235.0,1272.0
31,Plascokar.Saipa,20090727,1279.0,1279.0,1244.0,5371800,4200,3,D,1242.0,1279.0
32,Plascokar.Saipa,20090803,1281.0,1281.0,1246.0,6405000,5000,1,D,1244.0,1281.0
33,Plascokar.Saipa,20090823,1283.0,1283.0,1249.0,8034146,6262,3,D,1246.0,1283.0
34,Plascokar.Saipa,20090824,1286.0,1286.0,1249.0,1286000,1000,1,D,1249.0,1286.0
35,Plascokar.Saipa,20090906,1286.0,1286.0,1274.0,67515000,52500,10,D,1249.0,1286.0
36,Plascokar.Saipa,20090907,1312.0,1311.0,1282.0,21294256,16238,4,D,1274.0,1312.0
37,Plascokar.Saipa,20090908,1320.0,1320.0,1287.0,13200000,10000,1,D,1282.0,1320.0
38,Plascokar.Saipa,20090909,1320.0,1320.0,1289.0,5280000,4000,2,D,1287.0,1320.0
39,Plascokar.Saipa,20090913,1327.0,1327.0,1298.0,23886000,18000,5,D,1289.0,1327.0
40,Plascokar.Saipa,20090914,1336.0,1336.0,1301.0,7832968,5863,2,D,1298.0,1336.0
41,Plascokar.Saipa,20090915,1340.0,1340.0,1302.0,1340000,1000,1,D,1301.0,1340.0
42,Plascokar.Saipa,20090921,1302.0,1302.0,1302.0,2679516,2058,1,D,1302.0,1302.0
43,Plascokar.Saipa,20090922,1340.0,1302.0,1305.0,9585404,7180,2,D,1302.0,1340.0
44,Plascokar.Saipa,20090923,1344.0,1344.0,1306.0,1344000,1000,1,D,1305.0,1344.0
45,Plascokar.Saipa,20090926,1345.0,1345.0,1311.0,13450000,10000,5,D,1306.0,1345.0
46,Plascokar.Saipa,20090930,1350.0,1350.0,1316.0,13500000,10000,2,D,1311.0,1350.0
47,Plascokar.Saipa,20091003,1355.0,1355.0,1348.0,86534365,63863,7,D,1316.0,1355.0
48,Plascokar.Saipa,20091005,1388.0,1388.0,1349.0,2776000,2000,1,D,1348.0,1388.0
49,Plascokar.Saipa,20091007,1388.0,1388.0,1350.0,1388000,1000,1,D,1349.0,1388.0
50,Plascokar.Saipa,20091010,1387.0,1387.0,1380.0,88577981,63863,7,D,1350.0,1387.0
51,Plascokar.Saipa,20091011,1388.0,1388.0,1380.0,1250588,901,1,D,1380.0,1388.0
52,Plascokar.Saipa,20091012,1421.0,1421.0,1383.0,8810200,6200,1,D,1380.0,1421.0
53,Plascokar.Saipa,20091013,1424.0,1424.0,1386.0,7832000,5500,1,D,1383.0,1424.0
54,Plascokar.Saipa,20091019,1427.0,1427.0,1391.0,14270000,10000,2,D,1386.0,1427.0
55,Plascokar.Saipa,20091020,1432.0,1432.0,1393.0,6444000,4500,1,D,1391.0,1432.0
56,Plascokar.Saipa,20091026,1434.0,1434.0,1394.0,1491360,1040,1,D,1393.0,1434.0
57,Plascokar.Saipa,20091101,1434.0,1434.0,1395.0,2151000,1500,1,D,1394.0,1434.0
58,Plascokar.Saipa,20091103,1436.0,1436.0,1406.0,29099104,20264,3,D,1395.0,1436.0
59,Plascokar.Saipa,20091104,1448.0,1448.0,1413.0,17636640,12180,2,D,1406.0,1448.0
60,Plascokar.Saipa,20091107,1462.0,1462.0,1416.0,7310000,5000,1,D,1413.0,1462.0
61,Plascokar.Saipa,20091108,1465.0,1465.0,1428.0,27776400,18960,7,D,1416.0,1465.0
62,Plascokar.Saipa,20091111,1477.0,1477.0,1432.0,8862000,6000,1,D,1428.0,1477.0
63,Plascokar.Saipa,20100221,1440.0,1432.0,1432.0,35574568,24838,6,D,1432.0,1440.0
64,Plascokar.Saipa,20100308,1420.0,1382.0,1420.0,67780000,48000,7,D,1432.0,1420.0
65,Plascokar.Saipa,20100309,1373.0,1371.0,1410.0,22232700,16200,4,D,1420.0,1371.0
66,Plascokar.Saipa,20100314,1459.0,1459.0,1423.0,29180000,20000,6,D,1410.0,1459.0
67,Plascokar.Saipa,20100508,1472.0,1472.0,1472.0,29440000,20000,3,D,1423.0,1472.0
68,Plascokar.Saipa,20100802,1642.0,1642.0,1642.0,1968758,1199,1,D,1472.0,1642.0
69,Plascokar.Saipa,20100803,1707.0,1707.0,1668.0,53258400,31200,3,D,1642.0,1707.0
70,Plascokar.Saipa,20100824,1734.0,1734.0,1669.0,2425866,1399,2,D,1668.0,1734.0
71,Plascokar.Saipa,20101129,1735.0,1735.0,1686.0,34700000,20000,1,D,1669.0,1735.0
72,Plascokar.Saipa,20101201,1753.0,1753.0,1702.0,33289470,18990,2,D,1686.0,1753.0
73,Plascokar.Saipa,20101219,1770.0,1770.0,1709.0,14160000,8000,1,D,1702.0,1770.0
74,Plascokar.Saipa,20101220,1777.0,1777.0,1713.0,7108000,4000,2,D,1709.0,1777.0
75,Plascokar.Saipa,20101222,1714.0,1713.0,1713.0,11135500,6500,2,D,1713.0,1714.0
76,Plascokar.Saipa,20110102,1713.0,1713.0,1713.0,22258722,12994,1,D,1713.0,1713.0
77,Plascokar.Saipa,20110122,1781.0,1645.0,1716.0,9265899,5279,3,D,1713.0,1645.0
78,Plascokar.Saipa,20110123,1783.0,1781.0,1718.0,4890283,2743,2,D,1716.0,1783.0
79,Plascokar.Saipa,20110319,1786.0,1786.0,1729.0,23200140,12990,1,D,1718.0,1786.0
80,Plascokar.Saipa,20110409,1798.0,1798.0,1733.0,8990000,5000,1,D,1729.0,1798.0
81,Plascokar.Saipa,20110510,1802.0,1802.0,1737.0,7308912,4056,1,D,1733.0,1802.0
82,Plascokar.Saipa,20110618,1789.0,1789.0,1765.0,89450000,50000,12,D,1721.0,1789.0
83,Plascokar.Saipa,20110619,1835.0,1835.0,1780.0,31195000,17000,1,D,1765.0,1835.0
84,Plascokar.Saipa,20110620,1851.0,1830.0,1800.0,40680000,22000,3,D,1780.0,1830.0
85,Plascokar.Saipa,20110621,1872.0,1872.0,1872.0,211389984,112922,16,D,1800.0,1872.0
86,Plascokar.Saipa,20110703,1383.0,1330.0,1373.0,7034875,5125,3,D,1218.0,1383.0
87,Plascokar.Saipa,20110704,1427.0,1427.0,1376.0,6255968,4384,2,D,1373.0,1427.0
88,Plascokar.Saipa,20110705,1431.0,1431.0,1391.0,30051000,21000,1,D,1376.0,1431.0
89,Plascokar.Saipa,20110706,1446.0,1446.0,1400.0,17352000,12000,3,D,1391.0,1446.0
90,Plascokar.Saipa,20110709,1428.0,1400.0,1400.0,1028048,732,2,D,1400.0,1400.0
91,Plascokar.Saipa,20110711,1345.0,1344.0,1379.0,38707967,28788,9,D,1400.0,1344.0
92,Plascokar.Saipa,20110712,1410.0,1344.0,1385.0,24518155,17440,7,D,1379.0,1380.0
