,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Maskan.Invest.,20140625,2179.0,2092.0,2171.0,5315838337,2448493,177,D,1000.0,2092.0
1,Maskan.Invest.,20140628,2085.0,2085.0,2111.0,700539150,335990,81,D,2171.0,2085.0
2,Maskan.Invest.,20140629,2027.0,2027.0,2111.0,5055338,2494,4,D,2111.0,2027.0
3,Maskan.Invest.,20140630,2027.0,2027.0,2111.0,1013500,500,1,D,2111.0,2027.0
4,Maskan.Invest.,20140701,2094.0,2027.0,2044.0,9986006331,4885067,1643,D,2111.0,2046.0
5,Maskan.Invest.,20140702,2125.0,2017.0,2105.0,7249649752,3443951,1458,D,2044.0,2125.0
6,Maskan.Invest.,20140705,2189.0,2125.0,2182.0,4662524796,2136811,334,D,2105.0,2189.0
7,Maskan.Invest.,20140706,2190.0,2095.0,2096.0,5832302540,2782593,286,D,2182.0,2095.0
8,Maskan.Invest.,20140707,2070.0,2013.0,2018.0,6485637824,3214400,388,D,2096.0,2030.0
9,Maskan.Invest.,20140708,2098.0,2043.0,2086.0,3791248365,1817527,225,D,2018.0,2098.0
10,Maskan.Invest.,20140709,2133.0,2003.0,2029.0,5363040100,2643732,478,D,2086.0,2003.0
11,Maskan.Invest.,20140712,2030.0,1948.0,1973.0,4952186773,2509818,326,D,2029.0,1948.0
12,Maskan.Invest.,20140713,1989.0,1895.0,1915.0,4401187320,2298053,299,D,1973.0,1920.0
13,Maskan.Invest.,20140714,1970.0,1865.0,1909.0,7650282766,4006815,331,D,1915.0,1890.0
14,Maskan.Invest.,20140715,1922.0,1834.0,1878.0,4582595084,2439568,278,D,1909.0,1851.0
15,Maskan.Invest.,20140716,1910.0,1834.0,1878.0,2684869215,1429941,364,D,1878.0,1890.0
16,Maskan.Invest.,20140720,1889.0,1810.0,1856.0,1658030283,893158,214,D,1878.0,1847.0
17,Maskan.Invest.,20140721,1930.0,1823.0,1922.0,1410603422,733964,120,D,1856.0,1930.0
18,Maskan.Invest.,20140722,1998.0,1941.0,1997.0,16025559682,8023356,587,D,1922.0,1998.0
19,Maskan.Invest.,20140723,2038.0,1929.0,1982.0,8700688309,4389799,630,D,1997.0,1935.0
20,Maskan.Invest.,20140726,1960.0,1903.0,1908.0,2668540334,1398354,210,D,1982.0,1920.0
21,Maskan.Invest.,20140727,1944.0,1900.0,1913.0,1707472094,892776,163,D,1908.0,1930.0
22,Maskan.Invest.,20140728,1964.0,1905.0,1926.0,2250647262,1168547,180,D,1913.0,1920.0
23,Maskan.Invest.,20140802,1950.0,1849.0,1858.0,3595036720,1935322,231,D,1926.0,1860.0
24,Maskan.Invest.,20140803,1910.0,1813.0,1841.0,2124333751,1153655,251,D,1858.0,1840.0
25,Maskan.Invest.,20140804,1880.0,1841.0,1854.0,1058046802,570732,97,D,1841.0,1870.0
26,Maskan.Invest.,20140805,1889.0,1820.0,1855.0,955695815,515186,109,D,1854.0,1831.0
27,Maskan.Invest.,20140806,1859.0,1812.0,1832.0,707035917,387053,97,D,1855.0,1859.0
28,Maskan.Invest.,20140809,1880.0,1835.0,1846.0,2749594473,1489837,180,D,1832.0,1853.0
29,Maskan.Invest.,20140810,1850.0,1811.0,1819.0,988145212,543115,95,D,1846.0,1813.0
30,Maskan.Invest.,20140811,1891.0,1815.0,1885.0,3737315653,1982427,305,D,1819.0,1890.0
31,Maskan.Invest.,20140812,1960.0,1871.0,1951.0,11829278998,6062899,806,D,1885.0,1950.0
32,Maskan.Invest.,20140813,2019.0,1880.0,1975.0,7647206619,3871044,553,D,1951.0,1960.0
33,Maskan.Invest.,20140816,2040.0,1911.0,1997.0,6554167414,3281299,347,D,1975.0,1980.0
34,Maskan.Invest.,20140817,2076.0,2008.0,2060.0,16092804306,7812564,1003,D,1997.0,2040.0
35,Maskan.Invest.,20140818,2091.0,2006.0,2074.0,18626430954,8980381,605,D,2060.0,2032.0
36,Maskan.Invest.,20140819,2129.0,2030.0,2078.0,6149789549,2959954,420,D,2074.0,2048.0
37,Maskan.Invest.,20140820,2079.0,1995.0,2000.0,4102713187,2051218,261,D,2078.0,1995.0
38,Maskan.Invest.,20140823,1980.0,1920.0,1925.0,7654384142,3976627,361,D,2000.0,1920.0
39,Maskan.Invest.,20140827,1851.0,1780.0,1815.0,5923707131,3263191,491,D,1925.0,1839.0
40,Maskan.Invest.,20140830,1870.0,1780.0,1815.0,5514845986,3038431,623,D,1815.0,1791.0
41,Maskan.Invest.,20140831,1851.0,1785.0,1821.0,3040595151,1670054,257,D,1815.0,1835.0
42,Maskan.Invest.,20140901,1893.0,1821.0,1864.0,4716472417,2529963,318,D,1821.0,1893.0
43,Maskan.Invest.,20140902,1930.0,1834.0,1872.0,2757574670,1473120,217,D,1864.0,1863.0
44,Maskan.Invest.,20140903,1900.0,1801.0,1825.0,1575805288,863272,134,D,1872.0,1829.0
45,Maskan.Invest.,20140906,1810.0,1752.0,1776.0,3638344864,2048274,268,D,1825.0,1770.0
46,Maskan.Invest.,20140907,1790.0,1710.0,1742.0,2740149819,1573417,214,D,1776.0,1746.0
47,Maskan.Invest.,20140908,1770.0,1700.0,1716.0,3137004169,1828552,295,D,1742.0,1727.0
48,Maskan.Invest.,20140909,1760.0,1678.0,1711.0,1861838050,1088401,184,D,1716.0,1685.0
49,Maskan.Invest.,20140910,1747.0,1661.0,1691.0,1846304451,1091808,194,D,1711.0,1670.0
50,Maskan.Invest.,20140913,1729.0,1624.0,1629.0,1658465283,1018325,175,D,1691.0,1638.0
51,Maskan.Invest.,20140914,1680.0,1570.0,1583.0,3183061843,2011123,428,D,1629.0,1579.0
52,Maskan.Invest.,20140915,1633.0,1570.0,1593.0,3295997164,2068977,255,D,1583.0,1613.0
53,Maskan.Invest.,20140916,1606.0,1580.0,1594.0,729680858,457897,96,D,1593.0,1597.0
54,Maskan.Invest.,20140917,1623.0,1580.0,1595.0,984379323,617030,127,D,1594.0,1610.0
55,Maskan.Invest.,20140920,1658.0,1604.0,1640.0,1202591235,733413,120,D,1595.0,1658.0
56,Maskan.Invest.,20140921,1705.0,1705.0,1680.0,504680000,296000,35,D,1640.0,1705.0
57,Maskan.Invest.,20140922,1747.0,1747.0,1733.0,658645205,377015,30,D,1680.0,1747.0
58,Maskan.Invest.,20140923,1802.0,1802.0,1776.0,540600000,300000,37,D,1733.0,1802.0
59,Maskan.Invest.,20140924,1847.0,1847.0,1829.0,664920000,360000,48,D,1776.0,1847.0
60,Maskan.Invest.,20140927,1902.0,1831.0,1876.0,12876495457,6863500,766,D,1829.0,1870.0
61,Maskan.Invest.,20141006,1960.0,1901.0,1933.0,6819530968,3528367,402,D,1876.0,1909.0
62,Maskan.Invest.,20141007,1930.0,1863.0,1873.0,4238091287,2262805,306,D,1933.0,1870.0
63,Maskan.Invest.,20141008,1888.0,1827.0,1853.0,1149620891,620368,147,D,1873.0,1850.0
