,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Pars.Ceram,20010416,5995.0,5995.0,5995.0,27481080,4584,11,D,0.0,5995.0
1,Pars.Ceram,20010418,5995.0,5994.0,5995.0,10574255,1764,7,D,5995.0,5995.0
2,Pars.Ceram,20010421,5700.0,5700.0,5700.0,17100000,3000,3,D,5995.0,5700.0
3,Pars.Ceram,20010423,5700.0,5700.0,5700.0,79800,14,1,D,5700.0,5700.0
4,Pars.Ceram,20010424,5721.0,5710.0,5721.0,1727720,302,2,D,5700.0,5721.0
5,Pars.Ceram,20010428,5731.0,5731.0,5731.0,1260820,220,1,D,5721.0,5731.0
6,Pars.Ceram,20010501,5754.0,5754.0,5754.0,2301600,400,1,D,5731.0,5754.0
7,Pars.Ceram,20010502,5900.0,5900.0,5900.0,51784300,8777,4,D,5754.0,5900.0
8,Pars.Ceram,20010505,5902.0,5902.0,5902.0,1593540,270,1,D,5900.0,5902.0
9,Pars.Ceram,20010507,5913.0,5913.0,5913.0,3080673,521,2,D,5902.0,5913.0
10,Pars.Ceram,20010508,5914.0,5914.0,5914.0,555916,94,1,D,5913.0,5914.0
11,Pars.Ceram,20010516,5964.0,5964.0,5964.0,2504880,420,1,D,5914.0,5964.0
12,Pars.Ceram,20010520,6050.0,5990.0,6050.0,12836940,2124,5,D,5964.0,6050.0
13,Pars.Ceram,20010527,6064.0,6064.0,6064.0,6064000,1000,1,D,6050.0,6064.0
14,Pars.Ceram,20010529,6065.0,6065.0,6065.0,5264420,868,2,D,6064.0,6065.0
15,Pars.Ceram,20010530,6069.0,6069.0,6069.0,18267690,3010,2,D,6065.0,6069.0
16,Pars.Ceram,20010603,6201.0,6083.0,6201.0,17338072,2806,4,D,6069.0,6201.0
17,Pars.Ceram,20010609,6204.0,6204.0,6204.0,620400,100,1,D,6201.0,6204.0
