,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Shiraz.Petr.,20051102,1000.0,1000.0,1000.0,6668972000,6668972,755,D,1000.0,1000.0
1,Shiraz.Petr.,20051105,1049.0,1007.0,1029.0,2024402028,1961855,511,D,1000.0,1029.0
2,Shiraz.Petr.,20051106,1078.0,1030.0,1044.0,2293592280,2196166,547,D,1029.0,1044.0
3,Shiraz.Petr.,20051107,1060.0,1039.0,1047.0,1110047409,1057001,353,D,1044.0,1047.0
4,Shiraz.Petr.,20051108,1052.0,1030.0,1044.0,600423033,577387,199,D,1047.0,1044.0
5,Shiraz.Petr.,20051109,1044.0,1011.0,1040.0,580994576,562709,177,D,1044.0,1040.0
6,Shiraz.Petr.,20051112,1051.0,1030.0,1040.0,349468320,335184,124,D,1040.0,1040.0
7,Shiraz.Petr.,20051113,1038.0,1029.0,1038.0,345192593,334596,108,D,1040.0,1038.0
8,Shiraz.Petr.,20051114,1036.0,1018.0,1036.0,269524744,262832,97,D,1038.0,1036.0
9,Shiraz.Petr.,20051115,1032.0,1016.0,1032.0,339754173,333769,115,D,1036.0,1032.0
10,Shiraz.Petr.,20051116,1030.0,1012.0,1030.0,146710306,144644,49,D,1032.0,1030.0
11,Shiraz.Petr.,20051119,1028.0,1010.0,1028.0,110404000,109130,48,D,1030.0,1028.0
12,Shiraz.Petr.,20051120,1027.0,1008.0,1027.0,79585204,78888,33,D,1028.0,1027.0
13,Shiraz.Petr.,20051121,1026.0,1007.0,1026.0,86263736,85659,31,D,1027.0,1026.0
14,Shiraz.Petr.,20051122,1024.0,1006.0,1024.0,183863782,182767,66,D,1026.0,1024.0
15,Shiraz.Petr.,20051123,1040.0,1006.0,1023.0,436682248,427386,124,D,1024.0,1023.0
16,Shiraz.Petr.,20051126,1074.0,1038.0,1040.0,825654221,771002,171,D,1023.0,1040.0
17,Shiraz.Petr.,20051127,1092.0,1020.0,1058.0,863681011,793351,236,D,1040.0,1058.0
18,Shiraz.Petr.,20051129,1110.0,1051.0,1070.0,641580631,581176,185,D,1058.0,1070.0
19,Shiraz.Petr.,20051130,1123.0,1099.0,1099.0,1270710196,1131532,237,D,1070.0,1099.0
20,Shiraz.Petr.,20051203,1153.0,1076.0,1153.0,14393312417,13227588,1731,D,1099.0,1153.0
21,Shiraz.Petr.,20051204,1210.0,1210.0,1210.0,2561410280,2116868,410,D,1153.0,1210.0
22,Shiraz.Petr.,20051205,1270.0,1199.0,1229.0,1219900236,974673,344,D,1210.0,1229.0
23,Shiraz.Petr.,20051206,1290.0,1290.0,1290.0,2755086540,2135726,622,D,1229.0,1290.0
24,Shiraz.Petr.,20051210,1354.0,1293.0,1353.0,3766274334,2782187,721,D,1290.0,1353.0
25,Shiraz.Petr.,20051211,1420.0,1410.0,1419.0,4177822080,2942180,674,D,1353.0,1419.0
26,Shiraz.Petr.,20051212,1489.0,1401.0,1477.0,8924707322,6041487,1372,D,1419.0,1477.0
27,Shiraz.Petr.,20051213,1530.0,1450.0,1490.0,3303916808,2216799,742,D,1477.0,1490.0
28,Shiraz.Petr.,20051214,1481.0,1416.0,1466.0,1184577805,826070,327,D,1490.0,1466.0
29,Shiraz.Petr.,20051217,1454.0,1393.0,1454.0,453635239,325653,135,D,1466.0,1454.0
30,Shiraz.Petr.,20051218,1445.0,1382.0,1445.0,340054168,246059,102,D,1454.0,1445.0
31,Shiraz.Petr.,20051219,1404.0,1373.0,1404.0,1560664696,1136682,270,D,1445.0,1404.0
32,Shiraz.Petr.,20051220,1393.0,1334.0,1363.0,1993331197,1478009,461,D,1404.0,1363.0
33,Shiraz.Petr.,20051221,1370.0,1340.0,1359.0,811742122,600998,184,D,1363.0,1359.0
34,Shiraz.Petr.,20051224,1426.0,1390.0,1398.0,2053411659,1450520,287,D,1359.0,1398.0
35,Shiraz.Petr.,20051225,1440.0,1356.0,1400.0,1000413622,712367,208,D,1398.0,1400.0
36,Shiraz.Petr.,20051226,1439.0,1380.0,1401.0,351220410,248893,120,D,1400.0,1401.0
37,Shiraz.Petr.,20051227,1423.0,1361.0,1400.0,536726433,384047,154,D,1401.0,1400.0
38,Shiraz.Petr.,20051228,1418.0,1384.0,1400.0,509175323,363032,123,D,1400.0,1400.0
39,Shiraz.Petr.,20051231,1400.0,1200.0,1399.0,725070799,548904,138,D,1400.0,1399.0
40,Shiraz.Petr.,20060101,1397.0,1346.0,1395.0,258478960,190383,75,D,1399.0,1395.0
41,Shiraz.Petr.,20060102,1398.0,1365.0,1394.0,272518685,196562,83,D,1395.0,1394.0
42,Shiraz.Petr.,20060103,1399.0,1366.0,1392.0,393860118,284699,104,D,1394.0,1392.0
43,Shiraz.Petr.,20060104,1391.0,1334.0,1391.0,130571417,95051,45,D,1392.0,1391.0
44,Shiraz.Petr.,20060107,1387.0,1322.0,1387.0,170168913,127855,39,D,1391.0,1387.0
45,Shiraz.Petr.,20060108,1373.0,1318.0,1373.0,547301999,414707,106,D,1387.0,1373.0
46,Shiraz.Petr.,20060109,1369.0,1314.0,1369.0,199199525,149833,76,D,1373.0,1369.0
47,Shiraz.Petr.,20060110,1359.0,1301.0,1359.0,437021391,333751,79,D,1369.0,1359.0
48,Shiraz.Petr.,20060114,1358.0,1292.0,1358.0,21508584,16647,13,D,1359.0,1358.0
49,Shiraz.Petr.,20060115,1357.0,1291.0,1357.0,37172423,28793,16,D,1358.0,1357.0
50,Shiraz.Petr.,20060116,1355.0,1290.0,1355.0,58165460,45089,17,D,1357.0,1355.0
51,Shiraz.Petr.,20060117,1340.0,1288.0,1337.0,742477181,574107,145,D,1355.0,1337.0
52,Shiraz.Petr.,20060118,1339.0,1282.0,1336.0,99471517,75743,34,D,1337.0,1336.0
53,Shiraz.Petr.,20060121,1332.0,1270.0,1332.0,154732959,121818,38,D,1336.0,1332.0
54,Shiraz.Petr.,20060122,1329.0,1266.0,1329.0,90677880,71625,26,D,1332.0,1329.0
55,Shiraz.Petr.,20060123,1327.0,1263.0,1327.0,47896126,37922,20,D,1329.0,1327.0
56,Shiraz.Petr.,20060124,1326.0,1261.0,1326.0,16533621,13111,7,D,1327.0,1326.0
57,Shiraz.Petr.,20060125,1323.0,1260.0,1323.0,89247690,70831,23,D,1326.0,1323.0
58,Shiraz.Petr.,20060128,1322.0,1257.0,1322.0,18276173,14539,14,D,1323.0,1322.0
59,Shiraz.Petr.,20060129,1307.0,1256.0,1307.0,586531963,465881,164,D,1322.0,1307.0
60,Shiraz.Petr.,20060130,1303.0,1242.0,1303.0,146683551,117583,60,D,1307.0,1303.0
61,Shiraz.Petr.,20060131,1301.0,1238.0,1301.0,65422740,52845,23,D,1303.0,1301.0
62,Shiraz.Petr.,20060201,1300.0,1236.0,1300.0,33427024,27044,13,D,1301.0,1300.0
63,Shiraz.Petr.,20060204,1298.0,1235.0,1298.0,40270275,32607,14,D,1300.0,1298.0
64,Shiraz.Petr.,20060205,1297.0,1234.0,1297.0,1841758,1492,3,D,1298.0,1297.0
65,Shiraz.Petr.,20060206,1296.0,1233.0,1296.0,7984305,6475,6,D,1297.0,1296.0
66,Shiraz.Petr.,20060207,1295.0,1232.0,1295.0,2861334,2322,5,D,1296.0,1295.0
67,Shiraz.Petr.,20060212,1294.0,1231.0,1294.0,3989070,3240,2,D,1295.0,1294.0
68,Shiraz.Petr.,20060214,1293.0,1230.0,1293.0,16910670,13748,7,D,1294.0,1293.0
69,Shiraz.Petr.,20060215,1292.0,1268.0,1292.0,12251656,9662,10,D,1293.0,1292.0
70,Shiraz.Petr.,20060218,1291.0,1267.0,1291.0,6371983,5029,4,D,1292.0,1291.0
71,Shiraz.Petr.,20060219,1290.0,1266.0,1290.0,3117132,2462,4,D,1291.0,1290.0
72,Shiraz.Petr.,20060220,1289.0,1265.0,1289.0,4479605,3541,4,D,1290.0,1289.0
73,Shiraz.Petr.,20060221,1288.0,1264.0,1288.0,22177120,17545,4,D,1289.0,1288.0
74,Shiraz.Petr.,20060222,1287.0,1263.0,1287.0,23269752,18424,18,D,1288.0,1287.0
75,Shiraz.Petr.,20060225,1286.0,1262.0,1286.0,37578814,29777,15,D,1287.0,1286.0
76,Shiraz.Petr.,20060226,1285.0,1261.0,1285.0,26027280,20640,8,D,1286.0,1285.0
77,Shiraz.Petr.,20060227,1284.0,1260.0,1284.0,32925300,26131,14,D,1285.0,1284.0
78,Shiraz.Petr.,20060228,1283.0,1259.0,1283.0,89031684,70716,25,D,1284.0,1283.0
79,Shiraz.Petr.,20060301,1282.0,1258.0,1282.0,2697392,2144,2,D,1283.0,1282.0
80,Shiraz.Petr.,20060304,1281.0,1257.0,1281.0,8853291,7043,4,D,1282.0,1281.0
81,Shiraz.Petr.,20060305,1280.0,1256.0,1280.0,21590880,17190,9,D,1281.0,1280.0
82,Shiraz.Petr.,20060306,1279.0,1255.0,1279.0,5177115,4125,4,D,1280.0,1279.0
83,Shiraz.Petr.,20060307,1278.0,1254.0,1278.0,29281140,23350,9,D,1279.0,1278.0
84,Shiraz.Petr.,20060308,1277.0,1253.0,1277.0,18419340,14700,10,D,1278.0,1277.0
85,Shiraz.Petr.,20060312,1276.0,1252.0,1276.0,34455520,27520,16,D,1277.0,1276.0
86,Shiraz.Petr.,20060313,1275.0,1251.0,1275.0,8010393,6403,7,D,1276.0,1275.0
87,Shiraz.Petr.,20060314,1274.0,1250.0,1274.0,35607740,28486,10,D,1275.0,1274.0
88,Shiraz.Petr.,20060315,1273.0,1249.0,1273.0,5901765,4725,10,D,1274.0,1273.0
89,Shiraz.Petr.,20060318,1272.0,1248.0,1272.0,4020048,3221,6,D,1273.0,1272.0
90,Shiraz.Petr.,20060319,1271.0,1247.0,1271.0,45610512,36576,14,D,1272.0,1271.0
91,Shiraz.Petr.,20060325,1270.0,1246.0,1270.0,13407200,10760,4,D,1271.0,1270.0
92,Shiraz.Petr.,20060327,1269.0,1245.0,1269.0,1006200,808,3,D,1270.0,1269.0
93,Shiraz.Petr.,20060328,1268.0,1244.0,1268.0,757836,609,2,D,1269.0,1268.0
