,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Palayesh.Tehran,20161030,3499.0,3410.0,3438.0,9036983324,2628351,304,D,1000.0,3433.0
1,Palayesh.Tehran,20161031,3480.0,3330.0,3372.0,21990673928,6522319,974,D,3438.0,3330.0
2,Palayesh.Tehran,20161101,3330.0,3222.0,3263.0,17706253809,5426370,904,D,3372.0,3238.0
3,Palayesh.Tehran,20161102,3310.0,3200.0,3277.0,12453574611,3799927,670,D,3263.0,3260.0
4,Palayesh.Tehran,20161105,3230.0,3114.0,3121.0,24434080751,7827796,1317,D,3277.0,3114.0
5,Palayesh.Tehran,20161106,3180.0,3050.0,3121.0,11661019688,3736146,699,D,3121.0,3115.0
6,Palayesh.Tehran,20161107,3210.0,3120.0,3155.0,18692530446,5924168,813,D,3121.0,3125.0
7,Palayesh.Tehran,20161108,3188.0,3099.0,3122.0,21531407583,6895616,876,D,3155.0,3139.0
8,Palayesh.Tehran,20161109,3084.0,2966.0,2999.0,34831991799,11614230,1303,D,3122.0,3075.0
9,Palayesh.Tehran,20161112,3075.0,2961.0,2990.0,19995345342,6688420,956,D,2999.0,2971.0
10,Palayesh.Tehran,20161113,3069.0,2958.0,3016.0,10514348166,3486636,548,D,2990.0,3011.0
11,Palayesh.Tehran,20161114,3145.0,3019.0,3099.0,14828736861,4785279,676,D,3016.0,3090.0
12,Palayesh.Tehran,20161115,3130.0,3040.0,3074.0,9390547956,3057544,535,D,3099.0,3060.0
13,Palayesh.Tehran,20161116,3109.0,3033.0,3073.0,23305084069,7583817,464,D,3074.0,3055.0
14,Palayesh.Tehran,20161119,3100.0,3043.0,3063.0,6526211744,2134393,402,D,3073.0,3052.0
15,Palayesh.Tehran,20161121,3128.0,3070.0,3088.0,6877114316,2218820,472,D,3063.0,3074.0
16,Palayesh.Tehran,20161122,3177.0,3080.0,3125.0,14481578291,4634468,648,D,3088.0,3130.0
17,Palayesh.Tehran,20161123,3130.0,3093.0,3112.0,8526322704,2742319,453,D,3125.0,3100.0
18,Palayesh.Tehran,20161126,3100.0,3041.0,3063.0,9163668290,2994912,507,D,3112.0,3044.0
19,Palayesh.Tehran,20161127,3090.0,3030.0,3047.0,9379466811,3079436,544,D,3063.0,3042.0
20,Palayesh.Tehran,20161129,3074.0,3035.0,3054.0,9733384678,3187321,477,D,3047.0,3058.0
21,Palayesh.Tehran,20161203,3206.0,3110.0,3177.0,71827793447,22611701,2080,D,3054.0,3110.0
22,Palayesh.Tehran,20161204,3151.0,3081.0,3101.0,10543961825,3400182,647,D,3177.0,3081.0
23,Palayesh.Tehran,20161205,3101.0,3000.0,3064.0,102580491000,33474639,1104,D,3101.0,3050.0
24,Palayesh.Tehran,20161206,3150.0,3051.0,3101.0,29028037355,9361947,995,D,3064.0,3058.0
25,Palayesh.Tehran,20161207,3140.0,3050.0,3094.0,21375265764,6908518,640,D,3101.0,3097.0
26,Palayesh.Tehran,20161210,3220.0,3115.0,3159.0,27031180659,8555778,1141,D,3094.0,3150.0
27,Palayesh.Tehran,20161211,3195.0,3134.0,3168.0,16390761041,5173333,914,D,3159.0,3195.0
28,Palayesh.Tehran,20161212,3298.0,3160.0,3219.0,42778662164,13290333,1824,D,3168.0,3180.0
29,Palayesh.Tehran,20161213,3229.0,3101.0,3145.0,15616955232,4965966,821,D,3219.0,3110.0
30,Palayesh.Tehran,20161214,3121.0,3070.0,3088.0,12502962744,4049072,614,D,3145.0,3091.0
31,Palayesh.Tehran,20161218,3108.0,3011.0,3047.0,11180753065,3669162,688,D,3088.0,3040.0
