,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Rena.Investment,20010325,1600.0,1600.0,1600.0,1600000,1000,1,D,0.0,1600.0
1,Rena.Investment,20010327,1590.0,1580.0,1590.0,10059060,6340,16,D,1600.0,1590.0
2,Rena.Investment,20010328,1605.0,1600.0,1605.0,2966080,1853,3,D,1590.0,1605.0
3,Rena.Investment,20010331,1668.0,1603.0,1627.0,7750619,4696,4,D,1605.0,1627.0
4,Rena.Investment,20010407,1669.0,1628.0,1669.0,13111456,7983,6,D,1627.0,1669.0
5,Rena.Investment,20010408,1670.0,1665.0,1665.0,60877277,36473,15,D,1669.0,1665.0
6,Rena.Investment,20010409,1631.0,1631.0,1631.0,8981917,5507,13,D,1665.0,1631.0
7,Rena.Investment,20010410,1636.0,1604.0,1631.0,110007366,67442,47,D,1631.0,1631.0
8,Rena.Investment,20010411,1670.0,1601.0,1670.0,87795841,54085,21,D,1631.0,1670.0
9,Rena.Investment,20010414,1670.0,1640.0,1670.0,68665212,41203,28,D,1670.0,1670.0
10,Rena.Investment,20010415,1660.0,1620.0,1645.0,44225825,27123,10,D,1670.0,1645.0
11,Rena.Investment,20010416,1710.0,1649.0,1700.0,106940372,63954,50,D,1645.0,1700.0
12,Rena.Investment,20010417,1699.0,1671.0,1680.0,105648296,62592,51,D,1700.0,1680.0
13,Rena.Investment,20010418,1700.0,1665.0,1700.0,41716244,24762,21,D,1680.0,1700.0
14,Rena.Investment,20010421,1785.0,1700.0,1785.0,72515428,41609,19,D,1700.0,1785.0
15,Rena.Investment,20010422,1874.0,1800.0,1825.0,201699825,109830,49,D,1785.0,1825.0
16,Rena.Investment,20010423,1916.0,1825.0,1910.0,573221223,303322,75,D,1825.0,1910.0
17,Rena.Investment,20010424,1911.0,1850.0,1855.0,199497162,106570,65,D,1910.0,1855.0
18,Rena.Investment,20010425,1920.0,1830.0,1920.0,237361014,125682,63,D,1855.0,1920.0
19,Rena.Investment,20010428,1971.0,1920.0,1931.0,314963890,161252,82,D,1920.0,1931.0
20,Rena.Investment,20010429,1935.0,1918.0,1930.0,182798175,94656,45,D,1931.0,1930.0
21,Rena.Investment,20010430,1900.0,1899.0,1900.0,43885672,23100,18,D,1930.0,1900.0
22,Rena.Investment,20010501,1894.0,1840.0,1850.0,117093322,63285,49,D,1900.0,1850.0
23,Rena.Investment,20010502,1810.0,1780.0,1800.0,103494990,57484,46,D,1850.0,1800.0
24,Rena.Investment,20010505,1850.0,1800.0,1850.0,163485544,89715,57,D,1800.0,1850.0
25,Rena.Investment,20010506,1910.0,1870.0,1900.0,112012615,58941,38,D,1850.0,1900.0
26,Rena.Investment,20010507,1900.0,1890.0,1892.0,71087840,37496,51,D,1900.0,1892.0
27,Rena.Investment,20010508,1900.0,1888.0,1890.0,64498317,34050,29,D,1892.0,1890.0
28,Rena.Investment,20010509,1900.0,1870.0,1870.0,120350409,64090,77,D,1890.0,1870.0
29,Rena.Investment,20010512,1871.0,1869.0,1870.0,54149982,28958,15,D,1870.0,1870.0
30,Rena.Investment,20010513,1868.0,1847.0,1849.0,50153502,27079,19,D,1870.0,1849.0
31,Rena.Investment,20010515,1805.0,1800.0,1803.0,46140421,25597,35,D,1849.0,1803.0
32,Rena.Investment,20010516,1840.0,1800.0,1820.0,190315727,104926,71,D,1803.0,1820.0
33,Rena.Investment,20010519,1880.0,1820.0,1860.0,199610119,106887,53,D,1820.0,1860.0
34,Rena.Investment,20010520,1870.0,1850.0,1865.0,59417900,31886,41,D,1860.0,1865.0
35,Rena.Investment,20010521,1850.0,1820.0,1847.0,115132063,62952,36,D,1865.0,1847.0
36,Rena.Investment,20010523,1847.0,1820.0,1830.0,50804942,27688,26,D,1847.0,1830.0
37,Rena.Investment,20010526,1831.0,1810.0,1820.0,180653356,99396,81,D,1830.0,1820.0
38,Rena.Investment,20010527,1880.0,1811.0,1863.0,81775319,44043,34,D,1820.0,1863.0
39,Rena.Investment,20010528,1956.0,1900.0,1956.0,307353639,158284,88,D,1863.0,1956.0
40,Rena.Investment,20010529,2000.0,1930.0,1930.0,364504213,185097,124,D,1956.0,1930.0
41,Rena.Investment,20010530,1930.0,1900.0,1920.0,204056775,106996,166,D,1930.0,1920.0
42,Rena.Investment,20010602,1921.0,1900.0,1904.0,67256410,35150,35,D,1920.0,1904.0
43,Rena.Investment,20010603,1913.0,1901.0,1910.0,263037751,138174,69,D,1904.0,1910.0
44,Rena.Investment,20010606,1930.0,1910.0,1915.0,212445028,110941,79,D,1910.0,1915.0
45,Rena.Investment,20010609,1920.0,1915.0,1915.0,113506281,59167,35,D,1915.0,1915.0
46,Rena.Investment,20010611,1950.0,1916.0,1950.0,84834980,43850,31,D,1915.0,1950.0
47,Rena.Investment,20010612,1970.0,1947.0,1947.0,90113762,46145,34,D,1950.0,1947.0
48,Rena.Investment,20010613,1926.0,1914.0,1920.0,186431160,97113,53,D,1947.0,1920.0
49,Rena.Investment,20010616,1920.0,1900.0,1900.0,116561426,61060,61,D,1920.0,1900.0
50,Rena.Investment,20010617,1900.0,1860.0,1900.0,245585966,130336,57,D,1900.0,1900.0
51,Rena.Investment,20010618,1900.0,1878.0,1900.0,129472222,68558,52,D,1900.0,1900.0
52,Rena.Investment,20010619,1900.0,1870.0,1900.0,160897524,85050,50,D,1900.0,1900.0
53,Rena.Investment,20010620,1900.0,1870.0,1900.0,284535357,150439,60,D,1900.0,1900.0
54,Rena.Investment,20010623,1900.0,1893.0,1900.0,89947649,47343,39,D,1900.0,1900.0
55,Rena.Investment,20010624,1900.0,1892.0,1900.0,156186910,82296,57,D,1900.0,1900.0
56,Rena.Investment,20010625,1901.0,1893.0,1900.0,129262626,68033,50,D,1900.0,1900.0
57,Rena.Investment,20010626,1907.0,1900.0,1907.0,81168943,42694,37,D,1900.0,1907.0
58,Rena.Investment,20010627,1920.0,1900.0,1908.0,225750803,118119,85,D,1907.0,1908.0
59,Rena.Investment,20010630,1917.0,1902.0,1916.0,60660609,31762,37,D,1908.0,1916.0
60,Rena.Investment,20010701,1920.0,1917.0,1920.0,69576975,36262,49,D,1916.0,1920.0
61,Rena.Investment,20010702,1950.0,1925.0,1935.0,168925104,87155,62,D,1920.0,1935.0
62,Rena.Investment,20010703,2000.0,1936.0,1982.0,416787067,211519,122,D,1935.0,1982.0
63,Rena.Investment,20010704,2010.0,1960.0,1960.0,284018856,142565,66,D,1982.0,1960.0
64,Rena.Investment,20010707,1960.0,1943.0,1950.0,77124472,39578,37,D,1960.0,1950.0
65,Rena.Investment,20010708,1951.0,1942.0,1950.0,70362874,36127,43,D,1950.0,1950.0
66,Rena.Investment,20010709,1961.0,1950.0,1960.0,133037945,67933,48,D,1950.0,1960.0
67,Rena.Investment,20010710,1960.0,1911.0,1950.0,73053619,37554,37,D,1960.0,1950.0
68,Rena.Investment,20010711,1950.0,1920.0,1950.0,113466967,58803,45,D,1950.0,1950.0
69,Rena.Investment,20010714,1970.0,1947.0,1970.0,108789377,55596,51,D,1950.0,1970.0
70,Rena.Investment,20010715,1990.0,1970.0,1975.0,242053983,122522,89,D,1970.0,1975.0
71,Rena.Investment,20010716,1977.0,1971.0,1977.0,74824329,37907,35,D,1975.0,1977.0
72,Rena.Investment,20010717,2000.0,1977.0,2000.0,312407072,156461,116,D,1977.0,2000.0
73,Rena.Investment,20010718,2080.0,2000.0,2070.0,246291481,119891,62,D,2000.0,2070.0
74,Rena.Investment,20010721,2080.0,2060.0,2070.0,236222572,114049,60,D,2070.0,2070.0
75,Rena.Investment,20010722,2130.0,2070.0,2120.0,263078085,125034,86,D,2070.0,2120.0
76,Rena.Investment,20010723,2135.0,2070.0,2088.0,172457342,81767,67,D,2120.0,2088.0
77,Rena.Investment,20010724,2090.0,2072.0,2090.0,197261061,94733,53,D,2088.0,2090.0
78,Rena.Investment,20010725,2099.0,2070.0,2082.0,214849849,103408,65,D,2090.0,2082.0
79,Rena.Investment,20010728,2094.0,2051.0,2086.0,232622763,111501,86,D,2082.0,2086.0
80,Rena.Investment,20010729,2110.0,2071.0,2110.0,165306244,79130,49,D,2086.0,2110.0
81,Rena.Investment,20010730,2119.0,2084.0,2119.0,148553714,70622,32,D,2110.0,2119.0
82,Rena.Investment,20010731,2121.0,2107.0,2120.0,283637661,134150,80,D,2119.0,2120.0
83,Rena.Investment,20010801,2180.0,2121.0,2150.0,305845488,142380,110,D,2120.0,2150.0
84,Rena.Investment,20010804,2257.0,2150.0,2213.0,604069744,274729,146,D,2150.0,2213.0
85,Rena.Investment,20010805,2226.0,2112.0,2180.0,386010846,174692,134,D,2213.0,2180.0
86,Rena.Investment,20010806,2190.0,2132.0,2180.0,238444302,111028,80,D,2180.0,2180.0
87,Rena.Investment,20010807,2198.0,2180.0,2194.0,376470894,171824,93,D,2180.0,2194.0
88,Rena.Investment,20010808,2227.0,2195.0,2220.0,403955937,182674,92,D,2194.0,2220.0
89,Rena.Investment,20010811,2250.0,2220.0,2235.0,189125085,84574,79,D,2220.0,2235.0
90,Rena.Investment,20010812,2250.0,2235.0,2235.0,240240174,107064,76,D,2235.0,2235.0
91,Rena.Investment,20010813,2249.0,2216.0,2216.0,280065807,125357,270,D,2235.0,2216.0
92,Rena.Investment,20010814,2250.0,2190.0,2250.0,406791847,183510,115,D,2216.0,2250.0
93,Rena.Investment,20010815,2300.0,2240.0,2270.0,185626121,82069,56,D,2250.0,2270.0
94,Rena.Investment,20010818,2300.0,2270.0,2286.0,372092498,163003,112,D,2270.0,2286.0
95,Rena.Investment,20010819,2300.0,2286.0,2299.0,559014272,243974,108,D,2286.0,2299.0
96,Rena.Investment,20010820,2300.0,2279.0,2293.0,474010406,206966,110,D,2299.0,2293.0
97,Rena.Investment,20010821,2280.0,2240.0,2245.0,65225016,28977,31,D,2293.0,2245.0
98,Rena.Investment,20010822,2244.0,2200.0,2200.0,293218303,132728,55,D,2245.0,2200.0
99,Rena.Investment,20010825,2226.0,2200.0,2208.0,414591886,187818,105,D,2200.0,2208.0
100,Rena.Investment,20010826,2210.0,2190.0,2190.0,309149727,140327,93,D,2208.0,2190.0
101,Rena.Investment,20010827,2200.0,2142.0,2193.0,160626080,73514,60,D,2190.0,2193.0
102,Rena.Investment,20010828,2191.0,2152.0,2190.0,126722534,58023,53,D,2193.0,2190.0
103,Rena.Investment,20010829,2190.0,2185.0,2190.0,248175663,113381,72,D,2190.0,2190.0
104,Rena.Investment,20010901,2190.0,2170.0,2180.0,510327102,234012,140,D,2190.0,2180.0
105,Rena.Investment,20010902,2180.0,2152.0,2169.0,226054991,104231,50,D,2180.0,2169.0
106,Rena.Investment,20010903,2169.0,2100.0,2100.0,208507162,97596,53,D,2169.0,2100.0
107,Rena.Investment,20010904,2101.0,2050.0,2060.0,171827680,82246,57,D,2100.0,2060.0
108,Rena.Investment,20010905,2099.0,2060.0,2090.0,494826891,238857,112,D,2060.0,2090.0
109,Rena.Investment,20010908,2100.0,2088.0,2092.0,291974713,139344,83,D,2090.0,2092.0
110,Rena.Investment,20010909,2139.0,2090.0,2110.0,244431528,116281,64,D,2092.0,2110.0
111,Rena.Investment,20010910,2131.0,2106.0,2130.0,157638550,74191,74,D,2110.0,2130.0
112,Rena.Investment,20010911,2135.0,2120.0,2120.0,338323384,158908,81,D,2130.0,2120.0
113,Rena.Investment,20010912,2119.0,2030.0,2090.0,497822595,240007,119,D,2120.0,2090.0
114,Rena.Investment,20010915,2060.0,2000.0,2000.0,828688736,410200,172,D,2090.0,2000.0
115,Rena.Investment,20011010,1400.0,1300.0,1300.0,74050400,56808,16,D,2000.0,1300.0
116,Rena.Investment,20011013,1320.0,1300.0,1320.0,89231447,68576,36,D,1300.0,1320.0
117,Rena.Investment,20011014,1331.0,1319.0,1325.0,96861148,73111,43,D,1320.0,1325.0
118,Rena.Investment,20011016,1371.0,1325.0,1371.0,118282074,87600,40,D,1325.0,1371.0
119,Rena.Investment,20011017,1425.0,1375.0,1395.0,263117370,186810,73,D,1371.0,1395.0
120,Rena.Investment,20011020,1399.0,1381.0,1398.0,273366335,195874,72,D,1395.0,1398.0
121,Rena.Investment,20011021,1467.0,1400.0,1467.0,96825754,66714,39,D,1398.0,1467.0
122,Rena.Investment,20011022,1503.0,1467.0,1480.0,234208222,156763,86,D,1467.0,1480.0
123,Rena.Investment,20011023,1480.0,1450.0,1450.0,118138011,80711,38,D,1480.0,1450.0
124,Rena.Investment,20011024,1500.0,1449.0,1470.0,176699661,119412,57,D,1450.0,1470.0
125,Rena.Investment,20011027,1470.0,1440.0,1450.0,95273377,65472,32,D,1470.0,1450.0
126,Rena.Investment,20011028,1450.0,1420.0,1420.0,82891580,58080,19,D,1450.0,1420.0
127,Rena.Investment,20011029,1430.0,1399.0,1430.0,55111985,39210,33,D,1420.0,1430.0
128,Rena.Investment,20011030,1470.0,1445.0,1470.0,111417318,76469,48,D,1430.0,1470.0
129,Rena.Investment,20011031,1470.0,1464.0,1469.0,71828818,48915,38,D,1470.0,1469.0
130,Rena.Investment,20011103,1469.0,1459.0,1460.0,33212168,22709,10,D,1469.0,1460.0
131,Rena.Investment,20011104,1432.0,1429.0,1430.0,24322224,17000,11,D,1460.0,1430.0
132,Rena.Investment,20011105,1440.0,1411.0,1440.0,155125097,108559,73,D,1430.0,1440.0
133,Rena.Investment,20011106,1440.0,1423.0,1425.0,56804715,39722,23,D,1440.0,1425.0
134,Rena.Investment,20011107,1425.0,1403.0,1425.0,77253876,54515,39,D,1425.0,1425.0
135,Rena.Investment,20011110,1445.0,1420.0,1440.0,113625900,79458,134,D,1425.0,1440.0
136,Rena.Investment,20011111,1438.0,1411.0,1411.0,86607319,61024,45,D,1440.0,1411.0
137,Rena.Investment,20011112,1412.0,1405.0,1411.0,116719085,82816,75,D,1411.0,1411.0
138,Rena.Investment,20011113,1419.0,1410.0,1416.0,46323167,32739,20,D,1411.0,1416.0
139,Rena.Investment,20011114,1435.0,1421.0,1426.0,21990656,15406,14,D,1416.0,1426.0
140,Rena.Investment,20011117,1431.0,1423.0,1423.0,37817042,26487,22,D,1426.0,1423.0
141,Rena.Investment,20011118,1420.0,1410.0,1415.0,47395826,33552,25,D,1423.0,1415.0
142,Rena.Investment,20011119,1411.0,1406.0,1410.0,57714027,40948,36,D,1415.0,1410.0
143,Rena.Investment,20011120,1411.0,1403.0,1403.0,50087443,35569,29,D,1410.0,1403.0
144,Rena.Investment,20011121,1404.0,1400.0,1402.0,86869008,62008,45,D,1403.0,1402.0
145,Rena.Investment,20011124,1415.0,1390.0,1415.0,101223364,72002,36,D,1402.0,1415.0
146,Rena.Investment,20011125,1424.0,1410.0,1414.0,70800799,49922,40,D,1415.0,1414.0
147,Rena.Investment,20011126,1412.0,1390.0,1400.0,197272536,140872,63,D,1414.0,1400.0
148,Rena.Investment,20011127,1425.0,1400.0,1401.0,155357788,110264,54,D,1400.0,1401.0
149,Rena.Investment,20011128,1402.0,1390.0,1400.0,101672819,72658,45,D,1401.0,1400.0
150,Rena.Investment,20011201,1410.0,1399.0,1400.0,121009951,86413,55,D,1400.0,1400.0
151,Rena.Investment,20011202,1400.0,1390.0,1400.0,96149828,69116,31,D,1400.0,1400.0
152,Rena.Investment,20011203,1403.0,1389.0,1403.0,128427792,92139,37,D,1400.0,1403.0
153,Rena.Investment,20011204,1412.0,1403.0,1412.0,70136595,49852,27,D,1403.0,1412.0
154,Rena.Investment,20011205,1435.0,1409.0,1435.0,151172248,106099,49,D,1412.0,1435.0
155,Rena.Investment,20011208,1440.0,1427.0,1435.0,131916456,92094,45,D,1435.0,1435.0
