,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Casting-R,20100711,501.0,500.0,500.0,522215000,1044410,41,D,1000.0,500.0
1,Iran.Casting-R,20150715,726.0,603.0,684.0,8976032955,13125025,920,D,500.0,726.0
2,Iran.Casting-R,20150720,752.0,730.0,750.0,13435685522,17917115,1081,D,684.0,752.0
3,Iran.Casting-R,20150721,800.0,700.0,755.0,12324360008,16325466,1403,D,750.0,741.0
4,Iran.Casting-R,20150722,748.0,695.0,728.0,7991723986,10978822,833,D,755.0,731.0
5,Iran.Casting-R,20150725,743.0,656.0,672.0,4129047762,6140027,526,D,728.0,656.0
6,Iran.Casting-R,20150726,739.0,670.0,714.0,8298373886,11625031,875,D,672.0,739.0
7,Iran.Casting-R,20150727,766.0,708.0,735.0,6247515069,8501947,724,D,714.0,728.0
8,Iran.Casting-R,20150728,770.0,717.0,745.0,7038969818,9448964,911,D,735.0,729.0
9,Iran.Casting-R,20150729,785.0,735.0,756.0,12174100389,16101555,1201,D,745.0,735.0
10,Iran.Casting-R,20150801,760.0,698.0,711.0,7026363315,9885421,941,D,756.0,705.0
11,Iran.Casting-R,20150802,709.0,665.0,676.0,5162176601,7635233,548,D,711.0,670.0
12,Iran.Casting-R,20150803,693.0,640.0,654.0,5902895367,9023364,672,D,676.0,650.0
13,Iran.Casting-R,20150804,691.0,637.0,669.0,5023843438,7507205,669,D,654.0,670.0
14,Iran.Casting-R,20150805,694.0,650.0,668.0,6352430574,9505632,644,D,669.0,655.0
15,Iran.Casting-R,20150808,652.0,602.0,610.0,6196368308,10149728,783,D,668.0,605.0
16,Iran.Casting-R,20150809,629.0,580.0,605.0,2856694781,4718374,388,D,610.0,594.0
17,Iran.Casting-R,20150810,609.0,564.0,582.0,1883322811,3233492,286,D,605.0,574.0
18,Iran.Casting-R,20150812,588.0,531.0,550.0,2004005434,3644810,298,D,582.0,540.0
19,Iran.Casting-R,20150815,531.0,495.0,501.0,2623669958,5234311,354,D,550.0,495.0
20,Iran.Casting-R,20150816,524.0,472.0,497.0,3117171772,6275349,469,D,501.0,490.0
21,Iran.Casting-R,20150817,499.0,448.0,458.0,2314033067,5057270,388,D,497.0,458.0
