,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Zinc.Mines,20010409,1930.0,1900.0,1928.0,1778870500,931000,309,D,0.0,1928.0
1,Iran.Zinc.Mines,20010410,2024.0,2024.0,2024.0,645656000,319000,128,D,1928.0,2024.0
2,Iran.Zinc.Mines,20010415,2125.0,2125.0,2125.0,10625000,5000,6,D,2024.0,2125.0
3,Iran.Zinc.Mines,20010416,2231.0,2231.0,2231.0,2231000,1000,2,D,2125.0,2231.0
4,Iran.Zinc.Mines,20010421,2342.0,2342.0,2342.0,244739000,104500,60,D,2231.0,2342.0
5,Iran.Zinc.Mines,20010422,2459.0,2459.0,2459.0,245900000,100000,61,D,2342.0,2459.0
6,Iran.Zinc.Mines,20010423,2520.0,2520.0,2520.0,126000000,50000,37,D,2459.0,2520.0
7,Iran.Zinc.Mines,20010424,2583.0,2583.0,2583.0,129150000,50000,61,D,2520.0,2583.0
8,Iran.Zinc.Mines,20010425,2647.0,2647.0,2647.0,198525000,75000,59,D,2583.0,2647.0
9,Iran.Zinc.Mines,20010428,2673.0,2673.0,2673.0,133650000,50000,41,D,2647.0,2673.0
10,Iran.Zinc.Mines,20010429,2699.0,2699.0,2699.0,54077164,20036,10,D,2673.0,2699.0
11,Iran.Zinc.Mines,20010430,2725.0,2725.0,2725.0,274628225,100781,74,D,2699.0,2725.0
12,Iran.Zinc.Mines,20010501,2752.0,2752.0,2752.0,123600576,44913,44,D,2725.0,2752.0
13,Iran.Zinc.Mines,20010502,2779.0,2725.0,2779.0,1611754435,582985,317,D,2752.0,2779.0
14,Iran.Zinc.Mines,20010505,2806.0,2779.0,2806.0,540960344,192799,138,D,2779.0,2806.0
15,Iran.Zinc.Mines,20010506,2834.0,2834.0,2834.0,119028000,42000,31,D,2806.0,2834.0
16,Iran.Zinc.Mines,20010507,2862.0,2862.0,2862.0,10303200,3600,4,D,2834.0,2862.0
17,Iran.Zinc.Mines,20010508,2890.0,2890.0,2890.0,7658500,2650,3,D,2862.0,2890.0
18,Iran.Zinc.Mines,20010509,2918.0,2918.0,2918.0,115517784,39588,27,D,2890.0,2918.0
19,Iran.Zinc.Mines,20010512,2947.0,2947.0,2947.0,29470000,10000,3,D,2918.0,2947.0
20,Iran.Zinc.Mines,20010513,2976.0,2976.0,2976.0,119040000,40000,36,D,2947.0,2976.0
21,Iran.Zinc.Mines,20010515,3005.0,3005.0,3005.0,61302000,20400,14,D,2976.0,3005.0
22,Iran.Zinc.Mines,20010516,3035.0,3035.0,3035.0,85055875,28025,20,D,3005.0,3035.0
23,Iran.Zinc.Mines,20010519,3065.0,3065.0,3065.0,114018000,37200,27,D,3035.0,3065.0
24,Iran.Zinc.Mines,20010520,3095.0,3095.0,3095.0,30950000,10000,6,D,3065.0,3095.0
25,Iran.Zinc.Mines,20010521,3125.0,3125.0,3125.0,78875000,25240,25,D,3095.0,3125.0
26,Iran.Zinc.Mines,20010523,3156.0,3156.0,3156.0,290352000,92000,60,D,3125.0,3156.0
27,Iran.Zinc.Mines,20010526,3187.0,3187.0,3187.0,7499011,2353,6,D,3156.0,3187.0
28,Iran.Zinc.Mines,20010527,3218.0,3218.0,3218.0,376197072,116904,90,D,3187.0,3218.0
29,Iran.Zinc.Mines,20010528,3250.0,3186.0,3250.0,2228775054,690826,395,D,3218.0,3250.0
30,Iran.Zinc.Mines,20010529,3282.0,3282.0,3282.0,150972000,46000,44,D,3250.0,3282.0
31,Iran.Zinc.Mines,20010530,3314.0,3314.0,3314.0,382090944,115296,78,D,3282.0,3314.0
32,Iran.Zinc.Mines,20010602,3347.0,3347.0,3347.0,526724084,157372,89,D,3314.0,3347.0
33,Iran.Zinc.Mines,20010603,3380.0,3380.0,3380.0,152745580,45191,32,D,3347.0,3380.0
34,Iran.Zinc.Mines,20010606,3413.0,3413.0,3413.0,432249624,126648,68,D,3380.0,3413.0
35,Iran.Zinc.Mines,20010609,3447.0,3447.0,3447.0,216264780,62740,47,D,3413.0,3447.0
36,Iran.Zinc.Mines,20010611,3481.0,3481.0,3481.0,2347227857,674297,205,D,3447.0,3481.0
37,Iran.Zinc.Mines,20010612,3515.0,3515.0,3515.0,99615100,28340,15,D,3481.0,3515.0
38,Iran.Zinc.Mines,20010613,3550.0,3550.0,3550.0,1162475900,327458,148,D,3515.0,3550.0
39,Iran.Zinc.Mines,20010616,3585.0,3585.0,3585.0,906485175,252855,136,D,3550.0,3585.0
40,Iran.Zinc.Mines,20010618,3620.0,3550.0,3550.0,396418085,111636,68,D,3585.0,3550.0
41,Iran.Zinc.Mines,20010619,3515.0,3515.0,3515.0,377489910,107394,41,D,3550.0,3515.0
42,Iran.Zinc.Mines,20010620,3480.0,3480.0,3480.0,2122800,610,2,D,3515.0,3480.0
43,Iran.Zinc.Mines,20010623,3306.0,3306.0,3306.0,8265000,2500,3,D,3480.0,3306.0
44,Iran.Zinc.Mines,20010624,3141.0,3141.0,3141.0,4133556,1316,2,D,3306.0,3141.0
45,Iran.Zinc.Mines,20010625,2984.0,2984.0,2984.0,40457072,13558,9,D,3141.0,2984.0
46,Iran.Zinc.Mines,20010626,2984.0,2835.0,2851.0,2038933166,708012,362,D,2984.0,2851.0
47,Iran.Zinc.Mines,20010627,2993.0,2860.0,2965.0,715755909,241793,143,D,2851.0,2965.0
48,Iran.Zinc.Mines,20010630,3000.0,2965.0,2965.0,479397675,160997,103,D,2965.0,2965.0
49,Iran.Zinc.Mines,20010731,2800.0,2400.0,2694.0,148962126,54512,59,D,2965.0,2694.0
50,Iran.Zinc.Mines,20010801,2693.0,2627.0,2627.0,115038141,43629,52,D,2694.0,2627.0
51,Iran.Zinc.Mines,20010804,2600.0,2562.0,2562.0,10510056,4074,14,D,2627.0,2562.0
52,Iran.Zinc.Mines,20010805,2498.0,2498.0,2498.0,129366424,51788,17,D,2562.0,2498.0
53,Iran.Zinc.Mines,20010806,2436.0,2436.0,2436.0,8823192,3622,6,D,2498.0,2436.0
54,Iran.Zinc.Mines,20010807,2315.0,2315.0,2315.0,5787500,2500,3,D,2436.0,2315.0
55,Iran.Zinc.Mines,20010808,2315.0,2200.0,2241.0,606936737,272396,215,D,2315.0,2241.0
56,Iran.Zinc.Mines,20010811,2315.0,2241.0,2300.0,647674943,283739,159,D,2241.0,2300.0
57,Iran.Zinc.Mines,20010812,2415.0,2301.0,2415.0,322278164,134784,70,D,2300.0,2415.0
58,Iran.Zinc.Mines,20010813,2475.0,2436.0,2475.0,70422398,28543,41,D,2415.0,2475.0
59,Iran.Zinc.Mines,20010814,2536.0,2498.0,2536.0,46762856,18572,24,D,2475.0,2536.0
60,Iran.Zinc.Mines,20010815,2599.0,2599.0,2599.0,71035868,27332,24,D,2536.0,2599.0
61,Iran.Zinc.Mines,20010818,2663.0,2663.0,2663.0,231779531,87037,43,D,2599.0,2663.0
62,Iran.Zinc.Mines,20010819,2729.0,2729.0,2729.0,415149125,152125,86,D,2663.0,2729.0
63,Iran.Zinc.Mines,20010820,2797.0,2661.0,2661.0,656117010,235238,84,D,2729.0,2661.0
64,Iran.Zinc.Mines,20010821,2638.0,2595.0,2638.0,653150624,251205,75,D,2661.0,2638.0
