,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Ardebil.Cement,20040225,33000.0,30000.0,31673.0,14379985673,454000,262,D,32000.0,31673.0
1,Ardebil.Cement,20040228,33250.0,16856.0,32711.0,3973518602,177403,474,D,31673.0,32711.0
2,Ardebil.Cement,20040303,32763.0,32723.0,32723.0,327957230,10010,4,D,32711.0,32723.0
3,Ardebil.Cement,20040306,32830.0,31087.0,32503.0,18807291580,575413,76,D,32723.0,32503.0
4,Ardebil.Cement,20040307,33000.0,32532.0,32532.0,92341598,2803,15,D,32503.0,32532.0
5,Ardebil.Cement,20040308,33200.0,32656.0,32656.0,314919722,9520,15,D,32532.0,32656.0
6,Ardebil.Cement,20040309,33002.0,32682.0,32682.0,107281920,3251,13,D,32656.0,32682.0
7,Ardebil.Cement,20040310,33500.0,32737.0,32737.0,148657370,4477,15,D,32682.0,32737.0
8,Ardebil.Cement,20040313,33300.0,32803.0,33271.0,2989654142,89856,41,D,32737.0,33271.0
9,Ardebil.Cement,20040314,33299.0,32895.0,33220.0,320699171,9702,24,D,33271.0,33220.0
10,Ardebil.Cement,20040315,33219.0,32000.0,33168.0,157346124,4801,10,D,33220.0,33168.0
11,Ardebil.Cement,20040316,33168.0,33168.0,33168.0,3283632,99,1,D,33168.0,33168.0
12,Ardebil.Cement,20040317,33115.0,32502.0,33115.0,124447738,3818,6,D,33168.0,33115.0
13,Ardebil.Cement,20040328,33106.0,32550.0,33106.0,21228160,652,3,D,33115.0,33106.0
14,Ardebil.Cement,20040330,33099.0,32442.0,33099.0,14151814,436,4,D,33106.0,33099.0
15,Ardebil.Cement,20040403,33000.0,31452.0,32982.0,674144750,20565,17,D,33099.0,32982.0
16,Ardebil.Cement,20040404,33000.0,32982.0,32982.0,207792000,6300,7,D,32982.0,32982.0
17,Ardebil.Cement,20040405,32981.0,32900.0,32978.0,516545288,15667,16,D,32982.0,32978.0
18,Ardebil.Cement,20040406,33000.0,32978.0,32978.0,161358807,4892,11,D,32978.0,32978.0
19,Ardebil.Cement,20040407,33000.0,32978.0,32978.0,393937190,11945,10,D,32978.0,32978.0
20,Ardebil.Cement,20040410,32978.0,32970.0,32977.0,164723100,4995,11,D,32978.0,32977.0
21,Ardebil.Cement,20040412,32978.0,32977.0,32977.0,209667916,6358,9,D,32977.0,32977.0
22,Ardebil.Cement,20040413,32977.0,32977.0,32977.0,76506640,2320,3,D,32977.0,32977.0
23,Ardebil.Cement,20040414,33151.0,32993.0,32993.0,196969815,5945,8,D,32977.0,32993.0
24,Ardebil.Cement,20040417,32995.0,32993.0,32993.0,55759970,1690,4,D,32993.0,32993.0
25,Ardebil.Cement,20040418,33000.0,32993.0,32993.0,72533242,2198,6,D,32993.0,32993.0
