,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Iran.Const..Inv,20010325,1000.0,1000.0,1000.0,21000000,21000,8,D,0.0,1000.0
1,Iran.Const..Inv,20010326,1000.0,1000.0,1000.0,45000000,45000,8,D,1000.0,1000.0
2,Iran.Const..Inv,20010327,1000.0,1000.0,1000.0,60000000,60000,14,D,1000.0,1000.0
3,Iran.Const..Inv,20010328,1000.0,1000.0,1000.0,50000000,50000,9,D,1000.0,1000.0
4,Iran.Const..Inv,20010331,1000.0,1000.0,1000.0,45000000,45000,21,D,1000.0,1000.0
5,Iran.Const..Inv,20010403,1000.0,1000.0,1000.0,57958000,57958,18,D,1000.0,1000.0
6,Iran.Const..Inv,20010407,1000.0,1000.0,1000.0,31400000,31400,5,D,1000.0,1000.0
7,Iran.Const..Inv,20010408,1000.0,1000.0,1000.0,30850000,30850,5,D,1000.0,1000.0
8,Iran.Const..Inv,20010409,1000.0,1000.0,1000.0,4000000,4000,2,D,1000.0,1000.0
9,Iran.Const..Inv,20010410,1000.0,1000.0,1000.0,20000000,20000,7,D,1000.0,1000.0
10,Iran.Const..Inv,20010411,1000.0,1000.0,1000.0,31000000,31000,8,D,1000.0,1000.0
11,Iran.Const..Inv,20010414,1000.0,1000.0,1000.0,12000000,12000,6,D,1000.0,1000.0
12,Iran.Const..Inv,20010415,1000.0,1000.0,1000.0,26000000,26000,7,D,1000.0,1000.0
13,Iran.Const..Inv,20010416,1000.0,1000.0,1000.0,10000000,10000,1,D,1000.0,1000.0
14,Iran.Const..Inv,20010417,1000.0,1000.0,1000.0,12000000,12000,3,D,1000.0,1000.0
15,Iran.Const..Inv,20010418,1000.0,1000.0,1000.0,11000000,11000,3,D,1000.0,1000.0
16,Iran.Const..Inv,20010421,1000.0,1000.0,1000.0,1122000,1122,2,D,1000.0,1000.0
17,Iran.Const..Inv,20010422,1000.0,1000.0,1000.0,4000000,4000,2,D,1000.0,1000.0
18,Iran.Const..Inv,20010423,1000.0,1000.0,1000.0,4000000,4000,1,D,1000.0,1000.0
19,Iran.Const..Inv,20010424,1000.0,1000.0,1000.0,12000000,12000,4,D,1000.0,1000.0
20,Iran.Const..Inv,20010425,1003.0,1000.0,1000.0,6027463000,6027338,606,D,1000.0,1000.0
21,Iran.Const..Inv,20010428,1050.0,1000.0,1000.0,2163118618,2154680,101,D,1000.0,1000.0
22,Iran.Const..Inv,20010429,1050.0,1000.0,1001.0,3196646795,3187243,401,D,1000.0,1001.0
