,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Ama,20010325,4525.0,4525.0,4525.0,3036275,671,5,D,4525.0,4525.0
1,Ama,20010403,4750.0,4700.0,4750.0,20058200,4240,13,D,4525.0,4750.0
2,Ama,20010407,4801.0,4800.0,4801.0,23750512,4948,11,D,4750.0,4801.0
3,Ama,20010408,4850.0,4814.0,4850.0,44999838,9300,16,D,4801.0,4850.0
4,Ama,20010409,4925.0,4850.0,4919.0,62240700,12700,18,D,4850.0,4919.0
5,Ama,20010410,4813.0,4813.0,4813.0,4813000,1000,1,D,4919.0,4813.0
6,Ama,20010411,4811.0,4700.0,4700.0,76686858,16290,12,D,4813.0,4700.0
7,Ama,20010414,4700.0,4650.0,4700.0,13534350,2896,6,D,4700.0,4700.0
8,Ama,20010415,4702.0,4700.0,4701.0,6073707,1292,4,D,4700.0,4701.0
9,Ama,20010416,4702.0,4700.0,4701.0,16267429,3460,5,D,4701.0,4701.0
10,Ama,20010417,4708.0,4700.0,4700.0,12837889,2729,7,D,4701.0,4700.0
11,Ama,20010418,4750.0,4700.0,4700.0,38597660,8167,18,D,4700.0,4700.0
12,Ama,20010421,4702.0,4700.0,4700.0,14275584,3037,7,D,4700.0,4700.0
13,Ama,20010422,4770.0,4700.0,4700.0,105235316,22320,21,D,4700.0,4700.0
14,Ama,20010423,4703.0,4700.0,4700.0,41062450,8735,20,D,4700.0,4700.0
15,Ama,20010424,4703.0,4701.0,4701.0,25410008,5404,15,D,4700.0,4701.0
16,Ama,20010425,4770.0,4703.0,4770.0,59417662,12563,15,D,4701.0,4770.0
17,Ama,20010428,4900.0,4777.0,4790.0,173442747,35888,25,D,4770.0,4790.0
18,Ama,20010429,4801.0,4790.0,4800.0,78518259,16361,21,D,4790.0,4800.0
19,Ama,20010430,4820.0,4803.0,4820.0,25253480,5240,4,D,4800.0,4820.0
20,Ama,20010501,4951.0,4850.0,4950.0,78057977,15876,26,D,4820.0,4950.0
21,Ama,20010502,5000.0,4950.0,5000.0,38131420,7664,16,D,4950.0,5000.0
22,Ama,20010505,5061.0,5005.0,5061.0,2696526,534,2,D,5000.0,5061.0
23,Ama,20010506,5102.0,5100.0,5102.0,30014228,5884,10,D,5061.0,5102.0
24,Ama,20010507,5300.0,5114.0,5150.0,24275189,4714,8,D,5102.0,5150.0
25,Ama,20010508,5180.0,5172.0,5180.0,3115972,602,3,D,5150.0,5180.0
26,Ama,20010509,5300.0,5250.0,5300.0,34722650,6555,9,D,5180.0,5300.0
27,Ama,20010512,5308.0,5306.0,5306.0,31607417,5955,4,D,5300.0,5306.0
28,Ama,20010513,5402.0,5400.0,5400.0,46004200,8519,18,D,5306.0,5400.0
29,Ama,20010515,5410.0,5400.0,5400.0,29445770,5450,5,D,5400.0,5400.0
30,Ama,20010516,5500.0,5400.0,5500.0,32802600,6024,12,D,5400.0,5500.0
31,Ama,20010519,5500.0,5405.0,5500.0,96722771,17838,12,D,5500.0,5500.0
32,Ama,20010520,5600.0,5600.0,5600.0,12734400,2274,6,D,5500.0,5600.0
33,Ama,20010521,5701.0,5600.0,5700.0,143048280,25103,17,D,5600.0,5700.0
34,Ama,20010523,5700.0,5699.0,5700.0,381759914,66977,39,D,5700.0,5700.0
35,Ama,20010526,5701.0,5699.0,5701.0,51584110,9050,7,D,5700.0,5701.0
36,Ama,20010527,5701.0,5700.0,5700.0,58637583,10287,9,D,5701.0,5700.0
37,Ama,20010528,5701.0,5700.0,5700.0,1221188808,214208,41,D,5700.0,5700.0
38,Ama,20010529,5688.0,5686.0,5686.0,6665992,1172,3,D,5700.0,5686.0
39,Ama,20010530,5650.0,5630.0,5630.0,46884024,8322,7,D,5686.0,5630.0
40,Ama,20010602,5501.0,5501.0,5501.0,4730860,860,1,D,5630.0,5501.0
41,Ama,20010606,5499.0,5400.0,5499.0,160537658,29510,35,D,5501.0,5499.0
42,Ama,20010609,5499.0,5402.0,5499.0,26548305,4904,7,D,5499.0,5499.0
43,Ama,20010611,5500.0,5499.0,5499.0,12994501,2363,7,D,5499.0,5499.0
44,Ama,20010612,5499.0,5499.0,5499.0,874341,159,2,D,5499.0,5499.0
45,Ama,20010613,5500.0,5403.0,5403.0,70966293,12987,13,D,5499.0,5403.0
46,Ama,20010616,5404.0,5403.0,5403.0,19807448,3666,6,D,5403.0,5403.0
47,Ama,20010617,5403.0,5400.0,5403.0,77600924,14364,17,D,5403.0,5403.0
48,Ama,20010618,5498.0,5401.0,5498.0,51220394,9463,16,D,5403.0,5498.0
49,Ama,20010619,5495.0,5495.0,5495.0,456085,83,1,D,5498.0,5495.0
50,Ama,20010620,5495.0,5400.0,5400.0,18900679,3444,10,D,5495.0,5400.0
51,Ama,20010623,5401.0,5400.0,5400.0,67843200,12563,13,D,5400.0,5400.0
52,Ama,20010624,5400.0,5400.0,5400.0,39085200,7238,9,D,5400.0,5400.0
53,Ama,20010625,5400.0,5400.0,5400.0,42292800,7832,10,D,5400.0,5400.0
