,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Pension.Fund,20010409,1160.0,1160.0,1160.0,5220000,4500,2,D,1160.0,1160.0
1,Pension.Fund,20010411,1166.0,1163.0,1163.0,18631000,16000,6,D,1160.0,1163.0
2,Pension.Fund,20010414,1165.0,1164.0,1164.0,23290000,20000,3,D,1163.0,1164.0
3,Pension.Fund,20010415,1168.0,1168.0,1168.0,28265600,24200,4,D,1164.0,1168.0
4,Pension.Fund,20010417,1200.0,1195.0,1200.0,1202987500,1002500,18,D,1168.0,1200.0
5,Pension.Fund,20010501,1260.0,1260.0,1260.0,63000000,50000,10,D,1200.0,1260.0
6,Pension.Fund,20010529,1323.0,1323.0,1323.0,67473000,51000,32,D,1260.0,1323.0
7,Pension.Fund,20010602,1389.0,1389.0,1389.0,69450000,50000,24,D,1323.0,1389.0
8,Pension.Fund,20010603,1458.0,1458.0,1458.0,72900000,50000,8,D,1389.0,1458.0
9,Pension.Fund,20010609,1530.0,1530.0,1530.0,76500000,50000,23,D,1458.0,1530.0
10,Pension.Fund,20010612,1606.0,1606.0,1606.0,321200000,200000,84,D,1530.0,1606.0
11,Pension.Fund,20010613,1686.0,1606.0,1606.0,633456000,376000,94,D,1606.0,1606.0
12,Pension.Fund,20010616,1650.0,1610.0,1650.0,56643000,34640,22,D,1606.0,1650.0
13,Pension.Fund,20010626,1650.0,1570.0,1578.0,146260960,92730,21,D,1650.0,1578.0
14,Pension.Fund,20010627,1630.0,1575.0,1602.0,68240876,42800,38,D,1578.0,1602.0
15,Pension.Fund,20010630,1631.0,1602.0,1630.0,108036390,66471,18,D,1602.0,1630.0
16,Pension.Fund,20010701,1682.0,1650.0,1650.0,108028925,64963,27,D,1630.0,1650.0
17,Pension.Fund,20010702,1658.0,1654.0,1654.0,39564672,23896,9,D,1650.0,1654.0
