,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Bahman.Inv.,20050131,1400.0,1400.0,1400.0,2721600000,1944000,1868,D,0.0,1400.0
1,Bahman.Inv.,20050202,1470.0,1470.0,1470.0,1176000000,800000,687,D,1400.0,1470.0
2,Bahman.Inv.,20050213,1543.0,1397.0,1438.0,36814320924,26061418,2008,D,1470.0,1438.0
3,Bahman.Inv.,20050214,1430.0,1397.0,1404.0,4248772129,3026287,573,D,1438.0,1404.0
4,Bahman.Inv.,20050215,1400.0,1334.0,1341.0,5058289374,3776138,460,D,1404.0,1341.0
5,Bahman.Inv.,20050216,1397.0,1339.0,1384.0,5975183770,4314856,759,D,1341.0,1384.0
6,Bahman.Inv.,20050221,1397.0,1337.0,1374.0,4621407409,3372989,598,D,1384.0,1374.0
7,Bahman.Inv.,20050222,1390.0,1350.0,1369.0,7156733576,5227192,651,D,1374.0,1369.0
8,Bahman.Inv.,20050223,1386.0,1363.0,1377.0,5098468929,3700381,465,D,1369.0,1377.0
9,Bahman.Inv.,20050226,1420.0,1380.0,1397.0,15671500637,11140268,475,D,1377.0,1397.0
10,Bahman.Inv.,20050227,1466.0,1444.0,1465.0,32304137060,22036528,466,D,1397.0,1465.0
11,Bahman.Inv.,20050228,1538.0,1471.0,1500.0,5468417104,3644507,680,D,1465.0,1500.0
12,Bahman.Inv.,20050301,1500.0,1425.0,1433.0,8924764086,6217108,930,D,1500.0,1433.0
13,Bahman.Inv.,20050307,1400.0,1354.0,1364.0,1007801347,738591,170,D,1433.0,1364.0
14,Bahman.Inv.,20050308,1400.0,1355.0,1356.0,2701935385,1991616,272,D,1364.0,1356.0
15,Bahman.Inv.,20050309,1358.0,1331.0,1354.0,3063227956,2260929,269,D,1356.0,1354.0
16,Bahman.Inv.,20050312,1351.0,1301.0,1319.0,2450920671,1857883,281,D,1354.0,1319.0
17,Bahman.Inv.,20050313,1360.0,1300.0,1325.0,2592856707,1955918,296,D,1319.0,1325.0
18,Bahman.Inv.,20050314,1391.0,1356.0,1382.0,960726488,693318,225,D,1325.0,1382.0
19,Bahman.Inv.,20050315,1423.0,1400.0,1419.0,1259266832,887435,242,D,1382.0,1419.0
20,Bahman.Inv.,20050316,1450.0,1410.0,1436.0,18491370534,12949792,286,D,1419.0,1436.0
21,Bahman.Inv.,20050326,1479.0,1410.0,1443.0,1186167865,821695,157,D,1436.0,1443.0
22,Bahman.Inv.,20050327,1481.0,1450.0,1458.0,799110056,544891,145,D,1443.0,1458.0
23,Bahman.Inv.,20050328,1500.0,1473.0,1476.0,674753403,452605,158,D,1458.0,1476.0
24,Bahman.Inv.,20050329,1527.0,1474.0,1488.0,893383889,598749,149,D,1476.0,1488.0
25,Bahman.Inv.,20050330,1510.0,1489.0,1493.0,762835847,509407,156,D,1488.0,1493.0
26,Bahman.Inv.,20050403,1516.0,1472.0,1493.0,834309449,558374,153,D,1493.0,1493.0
27,Bahman.Inv.,20050404,1487.0,1419.0,1462.0,763838519,527677,176,D,1493.0,1462.0
28,Bahman.Inv.,20050405,1480.0,1443.0,1464.0,903777147,616907,183,D,1462.0,1464.0
29,Bahman.Inv.,20050406,1486.0,1451.0,1467.0,898979448,611617,185,D,1464.0,1467.0
30,Bahman.Inv.,20050410,1490.0,1455.0,1473.0,858959021,581849,168,D,1467.0,1473.0
