,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Behbahan.Cement,20030715,45000.0,45000.0,45000.0,56250000000,1250000,1332,D,45000.0,45000.0
1,Behbahan.Cement,20030716,47250.0,47250.0,47250.0,3543750000,75000,53,D,45000.0,47250.0
2,Behbahan.Cement,20030719,49612.0,49612.0,49612.0,3472840000,70000,79,D,47250.0,49612.0
3,Behbahan.Cement,20030720,52092.0,52092.0,52092.0,3646440000,70000,74,D,49612.0,52092.0
4,Behbahan.Cement,20030721,54696.0,54696.0,54696.0,4212904704,77024,76,D,52092.0,54696.0
5,Behbahan.Cement,20030722,57430.0,52612.0,54010.0,19919056822,356950,312,D,54696.0,54010.0
6,Behbahan.Cement,20030723,55500.0,53500.0,54250.0,3710405715,68542,105,D,54010.0,54250.0
7,Behbahan.Cement,20030726,54517.0,54250.0,54517.0,2761813218,50705,63,D,54250.0,54517.0
8,Behbahan.Cement,20030727,55212.0,54533.0,55212.0,376959195,6855,15,D,54517.0,55212.0
9,Behbahan.Cement,20030728,57972.0,55459.0,57800.0,9634633957,166317,83,D,55212.0,57800.0
10,Behbahan.Cement,20030729,59500.0,57975.0,58939.0,2276121330,38715,57,D,57800.0,58939.0
11,Behbahan.Cement,20030730,61880.0,57002.0,58939.0,4514043219,74313,62,D,58939.0,58939.0
12,Behbahan.Cement,20030803,58000.0,57002.0,57003.0,267366929,4629,13,D,58939.0,57003.0
13,Behbahan.Cement,20030804,56988.0,56879.0,56920.0,1197042735,21033,28,D,57003.0,56920.0
14,Behbahan.Cement,20030805,56860.0,52001.0,54977.0,379540547,6938,12,D,56920.0,54977.0
15,Behbahan.Cement,20030806,55001.0,54000.0,54789.0,2049716223,37326,48,D,54977.0,54789.0
16,Behbahan.Cement,20030809,54780.0,51000.0,54780.0,1484526232,27580,34,D,54789.0,54780.0
17,Behbahan.Cement,20030810,54290.0,51000.0,54290.0,656993271,12454,19,D,54780.0,54290.0
18,Behbahan.Cement,20030811,53995.0,51082.0,53995.0,1511597570,28375,35,D,54290.0,53995.0
19,Behbahan.Cement,20030812,54000.0,53991.0,54000.0,346984312,6426,15,D,53995.0,54000.0
20,Behbahan.Cement,20030813,54000.0,52101.0,53999.0,1218431022,22601,30,D,54000.0,53999.0
21,Behbahan.Cement,20030816,53396.0,52012.0,53396.0,661462910,12450,12,D,53999.0,53396.0
22,Behbahan.Cement,20030817,52004.0,51000.0,52004.0,1095795812,21237,37,D,53396.0,52004.0
23,Behbahan.Cement,20030818,53000.0,51000.0,53000.0,1625470746,31445,27,D,52004.0,53000.0
24,Behbahan.Cement,20030819,54000.0,52998.0,54000.0,1208204617,22553,26,D,53000.0,54000.0
25,Behbahan.Cement,20030820,54000.0,53970.0,54000.0,10255860,190,3,D,54000.0,54000.0
26,Behbahan.Cement,20030823,54000.0,52999.0,54000.0,376295255,7100,6,D,54000.0,54000.0
27,Behbahan.Cement,20030825,54000.0,52725.0,54000.0,31516977,597,4,D,54000.0,54000.0
28,Behbahan.Cement,20030826,54000.0,51300.0,54000.0,423740700,8260,11,D,54000.0,54000.0
29,Behbahan.Cement,20030827,54000.0,51300.0,54000.0,5184000,101,2,D,54000.0,54000.0
