,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Darab.Cement,20050125,5000.0,5000.0,5000.0,2437870000,487574,186,D,0.0,5000.0
1,Darab.Cement,20050126,5010.0,5000.0,5001.0,12500899980,2500010,101,D,5000.0,5001.0
2,Darab.Cement,20050130,5002.0,5001.0,5001.0,1839615542,367776,17,D,5001.0,5001.0
3,Darab.Cement,20050201,4969.0,4751.0,4930.0,314779101,65747,73,D,5001.0,4930.0
4,Darab.Cement,20050202,4967.0,4934.0,4934.0,123671761,24917,37,D,4930.0,4934.0
5,Darab.Cement,20050205,5048.0,4935.0,4938.0,117012829,23528,21,D,4934.0,4938.0
6,Darab.Cement,20050206,5100.0,4956.0,4956.0,120783264,23729,26,D,4938.0,4956.0
7,Darab.Cement,20050207,5010.0,4959.0,4959.0,70118235,14010,10,D,4956.0,4959.0
8,Darab.Cement,20050208,5206.0,4996.0,4996.0,172263922,33210,29,D,4959.0,4996.0
9,Darab.Cement,20050209,5245.0,5182.0,5182.0,2342342940,446586,63,D,4996.0,5182.0
10,Darab.Cement,20050212,5440.0,5217.0,5217.0,5584757130,1027732,26,D,5182.0,5217.0
11,Darab.Cement,20050213,5477.0,5325.0,5325.0,479957933,87843,51,D,5217.0,5325.0
12,Darab.Cement,20050214,5591.0,5365.0,5365.0,169285496,30289,26,D,5325.0,5365.0
13,Darab.Cement,20050215,5633.0,5572.0,5572.0,879675408,156228,74,D,5365.0,5572.0
14,Darab.Cement,20050216,5850.0,5590.0,5631.0,261634668,44818,34,D,5572.0,5631.0
15,Darab.Cement,20050223,5630.0,5601.0,5630.0,13463993,2403,6,D,5631.0,5630.0
16,Darab.Cement,20050226,5911.0,5637.0,5637.0,43764919,7520,11,D,5630.0,5637.0
17,Darab.Cement,20050227,5918.0,5648.0,5648.0,48726112,8234,8,D,5637.0,5648.0
18,Darab.Cement,20050228,5930.0,5652.0,5652.0,20811520,3510,4,D,5648.0,5652.0
