,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Doroud.Cement,20030225,22011.0,22000.0,22000.0,45966173000,2088865,277,D,0.0,22000.0
1,Doroud.Cement,20030226,22101.0,22000.0,22100.0,3329160040,151265,27,D,22000.0,22100.0
2,Doroud.Cement,20030301,22221.0,22220.0,22220.0,696221955,31333,14,D,22100.0,22220.0
3,Doroud.Cement,20030302,22342.0,22340.0,22340.0,277374210,12416,10,D,22220.0,22340.0
4,Doroud.Cement,20030303,22374.0,22200.0,22370.0,2364777945,106440,30,D,22340.0,22370.0
5,Doroud.Cement,20030304,22370.0,22368.0,22368.0,89341782,3994,12,D,22370.0,22368.0
6,Doroud.Cement,20030305,22369.0,22338.0,22368.0,677558684,30306,25,D,22368.0,22368.0
7,Doroud.Cement,20030308,22358.0,22350.0,22350.0,102838800,4600,3,D,22368.0,22350.0
8,Doroud.Cement,20030310,21677.0,21233.0,21233.0,172369492,8000,3,D,22350.0,21233.0
9,Doroud.Cement,20030312,21549.0,20594.0,21549.0,557624340,26890,10,D,21233.0,21549.0
10,Doroud.Cement,20030315,21546.0,20472.0,21544.0,157951250,7600,9,D,21549.0,21544.0
11,Doroud.Cement,20030316,22340.0,21497.0,22340.0,1710964296,78887,50,D,21544.0,22340.0
12,Doroud.Cement,20030318,22340.0,22000.0,22000.0,36877201,1666,5,D,22340.0,22000.0
13,Doroud.Cement,20030319,22000.0,21999.0,22000.0,447240000,20330,3,D,22000.0,22000.0
14,Doroud.Cement,20030330,21990.0,21988.0,21990.0,481336330,21889,8,D,22000.0,21990.0
15,Doroud.Cement,20030331,22000.0,22000.0,22000.0,11924000000,542000,17,D,21990.0,22000.0
16,Doroud.Cement,20030405,23100.0,22200.0,22200.0,17992853530,809890,36,D,22000.0,22200.0
17,Doroud.Cement,20030406,22402.0,22207.0,22400.0,15913325312,710418,77,D,22200.0,22400.0
18,Doroud.Cement,20030407,22671.0,22600.0,22610.0,18456684050,816390,86,D,22400.0,22610.0
19,Doroud.Cement,20030408,22854.0,22837.0,22848.0,35646739954,1560404,194,D,22610.0,22848.0
20,Doroud.Cement,20030409,23990.0,23101.0,23990.0,32632847973,1405470,300,D,22848.0,23990.0
21,Doroud.Cement,20030412,25189.0,25189.0,25189.0,1007560000,40000,31,D,23990.0,25189.0
22,Doroud.Cement,20030413,26448.0,26448.0,26448.0,840596784,31783,38,D,25189.0,26448.0
23,Doroud.Cement,20030414,27770.0,27770.0,27770.0,24013274400,864720,311,D,26448.0,27770.0
24,Doroud.Cement,20030415,29158.0,27764.0,29150.0,42119766116,1515930,219,D,27770.0,29150.0
25,Doroud.Cement,20030512,33970.0,27101.0,30800.0,5884875918,191782,212,D,29150.0,30800.0
26,Doroud.Cement,20030513,32300.0,30805.0,32299.0,46950719143,1519585,357,D,30800.0,32299.0
27,Doroud.Cement,20030514,33913.0,32500.0,32500.0,2950737004,89512,85,D,32299.0,32500.0
28,Doroud.Cement,20030517,33274.0,32500.0,33267.0,47655948820,1433235,121,D,32500.0,33267.0
29,Doroud.Cement,20030518,33980.0,33266.0,33933.0,27442608912,809433,142,D,33267.0,33933.0
30,Doroud.Cement,20030520,34000.0,33506.0,33898.0,2088628313,61906,80,D,33933.0,33898.0
31,Doroud.Cement,20030521,33790.0,32501.0,33380.0,2736425545,82777,77,D,33898.0,33380.0
32,Doroud.Cement,20030524,33713.0,32915.0,33713.0,30592932819,909309,112,D,33380.0,33713.0
33,Doroud.Cement,20030525,34521.0,33900.0,34000.0,23989143592,703845,174,D,33713.0,34000.0
34,Doroud.Cement,20030526,35001.0,34215.0,35000.0,4255240199,122496,109,D,34000.0,35000.0
35,Doroud.Cement,20030527,36501.0,35600.0,35700.0,1181578186,32691,28,D,35000.0,35700.0
36,Doroud.Cement,20030528,36000.0,35121.0,35900.0,4949078628,138541,68,D,35700.0,35900.0
37,Doroud.Cement,20030531,35900.0,35067.0,35067.0,1292565301,36508,29,D,35900.0,35067.0
38,Doroud.Cement,20030601,34010.0,33314.0,33314.0,67644542,2017,9,D,35067.0,33314.0
39,Doroud.Cement,20030602,34000.0,31650.0,33314.0,4874061484,146386,92,D,33314.0,33314.0
