,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Saman-E-Kish,20180603,6500.0,6500.0,6500.0,1169941955000,179991070,109720,D,1000.0,6500.0
1,Saman-E-Kish,20180609,6825.0,6825.0,6825.0,35629441575,5220431,3776,D,6500.0,6825.0
2,Saman-E-Kish,20180610,7166.0,7000.0,7121.0,466455872167,65508189,40391,D,6825.0,7166.0
3,Saman-E-Kish,20180611,7477.0,7477.0,7477.0,54484644782,7286966,4754,D,7121.0,7477.0
4,Saman-E-Kish,20180612,7850.0,7700.0,7850.0,129857986572,16543441,6052,D,7477.0,7701.0
5,Saman-E-Kish,20180613,8425.0,8000.0,8195.0,454462712485,55457027,31734,D,7850.0,8420.0
6,Saman-E-Kish,20180617,8604.0,8540.0,8589.0,43603271247,5076736,2499,D,8195.0,8604.0
7,Saman-E-Kish,20180618,9018.0,8750.0,9015.0,259255072867,28757339,4156,D,8589.0,9018.0
8,Saman-E-Kish,20180619,9465.0,9200.0,9455.0,309081229053,32690762,6921,D,9015.0,9465.0
9,Saman-E-Kish,20180620,9927.0,9927.0,9838.0,5803433397,584611,285,D,9455.0,9927.0
10,Saman-E-Kish,20180623,10500.0,9980.0,10366.0,234897429672,22660585,9990,D,9838.0,10500.0
11,Saman-E-Kish,20180624,10730.0,9848.0,10109.0,129374408293,12797691,6995,D,10366.0,9848.0
12,Saman-E-Kish,20180625,10200.0,9604.0,9674.0,277098930173,28643907,10579,D,10109.0,9604.0
13,Saman-E-Kish,20180626,9830.0,9330.0,9599.0,79001005353,8229712,4168,D,9674.0,9455.0
14,Saman-E-Kish,20180627,9600.0,9120.0,9358.0,53665102046,5734647,3672,D,9599.0,9217.0
15,Saman-E-Kish,20180630,9777.0,9200.0,9505.0,24691074359,2597567,2010,D,9358.0,9349.0
16,Saman-E-Kish,20180701,9500.0,9108.0,9227.0,24240621396,2627205,3744,D,9505.0,9295.0
17,Saman-E-Kish,20180702,9477.0,9142.0,9281.0,21995755740,2369963,2419,D,9227.0,9349.0
18,Saman-E-Kish,20180703,9699.0,9310.0,9533.0,22243817033,2333294,3181,D,9281.0,9455.0
19,Saman-E-Kish,20180704,9640.0,9370.0,9463.0,16935750887,1789749,3847,D,9533.0,9389.0
20,Saman-E-Kish,20180707,9500.0,9250.0,9319.0,8921915004,957382,2369,D,9463.0,9300.0
21,Saman-E-Kish,20180708,9400.0,9250.0,9305.0,19495460162,2095132,4351,D,9319.0,9250.0
22,Saman-E-Kish,20180710,9350.0,9175.0,9274.0,20629457437,2224555,4475,D,9305.0,9270.0
23,Saman-E-Kish,20180711,9379.0,9025.0,9129.0,27279725254,2988094,3714,D,9274.0,9030.0
24,Saman-E-Kish,20180714,9299.0,9100.0,9199.0,9543110205,1037413,2238,D,9129.0,9168.0
25,Saman-E-Kish,20180715,9500.0,9100.0,9373.0,17200812989,1835200,1870,D,9199.0,9329.0
26,Saman-E-Kish,20180716,9550.0,9374.0,9476.0,11741692481,1239139,1949,D,9373.0,9419.0
27,Saman-E-Kish,20180717,9499.0,9205.0,9337.0,12722842588,1362576,1069,D,9476.0,9360.0
28,Saman-E-Kish,20180718,9490.0,9100.0,9296.0,14805210376,1592711,1259,D,9337.0,9130.0
29,Saman-E-Kish,20180721,9350.0,9142.0,9212.0,6641920139,721027,514,D,9296.0,9200.0
30,Saman-E-Kish,20180722,9672.0,9200.0,9515.0,37891352171,3982320,1438,D,9212.0,9672.0
31,Saman-E-Kish,20180723,9948.0,9400.0,9650.0,23544924571,2439838,1343,D,9515.0,9500.0
32,Saman-E-Kish,20180724,9799.0,9485.0,9612.0,8580159011,892696,915,D,9650.0,9550.0
33,Saman-E-Kish,20180725,9700.0,9421.0,9633.0,90039098012,9347098,1144,D,9612.0,9432.0
34,Saman-E-Kish,20180728,9900.0,9504.0,9670.0,14122444088,1460383,591,D,9633.0,9520.0
35,Saman-E-Kish,20180729,9670.0,9234.0,9478.0,14840578998,1565752,557,D,9670.0,9400.0
36,Saman-E-Kish,20180730,9625.0,9360.0,9459.0,13882940256,1467750,484,D,9478.0,9452.0
37,Saman-E-Kish,20180731,9700.0,9360.0,9595.0,10477043446,1091896,651,D,9459.0,9569.0
38,Saman-E-Kish,20180801,10074.0,9700.0,9993.0,44507657037,4453736,2075,D,9595.0,9890.0
39,Saman-E-Kish,20180804,9911.0,9540.0,9741.0,12939685566,1328342,1102,D,9993.0,9770.0
40,Saman-E-Kish,20180805,9999.0,9553.0,9748.0,16934763040,1737289,735,D,9741.0,9601.0
41,Saman-E-Kish,20180806,10235.0,10235.0,10235.0,23488455025,2294915,300,D,9748.0,10235.0
