,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,S*F..&.Kh..Cement,20010325,3690.0,3690.0,3690.0,6250860,1694,3,D,0.0,3690.0
1,S*F..&.Kh..Cement,20010326,3850.0,3697.0,3850.0,115821294,30704,20,D,3690.0,3850.0
2,S*F..&.Kh..Cement,20010327,3930.0,3850.0,3903.0,125354929,32147,23,D,3850.0,3903.0
3,S*F..&.Kh..Cement,20010328,3903.0,3900.0,3900.0,9306450,2386,4,D,3903.0,3900.0
4,S*F..&.Kh..Cement,20010331,3910.0,3893.0,3894.0,29899663,7657,13,D,3900.0,3894.0
5,S*F..&.Kh..Cement,20010403,3900.0,3894.0,3900.0,57385944,14721,9,D,3894.0,3900.0
6,S*F..&.Kh..Cement,20010408,3896.0,3865.0,3869.0,21789968,5622,13,D,3900.0,3869.0
7,S*F..&.Kh..Cement,20010409,3800.0,3707.0,3787.0,164652556,43477,36,D,3869.0,3787.0
8,S*F..&.Kh..Cement,20010410,3750.0,3650.0,3677.0,125523389,33896,60,D,3787.0,3677.0
9,S*F..&.Kh..Cement,20010411,3730.0,3677.0,3720.0,220241178,59216,46,D,3677.0,3720.0
10,S*F..&.Kh..Cement,20010414,3870.0,3700.0,3870.0,250419086,66200,52,D,3720.0,3870.0
11,S*F..&.Kh..Cement,20010415,3871.0,3870.0,3870.0,36209820,9355,15,D,3870.0,3870.0
12,S*F..&.Kh..Cement,20010416,3970.0,3850.0,3970.0,162613107,41982,38,D,3870.0,3970.0
13,S*F..&.Kh..Cement,20010417,4100.0,3975.0,4100.0,35467170,8813,15,D,3970.0,4100.0
14,S*F..&.Kh..Cement,20010418,4300.0,4121.0,4300.0,187572566,44574,37,D,4100.0,4300.0
15,S*F..&.Kh..Cement,20010421,4399.0,4300.0,4310.0,234657113,54385,66,D,4300.0,4310.0
16,S*F..&.Kh..Cement,20010422,4310.0,4095.0,4189.0,393859903,93038,68,D,4310.0,4189.0
17,S*F..&.Kh..Cement,20010423,4200.0,4189.0,4190.0,172227785,41105,45,D,4189.0,4190.0
18,S*F..&.Kh..Cement,20010424,4300.0,4189.0,4190.0,351097112,83307,61,D,4190.0,4190.0
19,S*F..&.Kh..Cement,20010425,4350.0,4190.0,4320.0,684779473,161126,81,D,4190.0,4320.0
20,S*F..&.Kh..Cement,20010428,4400.0,4303.0,4350.0,453466493,104784,59,D,4320.0,4350.0
21,S*F..&.Kh..Cement,20010429,4401.0,4350.0,4401.0,117141317,26723,28,D,4350.0,4401.0
22,S*F..&.Kh..Cement,20010430,4406.0,4398.0,4403.0,166260111,37759,47,D,4401.0,4403.0
23,S*F..&.Kh..Cement,20010501,4501.0,4404.0,4500.0,128393546,28538,21,D,4403.0,4500.0
24,S*F..&.Kh..Cement,20010502,4503.0,4499.0,4503.0,215555630,47897,60,D,4500.0,4503.0
25,S*F..&.Kh..Cement,20010505,4503.0,4450.0,4500.0,224492675,49882,52,D,4503.0,4500.0
26,S*F..&.Kh..Cement,20010506,4501.0,4420.0,4501.0,178377487,39712,88,D,4500.0,4501.0
27,S*F..&.Kh..Cement,20010507,4520.0,4502.0,4520.0,95039757,21082,38,D,4501.0,4520.0
28,S*F..&.Kh..Cement,20010508,4580.0,4521.0,4580.0,94534282,20777,14,D,4520.0,4580.0
29,S*F..&.Kh..Cement,20010509,4620.0,4500.0,4620.0,130773194,28449,49,D,4580.0,4620.0
30,S*F..&.Kh..Cement,20010512,4620.0,4508.0,4600.0,57821289,12752,22,D,4620.0,4600.0
31,S*F..&.Kh..Cement,20010513,4640.0,4600.0,4605.0,206369341,44801,49,D,4600.0,4605.0
32,S*F..&.Kh..Cement,20010515,4655.0,4605.0,4655.0,122276967,26416,26,D,4605.0,4655.0
33,S*F..&.Kh..Cement,20010516,4700.0,4656.0,4666.0,361543408,77149,31,D,4655.0,4666.0
34,S*F..&.Kh..Cement,20010519,4726.0,4690.0,4726.0,47224427,10033,33,D,4666.0,4726.0
35,S*F..&.Kh..Cement,20010520,4844.0,4750.0,4844.0,81945775,17190,27,D,4726.0,4844.0
36,S*F..&.Kh..Cement,20010521,4965.0,4849.0,4965.0,70894954,14417,18,D,4844.0,4965.0
37,S*F..&.Kh..Cement,20010523,5080.0,4973.0,5080.0,53632591,10648,31,D,4965.0,5080.0
38,S*F..&.Kh..Cement,20010526,5207.0,5080.0,5207.0,77419560,15060,25,D,5080.0,5207.0
39,S*F..&.Kh..Cement,20010527,5337.0,5337.0,5337.0,83967021,15733,36,D,5207.0,5337.0
40,S*F..&.Kh..Cement,20010528,5390.0,5390.0,5390.0,45901240,8516,14,D,5337.0,5390.0
41,S*F..&.Kh..Cement,20010529,5443.0,5443.0,5443.0,60330212,11084,15,D,5390.0,5443.0
42,S*F..&.Kh..Cement,20010530,5497.0,5497.0,5497.0,72126137,13121,20,D,5443.0,5497.0
43,S*F..&.Kh..Cement,20010602,5551.0,5497.0,5497.0,209317360,37780,45,D,5497.0,5497.0
44,S*F..&.Kh..Cement,20010603,5443.0,5443.0,5443.0,72386457,13299,19,D,5497.0,5443.0
45,S*F..&.Kh..Cement,20010606,5443.0,5389.0,5443.0,323735191,60021,82,D,5443.0,5443.0
46,S*F..&.Kh..Cement,20010609,5443.0,5424.0,5443.0,295582729,54386,73,D,5443.0,5443.0
47,S*F..&.Kh..Cement,20010611,5497.0,5390.0,5497.0,262374192,48212,49,D,5443.0,5497.0
48,S*F..&.Kh..Cement,20010612,5498.0,5445.0,5490.0,117173329,21414,41,D,5497.0,5490.0
49,S*F..&.Kh..Cement,20010613,5452.0,5436.0,5452.0,196453024,36093,55,D,5490.0,5452.0
50,S*F..&.Kh..Cement,20010616,5451.0,5400.0,5400.0,38550657,7117,27,D,5452.0,5400.0
51,S*F..&.Kh..Cement,20010617,5402.0,5346.0,5400.0,254845722,47435,83,D,5400.0,5400.0
52,S*F..&.Kh..Cement,20010618,5400.0,5346.0,5400.0,398272228,74106,76,D,5400.0,5400.0
53,S*F..&.Kh..Cement,20010619,5400.0,5350.0,5400.0,340679759,63271,77,D,5400.0,5400.0
54,S*F..&.Kh..Cement,20010620,5401.0,5350.0,5401.0,246980356,45851,53,D,5400.0,5401.0
55,S*F..&.Kh..Cement,20010623,5401.0,5350.0,5400.0,182661294,33924,40,D,5401.0,5400.0
56,S*F..&.Kh..Cement,20010624,5400.0,5349.0,5400.0,116282814,21665,34,D,5400.0,5400.0
57,S*F..&.Kh..Cement,20010625,5400.0,5360.0,5400.0,178707532,33101,25,D,5400.0,5400.0
58,S*F..&.Kh..Cement,20010626,5400.0,5398.0,5400.0,122993470,22778,42,D,5400.0,5400.0
59,S*F..&.Kh..Cement,20010627,5402.0,5396.0,5400.0,197972097,36672,48,D,5400.0,5400.0
60,S*F..&.Kh..Cement,20010630,5400.0,5350.0,5400.0,170537070,31599,34,D,5400.0,5400.0
61,S*F..&.Kh..Cement,20010701,5450.0,5394.0,5450.0,440893397,81270,54,D,5400.0,5450.0
62,S*F..&.Kh..Cement,20010702,5450.0,5397.0,5450.0,166091693,30529,35,D,5450.0,5450.0
63,S*F..&.Kh..Cement,20010703,5451.0,5400.0,5451.0,78950958,14526,24,D,5450.0,5451.0
64,S*F..&.Kh..Cement,20010704,5505.0,5451.0,5505.0,136680419,24890,28,D,5451.0,5505.0
65,S*F..&.Kh..Cement,20010707,5560.0,5560.0,5560.0,161662560,29076,20,D,5505.0,5560.0
66,S*F..&.Kh..Cement,20010708,5615.0,5615.0,5615.0,195637830,34842,44,D,5560.0,5615.0
67,S*F..&.Kh..Cement,20010709,5671.0,5671.0,5671.0,84906212,14972,34,D,5615.0,5671.0
68,S*F..&.Kh..Cement,20010710,5727.0,5727.0,5727.0,51514365,8995,16,D,5671.0,5727.0
69,S*F..&.Kh..Cement,20010711,5784.0,5784.0,5784.0,78193896,13519,26,D,5727.0,5784.0
70,S*F..&.Kh..Cement,20010714,5841.0,5841.0,5841.0,51844716,8876,17,D,5784.0,5841.0
71,S*F..&.Kh..Cement,20010715,5899.0,5899.0,5899.0,97852612,16588,27,D,5841.0,5899.0
72,S*F..&.Kh..Cement,20010716,6046.0,6046.0,6046.0,221604038,36653,48,D,5899.0,6046.0
73,S*F..&.Kh..Cement,20010717,6106.0,6106.0,6106.0,89159812,14602,19,D,6046.0,6106.0
74,S*F..&.Kh..Cement,20010718,6167.0,6167.0,6167.0,31223521,5063,15,D,6106.0,6167.0
75,S*F..&.Kh..Cement,20010721,6228.0,6228.0,6228.0,744607224,119558,143,D,6167.0,6228.0
76,S*F..&.Kh..Cement,20010722,6290.0,6228.0,6259.0,877103349,140404,114,D,6228.0,6259.0
77,S*F..&.Kh..Cement,20010723,6321.0,6234.0,6321.0,243411523,38746,39,D,6259.0,6321.0
78,S*F..&.Kh..Cement,20010724,6384.0,6350.0,6384.0,318845426,49997,35,D,6321.0,6384.0
79,S*F..&.Kh..Cement,20010827,5210.0,4000.0,4900.0,31748342,6714,16,D,6384.0,4900.0
80,S*F..&.Kh..Cement,20010828,4949.0,4949.0,4949.0,59284071,11979,23,D,4900.0,4949.0
81,S*F..&.Kh..Cement,20010829,4988.0,4900.0,4900.0,127146050,25658,31,D,4949.0,4900.0
82,S*F..&.Kh..Cement,20010901,4851.0,4851.0,4851.0,21674268,4468,10,D,4900.0,4851.0
83,S*F..&.Kh..Cement,20010902,4803.0,4803.0,4803.0,6143037,1279,4,D,4851.0,4803.0
84,S*F..&.Kh..Cement,20010904,4683.0,4683.0,4683.0,26187336,5592,11,D,4803.0,4683.0
85,S*F..&.Kh..Cement,20010905,4683.0,4637.0,4683.0,1004480788,216613,110,D,4683.0,4683.0
86,S*F..&.Kh..Cement,20010908,4637.0,4637.0,4637.0,53682549,11577,6,D,4683.0,4637.0
87,S*F..&.Kh..Cement,20010909,4591.0,4591.0,4591.0,292864481,63791,16,D,4637.0,4591.0
88,S*F..&.Kh..Cement,20010910,4546.0,4546.0,4546.0,370271700,81450,81,D,4591.0,4546.0
89,S*F..&.Kh..Cement,20010911,4501.0,4501.0,4501.0,192017161,42661,16,D,4546.0,4501.0
90,S*F..&.Kh..Cement,20010912,4456.0,4456.0,4456.0,44560000,10000,1,D,4501.0,4456.0
91,S*F..&.Kh..Cement,20010915,4412.0,4412.0,4412.0,22060000,5000,4,D,4456.0,4412.0
92,S*F..&.Kh..Cement,20010916,4368.0,4368.0,4368.0,28824432,6599,6,D,4412.0,4368.0
93,S*F..&.Kh..Cement,20010917,4325.0,4325.0,4325.0,4325000,1000,1,D,4368.0,4325.0
94,S*F..&.Kh..Cement,20010918,4282.0,4282.0,4282.0,4282000,1000,1,D,4325.0,4282.0
95,S*F..&.Kh..Cement,20010919,4175.0,4175.0,4175.0,63259600,15152,10,D,4282.0,4175.0
96,S*F..&.Kh..Cement,20010922,4176.0,4071.0,4072.0,5649309358,1364467,322,D,4175.0,4072.0
97,S*F..&.Kh..Cement,20010923,4173.0,4072.0,4173.0,414584717,99509,98,D,4072.0,4173.0
98,S*F..&.Kh..Cement,20010924,4214.0,4142.0,4165.0,505952979,120931,101,D,4173.0,4165.0
99,S*F..&.Kh..Cement,20010925,4170.0,4149.0,4170.0,299403068,71944,94,D,4165.0,4170.0
100,S*F..&.Kh..Cement,20010926,4170.0,4129.0,4130.0,420780642,101517,64,D,4170.0,4130.0
101,S*F..&.Kh..Cement,20010929,4171.0,4129.0,4171.0,303113405,73182,56,D,4130.0,4171.0
102,S*F..&.Kh..Cement,20010930,4212.0,4172.0,4212.0,173788630,41393,37,D,4171.0,4212.0
103,S*F..&.Kh..Cement,20011002,4254.0,4245.0,4254.0,331816815,78049,64,D,4212.0,4254.0
104,S*F..&.Kh..Cement,20011003,4296.0,4254.0,4296.0,3808523412,886626,91,D,4254.0,4296.0
105,S*F..&.Kh..Cement,20011006,4296.0,4254.0,4296.0,508501891,118895,79,D,4296.0,4296.0
106,S*F..&.Kh..Cement,20011007,4338.0,4294.0,4338.0,58010370,13476,39,D,4296.0,4338.0
107,S*F..&.Kh..Cement,20011008,4350.0,4300.0,4305.0,195130609,45122,49,D,4338.0,4305.0
108,S*F..&.Kh..Cement,20011009,4305.0,4299.0,4300.0,761445657,177068,75,D,4305.0,4300.0
109,S*F..&.Kh..Cement,20011010,4350.0,4250.0,4300.0,2122803030,495990,107,D,4300.0,4300.0
