,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Siman.Fars.Noe,20091021,2617.0,2540.0,2540.0,42038074000,16550000,448,D,1000.0,2540.0
1,Siman.Fars.Noe,20091024,2616.0,2616.0,2616.0,2553216000,976000,100,D,2540.0,2616.0
2,Siman.Fars.Noe,20091025,2694.0,2694.0,2694.0,5600826000,2079000,226,D,2616.0,2694.0
3,Siman.Fars.Noe,20091026,2774.0,2697.0,2767.0,32946683021,11907657,3151,D,2694.0,2774.0
4,Siman.Fars.Noe,20091027,2840.0,2750.0,2797.0,11435654120,4088611,1199,D,2767.0,2794.0
5,Siman.Fars.Noe,20091028,2750.0,2714.0,2718.0,1893818322,696758,272,D,2797.0,2714.0
6,Siman.Fars.Noe,20091031,2700.0,2637.0,2651.0,5042678930,1902372,474,D,2718.0,2700.0
7,Siman.Fars.Noe,20091101,2645.0,2584.0,2612.0,1126657277,431257,137,D,2651.0,2584.0
8,Siman.Fars.Noe,20091102,2690.0,2550.0,2599.0,773141412,297486,106,D,2612.0,2554.0
9,Siman.Fars.Noe,20091103,2580.0,2523.0,2565.0,416942087,164061,58,D,2599.0,2580.0
10,Siman.Fars.Noe,20091104,2623.0,2568.0,2585.0,384975867,147908,51,D,2565.0,2568.0
11,Siman.Fars.Noe,20091107,2675.0,2601.0,2604.0,234847313,88740,25,D,2585.0,2620.0
12,Siman.Fars.Noe,20091108,2612.0,2551.0,2599.0,2174964720,836866,82,D,2604.0,2600.0
13,Siman.Fars.Noe,20091109,2680.0,2580.0,2611.0,610828228,233694,76,D,2599.0,2679.0
14,Siman.Fars.Noe,20091110,2679.0,2601.0,2625.0,412768825,156635,39,D,2611.0,2604.0
15,Siman.Fars.Noe,20091111,2650.0,2607.0,2622.0,273498022,104477,19,D,2625.0,2607.0
16,Siman.Fars.Noe,20091114,2646.0,2577.0,2615.0,203245016,78215,23,D,2622.0,2599.0
17,Siman.Fars.Noe,20091115,2614.0,2560.0,2596.0,735232400,283171,61,D,2615.0,2590.0
18,Siman.Fars.Noe,20091116,2607.0,2568.0,2595.0,193634410,74660,19,D,2596.0,2568.0
19,Siman.Fars.Noe,20091117,2596.0,2506.0,2590.0,110604177,43167,20,D,2595.0,2511.0
20,Siman.Fars.Noe,20091118,2514.0,2500.0,2548.0,373154810,148640,27,D,2590.0,2504.0
21,Siman.Fars.Noe,20091121,2460.0,2459.0,2530.0,141654231,57593,13,D,2548.0,2459.0
22,Siman.Fars.Noe,20091122,2459.0,2442.0,2458.0,560852214,229617,64,D,2530.0,2459.0
23,Siman.Fars.Noe,20091123,2544.0,2375.0,2472.0,186744080,74400,17,D,2458.0,2544.0
24,Siman.Fars.Noe,20091124,2558.0,2538.0,2535.0,575996282,225892,32,D,2472.0,2558.0
25,Siman.Fars.Noe,20091125,2589.0,2447.0,2537.0,80442217,31484,9,D,2535.0,2447.0
26,Siman.Fars.Noe,20091129,2457.0,2449.0,2499.0,312585250,127455,29,D,2537.0,2449.0
27,Siman.Fars.Noe,20091130,2440.0,2412.0,2464.0,286645766,118626,33,D,2499.0,2413.0
28,Siman.Fars.Noe,20091201,2465.0,2400.0,2462.0,66298480,27161,10,D,2464.0,2465.0
29,Siman.Fars.Noe,20091202,2498.0,2416.0,2463.0,121348068,49229,18,D,2462.0,2470.0
30,Siman.Fars.Noe,20091205,2381.0,2381.0,2462.0,4762000,2000,1,D,2463.0,2381.0
31,Siman.Fars.Noe,20091208,2500.0,2450.0,2468.0,156740932,63000,17,D,2462.0,2450.0
32,Siman.Fars.Noe,20091209,2480.0,2401.0,2476.0,507435819,204729,25,D,2468.0,2422.0
33,Siman.Fars.Noe,20091212,2410.0,2390.0,2451.0,200696859,83878,21,D,2476.0,2391.0
34,Siman.Fars.Noe,20091213,2448.0,2366.0,2432.0,200788952,84110,16,D,2451.0,2366.0
35,Siman.Fars.Noe,20091214,2436.0,2347.0,2418.0,115135000,49000,10,D,2432.0,2348.0
36,Siman.Fars.Noe,20091215,2350.0,2334.0,2408.0,86580000,37000,7,D,2418.0,2334.0
37,Siman.Fars.Noe,20091216,2324.0,2324.0,2408.0,3486000,1500,1,D,2408.0,2324.0
38,Siman.Fars.Noe,20091219,2324.0,2324.0,2397.0,81340000,35000,16,D,2408.0,2324.0
39,Siman.Fars.Noe,20091220,2330.0,2314.0,2394.0,20783268,8970,5,D,2397.0,2315.0
40,Siman.Fars.Noe,20091221,2340.0,2311.0,2372.0,183294747,79193,26,D,2394.0,2314.0
41,Siman.Fars.Noe,20091222,2291.0,2289.0,2349.0,180183408,78710,19,D,2372.0,2289.0
42,Siman.Fars.Noe,20091223,2289.0,2267.0,2340.0,67659958,29834,14,D,2349.0,2267.0
43,Siman.Fars.Noe,20091228,2260.0,2259.0,2335.0,35649460,15776,5,D,2340.0,2259.0
44,Siman.Fars.Noe,20091229,2254.0,2254.0,2321.0,112700000,50000,3,D,2335.0,2254.0
45,Siman.Fars.Noe,20091230,2240.0,2240.0,2299.0,169453760,75649,23,D,2321.0,2240.0
46,Siman.Fars.Noe,20100102,2379.0,2379.0,2300.0,11895000,5000,1,D,2299.0,2379.0
47,Siman.Fars.Noe,20100103,2260.0,2260.0,2299.0,10622000,4700,2,D,2300.0,2260.0
48,Siman.Fars.Noe,20100104,2379.0,2242.0,2335.0,393917940,166900,14,D,2299.0,2379.0
49,Siman.Fars.Noe,20100105,2399.0,2379.0,2337.0,31942390,13410,6,D,2335.0,2379.0
50,Siman.Fars.Noe,20100106,2418.0,2396.0,2361.0,222611392,92404,14,D,2337.0,2418.0
51,Siman.Fars.Noe,20100109,2361.0,2361.0,2361.0,6761904,2864,1,D,2361.0,2361.0
52,Siman.Fars.Noe,20100110,2443.0,2361.0,2368.0,135041047,56331,9,D,2361.0,2443.0
53,Siman.Fars.Noe,20100112,2450.0,2371.0,2385.0,153624899,62856,9,D,2368.0,2450.0
54,Siman.Fars.Noe,20100113,2371.0,2370.0,2385.0,11369721,4797,4,D,2385.0,2371.0
55,Siman.Fars.Noe,20100116,2400.0,2400.0,2385.0,496800,207,1,D,2385.0,2400.0
56,Siman.Fars.Noe,20100117,2400.0,2321.0,2384.0,18807405,7962,5,D,2385.0,2322.0
57,Siman.Fars.Noe,20100118,2326.0,2325.0,2383.0,9722867,4181,3,D,2384.0,2325.0
58,Siman.Fars.Noe,20100119,2438.0,2350.0,2383.0,14772694,6143,4,D,2383.0,2438.0
59,Siman.Fars.Noe,20100120,2361.0,2361.0,2383.0,4500066,1906,1,D,2383.0,2361.0
60,Siman.Fars.Noe,20100123,2466.0,2380.0,2395.0,107475860,43726,10,D,2383.0,2466.0
61,Siman.Fars.Noe,20100124,2478.0,2466.0,2396.0,11135478,4501,3,D,2395.0,2478.0
62,Siman.Fars.Noe,20100125,2479.0,2478.0,2418.0,189027515,76267,22,D,2396.0,2479.0
63,Siman.Fars.Noe,20100126,2502.0,2479.0,2435.0,163641312,65656,17,D,2418.0,2502.0
64,Siman.Fars.Noe,20100127,2500.0,2436.0,2436.0,42270000,17200,4,D,2435.0,2500.0
65,Siman.Fars.Noe,20100130,2400.0,2370.0,2432.0,49220000,20700,3,D,2436.0,2370.0
66,Siman.Fars.Noe,20100131,2490.0,2353.0,2432.0,7241000,3000,4,D,2432.0,2490.0
67,Siman.Fars.Noe,20100201,2440.0,2440.0,2432.0,8784000,3600,2,D,2432.0,2440.0
68,Siman.Fars.Noe,20100202,2371.0,2370.0,2431.0,6637300,2800,2,D,2432.0,2371.0
69,Siman.Fars.Noe,20100203,2371.0,2355.0,2399.0,346236545,146099,16,D,2431.0,2355.0
70,Siman.Fars.Noe,20100206,2353.0,2352.0,2397.0,30581000,13000,4,D,2399.0,2352.0
71,Siman.Fars.Noe,20100207,2325.0,2317.0,2395.0,15778195,6800,5,D,2397.0,2320.0
72,Siman.Fars.Noe,20100208,2321.0,2317.0,2389.0,51036000,22000,9,D,2395.0,2320.0
73,Siman.Fars.Noe,20100209,2320.0,2320.0,2388.0,5892800,2540,3,D,2389.0,2320.0
74,Siman.Fars.Noe,20100210,2320.0,2315.0,2368.0,186914280,80600,33,D,2388.0,2320.0
75,Siman.Fars.Noe,20100214,2368.0,2367.0,2368.0,3560286000,1503500,32,D,2368.0,2368.0
76,Siman.Fars.Noe,20100216,2399.0,2399.0,2369.0,11995000,5000,1,D,2368.0,2399.0
77,Siman.Fars.Noe,20100217,2340.0,2301.0,2357.0,171058904,73647,20,D,2369.0,2301.0
78,Siman.Fars.Noe,20100220,2330.0,2302.0,2348.0,137231894,59307,13,D,2357.0,2325.0
