,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Glass.and.Gas,20010325,9050.0,9030.0,9030.0,27112000,3000,6,D,9050.0,9030.0
1,Glass.and.Gas,20010326,9050.0,9050.0,9050.0,51684550,5711,7,D,9030.0,9050.0
2,Glass.and.Gas,20010327,9100.0,9050.0,9050.0,37606800,4147,9,D,9050.0,9050.0
3,Glass.and.Gas,20010328,9100.0,9100.0,9100.0,65046800,7148,14,D,9050.0,9100.0
4,Glass.and.Gas,20010331,9100.0,9100.0,9100.0,50559600,5556,7,D,9100.0,9100.0
5,Glass.and.Gas,20010403,9100.0,9100.0,9100.0,15797600,1736,4,D,9100.0,9100.0
6,Glass.and.Gas,20010407,9120.0,9100.0,9100.0,63015140,6917,11,D,9100.0,9100.0
7,Glass.and.Gas,20010408,9116.0,9100.0,9115.0,92262935,10123,12,D,9100.0,9115.0
8,Glass.and.Gas,20010409,9499.0,9130.0,9499.0,69388775,7404,22,D,9115.0,9499.0
9,Glass.and.Gas,20010410,9601.0,9500.0,9500.0,65961400,6922,17,D,9499.0,9500.0
10,Glass.and.Gas,20010411,9501.0,9497.0,9499.0,121244010,12763,21,D,9500.0,9499.0
11,Glass.and.Gas,20010414,9499.0,9488.0,9490.0,28257219,2977,12,D,9499.0,9490.0
12,Glass.and.Gas,20010416,9449.0,9390.0,9400.0,161707361,17151,17,D,9490.0,9400.0
13,Glass.and.Gas,20010417,9400.0,9390.0,9390.0,20076164,2136,8,D,9400.0,9390.0
14,Glass.and.Gas,20010418,9601.0,9389.0,9516.0,183353585,19307,52,D,9390.0,9516.0
15,Glass.and.Gas,20010421,9650.0,9530.0,9650.0,56112681,5838,15,D,9516.0,9650.0
16,Glass.and.Gas,20010422,9800.0,9650.0,9800.0,58761010,6045,25,D,9650.0,9800.0
17,Glass.and.Gas,20010423,10000.0,9800.0,10000.0,192375885,19334,36,D,9800.0,10000.0
18,Glass.and.Gas,20010424,10000.0,9800.0,9979.0,88882497,8905,14,D,10000.0,9979.0
19,Glass.and.Gas,20010425,9900.0,9800.0,9900.0,94817462,9646,22,D,9979.0,9900.0
20,Glass.and.Gas,20010428,9800.0,9651.0,9800.0,114510716,11758,20,D,9900.0,9800.0
21,Glass.and.Gas,20010429,9950.0,9800.0,9950.0,125129283,12686,25,D,9800.0,9950.0
22,Glass.and.Gas,20010430,9955.0,9550.0,9950.0,57552997,5812,16,D,9950.0,9950.0
23,Glass.and.Gas,20010501,9899.0,9850.0,9850.0,25190590,2550,10,D,9950.0,9850.0
24,Glass.and.Gas,20010502,9880.0,9800.0,9850.0,117015970,11898,25,D,9850.0,9850.0
25,Glass.and.Gas,20010505,10342.0,9880.0,10342.0,187767258,18735,40,D,9850.0,10342.0
26,Glass.and.Gas,20010506,10859.0,10548.0,10850.0,321635967,29768,61,D,10342.0,10850.0
27,Glass.and.Gas,20010507,10849.0,10600.0,10604.0,285872137,26864,49,D,10850.0,10604.0
28,Glass.and.Gas,20010508,10590.0,10521.0,10532.0,74300492,7047,24,D,10604.0,10532.0
29,Glass.and.Gas,20010509,10801.0,10535.0,10799.0,327783118,30452,68,D,10532.0,10799.0
30,Glass.and.Gas,20010512,11024.0,10799.0,11021.0,286297157,26085,60,D,10799.0,11021.0
31,Glass.and.Gas,20010513,11027.0,10898.0,10898.0,283958083,25800,62,D,11021.0,10898.0
32,Glass.and.Gas,20010515,10889.0,10700.0,10800.0,956452776,89019,123,D,10898.0,10800.0
33,Glass.and.Gas,20010516,10823.0,10700.0,10700.0,641834430,59498,108,D,10800.0,10700.0
34,Glass.and.Gas,20010612,9018.0,9010.0,9018.0,86780983,9627,16,D,10700.0,9018.0
35,Glass.and.Gas,20010613,9018.0,8800.0,8800.0,218077712,24241,20,D,9018.0,8800.0
36,Glass.and.Gas,20010616,8802.0,8787.0,8787.0,89733759,10198,26,D,8800.0,8787.0
37,Glass.and.Gas,20010617,8750.0,8694.0,8694.0,16296053,1868,9,D,8787.0,8694.0
38,Glass.and.Gas,20010618,8798.0,8599.0,8797.0,263227624,30330,61,D,8694.0,8797.0
39,Glass.and.Gas,20010619,8821.0,8790.0,8821.0,103302411,11742,10,D,8797.0,8821.0
40,Glass.and.Gas,20010620,9052.0,9000.0,9050.0,579765020,64200,47,D,8821.0,9050.0
41,Glass.and.Gas,20010623,9050.0,9039.0,9040.0,333989691,36916,41,D,9050.0,9040.0
42,Glass.and.Gas,20010624,9040.0,8988.0,8988.0,94064808,10439,27,D,9040.0,8988.0
43,Glass.and.Gas,20010625,8934.0,8800.0,8800.0,111431586,12618,23,D,8988.0,8800.0
44,Glass.and.Gas,20010626,8950.0,8806.0,8808.0,163215224,18381,39,D,8800.0,8808.0
45,Glass.and.Gas,20010627,8970.0,8856.0,8970.0,167544820,18819,30,D,8808.0,8970.0
46,Glass.and.Gas,20010630,8970.0,8876.0,8940.0,194648854,21835,41,D,8970.0,8940.0
47,Glass.and.Gas,20010701,8939.0,8900.0,8900.0,120166300,13465,21,D,8940.0,8900.0
48,Glass.and.Gas,20010702,8881.0,8847.0,8870.0,46835740,5280,13,D,8900.0,8870.0
49,Glass.and.Gas,20010703,8870.0,8798.0,8800.0,110728671,12562,13,D,8870.0,8800.0
50,Glass.and.Gas,20010704,8800.0,8786.0,8786.0,31930455,3632,12,D,8800.0,8786.0
51,Glass.and.Gas,20010707,8786.0,8699.0,8740.0,29864344,3424,10,D,8786.0,8740.0
52,Glass.and.Gas,20010708,8740.0,8690.0,8700.0,23832528,2736,10,D,8740.0,8700.0
53,Glass.and.Gas,20010709,8690.0,8600.0,8602.0,147578665,17113,13,D,8700.0,8602.0
54,Glass.and.Gas,20010710,8602.0,8485.0,8485.0,215446788,25350,12,D,8602.0,8485.0
55,Glass.and.Gas,20010711,8461.0,8453.0,8460.0,203169131,24020,22,D,8485.0,8460.0
56,Glass.and.Gas,20010714,8462.0,8202.0,8460.0,47372419,5611,19,D,8460.0,8460.0
57,Glass.and.Gas,20010715,8590.0,8445.0,8490.0,189112457,22341,33,D,8460.0,8490.0
58,Glass.and.Gas,20011117,4200.0,4200.0,4200.0,4200000,1000,2,D,8490.0,4200.0
59,Glass.and.Gas,20011118,3990.0,3990.0,3990.0,12089700,3030,8,D,4200.0,3990.0
60,Glass.and.Gas,20011119,3791.0,3791.0,3791.0,30441730,8030,13,D,3990.0,3791.0
61,Glass.and.Gas,20011120,3799.0,3602.0,3798.0,102207671,27891,42,D,3791.0,3798.0
62,Glass.and.Gas,20011121,3800.0,3748.0,3800.0,144436410,38208,51,D,3798.0,3800.0
63,Glass.and.Gas,20011124,3990.0,3800.0,3990.0,1238921536,310609,10,D,3800.0,3990.0
64,Glass.and.Gas,20011125,4000.0,4000.0,4000.0,3668000,917,2,D,3990.0,4000.0
65,Glass.and.Gas,20011126,4070.0,4035.0,4058.0,140189328,34516,71,D,4000.0,4058.0
66,Glass.and.Gas,20011127,4100.0,4040.0,4058.0,95134575,23442,69,D,4058.0,4058.0
67,Glass.and.Gas,20011128,4073.0,4059.0,4059.0,75557415,18600,68,D,4058.0,4059.0
68,Glass.and.Gas,20011201,4075.0,4059.0,4059.0,99954723,24591,65,D,4059.0,4059.0
69,Glass.and.Gas,20011202,4059.0,4052.0,4059.0,43070925,10620,48,D,4059.0,4059.0
70,Glass.and.Gas,20011203,4060.0,4057.0,4060.0,79267411,19530,65,D,4059.0,4060.0
71,Glass.and.Gas,20011204,4058.0,4050.0,4050.0,19865054,4899,20,D,4060.0,4050.0
72,Glass.and.Gas,20011205,4041.0,4010.0,4020.0,43122726,10702,68,D,4050.0,4020.0
73,Glass.and.Gas,20011208,4058.0,4010.0,4040.0,24509700,6060,32,D,4020.0,4040.0
74,Glass.and.Gas,20011209,4040.0,4012.0,4040.0,28382920,7041,41,D,4040.0,4040.0
75,Glass.and.Gas,20011210,4060.0,4039.0,4060.0,83085217,20522,41,D,4040.0,4060.0
76,Glass.and.Gas,20011211,4263.0,4000.0,4060.0,121872124,30035,102,D,4060.0,4060.0
77,Glass.and.Gas,20011212,4263.0,4060.0,4200.0,30992550,7428,7,D,4060.0,4200.0
78,Glass.and.Gas,20011215,4410.0,4200.0,4410.0,81198790,18696,12,D,4200.0,4410.0
79,Glass.and.Gas,20011217,4410.0,4200.0,4410.0,52343320,12037,16,D,4410.0,4410.0
80,Glass.and.Gas,20011218,4626.0,4210.0,4626.0,223049274,49998,38,D,4410.0,4626.0
81,Glass.and.Gas,20011219,4800.0,4577.0,4790.0,722321269,154084,60,D,4626.0,4790.0
82,Glass.and.Gas,20011222,4780.0,4780.0,4780.0,521020,109,1,D,4790.0,4780.0
83,Glass.and.Gas,20011223,4746.0,4695.0,4696.0,8258118,1746,10,D,4780.0,4696.0
84,Glass.and.Gas,20011224,4690.0,4588.0,4588.0,88554070,19098,28,D,4696.0,4588.0
85,Glass.and.Gas,20011225,4588.0,4584.0,4587.0,173825432,37900,33,D,4588.0,4587.0
86,Glass.and.Gas,20011226,4586.0,4570.0,4570.0,100936840,22020,10,D,4587.0,4570.0
87,Glass.and.Gas,20011229,4570.0,4474.0,4474.0,90406028,20022,24,D,4570.0,4474.0
88,Glass.and.Gas,20011230,4471.0,4400.0,4471.0,32909776,7456,8,D,4474.0,4471.0
89,Glass.and.Gas,20011231,4458.0,4350.0,4458.0,3285288,750,2,D,4471.0,4458.0
90,Glass.and.Gas,20020101,4458.0,4450.0,4450.0,11194488,2512,5,D,4458.0,4450.0
91,Glass.and.Gas,20020102,4418.0,4418.0,4418.0,8928778,2021,2,D,4450.0,4418.0
92,Glass.and.Gas,20020105,4400.0,4400.0,4400.0,990000,225,1,D,4418.0,4400.0
93,Glass.and.Gas,20020106,4369.0,4251.0,4251.0,82280638,19102,12,D,4400.0,4251.0
94,Glass.and.Gas,20020107,4227.0,4198.0,4199.0,17075356,4060,5,D,4251.0,4199.0
95,Glass.and.Gas,20020108,4150.0,4039.0,4080.0,13164092,3238,13,D,4199.0,4080.0
96,Glass.and.Gas,20020112,4094.0,4080.0,4094.0,28940006,7087,8,D,4080.0,4094.0
97,Glass.and.Gas,20020113,4298.0,4112.0,4298.0,83434658,19688,37,D,4094.0,4298.0
98,Glass.and.Gas,20020114,4302.0,4298.0,4301.0,13011446,3027,10,D,4298.0,4301.0
99,Glass.and.Gas,20020115,4305.0,4250.0,4255.0,47079091,11030,21,D,4301.0,4255.0
100,Glass.and.Gas,20020116,4255.0,4255.0,4255.0,693565,163,1,D,4255.0,4255.0
101,Glass.and.Gas,20020119,4205.0,4100.0,4103.0,39836740,9580,9,D,4255.0,4103.0
102,Glass.and.Gas,20020120,4145.0,4050.0,4050.0,100877842,24631,25,D,4103.0,4050.0
103,Glass.and.Gas,20020121,4145.0,4050.0,4145.0,21900990,5350,18,D,4050.0,4145.0
104,Glass.and.Gas,20020122,4200.0,4100.0,4200.0,49157861,11854,27,D,4145.0,4200.0
105,Glass.and.Gas,20020123,4201.0,4200.0,4200.0,13801210,3286,4,D,4200.0,4200.0
106,Glass.and.Gas,20020126,4100.0,4099.0,4099.0,27492354,6707,11,D,4200.0,4099.0
107,Glass.and.Gas,20020127,4100.0,4070.0,4099.0,58827735,14406,28,D,4099.0,4099.0
108,Glass.and.Gas,20020128,4041.0,4000.0,4039.0,122940487,30506,62,D,4099.0,4039.0
109,Glass.and.Gas,20020129,4039.0,3994.0,3995.0,150152988,37518,143,D,4039.0,3995.0
110,Glass.and.Gas,20020130,4000.0,3990.0,4000.0,35752856,8945,10,D,3995.0,4000.0
111,Glass.and.Gas,20020202,4000.0,3901.0,3903.0,41377565,10461,10,D,4000.0,3903.0
112,Glass.and.Gas,20020203,3903.0,3902.0,3902.0,32029006,8207,19,D,3903.0,3902.0
113,Glass.and.Gas,20020204,3921.0,3911.0,3920.0,26880700,6863,10,D,3902.0,3920.0
114,Glass.and.Gas,20020205,3915.0,3300.0,3500.0,86182000,24565,28,D,3920.0,3500.0
115,Glass.and.Gas,20020206,3457.0,3325.0,3325.0,25352750,7532,11,D,3500.0,3325.0
116,Glass.and.Gas,20020210,3159.0,3159.0,3159.0,3159000,1000,1,D,3325.0,3159.0
117,Glass.and.Gas,20020212,3100.0,3020.0,3022.0,55046063,18104,21,D,3159.0,3022.0
118,Glass.and.Gas,20020213,3000.0,2950.0,2950.0,20620000,6960,7,D,3022.0,2950.0
119,Glass.and.Gas,20020216,2950.0,2878.0,2950.0,16277207,5560,11,D,2950.0,2950.0
120,Glass.and.Gas,20020217,3000.0,2956.0,3000.0,28414424,9474,11,D,2950.0,3000.0
121,Glass.and.Gas,20020218,3090.0,3010.0,3090.0,59431625,19637,13,D,3000.0,3090.0
122,Glass.and.Gas,20020220,3180.0,3173.0,3180.0,2224950,700,2,D,3090.0,3180.0
123,Glass.and.Gas,20020224,3299.0,3210.0,3299.0,4412200,1350,5,D,3180.0,3299.0
124,Glass.and.Gas,20020225,3388.0,3164.0,3166.0,109545051,34060,81,D,3299.0,3166.0
125,Glass.and.Gas,20020226,3166.0,3150.0,3166.0,55206046,17503,54,D,3166.0,3166.0
126,Glass.and.Gas,20020227,3166.0,3091.0,3100.0,33648236,10698,11,D,3166.0,3100.0
127,Glass.and.Gas,20020302,3100.0,3100.0,3100.0,24790700,7997,16,D,3100.0,3100.0
128,Glass.and.Gas,20020304,3101.0,3100.0,3100.0,2955095,953,2,D,3100.0,3100.0
129,Glass.and.Gas,20020305,3097.0,3095.0,3095.0,8669400,2800,3,D,3100.0,3095.0
130,Glass.and.Gas,20020306,3070.0,3002.0,3002.0,24488992,8106,8,D,3095.0,3002.0
131,Glass.and.Gas,20020309,3003.0,3002.0,3002.0,40995646,13653,16,D,3002.0,3002.0
132,Glass.and.Gas,20020310,3003.0,3003.0,3003.0,9501492,3164,5,D,3002.0,3003.0
133,Glass.and.Gas,20020311,3050.0,3005.0,3050.0,27962785,9257,6,D,3003.0,3050.0
134,Glass.and.Gas,20020312,3053.0,3050.0,3053.0,10450832,3426,10,D,3050.0,3053.0
135,Glass.and.Gas,20020313,3112.0,3100.0,3112.0,31503262,10152,14,D,3053.0,3112.0
136,Glass.and.Gas,20020316,3149.0,3149.0,3149.0,2147618,682,2,D,3112.0,3149.0
137,Glass.and.Gas,20020317,3145.0,3100.0,3100.0,35202740,11293,17,D,3149.0,3100.0
138,Glass.and.Gas,20020318,3100.0,3003.0,3097.0,44968215,14916,9,D,3100.0,3097.0
139,Glass.and.Gas,20020319,3090.0,3088.0,3088.0,5248760,1699,2,D,3097.0,3088.0
140,Glass.and.Gas,20020326,3068.0,3068.0,3068.0,1487980,485,1,D,3088.0,3068.0
141,Glass.and.Gas,20020327,3003.0,3000.0,3000.0,6251100,2083,5,D,3068.0,3000.0
142,Glass.and.Gas,20020331,3000.0,3000.0,3000.0,7500000,2500,1,D,3000.0,3000.0
143,Glass.and.Gas,20020406,3000.0,2915.0,2915.0,23719025,8106,9,D,3000.0,2915.0
144,Glass.and.Gas,20020407,2915.0,2907.0,2908.0,17611847,6048,8,D,2915.0,2908.0
145,Glass.and.Gas,20020408,2850.0,2850.0,2850.0,8550000,3000,4,D,2908.0,2850.0
146,Glass.and.Gas,20020409,2801.0,2781.0,2781.0,46526398,16658,20,D,2850.0,2781.0
147,Glass.and.Gas,20020410,2850.0,2800.0,2850.0,21147200,7460,5,D,2781.0,2850.0
148,Glass.and.Gas,20020413,2870.0,2850.0,2870.0,8446910,2957,4,D,2850.0,2870.0
149,Glass.and.Gas,20020414,2880.0,2850.0,2850.0,33510900,11691,10,D,2870.0,2850.0
