,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Qayen.Cement,20010414,5400.0,5400.0,5400.0,8100000,1500,2,D,5400.0,5400.0
1,Qayen.Cement,20010421,5400.0,5400.0,5400.0,18900000,3500,5,D,5400.0,5400.0
2,Qayen.Cement,20010502,5401.0,5401.0,5401.0,5401000,1000,1,D,5400.0,5401.0
3,Qayen.Cement,20010506,5400.0,5400.0,5400.0,5400000,1000,1,D,5401.0,5400.0
4,Qayen.Cement,20010508,5600.0,5600.0,5600.0,5600000,1000,1,D,5400.0,5600.0
5,Qayen.Cement,20010509,5600.0,5600.0,5600.0,3449600,616,1,D,5600.0,5600.0
6,Qayen.Cement,20010513,5700.0,5700.0,5700.0,5985000,1050,1,D,5600.0,5700.0
7,Qayen.Cement,20010516,5707.0,5707.0,5707.0,5056402,886,9,D,5700.0,5707.0
8,Qayen.Cement,20010527,5992.0,5992.0,5992.0,5992000,1000,1,D,5707.0,5992.0
9,Qayen.Cement,20010529,6291.0,6291.0,6291.0,6291000,1000,1,D,5992.0,6291.0
10,Qayen.Cement,20010530,6448.0,6448.0,6448.0,10729472,1664,3,D,6291.0,6448.0
11,Qayen.Cement,20010602,6609.0,6609.0,6609.0,6609000,1000,2,D,6448.0,6609.0
12,Qayen.Cement,20010703,5780.0,5019.0,5780.0,48919100,8600,3,D,6609.0,5780.0
13,Qayen.Cement,20010708,6069.0,6069.0,6069.0,6069000,1000,2,D,5780.0,6069.0
14,Qayen.Cement,20010711,6372.0,6372.0,6372.0,6372000,1000,4,D,6069.0,6372.0
15,Qayen.Cement,20010801,6690.0,6690.0,6690.0,10035000,1500,1,D,6372.0,6690.0
16,Qayen.Cement,20010805,7024.0,7024.0,7024.0,14048000,2000,3,D,6690.0,7024.0
17,Qayen.Cement,20010806,7375.0,7375.0,7375.0,14750000,2000,3,D,7024.0,7375.0
