,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Saman.Gostar,20020622,1170.0,1170.0,1170.0,1205100000,1030000,75,D,1170.0,1170.0
1,Saman.Gostar,20020623,1170.0,1170.0,1170.0,117000000,100000,175,D,1170.0,1170.0
2,Saman.Gostar,20020624,1170.0,1170.0,1170.0,124020000,106000,338,D,1170.0,1170.0
3,Saman.Gostar,20020625,1170.0,1170.0,1170.0,58500000,50000,257,D,1170.0,1170.0
4,Saman.Gostar,20020626,1170.0,1170.0,1170.0,164659950,140735,249,D,1170.0,1170.0
5,Saman.Gostar,20020629,1171.0,1170.0,1170.0,43356801,37056,243,D,1170.0,1170.0
6,Saman.Gostar,20020630,1170.0,1170.0,1170.0,95336280,81484,12,D,1170.0,1170.0
7,Saman.Gostar,20020701,1171.0,1170.0,1170.0,73386410,62723,282,D,1170.0,1170.0
8,Saman.Gostar,20020702,1170.0,1170.0,1170.0,112364460,96038,481,D,1170.0,1170.0
9,Saman.Gostar,20020703,1171.0,1170.0,1171.0,7021000,6000,2,D,1170.0,1171.0
10,Saman.Gostar,20020706,1171.0,1169.0,1171.0,34150181,29193,17,D,1171.0,1171.0
11,Saman.Gostar,20020707,1171.0,1170.0,1171.0,15497553,13243,7,D,1171.0,1171.0
12,Saman.Gostar,20020708,1172.0,1172.0,1172.0,7032000,6000,2,D,1171.0,1172.0
13,Saman.Gostar,20020710,1173.0,1170.0,1173.0,100121437,85519,16,D,1172.0,1173.0
14,Saman.Gostar,20020713,1174.0,1174.0,1174.0,1174000,1000,5,D,1173.0,1174.0
15,Saman.Gostar,20020714,1175.0,1174.0,1174.0,1897348,1615,4,D,1174.0,1174.0
16,Saman.Gostar,20020715,1175.0,1175.0,1175.0,1175000,1000,1,D,1174.0,1175.0
17,Saman.Gostar,20020716,1176.0,1176.0,1176.0,1176000,1000,2,D,1175.0,1176.0
18,Saman.Gostar,20020717,1178.0,1176.0,1178.0,26479136,22512,5,D,1176.0,1178.0
19,Saman.Gostar,20020720,1179.0,1179.0,1179.0,2836674,2406,2,D,1178.0,1179.0
20,Saman.Gostar,20020721,1180.0,1179.0,1179.0,14818672,12568,9,D,1179.0,1179.0
21,Saman.Gostar,20020722,1181.0,1181.0,1181.0,64653845,54745,19,D,1179.0,1181.0
22,Saman.Gostar,20020723,1190.0,1182.0,1182.0,12806342,10801,3,D,1181.0,1182.0
23,Saman.Gostar,20020724,1184.0,1183.0,1183.0,3013216,2545,2,D,1182.0,1183.0
24,Saman.Gostar,20020727,1186.0,1186.0,1186.0,5930000,5000,1,D,1183.0,1186.0
25,Saman.Gostar,20020728,1187.0,1187.0,1187.0,13057000,11000,2,D,1186.0,1187.0
26,Saman.Gostar,20020729,1200.0,1187.0,1188.0,35478965,29708,7,D,1187.0,1188.0
27,Saman.Gostar,20020730,1188.0,1188.0,1188.0,5533704,4658,3,D,1188.0,1188.0
28,Saman.Gostar,20020731,1190.0,1189.0,1190.0,1117639225,939201,9,D,1188.0,1190.0
29,Saman.Gostar,20020803,1201.0,1201.0,1201.0,68663572,57172,8,D,1190.0,1201.0
30,Saman.Gostar,20020804,1205.0,1202.0,1205.0,78732595,65384,20,D,1201.0,1205.0
31,Saman.Gostar,20020805,1240.0,1211.0,1211.0,16989690,13790,5,D,1205.0,1211.0
32,Saman.Gostar,20020806,1223.0,1223.0,1223.0,1248683,1021,1,D,1211.0,1223.0
33,Saman.Gostar,20020807,1233.0,1231.0,1233.0,1276192,1036,3,D,1223.0,1233.0
34,Saman.Gostar,20020810,1237.0,1237.0,1237.0,18110917,14641,2,D,1233.0,1237.0
35,Saman.Gostar,20020811,1258.0,1255.0,1258.0,80392830,63947,67,D,1237.0,1258.0
36,Saman.Gostar,20020813,1273.0,1273.0,1273.0,2094085,1645,3,D,1258.0,1273.0
37,Saman.Gostar,20020814,1286.0,1283.0,1286.0,6649372,5174,5,D,1273.0,1286.0
38,Saman.Gostar,20020817,1350.0,1350.0,1350.0,1915650,1419,2,D,1286.0,1350.0
39,Saman.Gostar,20020818,1417.0,1417.0,1417.0,22504794,15882,8,D,1350.0,1417.0
40,Saman.Gostar,20020819,1487.0,1487.0,1487.0,4461000,3000,4,D,1417.0,1487.0
41,Saman.Gostar,20020820,1519.0,1491.0,1518.0,177632834,118944,89,D,1487.0,1518.0
42,Saman.Gostar,20020821,1593.0,1593.0,1593.0,1919565,1205,3,D,1518.0,1593.0
