,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Shahdiran.Inc.,20010325,2150.0,2136.0,2150.0,4779826,2236,4,D,0.0,2150.0
1,Shahdiran.Inc.,20010326,2150.0,2149.0,2150.0,5471450,2545,5,D,2150.0,2150.0
2,Shahdiran.Inc.,20010327,2180.0,2150.0,2180.0,12494520,5757,6,D,2150.0,2180.0
3,Shahdiran.Inc.,20010328,2200.0,2180.0,2200.0,48581740,22197,16,D,2180.0,2200.0
4,Shahdiran.Inc.,20010407,2251.0,2205.0,2251.0,2283030,1026,2,D,2200.0,2251.0
5,Shahdiran.Inc.,20010408,2350.0,2350.0,2350.0,4960850,2111,3,D,2251.0,2350.0
6,Shahdiran.Inc.,20010409,2400.0,2360.0,2400.0,13932956,5889,7,D,2350.0,2400.0
7,Shahdiran.Inc.,20010410,2401.0,2400.0,2400.0,30353975,12645,17,D,2400.0,2400.0
8,Shahdiran.Inc.,20010411,2399.0,2338.0,2340.0,12857870,5461,11,D,2400.0,2340.0
9,Shahdiran.Inc.,20010414,2369.0,2340.0,2369.0,28016990,11880,8,D,2340.0,2369.0
10,Shahdiran.Inc.,20010415,2370.0,2366.0,2368.0,10112298,4269,9,D,2369.0,2368.0
11,Shahdiran.Inc.,20010416,2399.0,2368.0,2399.0,11216085,4728,7,D,2368.0,2399.0
12,Shahdiran.Inc.,20010417,2399.0,2397.0,2397.0,24128904,10060,8,D,2399.0,2397.0
13,Shahdiran.Inc.,20010418,2381.0,2350.0,2350.0,20706188,8763,6,D,2397.0,2350.0
14,Shahdiran.Inc.,20010421,2360.0,2350.0,2350.0,20105865,8545,7,D,2350.0,2350.0
15,Shahdiran.Inc.,20010422,2390.0,2351.0,2390.0,44625436,18851,25,D,2350.0,2390.0
16,Shahdiran.Inc.,20010423,2388.0,2350.0,2350.0,18147355,7633,9,D,2390.0,2350.0
17,Shahdiran.Inc.,20010424,2376.0,2350.0,2376.0,19310184,8134,7,D,2350.0,2376.0
18,Shahdiran.Inc.,20010425,2376.0,2376.0,2376.0,22719312,9562,8,D,2376.0,2376.0
19,Shahdiran.Inc.,20010428,2401.0,2350.0,2375.0,234251670,97992,47,D,2376.0,2375.0
20,Shahdiran.Inc.,20010429,2450.0,2376.0,2450.0,51830720,21471,14,D,2375.0,2450.0
21,Shahdiran.Inc.,20010430,2450.0,2407.0,2407.0,20038600,8200,8,D,2450.0,2407.0
22,Shahdiran.Inc.,20010501,2405.0,2404.0,2405.0,1298595,540,3,D,2407.0,2405.0
