,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,ShafaDarou.Inv.,20180307,4150.0,4150.0,4150.0,489463450000,117943000,144173,D,1000.0,4150.0
1,ShafaDarou.Inv.,20180310,4357.0,4162.0,4262.0,247531106757,58072428,74537,D,4150.0,4188.0
2,ShafaDarou.Inv.,20180311,4154.0,4049.0,4075.0,114759772395,28158982,27245,D,4262.0,4100.0
3,ShafaDarou.Inv.,20180312,4150.0,4050.0,4082.0,42105189561,10313851,11731,D,4075.0,4075.0
4,ShafaDarou.Inv.,20180313,4100.0,4050.0,4067.0,20582626811,5060357,5334,D,4082.0,4055.0
5,ShafaDarou.Inv.,20180314,4105.0,4054.0,4072.0,19765770957,4853702,4264,D,4067.0,4104.0
6,ShafaDarou.Inv.,20180317,4060.0,3927.0,3961.0,16776089340,4234836,3149,D,4072.0,3950.0
7,ShafaDarou.Inv.,20180318,4011.0,3929.0,3973.0,13958231253,3513366,2852,D,3961.0,3943.0
8,ShafaDarou.Inv.,20180319,4010.0,3932.0,3968.0,18157819104,4576240,4886,D,3973.0,3990.0
9,ShafaDarou.Inv.,20180325,3965.0,3850.0,3864.0,6721851001,1739769,1536,D,3968.0,3858.0
10,ShafaDarou.Inv.,20180326,3905.0,3804.0,3848.0,7292927328,1895264,1520,D,3864.0,3899.0
11,ShafaDarou.Inv.,20180327,4000.0,3823.0,3949.0,11427981980,2893961,1488,D,3848.0,4000.0
12,ShafaDarou.Inv.,20180328,4146.0,3901.0,4130.0,26926962853,6520357,2685,D,3949.0,4146.0
13,ShafaDarou.Inv.,20180403,4300.0,4031.0,4227.0,26835611412,6348086,3773,D,4130.0,4263.0
14,ShafaDarou.Inv.,20180404,4326.0,4184.0,4291.0,30809852082,7180534,3751,D,4227.0,4325.0
15,ShafaDarou.Inv.,20180407,4320.0,4212.0,4256.0,10220312083,2401135,2148,D,4291.0,4222.0
16,ShafaDarou.Inv.,20180408,4300.0,4132.0,4234.0,9548046675,2254875,1411,D,4256.0,4200.0
17,ShafaDarou.Inv.,20180409,4200.0,4091.0,4140.0,6410811637,1548496,1176,D,4234.0,4149.0
18,ShafaDarou.Inv.,20180410,4267.0,4131.0,4228.0,9112379353,2155146,1794,D,4140.0,4184.0
19,ShafaDarou.Inv.,20180411,4284.0,4120.0,4218.0,6268885526,1486325,1141,D,4228.0,4128.0
20,ShafaDarou.Inv.,20180415,4175.0,4051.0,4102.0,3423164587,834422,517,D,4218.0,4160.0
21,ShafaDarou.Inv.,20180416,4199.0,4023.0,4118.0,2456570382,596521,478,D,4102.0,4169.0
22,ShafaDarou.Inv.,20180417,4169.0,4063.0,4108.0,1827277926,444917,437,D,4118.0,4135.0
23,ShafaDarou.Inv.,20180418,4150.0,4060.0,4122.0,3508466304,851243,803,D,4108.0,4148.0
24,ShafaDarou.Inv.,20180421,4187.0,4053.0,4114.0,1623378933,394742,582,D,4122.0,4120.0
25,ShafaDarou.Inv.,20180422,4200.0,4070.0,4150.0,5296164035,1276274,1025,D,4114.0,4199.0
26,ShafaDarou.Inv.,20180423,4190.0,4104.0,4149.0,1431767538,345101,523,D,4150.0,4150.0
27,ShafaDarou.Inv.,20180424,4190.0,4102.0,4155.0,1918127664,461647,456,D,4149.0,4163.0
28,ShafaDarou.Inv.,20180425,4179.0,4122.0,4158.0,1691274612,406691,538,D,4155.0,4155.0
29,ShafaDarou.Inv.,20180428,4159.0,4080.0,4133.0,1991902509,481978,448,D,4158.0,4150.0
30,ShafaDarou.Inv.,20180429,4150.0,4081.0,4130.0,2387822623,578149,411,D,4133.0,4132.0
31,ShafaDarou.Inv.,20180430,4139.0,4081.0,4114.0,962293477,234798,442,D,4130.0,4119.0
32,ShafaDarou.Inv.,20180501,4115.0,4062.0,4092.0,2178180698,532279,252,D,4114.0,4113.0
33,ShafaDarou.Inv.,20180505,4099.0,4001.0,4074.0,1108047172,272911,294,D,4092.0,4080.0
34,ShafaDarou.Inv.,20180506,4077.0,3950.0,4033.0,2813199913,697621,338,D,4074.0,4077.0
35,ShafaDarou.Inv.,20180507,4100.0,3952.0,4049.0,1376314334,339438,336,D,4033.0,4080.0
36,ShafaDarou.Inv.,20180508,4159.0,4008.0,4092.0,1535072440,374134,427,D,4049.0,4125.0
37,ShafaDarou.Inv.,20180509,4100.0,3969.0,4043.0,1850221017,457851,377,D,4092.0,4060.0
38,ShafaDarou.Inv.,20180512,4100.0,3972.0,4059.0,1730692380,426220,290,D,4043.0,4070.0
39,ShafaDarou.Inv.,20180513,4149.0,3999.0,4116.0,2109492492,512561,285,D,4059.0,4118.0
40,ShafaDarou.Inv.,20180514,4150.0,4030.0,4125.0,1500942894,363636,329,D,4116.0,4100.0
41,ShafaDarou.Inv.,20180515,4149.0,4043.0,4115.0,1956651653,475448,293,D,4125.0,4129.0
42,ShafaDarou.Inv.,20180516,4123.0,4071.0,4106.0,1087896257,265352,267,D,4115.0,4071.0
43,ShafaDarou.Inv.,20180519,4100.0,4030.0,4087.0,1283464420,314799,284,D,4106.0,4051.0
44,ShafaDarou.Inv.,20180520,4100.0,4032.0,4067.0,1047508264,258632,260,D,4087.0,4035.0
45,ShafaDarou.Inv.,20180521,4110.0,4025.0,4070.0,1904730983,467955,248,D,4067.0,4099.0
46,ShafaDarou.Inv.,20180522,4120.0,4030.0,4097.0,2176190031,531208,267,D,4070.0,4064.0
47,ShafaDarou.Inv.,20180523,4119.0,4036.0,4083.0,1674446851,410284,212,D,4097.0,4099.0
48,ShafaDarou.Inv.,20180526,4116.0,4044.0,4087.0,1443457722,353033,168,D,4083.0,4060.0
49,ShafaDarou.Inv.,20180527,4117.0,4048.0,4084.0,1701530039,416635,256,D,4087.0,4094.0
50,ShafaDarou.Inv.,20180528,4124.0,4041.0,4089.0,1580959797,386502,240,D,4084.0,4041.0
51,ShafaDarou.Inv.,20180529,4120.0,4042.0,4101.0,2578215665,628665,229,D,4089.0,4055.0
52,ShafaDarou.Inv.,20180530,4119.0,4042.0,4081.0,2321844892,568990,370,D,4101.0,4042.0
53,ShafaDarou.Inv.,20180602,4085.0,3961.0,4005.0,2503132235,624946,678,D,4081.0,4010.0
54,ShafaDarou.Inv.,20180603,4005.0,3861.0,3905.0,3499228548,896092,1203,D,4005.0,3911.0
55,ShafaDarou.Inv.,20180609,4099.0,3850.0,3991.0,2153950844,539686,372,D,3905.0,4001.0
56,ShafaDarou.Inv.,20180610,4090.0,4000.0,4055.0,3214478870,792695,403,D,3991.0,4000.0
57,ShafaDarou.Inv.,20180611,4090.0,3955.0,4048.0,1301082493,321716,261,D,4055.0,3989.0
58,ShafaDarou.Inv.,20180612,4120.0,3995.0,4058.0,1819985163,448385,304,D,4048.0,4058.0
59,ShafaDarou.Inv.,20180613,4200.0,4021.0,4118.0,5516440517,1339619,596,D,4058.0,4108.0
60,ShafaDarou.Inv.,20180617,4292.0,4110.0,4250.0,7324262639,1723295,1017,D,4118.0,4278.0
61,ShafaDarou.Inv.,20180618,4280.0,4111.0,4171.0,3804101164,912093,495,D,4250.0,4111.0
62,ShafaDarou.Inv.,20180619,4255.0,4055.0,4206.0,4026074435,957253,612,D,4171.0,4220.0
63,ShafaDarou.Inv.,20180620,4256.0,4072.0,4199.0,5388032007,1283217,571,D,4206.0,4205.0
64,ShafaDarou.Inv.,20180623,4274.0,4175.0,4251.0,4081676836,960165,558,D,4199.0,4271.0
65,ShafaDarou.Inv.,20180624,4267.0,4213.0,4231.0,1700180438,402134,433,D,4251.0,4230.0
66,ShafaDarou.Inv.,20180625,4250.0,4180.0,4213.0,4843442665,1149619,491,D,4231.0,4190.0
67,ShafaDarou.Inv.,20180626,4255.0,4190.0,4213.0,1481378675,351659,265,D,4213.0,4193.0
68,ShafaDarou.Inv.,20180627,4230.0,4160.0,4178.0,4014073792,960874,218,D,4213.0,4176.0
69,ShafaDarou.Inv.,20180630,4200.0,4140.0,4176.0,1602040742,383633,166,D,4178.0,4173.0
70,ShafaDarou.Inv.,20180701,4190.0,4107.0,4152.0,1304161284,315024,91,D,4176.0,4128.0
71,ShafaDarou.Inv.,20180702,4179.0,4111.0,4152.0,2114506421,509290,143,D,4152.0,4132.0
72,ShafaDarou.Inv.,20180703,4157.0,4123.0,4149.0,1098668302,264990,214,D,4152.0,4157.0
73,ShafaDarou.Inv.,20180704,4140.0,4084.0,4107.0,1863070062,453761,688,D,4149.0,4125.0
74,ShafaDarou.Inv.,20180707,4178.0,4090.0,4132.0,1346527530,324989,227,D,4107.0,4141.0
75,ShafaDarou.Inv.,20180708,4150.0,4092.0,4124.0,1733141059,420375,316,D,4132.0,4150.0
76,ShafaDarou.Inv.,20180710,4149.0,4019.0,4086.0,1886695690,461818,607,D,4124.0,4068.0
77,ShafaDarou.Inv.,20180715,3595.0,3303.0,3361.0,470479058,139970,94,D,3436.0,3345.0
78,ShafaDarou.Inv.,20180716,3520.0,3260.0,3376.0,535190727,157116,332,D,3361.0,3350.0
79,ShafaDarou.Inv.,20180717,3340.0,3266.0,3341.0,780651355,236130,226,D,3376.0,3305.0
80,ShafaDarou.Inv.,20180718,3339.0,3266.0,3322.0,739773544,224114,200,D,3341.0,3287.0
81,ShafaDarou.Inv.,20180721,3333.0,3272.0,3314.0,592462664,179423,169,D,3322.0,3300.0
82,ShafaDarou.Inv.,20180722,3319.0,3273.0,3301.0,1095381578,332320,159,D,3314.0,3286.0
83,ShafaDarou.Inv.,20180723,3280.0,3251.0,3278.0,997836535,305636,130,D,3301.0,3260.0
84,ShafaDarou.Inv.,20180724,3298.0,3201.0,3255.0,1106969484,340997,138,D,3278.0,3230.0
85,ShafaDarou.Inv.,20180725,3260.0,3160.0,3230.0,772967202,241135,113,D,3255.0,3214.0
86,ShafaDarou.Inv.,20180728,3226.0,3167.0,3185.0,1871768364,587747,206,D,3230.0,3170.0
87,ShafaDarou.Inv.,20180729,3185.0,3100.0,3141.0,1785161170,568312,203,D,3185.0,3100.0
88,ShafaDarou.Inv.,20180730,3104.0,3011.0,3049.0,1769411903,580265,220,D,3141.0,3040.0
89,ShafaDarou.Inv.,20180731,3119.0,3002.0,3072.0,2223031492,723671,285,D,3049.0,3073.0
90,ShafaDarou.Inv.,20180801,3180.0,3054.0,3146.0,1922051208,610961,189,D,3072.0,3180.0
91,ShafaDarou.Inv.,20180804,3179.0,3100.0,3138.0,445378739,142835,77,D,3146.0,3118.0
92,ShafaDarou.Inv.,20180805,3150.0,3100.0,3134.0,951567498,303781,151,D,3138.0,3123.0
93,ShafaDarou.Inv.,20180806,3159.0,3103.0,3124.0,894531626,287000,115,D,3134.0,3110.0
94,ShafaDarou.Inv.,20180807,3112.0,3071.0,3111.0,478921335,155219,126,D,3124.0,3100.0
95,ShafaDarou.Inv.,20180808,3170.0,3110.0,3117.0,364857610,116366,87,D,3111.0,3140.0
96,ShafaDarou.Inv.,20180811,3198.0,3122.0,3123.0,294045929,93400,51,D,3117.0,3137.0
97,ShafaDarou.Inv.,20180812,3170.0,3124.0,3125.0,218328593,69566,65,D,3123.0,3140.0
98,ShafaDarou.Inv.,20180813,3150.0,3123.0,3129.0,431805229,137613,93,D,3125.0,3139.0
99,ShafaDarou.Inv.,20180814,3132.0,3080.0,3126.0,510474086,163524,82,D,3129.0,3100.0
100,ShafaDarou.Inv.,20180815,3119.0,3091.0,3122.0,211536778,68237,71,D,3126.0,3100.0
101,ShafaDarou.Inv.,20180818,3120.0,3076.0,3107.0,998781888,322141,116,D,3122.0,3118.0
102,ShafaDarou.Inv.,20180819,3200.0,3085.0,3149.0,2114644536,671594,166,D,3107.0,3151.0
103,ShafaDarou.Inv.,20180820,3260.0,3116.0,3209.0,1156736918,358371,216,D,3149.0,3250.0
104,ShafaDarou.Inv.,20180821,3347.0,3213.0,3230.0,369815318,112118,142,D,3209.0,3255.0
105,ShafaDarou.Inv.,20180825,3385.0,3230.0,3247.0,512653957,156205,122,D,3230.0,3259.0
106,ShafaDarou.Inv.,20180826,3350.0,3201.0,3267.0,705594210,214472,142,D,3247.0,3231.0
107,ShafaDarou.Inv.,20180827,3359.0,3227.0,3303.0,2734456602,827936,188,D,3267.0,3300.0
108,ShafaDarou.Inv.,20180828,3379.0,3256.0,3303.0,962626398,291482,132,D,3303.0,3299.0
109,ShafaDarou.Inv.,20180829,3468.0,3262.0,3440.0,4709358869,1369152,307,D,3303.0,3468.0
110,ShafaDarou.Inv.,20180901,3612.0,3502.0,3612.0,12365552924,3423715,461,D,3440.0,3612.0
111,ShafaDarou.Inv.,20180902,3750.0,3432.0,3522.0,5270338615,1496454,285,D,3612.0,3444.0
112,ShafaDarou.Inv.,20180903,3640.0,3354.0,3384.0,1601883695,473418,174,D,3522.0,3365.0
113,ShafaDarou.Inv.,20180904,3450.0,3340.0,3379.0,481534226,143032,113,D,3384.0,3400.0
114,ShafaDarou.Inv.,20180905,3450.0,3342.0,3390.0,963301530,283493,132,D,3379.0,3440.0
115,ShafaDarou.Inv.,20180908,3483.0,3341.0,3457.0,2276436691,658530,173,D,3390.0,3483.0
116,ShafaDarou.Inv.,20180909,3600.0,3443.0,3536.0,2782209299,786882,289,D,3457.0,3550.0
117,ShafaDarou.Inv.,20180910,3712.0,3530.0,3668.0,3913028594,1066670,293,D,3536.0,3649.0
118,ShafaDarou.Inv.,20180911,3712.0,3522.0,3572.0,4637250384,1298356,387,D,3668.0,3550.0
119,ShafaDarou.Inv.,20180912,3750.0,3600.0,3724.0,4756794478,1277488,361,D,3572.0,3750.0
120,ShafaDarou.Inv.,20180915,3910.0,3910.0,3887.0,1620268810,414391,65,D,3724.0,3910.0
121,ShafaDarou.Inv.,20180916,4081.0,3951.0,4061.0,13978087088,3441846,547,D,3887.0,4081.0
122,ShafaDarou.Inv.,20180917,4264.0,4264.0,4264.0,2140400080,501970,70,D,4061.0,4264.0
123,ShafaDarou.Inv.,20180918,4477.0,4477.0,4314.0,492962470,110110,19,D,4264.0,4477.0
124,ShafaDarou.Inv.,20180922,4755.0,4527.0,4635.0,22244973161,4798844,716,D,4314.0,4600.0
125,ShafaDarou.Inv.,20180923,4866.0,4670.0,4813.0,11689576921,2428970,614,D,4635.0,4866.0
126,ShafaDarou.Inv.,20180924,5053.0,4800.0,5008.0,19906395946,3975203,854,D,4813.0,5030.0
127,ShafaDarou.Inv.,20180925,5258.0,5074.0,5206.0,3359982287,645344,167,D,5008.0,5258.0
128,ShafaDarou.Inv.,20180929,5449.0,5100.0,5300.0,7941986585,1498426,451,D,5206.0,5325.0
129,ShafaDarou.Inv.,20180930,5565.0,5373.0,5547.0,11311959829,2039172,443,D,5300.0,5565.0
