,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Sahand.Rubber,20010507,8500.0,8500.0,8500.0,4632500,545,2,D,0.0,8500.0
1,Sahand.Rubber,20010512,8585.0,8585.0,8585.0,6601865,769,1,D,8500.0,8585.0
2,Sahand.Rubber,20010513,8670.0,8670.0,8670.0,24432060,2818,7,D,8585.0,8670.0
3,Sahand.Rubber,20010515,8674.0,8672.0,8674.0,5013392,578,5,D,8670.0,8674.0
4,Sahand.Rubber,20010519,8760.0,8760.0,8760.0,4730400,540,11,D,8674.0,8760.0
5,Sahand.Rubber,20010617,8847.0,8847.0,8847.0,22427145,2535,4,D,8760.0,8847.0
6,Sahand.Rubber,20010618,8862.0,8847.0,8848.0,103030980,11635,18,D,8847.0,8848.0
7,Sahand.Rubber,20010619,9290.0,8850.0,9290.0,86922241,9406,14,D,8848.0,9290.0
8,Sahand.Rubber,20010623,9754.0,9754.0,9754.0,9832032,1008,6,D,9290.0,9754.0
9,Sahand.Rubber,20010624,10241.0,10000.0,10000.0,641357000,63967,20,D,9754.0,10000.0
10,Sahand.Rubber,20010625,10002.0,9999.0,10000.0,35659600,3566,12,D,10000.0,10000.0
11,Sahand.Rubber,20010626,9900.0,9800.0,9800.0,26029800,2651,5,D,10000.0,9800.0
12,Sahand.Rubber,20010627,9802.0,9800.0,9802.0,11016448,1124,4,D,9800.0,9802.0
13,Sahand.Rubber,20010630,9801.0,9801.0,9801.0,16191252,1652,6,D,9802.0,9801.0
14,Sahand.Rubber,20010701,9802.0,9801.0,9802.0,19231316,1962,6,D,9801.0,9802.0
15,Sahand.Rubber,20010702,10000.0,9802.0,10000.0,25999712,2616,7,D,9802.0,10000.0
16,Sahand.Rubber,20010703,10000.0,9990.0,10000.0,21412819,2142,11,D,10000.0,10000.0
17,Sahand.Rubber,20010704,10018.0,10001.0,10018.0,7030465,702,7,D,10000.0,10018.0
18,Sahand.Rubber,20010707,10025.0,10025.0,10025.0,1634075,163,1,D,10018.0,10025.0
19,Sahand.Rubber,20010708,10210.0,10033.0,10210.0,16604569,1630,5,D,10025.0,10210.0
20,Sahand.Rubber,20010709,10499.0,10221.0,10221.0,15137547,1443,4,D,10210.0,10221.0
21,Sahand.Rubber,20010710,10234.0,10224.0,10234.0,3049012,298,3,D,10221.0,10234.0
22,Sahand.Rubber,20010711,10350.0,10238.0,10350.0,15071798,1461,4,D,10234.0,10350.0
