,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Behshahr.Ind.,20180206,2730.0,2730.0,2730.0,272989696980,99996226,159496,D,1000.0,2730.0
1,Behshahr.Ind.,20180207,2866.0,2866.0,2866.0,1179287350,411475,130,D,2730.0,2866.0
2,Behshahr.Ind.,20180210,3009.0,3009.0,3009.0,1235287779,410531,326,D,2866.0,3009.0
3,Behshahr.Ind.,20180212,3159.0,3159.0,3159.0,1297682451,410789,704,D,3009.0,3159.0
4,Behshahr.Ind.,20180213,3316.0,3316.0,3311.0,1285321392,387612,312,D,3159.0,3316.0
5,Behshahr.Ind.,20180214,3649.0,3476.0,3621.0,16836650267,4649622,7558,D,3311.0,3649.0
6,Behshahr.Ind.,20180217,3802.0,3801.0,3802.0,180576227262,47495072,33375,D,3621.0,3802.0
7,Behshahr.Ind.,20180218,3869.0,3701.0,3786.0,157126205716,41502126,58555,D,3802.0,3725.0
8,Behshahr.Ind.,20180219,3735.0,3631.0,3657.0,50453795123,13797570,17390,D,3786.0,3634.0
9,Behshahr.Ind.,20180221,3750.0,3602.0,3645.0,30290853881,8309649,6824,D,3657.0,3633.0
10,Behshahr.Ind.,20180224,3650.0,3481.0,3534.0,43808225016,12397475,7878,D,3645.0,3524.0
11,Behshahr.Ind.,20180225,3639.0,3425.0,3520.0,37786714254,10733819,7393,D,3534.0,3580.0
12,Behshahr.Ind.,20180226,3642.0,3530.0,3563.0,16203649832,4547628,2889,D,3520.0,3540.0
13,Behshahr.Ind.,20180227,3556.0,3485.0,3508.0,16452072671,4690321,2057,D,3563.0,3520.0
14,Behshahr.Ind.,20180228,3520.0,3420.0,3449.0,22508270340,6525656,2890,D,3508.0,3421.0
15,Behshahr.Ind.,20180303,3432.0,3303.0,3341.0,27721758793,8298397,3333,D,3449.0,3318.0
16,Behshahr.Ind.,20180304,3330.0,3250.0,3274.0,17159956854,5240738,3148,D,3341.0,3253.0
17,Behshahr.Ind.,20180305,3400.0,3220.0,3332.0,17918844401,5378529,2503,D,3274.0,3304.0
18,Behshahr.Ind.,20180306,3353.0,3228.0,3275.0,10729832364,3276363,2617,D,3332.0,3247.0
19,Behshahr.Ind.,20180307,3228.0,3151.0,3172.0,16943076007,5341912,4874,D,3275.0,3163.0
20,Behshahr.Ind.,20180310,3160.0,3071.0,3109.0,14336330678,4611267,2754,D,3172.0,3110.0
21,Behshahr.Ind.,20180311,3198.0,3090.0,3158.0,10791817574,3417126,1712,D,3109.0,3136.0
22,Behshahr.Ind.,20180312,3147.0,3041.0,3073.0,10155623066,3304904,2285,D,3158.0,3063.0
23,Behshahr.Ind.,20180313,3102.0,3028.0,3066.0,5756517648,1877542,1122,D,3073.0,3070.0
24,Behshahr.Ind.,20180314,3096.0,3030.0,3069.0,5176908408,1686913,809,D,3066.0,3068.0
25,Behshahr.Ind.,20180317,3189.0,3090.0,3144.0,7044010559,2240635,1292,D,3069.0,3140.0
26,Behshahr.Ind.,20180318,3248.0,3112.0,3199.0,6653295839,2079498,1101,D,3144.0,3233.0
27,Behshahr.Ind.,20180319,3246.0,3163.0,3211.0,6111611926,1903102,1471,D,3199.0,3217.0
28,Behshahr.Ind.,20180325,3244.0,3155.0,3191.0,2692631036,843883,658,D,3211.0,3203.0
29,Behshahr.Ind.,20180326,3243.0,3142.0,3175.0,3788511319,1193152,557,D,3191.0,3150.0
30,Behshahr.Ind.,20180327,3150.0,3118.0,3129.0,5376547707,1718373,487,D,3175.0,3132.0
31,Behshahr.Ind.,20180328,3190.0,3115.0,3141.0,2551706763,812465,472,D,3129.0,3141.0
32,Behshahr.Ind.,20180403,3150.0,3121.0,3132.0,3910241386,1248518,420,D,3141.0,3131.0
33,Behshahr.Ind.,20180404,3148.0,3080.0,3119.0,4483257182,1437476,628,D,3132.0,3127.0
34,Behshahr.Ind.,20180407,3127.0,3103.0,3113.0,5728091364,1840317,544,D,3119.0,3114.0
35,Behshahr.Ind.,20180408,3100.0,3034.0,3060.0,6864992050,2243606,734,D,3113.0,3080.0
36,Behshahr.Ind.,20180409,3063.0,3010.0,3034.0,8277032518,2727850,762,D,3060.0,3020.0
37,Behshahr.Ind.,20180410,3109.0,3050.0,3077.0,3094553160,1005667,630,D,3034.0,3055.0
38,Behshahr.Ind.,20180411,3068.0,2924.0,2968.0,9954729614,3353606,960,D,3077.0,2924.0
39,Behshahr.Ind.,20180415,2970.0,2852.0,2879.0,6797765192,2361314,650,D,2968.0,2890.0
40,Behshahr.Ind.,20180416,2929.0,2860.0,2898.0,3846587177,1327301,682,D,2879.0,2912.0
41,Behshahr.Ind.,20180417,2950.0,2836.0,2899.0,11921569665,4112448,1582,D,2898.0,2950.0
42,Behshahr.Ind.,20180422,2450.0,2412.0,2433.0,3370378018,1385507,531,D,2349.0,2449.0
43,Behshahr.Ind.,20180423,2478.0,2412.0,2444.0,1350745179,552589,253,D,2433.0,2421.0
44,Behshahr.Ind.,20180424,2433.0,2350.0,2402.0,3436917398,1430858,306,D,2444.0,2390.0
45,Behshahr.Ind.,20180425,2401.0,2347.0,2361.0,2151279455,911321,274,D,2402.0,2352.0
46,Behshahr.Ind.,20180428,2350.0,2250.0,2292.0,5794655135,2527762,393,D,2361.0,2270.0
47,Behshahr.Ind.,20180429,2260.0,2215.0,2235.0,1692380459,757187,328,D,2292.0,2223.0
48,Behshahr.Ind.,20180430,2220.0,2200.0,2207.0,1622647144,735157,329,D,2235.0,2202.0
49,Behshahr.Ind.,20180501,2258.0,2191.0,2226.0,2119726808,952373,267,D,2207.0,2258.0
50,Behshahr.Ind.,20180505,2265.0,2211.0,2224.0,782797735,352030,187,D,2226.0,2230.0
51,Behshahr.Ind.,20180506,2212.0,2125.0,2152.0,4576505359,2126481,362,D,2224.0,2164.0
52,Behshahr.Ind.,20180507,2219.0,2138.0,2193.0,2198374486,1002300,268,D,2152.0,2219.0
