,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Khash.Cement,20030726,23624.0,23000.0,23500.0,11759133476,502983,282,D,0.0,23500.0
1,Khash.Cement,20030728,24675.0,24675.0,24675.0,2862300000,116000,119,D,23500.0,24675.0
2,Khash.Cement,20030729,25908.0,25908.0,25908.0,1165860000,45000,40,D,24675.0,25908.0
3,Khash.Cement,20030730,27119.0,24500.0,25899.0,1322148518,50725,71,D,25908.0,25899.0
4,Khash.Cement,20030803,25897.0,25400.0,25400.0,411419521,16056,40,D,25899.0,25400.0
5,Khash.Cement,20030804,25970.0,25300.0,25500.0,445450305,17339,35,D,25400.0,25500.0
6,Khash.Cement,20030805,25402.0,24500.0,24500.0,42667067,1712,5,D,25500.0,24500.0
7,Khash.Cement,20030806,24999.0,24300.0,24300.0,567662923,23302,29,D,24500.0,24300.0
8,Khash.Cement,20030809,24300.0,23000.0,23000.0,79099300,3345,7,D,24300.0,23000.0
9,Khash.Cement,20030810,23000.0,22100.0,22100.0,489261698,22000,23,D,23000.0,22100.0
10,Khash.Cement,20030811,20054.0,20050.0,20050.0,153153070,7638,9,D,22100.0,20050.0
11,Khash.Cement,20030812,22980.0,21015.0,22980.0,220195985,9998,19,D,20050.0,22980.0
12,Khash.Cement,20030813,23800.0,23782.0,23789.0,323589712,13604,14,D,22980.0,23789.0
13,Khash.Cement,20030816,23550.0,23500.0,23500.0,58613250,2494,9,D,23789.0,23500.0
14,Khash.Cement,20030817,23500.0,23465.0,23465.0,343123634,14610,15,D,23500.0,23465.0
15,Khash.Cement,20030818,23396.0,22000.0,23368.0,105871548,4615,8,D,23465.0,23368.0
16,Khash.Cement,20030819,23000.0,22501.0,23000.0,464181047,20183,21,D,23368.0,23000.0
17,Khash.Cement,20030820,23000.0,22000.0,23000.0,484455779,21662,18,D,23000.0,23000.0
18,Khash.Cement,20030823,23000.0,22486.0,23000.0,125963714,5600,4,D,23000.0,23000.0
19,Khash.Cement,20030824,23000.0,22410.0,23000.0,49302590,2200,2,D,23000.0,23000.0
20,Khash.Cement,20030825,23000.0,21850.0,23000.0,4480400,205,2,D,23000.0,23000.0
21,Khash.Cement,20030826,23000.0,21850.0,23000.0,16869350,772,2,D,23000.0,23000.0
22,Khash.Cement,20030827,23000.0,21850.0,23000.0,79272950,3628,8,D,23000.0,23000.0
23,Khash.Cement,20030830,23000.0,21850.0,23000.0,505238700,23123,27,D,23000.0,23000.0
24,Khash.Cement,20030831,23000.0,21850.0,23000.0,198473310,9076,16,D,23000.0,23000.0
25,Khash.Cement,20030901,23000.0,21850.0,23000.0,145479845,6651,7,D,23000.0,23000.0
26,Khash.Cement,20030903,23000.0,21850.0,23000.0,211085059,9660,16,D,23000.0,23000.0
27,Khash.Cement,20030906,23000.0,21852.0,23000.0,302836321,13783,10,D,23000.0,23000.0
28,Khash.Cement,20030907,23000.0,21850.0,23000.0,109482755,5010,11,D,23000.0,23000.0
29,Khash.Cement,20030908,23000.0,21850.0,23000.0,22080000,1010,2,D,23000.0,23000.0
30,Khash.Cement,20030909,21850.0,21850.0,21850.0,9941750,455,1,D,23000.0,21850.0
31,Khash.Cement,20030916,21850.0,20758.0,21850.0,10805080,520,2,D,21850.0,21850.0
