,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Kordesta.Ce..Co.,20080727,8052.0,8000.0,8007.0,162397182007,20280000,5282,D,8050.0,8007.0
1,Kordesta.Ce..Co.,20080728,8247.0,8231.0,8231.0,997969310,121010,85,D,8007.0,8231.0
2,Kordesta.Ce..Co.,20080729,8477.0,8255.0,8255.0,109435850,12910,10,D,8231.0,8255.0
3,Kordesta.Ce..Co.,20080802,8502.0,8430.0,8430.0,778867500,91610,61,D,8255.0,8430.0
4,Kordesta.Ce..Co.,20080803,8682.0,8007.0,8632.0,64387864779,7474389,3173,D,8430.0,8632.0
5,Kordesta.Ce..Co.,20080804,8632.0,8374.0,8474.0,25639588079,3025612,1192,D,8632.0,8474.0
6,Kordesta.Ce..Co.,20080805,8728.0,8482.0,8646.0,13030416459,1506940,672,D,8474.0,8646.0
7,Kordesta.Ce..Co.,20080806,8510.0,8387.0,8396.0,5984253450,712676,344,D,8646.0,8396.0
8,Kordesta.Ce..Co.,20080809,8388.0,8160.0,8252.0,3859284005,467675,258,D,8396.0,8252.0
9,Kordesta.Ce..Co.,20080810,8499.0,8330.0,8482.0,6641056208,782922,341,D,8252.0,8482.0
10,Kordesta.Ce..Co.,20080811,8482.0,8260.0,8297.0,2055120477,247682,136,D,8482.0,8297.0
11,Kordesta.Ce..Co.,20080812,8300.0,8200.0,8249.0,3206751892,388701,205,D,8297.0,8249.0
12,Kordesta.Ce..Co.,20080813,8269.0,8080.0,8145.0,1533547579,188280,120,D,8249.0,8145.0
13,Kordesta.Ce..Co.,20080816,8161.0,8073.0,8129.0,2741819921,337283,133,D,8145.0,8129.0
14,Kordesta.Ce..Co.,20080818,8158.0,8040.0,8096.0,3023176419,373415,142,D,8129.0,8096.0
15,Kordesta.Ce..Co.,20080819,8070.0,8007.0,8033.0,1949544711,242671,110,D,8096.0,8033.0
16,Kordesta.Ce..Co.,20080820,8120.0,8030.0,8080.0,2054137830,254202,135,D,8033.0,8080.0
17,Kordesta.Ce..Co.,20080823,8198.0,8071.0,8133.0,2835537465,348629,156,D,8080.0,8133.0
18,Kordesta.Ce..Co.,20080824,8376.0,8199.0,8371.0,4321436666,516210,164,D,8133.0,8371.0
19,Kordesta.Ce..Co.,20080825,8622.0,8273.0,8471.0,7917323666,934573,295,D,8371.0,8471.0
20,Kordesta.Ce..Co.,20080826,8259.0,8217.0,8218.0,4138751555,503616,157,D,8471.0,8218.0
21,Kordesta.Ce..Co.,20080827,8218.0,7972.0,8057.0,18594430692,2327653,144,D,8218.0,8057.0
22,Kordesta.Ce..Co.,20080830,8295.0,8161.0,8250.0,2653982370,321680,129,D,8057.0,8250.0
23,Kordesta.Ce..Co.,20080831,8080.0,8004.0,8050.0,5248772433,651990,183,D,8250.0,8050.0
24,Kordesta.Ce..Co.,20080901,8111.0,8037.0,8055.0,815084243,101170,68,D,8050.0,8055.0
25,Kordesta.Ce..Co.,20080902,8240.0,8061.0,8074.0,733562598,90764,50,D,8055.0,8074.0
26,Kordesta.Ce..Co.,20080903,8237.0,8040.0,8075.0,2487426277,308018,132,D,8074.0,8075.0
27,Kordesta.Ce..Co.,20080906,8060.0,7833.0,7965.0,4522391883,567763,191,D,8075.0,7965.0
28,Kordesta.Ce..Co.,20080907,8000.0,7727.0,7741.0,6705926872,866216,232,D,7965.0,7741.0
29,Kordesta.Ce..Co.,20080908,7700.0,7509.0,7510.0,7351998279,978885,289,D,7741.0,7510.0
30,Kordesta.Ce..Co.,20080909,7540.0,7496.0,7511.0,4335635752,577223,158,D,7510.0,7511.0
31,Kordesta.Ce..Co.,20080910,7500.0,7286.0,7318.0,846736411,116067,78,D,7511.0,7318.0
32,Kordesta.Ce..Co.,20080913,7280.0,7099.0,7106.0,3285812097,462359,135,D,7318.0,7106.0
33,Kordesta.Ce..Co.,20080914,7107.0,6893.0,7055.0,1043678919,147929,92,D,7106.0,7055.0
