,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Ind..&.Mine.Inv,20010325,1520.0,1520.0,1520.0,40574880,26694,14,D,1520.0,1520.0
1,Ind..&.Mine.Inv,20010326,1514.0,1490.0,1500.0,91825260,61373,29,D,1520.0,1500.0
2,Ind..&.Mine.Inv,20010327,1501.0,1500.0,1500.0,110383700,73589,34,D,1500.0,1500.0
3,Ind..&.Mine.Inv,20010328,1519.0,1499.0,1505.0,126649410,84307,38,D,1500.0,1505.0
4,Ind..&.Mine.Inv,20010331,1570.0,1512.0,1550.0,220942746,142772,34,D,1505.0,1550.0
5,Ind..&.Mine.Inv,20010403,1550.0,1550.0,1550.0,4650000,3000,3,D,1550.0,1550.0
6,Ind..&.Mine.Inv,20010407,1585.0,1565.0,1580.0,265182037,168430,52,D,1550.0,1580.0
7,Ind..&.Mine.Inv,20010408,1581.0,1565.0,1570.0,368056951,233367,80,D,1580.0,1570.0
8,Ind..&.Mine.Inv,20010409,1570.0,1552.0,1554.0,394121125,252788,71,D,1570.0,1554.0
9,Ind..&.Mine.Inv,20010410,1554.0,1510.0,1554.0,265567133,173217,61,D,1554.0,1554.0
10,Ind..&.Mine.Inv,20010411,1555.0,1541.0,1550.0,364926746,235400,105,D,1554.0,1550.0
11,Ind..&.Mine.Inv,20010414,1548.0,1517.0,1548.0,791875782,516715,111,D,1550.0,1548.0
12,Ind..&.Mine.Inv,20010415,1580.0,1544.0,1557.0,755563429,483322,139,D,1548.0,1557.0
13,Ind..&.Mine.Inv,20010416,1610.0,1562.0,1566.0,1772234674,1116013,243,D,1557.0,1566.0
14,Ind..&.Mine.Inv,20010417,1603.0,1585.0,1585.0,3053175408,1923699,176,D,1566.0,1585.0
15,Ind..&.Mine.Inv,20010418,1631.0,1610.0,1631.0,32586250,20050,6,D,1585.0,1631.0
16,Ind..&.Mine.Inv,20010421,1712.0,1652.0,1661.0,3659649175,2172289,519,D,1631.0,1661.0
17,Ind..&.Mine.Inv,20010422,1737.0,1680.0,1700.0,2992131012,1763120,453,D,1661.0,1700.0
18,Ind..&.Mine.Inv,20010423,1735.0,1700.0,1700.0,2067349481,1208489,310,D,1700.0,1700.0
19,Ind..&.Mine.Inv,20010424,1754.0,1720.0,1736.0,672070856,387690,131,D,1700.0,1736.0
20,Ind..&.Mine.Inv,20010425,1822.0,1779.0,1800.0,1370079406,764033,206,D,1736.0,1800.0
21,Ind..&.Mine.Inv,20010428,1890.0,1800.0,1818.0,5413231545,2963252,592,D,1800.0,1818.0
22,Ind..&.Mine.Inv,20010429,1893.0,1861.0,1870.0,253219598,134282,73,D,1818.0,1870.0
23,Ind..&.Mine.Inv,20010430,1925.0,1870.0,1870.0,1997698742,1062585,345,D,1870.0,1870.0
