,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Nirou.Inv.,20040828,5020.0,5000.0,5000.0,7500285100,1499841,1216,D,5001.0,5000.0
1,Nirou.Inv.,20040829,5250.0,5250.0,5250.0,2105260500,401002,192,D,5000.0,5250.0
2,Nirou.Inv.,20040831,5512.0,5512.0,5512.0,3582800000,650000,195,D,5250.0,5512.0
3,Nirou.Inv.,20040901,5787.0,5260.0,5787.0,32323812347,6122881,120,D,5512.0,5787.0
4,Nirou.Inv.,20040904,6076.0,5806.0,5806.0,39807252,6552,13,D,5787.0,5806.0
5,Nirou.Inv.,20040905,6096.0,6096.0,6096.0,3669572544,601964,220,D,5806.0,6096.0
6,Nirou.Inv.,20040906,6400.0,6400.0,6400.0,30167577600,4713684,1175,D,6096.0,6400.0
7,Nirou.Inv.,20040907,6720.0,6680.0,6720.0,29180184286,4354595,470,D,6400.0,6720.0
8,Nirou.Inv.,20040908,6870.0,6719.0,6733.0,5976432806,883620,201,D,6720.0,6733.0
9,Nirou.Inv.,20040911,7069.0,7056.0,7068.0,7250121576,1025886,247,D,6733.0,7068.0
10,Nirou.Inv.,20040912,7421.0,7174.0,7174.0,215547896,29046,34,D,7068.0,7174.0
11,Nirou.Inv.,20041122,4679.0,4001.0,4323.0,7535336318,1742923,744,D,7174.0,4323.0
12,Nirou.Inv.,20041123,4519.0,4116.0,4359.0,4427037306,1015425,496,D,4323.0,4359.0
13,Nirou.Inv.,20041124,4380.0,4250.0,4305.0,2048071771,475672,316,D,4359.0,4305.0
14,Nirou.Inv.,20041127,4520.0,4339.0,4468.0,2051974959,459216,274,D,4305.0,4468.0
15,Nirou.Inv.,20041128,4691.0,4691.0,4691.0,3112881926,663586,247,D,4468.0,4691.0
16,Nirou.Inv.,20041129,4925.0,4925.0,4925.0,1092798400,221888,118,D,4691.0,4925.0
17,Nirou.Inv.,20041130,5171.0,4680.0,5081.0,6925681380,1362819,687,D,4925.0,5081.0
18,Nirou.Inv.,20041201,4939.0,4827.0,4838.0,2577425392,532652,272,D,5081.0,4838.0
19,Nirou.Inv.,20041204,5000.0,4617.0,4858.0,2554265405,525766,310,D,4838.0,4858.0
20,Nirou.Inv.,20041205,4800.0,4619.0,4714.0,1437338142,304879,198,D,4858.0,4714.0
21,Nirou.Inv.,20041206,4801.0,4699.0,4759.0,1665233066,349864,204,D,4714.0,4759.0
22,Nirou.Inv.,20041207,4800.0,4680.0,4725.0,1539390789,325767,188,D,4759.0,4725.0
23,Nirou.Inv.,20041211,4800.0,4670.0,4723.0,1850167876,391665,207,D,4725.0,4723.0
24,Nirou.Inv.,20041212,4699.0,4590.0,4639.0,902359771,194515,124,D,4723.0,4639.0
25,Nirou.Inv.,20041213,4685.0,4517.0,4584.0,1279625132,279124,154,D,4639.0,4584.0
26,Nirou.Inv.,20041214,4605.0,4500.0,4551.0,1738095734,381866,145,D,4584.0,4551.0
27,Nirou.Inv.,20041215,4775.0,4511.0,4611.0,1520692044,329736,156,D,4551.0,4611.0
28,Nirou.Inv.,20041218,4841.0,4617.0,4836.0,3048978457,630359,212,D,4611.0,4836.0
29,Nirou.Inv.,20041219,4836.0,4780.0,4797.0,1445057980,301217,136,D,4836.0,4797.0
30,Nirou.Inv.,20041220,4789.0,4650.0,4718.0,1266183672,268351,139,D,4797.0,4718.0
31,Nirou.Inv.,20041221,4850.0,4706.0,4771.0,6152327778,1288640,123,D,4718.0,4771.0
32,Nirou.Inv.,20041222,4950.0,4782.0,4906.0,1826809791,372289,189,D,4771.0,4906.0
33,Nirou.Inv.,20041225,5151.0,4940.0,5097.0,1880669029,368921,169,D,4906.0,5097.0
34,Nirou.Inv.,20041226,5351.0,5351.0,5351.0,4331029837,809387,215,D,5097.0,5351.0
35,Nirou.Inv.,20041227,5618.0,5152.0,5464.0,7370233016,1348634,521,D,5351.0,5464.0
36,Nirou.Inv.,20041228,5191.0,5191.0,5191.0,1322479924,254764,113,D,5464.0,5191.0
37,Nirou.Inv.,20041229,5187.0,4961.0,5088.0,3104729014,610131,228,D,5191.0,5088.0
38,Nirou.Inv.,20050101,5160.0,5084.0,5108.0,2613517527,511576,234,D,5088.0,5108.0
39,Nirou.Inv.,20050102,5246.0,5117.0,5199.0,1472077307,283108,195,D,5108.0,5199.0
40,Nirou.Inv.,20050103,5251.0,5005.0,5186.0,1399785020,269915,132,D,5199.0,5186.0
41,Nirou.Inv.,20050104,5100.0,5012.0,5065.0,1400129186,276413,158,D,5186.0,5065.0
42,Nirou.Inv.,20050105,5095.0,5030.0,5053.0,1225897005,242586,146,D,5065.0,5053.0
43,Nirou.Inv.,20050108,5006.0,4851.0,4909.0,2538915066,517180,211,D,5053.0,4909.0
44,Nirou.Inv.,20050109,4859.0,4703.0,4789.0,2226919079,464952,236,D,4909.0,4789.0
45,Nirou.Inv.,20050208,3600.0,3000.0,3524.0,88154931,25010,9,D,4789.0,3524.0
46,Nirou.Inv.,20050209,3396.0,3348.0,3396.0,233700924,69803,27,D,3524.0,3396.0
47,Nirou.Inv.,20050212,3558.0,3227.0,3271.0,3202802909,980395,215,D,3396.0,3271.0
48,Nirou.Inv.,20050213,3201.0,3108.0,3116.0,343830720,110330,33,D,3271.0,3116.0
49,Nirou.Inv.,20050214,2965.0,2961.0,2965.0,276074797,93237,38,D,3116.0,2965.0
50,Nirou.Inv.,20050215,2927.0,2817.0,2927.0,68485187,24311,9,D,2965.0,2927.0
51,Nirou.Inv.,20050216,2913.0,2781.0,2913.0,25072035,9015,6,D,2927.0,2913.0
52,Nirou.Inv.,20050221,2894.0,2768.0,2894.0,33452540,12085,9,D,2913.0,2894.0
53,Nirou.Inv.,20050222,2886.0,2750.0,2886.0,14353610,5219,5,D,2894.0,2886.0
54,Nirou.Inv.,20050223,2824.0,2742.0,2824.0,113242678,41299,24,D,2886.0,2824.0
