,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Kh..Pegah.Dairy,20050613,7200.0,7200.0,7200.0,95231613600,13226613,1055,D,7200.0,7200.0
1,Kh..Pegah.Dairy,20050628,6699.0,6499.0,6500.0,707524950,108850,37,D,7200.0,6500.0
2,Kh..Pegah.Dairy,20050629,6501.0,6499.0,6500.0,731471600,112534,24,D,6500.0,6500.0
3,Kh..Pegah.Dairy,20050702,6200.0,6175.0,6176.0,1858610401,300928,95,D,6500.0,6176.0
4,Kh..Pegah.Dairy,20050703,6040.0,5868.0,5869.0,1803375877,307232,96,D,6176.0,5869.0
5,Kh..Pegah.Dairy,20050704,6000.0,5804.0,5887.0,108827095,18333,13,D,5869.0,5887.0
6,Kh..Pegah.Dairy,20050705,6000.0,5902.0,5902.0,54039020,9010,3,D,5887.0,5902.0
7,Kh..Pegah.Dairy,20050706,5945.0,5900.0,5904.0,58226665,9835,7,D,5902.0,5904.0
8,Kh..Pegah.Dairy,20050709,5802.0,5701.0,5786.0,289742710,50360,23,D,5904.0,5786.0
9,Kh..Pegah.Dairy,20050711,5773.0,5610.0,5773.0,26957680,4805,4,D,5786.0,5773.0
10,Kh..Pegah.Dairy,20050712,5890.0,5775.0,5775.0,8745500,1485,2,D,5773.0,5775.0
11,Kh..Pegah.Dairy,20050713,5639.0,5487.0,5639.0,206215095,37225,10,D,5775.0,5639.0
12,Kh..Pegah.Dairy,20050716,5636.0,5358.0,5636.0,3271160,610,2,D,5639.0,5636.0
13,Kh..Pegah.Dairy,20050717,5489.0,5355.0,5489.0,181134215,33825,19,D,5636.0,5489.0
14,Kh..Pegah.Dairy,20050718,5599.0,5215.0,5255.0,1013778326,192890,46,D,5489.0,5255.0
15,Kh..Pegah.Dairy,20050719,5300.0,5189.0,5209.0,518306950,99500,28,D,5255.0,5209.0
16,Kh..Pegah.Dairy,20050720,5300.0,5224.0,5224.0,61990240,11710,9,D,5209.0,5224.0
17,Kh..Pegah.Dairy,20050723,5281.0,5247.0,5247.0,142068350,26906,13,D,5224.0,5247.0
18,Kh..Pegah.Dairy,20050724,5282.0,5271.0,5271.0,250328710,47410,18,D,5247.0,5271.0
19,Kh..Pegah.Dairy,20050725,5281.0,5150.0,5243.0,409772894,78154,18,D,5271.0,5243.0
20,Kh..Pegah.Dairy,20050726,5221.0,5193.0,5221.0,158444780,30484,12,D,5243.0,5221.0
21,Kh..Pegah.Dairy,20050727,5150.0,5000.0,5146.0,135445790,26869,11,D,5221.0,5146.0
22,Kh..Pegah.Dairy,20050730,5135.0,5001.0,5135.0,23561051,4711,8,D,5146.0,5135.0
23,Kh..Pegah.Dairy,20050731,5391.0,5000.0,5146.0,206880350,40137,29,D,5135.0,5146.0
24,Kh..Pegah.Dairy,20050801,5200.0,4921.0,5101.0,380140897,74510,26,D,5146.0,5101.0
25,Kh..Pegah.Dairy,20050802,5195.0,5099.0,5157.0,297348886,57560,28,D,5101.0,5157.0
26,Kh..Pegah.Dairy,20050803,5414.0,5370.0,5385.0,319166850,59010,22,D,5157.0,5385.0
27,Kh..Pegah.Dairy,20050806,5654.0,5449.0,5487.0,291055270,52811,22,D,5385.0,5487.0
28,Kh..Pegah.Dairy,20050807,5761.0,5580.0,5641.0,631575895,111960,44,D,5487.0,5641.0
29,Kh..Pegah.Dairy,20050808,5923.0,5772.0,5772.0,187027720,31640,18,D,5641.0,5772.0
30,Kh..Pegah.Dairy,20050809,6060.0,6000.0,6049.0,491349390,81228,55,D,5772.0,6049.0
31,Kh..Pegah.Dairy,20050810,6350.0,6248.0,6248.0,286592475,45228,30,D,6049.0,6248.0
32,Kh..Pegah.Dairy,20050813,6498.0,6200.0,6259.0,326622494,52158,33,D,6248.0,6259.0
33,Kh..Pegah.Dairy,20050814,6173.0,5947.0,5964.0,1250832149,209720,66,D,6259.0,5964.0
34,Kh..Pegah.Dairy,20050815,6066.0,5941.0,5968.0,262638916,43985,17,D,5964.0,5968.0
35,Kh..Pegah.Dairy,20050816,6076.0,5970.0,6001.0,239180610,39710,16,D,5968.0,6001.0
36,Kh..Pegah.Dairy,20050817,6012.0,5999.0,6004.0,433468670,72196,521,D,6001.0,6004.0
37,Kh..Pegah.Dairy,20050820,6200.0,6010.0,6057.0,123381459,19970,152,D,6004.0,6057.0
38,Kh..Pegah.Dairy,20050821,6150.0,6058.0,6080.0,107989600,17578,158,D,6057.0,6080.0
39,Kh..Pegah.Dairy,20050822,6085.0,6000.0,6054.0,164593690,27340,17,D,6080.0,6054.0
40,Kh..Pegah.Dairy,20050823,6050.0,5997.0,6003.0,544575404,90714,37,D,6054.0,6003.0
41,Kh..Pegah.Dairy,20050824,6150.0,5997.0,6020.0,513841570,85344,47,D,6003.0,6020.0
42,Kh..Pegah.Dairy,20050827,6019.0,6002.0,6019.0,8765060,1460,13,D,6020.0,6019.0
43,Kh..Pegah.Dairy,20050828,6000.0,5719.0,5867.0,298655132,51253,22,D,6019.0,5867.0
44,Kh..Pegah.Dairy,20050829,6070.0,5900.0,5925.0,188310110,31448,23,D,5867.0,5925.0
45,Kh..Pegah.Dairy,20050830,6000.0,5920.0,5954.0,359079280,60270,29,D,5925.0,5954.0
46,Kh..Pegah.Dairy,20050831,5970.0,5954.0,5954.0,18131340,3040,5,D,5954.0,5954.0
47,Kh..Pegah.Dairy,20050903,5999.0,5950.0,5967.0,119705720,19960,7,D,5954.0,5967.0
48,Kh..Pegah.Dairy,20050904,5999.0,5898.0,5973.0,308791393,51672,24,D,5967.0,5973.0
49,Kh..Pegah.Dairy,20050905,6002.0,5989.0,5997.0,416242768,69398,35,D,5973.0,5997.0
50,Kh..Pegah.Dairy,20050906,6002.0,5999.0,5999.0,218821990,36460,121,D,5997.0,5999.0
51,Kh..Pegah.Dairy,20050907,5999.0,5800.0,5990.0,78973070,13255,191,D,5999.0,5990.0
52,Kh..Pegah.Dairy,20050912,5990.0,5987.0,5989.0,52447050,8760,125,D,5990.0,5989.0
53,Kh..Pegah.Dairy,20050913,5988.0,5973.0,5988.0,699028,117,3,D,5989.0,5988.0
54,Kh..Pegah.Dairy,20050914,5987.0,5750.0,5987.0,1641120,285,2,D,5988.0,5987.0
55,Kh..Pegah.Dairy,20050917,5960.0,5900.0,5960.0,124414595,21063,40,D,5987.0,5960.0
56,Kh..Pegah.Dairy,20050918,5987.0,5905.0,5959.0,46688409,7839,21,D,5960.0,5959.0
57,Kh..Pegah.Dairy,20050919,5947.0,5710.0,5947.0,20142970,3510,5,D,5959.0,5947.0
58,Kh..Pegah.Dairy,20050921,5944.0,5800.0,5944.0,8076010,1386,7,D,5947.0,5944.0
59,Kh..Pegah.Dairy,20050925,5943.0,5848.0,5943.0,644230,110,2,D,5944.0,5943.0
60,Kh..Pegah.Dairy,20051004,5939.0,5646.0,5939.0,4011590,710,11,D,5943.0,5939.0
61,Kh..Pegah.Dairy,20051005,5939.0,5643.0,5939.0,2429450,430,7,D,5939.0,5939.0
62,Kh..Pegah.Dairy,20051009,5890.0,5643.0,5890.0,59705410,10580,153,D,5939.0,5890.0
63,Kh..Pegah.Dairy,20051010,5871.0,5596.0,5871.0,23170190,4140,60,D,5890.0,5871.0
64,Kh..Pegah.Dairy,20051011,5856.0,5578.0,5856.0,18019720,3230,48,D,5871.0,5856.0
65,Kh..Pegah.Dairy,20051015,5826.0,5564.0,5826.0,36279900,6520,95,D,5856.0,5826.0
66,Kh..Pegah.Dairy,20051016,5800.0,5535.0,5800.0,31054000,5610,81,D,5826.0,5800.0
67,Kh..Pegah.Dairy,20051017,5787.0,5510.0,5787.0,15485870,2810,42,D,5800.0,5787.0
68,Kh..Pegah.Dairy,20051018,5774.0,5498.0,5774.0,15452140,2810,39,D,5787.0,5774.0
69,Kh..Pegah.Dairy,20051022,5486.0,5486.0,5486.0,375352120,68420,131,D,5774.0,5486.0
70,Kh..Pegah.Dairy,20051023,5474.0,5212.0,5382.0,185277251,34993,176,D,5486.0,5382.0
71,Kh..Pegah.Dairy,20051024,5457.0,5333.0,5403.0,202767919,37410,520,D,5382.0,5403.0
72,Kh..Pegah.Dairy,20051030,5397.0,5217.0,5397.0,19387970,3650,53,D,5403.0,5397.0
73,Kh..Pegah.Dairy,20051031,5388.0,5130.0,5388.0,10108680,1970,4,D,5397.0,5388.0
74,Kh..Pegah.Dairy,20051101,5341.0,5119.0,5341.0,57744540,11280,165,D,5388.0,5341.0
75,Kh..Pegah.Dairy,20051105,5271.0,5074.0,5271.0,85397390,16830,183,D,5341.0,5271.0
76,Kh..Pegah.Dairy,20051106,5056.0,5008.0,5056.0,265475560,53010,22,D,5271.0,5056.0
77,Kh..Pegah.Dairy,20051107,5073.0,5056.0,5056.0,9278100,1830,27,D,5056.0,5056.0
78,Kh..Pegah.Dairy,20051108,5055.0,5013.0,5055.0,4983100,990,15,D,5056.0,5055.0
79,Kh..Pegah.Dairy,20051109,5052.0,5017.0,5052.0,20523270,4090,36,D,5055.0,5052.0
80,Kh..Pegah.Dairy,20051112,5049.0,4951.0,5049.0,9602410,1930,36,D,5052.0,5049.0
81,Kh..Pegah.Dairy,20051114,4983.0,4949.0,4983.0,209135182,42258,24,D,5049.0,4983.0
82,Kh..Pegah.Dairy,20051115,4981.0,4948.0,4981.0,12172410,2460,31,D,4983.0,4981.0
83,Kh..Pegah.Dairy,20051116,4979.0,4882.0,4979.0,6103470,1250,20,D,4981.0,4979.0
84,Kh..Pegah.Dairy,20051120,4976.0,4933.0,4976.0,15839500,3210,4,D,4979.0,4976.0
85,Kh..Pegah.Dairy,20051121,4972.0,4877.0,4972.0,12242220,2510,2,D,4976.0,4972.0
86,Kh..Pegah.Dairy,20051122,4892.0,4873.0,4892.0,255986412,52510,22,D,4972.0,4892.0
87,Kh..Pegah.Dairy,20051123,4891.0,4871.0,4891.0,6139246,1260,10,D,4892.0,4891.0
88,Kh..Pegah.Dairy,20051126,4951.0,4873.0,4910.0,149920332,30394,15,D,4891.0,4910.0
89,Kh..Pegah.Dairy,20051127,4910.0,4860.0,4906.0,27365980,5622,8,D,4910.0,4906.0
90,Kh..Pegah.Dairy,20051129,4878.0,4808.0,4878.0,86596780,18010,12,D,4906.0,4878.0
91,Kh..Pegah.Dairy,20051130,4880.0,4850.0,4875.0,135153940,27731,16,D,4878.0,4875.0
92,Kh..Pegah.Dairy,20051203,5110.0,4875.0,4947.0,206141400,41312,17,D,4875.0,4947.0
