,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Sepanta,20010325,8139.0,8139.0,8139.0,1172016,144,1,D,8139.0,8139.0
1,Sepanta,20010327,8180.0,8151.0,8180.0,11844631,1450,5,D,8139.0,8180.0
2,Sepanta,20010407,8589.0,8589.0,8589.0,20914215,2435,3,D,8180.0,8589.0
3,Sepanta,20010408,8593.0,8592.0,8592.0,12854919,1496,4,D,8589.0,8592.0
4,Sepanta,20010410,8592.0,8592.0,8592.0,4424880,515,4,D,8592.0,8592.0
5,Sepanta,20010411,8595.0,8579.0,8590.0,42178800,4911,9,D,8592.0,8590.0
6,Sepanta,20010414,8587.0,8200.0,8200.0,16935727,2001,4,D,8590.0,8200.0
7,Sepanta,20010415,8200.0,8200.0,8200.0,2714200,331,2,D,8200.0,8200.0
8,Sepanta,20010416,8215.0,8210.0,8215.0,43963275,5353,11,D,8200.0,8215.0
9,Sepanta,20010417,8249.0,8210.0,8249.0,27177797,3308,14,D,8215.0,8249.0
10,Sepanta,20010418,8300.0,8249.0,8300.0,21030466,2534,5,D,8249.0,8300.0
11,Sepanta,20010421,8350.0,8301.0,8350.0,55113300,6618,8,D,8300.0,8350.0
12,Sepanta,20010422,8400.0,8350.0,8350.0,24442549,2917,13,D,8350.0,8350.0
13,Sepanta,20010423,8349.0,8303.0,8316.0,60153708,7232,9,D,8350.0,8316.0
14,Sepanta,20010424,8310.0,8306.0,8308.0,42483677,5113,10,D,8316.0,8308.0
15,Sepanta,20010425,8250.0,8240.0,8250.0,68569870,8314,13,D,8308.0,8250.0
16,Sepanta,20010428,8250.0,8200.0,8250.0,17604100,2140,9,D,8250.0,8250.0
17,Sepanta,20010429,8250.0,8248.0,8250.0,20276776,2458,10,D,8250.0,8250.0
18,Sepanta,20010430,8250.0,8249.0,8249.0,26028270,3155,11,D,8250.0,8249.0
19,Sepanta,20010501,8239.0,8238.0,8239.0,13503471,1639,4,D,8249.0,8239.0
20,Sepanta,20010502,8250.0,8198.0,8250.0,94729152,11524,30,D,8239.0,8250.0
