,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,S*Iran.Chem..Ind.,20010328,19491.0,19482.0,19491.0,40975286,2103,5,D,19482.0,19491.0
1,S*Iran.Chem..Ind.,20010407,19491.0,19491.0,19491.0,14423340,740,1,D,19491.0,19491.0
2,S*Iran.Chem..Ind.,20010408,19497.0,19492.0,19492.0,89671500,4600,9,D,19491.0,19492.0
3,S*Iran.Chem..Ind.,20010410,19520.0,19512.0,19520.0,40981200,2100,4,D,19492.0,19520.0
4,S*Iran.Chem..Ind.,20010411,19755.0,19701.0,19755.0,203377500,10300,5,D,19520.0,19755.0
5,S*Iran.Chem..Ind.,20010415,19783.0,19783.0,19783.0,28942529,1463,3,D,19755.0,19783.0
6,S*Iran.Chem..Ind.,20010416,19789.0,19784.0,19789.0,51441400,2600,2,D,19783.0,19789.0
7,S*Iran.Chem..Ind.,20010417,19789.0,19789.0,19789.0,7915600,400,1,D,19789.0,19789.0
8,S*Iran.Chem..Ind.,20010422,19851.0,19851.0,19851.0,6947850,350,1,D,19789.0,19851.0
9,S*Iran.Chem..Ind.,20010423,20049.0,20000.0,20049.0,16029400,800,4,D,19851.0,20049.0
10,S*Iran.Chem..Ind.,20010501,20249.0,20249.0,20249.0,20249000,1000,1,D,20049.0,20249.0
11,S*Iran.Chem..Ind.,20010513,20451.0,20451.0,20451.0,19285293,943,3,D,20249.0,20451.0
12,S*Iran.Chem..Ind.,20010530,20655.0,20655.0,20655.0,22720500,1100,6,D,20451.0,20655.0
13,S*Iran.Chem..Ind.,20010704,21687.0,21655.0,21655.0,60698000,2800,3,D,20655.0,21655.0
14,S*Iran.Chem..Ind.,20010707,22737.0,22737.0,22737.0,603394506,26538,23,D,21655.0,22737.0
15,S*Iran.Chem..Ind.,20010708,23873.0,23873.0,23873.0,102940376,4312,9,D,22737.0,23873.0
16,S*Iran.Chem..Ind.,20010812,25500.0,23000.0,25500.0,177778960,7288,16,D,23873.0,25500.0
17,S*Iran.Chem..Ind.,20010813,26137.0,25777.0,26137.0,160173200,6200,3,D,25500.0,26137.0
18,S*Iran.Chem..Ind.,20010814,26790.0,26790.0,26790.0,1184118000,44200,15,D,26137.0,26790.0
19,S*Iran.Chem..Ind.,20010815,27459.0,26800.0,27459.0,319508650,11815,8,D,26790.0,27459.0
20,S*Iran.Chem..Ind.,20010819,27733.0,27733.0,27733.0,38826200,1400,5,D,27459.0,27733.0
21,S*Iran.Chem..Ind.,20010820,28010.0,28010.0,28010.0,84030000,3000,3,D,27733.0,28010.0
22,S*Iran.Chem..Ind.,20010827,28012.0,28010.0,28010.0,25770400,920,7,D,28010.0,28010.0
23,S*Iran.Chem..Ind.,20010828,28290.0,28011.0,28290.0,56528100,2010,6,D,28010.0,28290.0
24,S*Iran.Chem..Ind.,20010829,28290.0,28288.0,28290.0,106170170,3753,13,D,28290.0,28290.0
25,S*Iran.Chem..Ind.,20010901,28290.0,28289.0,28290.0,56579400,2000,6,D,28290.0,28290.0
26,S*Iran.Chem..Ind.,20010902,28290.0,28290.0,28290.0,229120710,8099,5,D,28290.0,28290.0
27,S*Iran.Chem..Ind.,20010903,28550.0,28214.0,28550.0,116917500,4140,9,D,28290.0,28550.0
28,S*Iran.Chem..Ind.,20010904,28550.0,28549.0,28549.0,18557250,650,3,D,28550.0,28549.0
29,S*Iran.Chem..Ind.,20010905,28834.0,28549.0,28834.0,69682115,2435,4,D,28549.0,28834.0
30,S*Iran.Chem..Ind.,20010908,29122.0,29122.0,29122.0,760637518,26119,5,D,28834.0,29122.0
31,S*Iran.Chem..Ind.,20010910,29413.0,29413.0,29413.0,611790400,20800,6,D,29122.0,29413.0
32,S*Iran.Chem..Ind.,20010911,29707.0,29420.0,29707.0,344429000,11600,3,D,29413.0,29707.0
33,S*Iran.Chem..Ind.,20010912,30004.0,29706.0,30004.0,753758848,25140,14,D,29707.0,30004.0
34,S*Iran.Chem..Ind.,20010915,30004.0,30004.0,30004.0,9001200,300,2,D,30004.0,30004.0
35,S*Iran.Chem..Ind.,20010918,30004.0,29998.0,30004.0,286378030,9545,12,D,30004.0,30004.0
36,S*Iran.Chem..Ind.,20010919,30300.0,30004.0,30300.0,242262500,8015,6,D,30004.0,30300.0
37,S*Iran.Chem..Ind.,20010922,30302.0,30302.0,30302.0,30302000,1000,1,D,30300.0,30302.0
38,S*Iran.Chem..Ind.,20010924,30305.0,30302.0,30302.0,151517263,5000,4,D,30302.0,30302.0
39,S*Iran.Chem..Ind.,20010926,30310.0,30300.0,30300.0,81573536,2692,11,D,30302.0,30300.0
40,S*Iran.Chem..Ind.,20010929,30299.0,30299.0,30299.0,53508034,1766,5,D,30300.0,30299.0
41,S*Iran.Chem..Ind.,20011003,30268.0,30147.0,30147.0,28712250,950,4,D,30299.0,30147.0
42,S*Iran.Chem..Ind.,20011006,30150.0,30147.0,30147.0,3979650,132,2,D,30147.0,30147.0
43,S*Iran.Chem..Ind.,20011007,30130.0,29846.0,29992.0,124257797,4143,6,D,30147.0,29992.0
44,S*Iran.Chem..Ind.,20011016,29693.0,29693.0,29693.0,89079000,3000,8,D,29992.0,29693.0
45,S*Iran.Chem..Ind.,20011017,29397.0,29397.0,29397.0,24017349,817,2,D,29693.0,29397.0
46,S*Iran.Chem..Ind.,20011020,29104.0,29104.0,29104.0,29104000,1000,1,D,29397.0,29104.0
47,S*Iran.Chem..Ind.,20011021,29104.0,28813.0,29104.0,419359433,14483,31,D,29104.0,29104.0
48,S*Iran.Chem..Ind.,20011022,29106.0,29105.0,29105.0,84435105,2901,9,D,29104.0,29105.0
49,S*Iran.Chem..Ind.,20011023,29104.0,29100.0,29100.0,154234800,5300,6,D,29105.0,29100.0
50,S*Iran.Chem..Ind.,20011024,29105.0,29105.0,29105.0,48023250,1650,4,D,29100.0,29105.0
51,S*Iran.Chem..Ind.,20011027,29112.0,29112.0,29112.0,23289600,800,2,D,29105.0,29112.0
52,S*Iran.Chem..Ind.,20011028,29114.0,29113.0,29114.0,37847700,1300,4,D,29112.0,29114.0
53,S*Iran.Chem..Ind.,20011029,29116.0,29114.0,29114.0,90983000,3125,7,D,29114.0,29114.0
54,S*Iran.Chem..Ind.,20011030,29114.0,29114.0,29114.0,52405200,1800,3,D,29114.0,29114.0
55,S*Iran.Chem..Ind.,20011031,29115.0,29114.0,29115.0,87548205,3007,7,D,29114.0,29115.0
56,S*Iran.Chem..Ind.,20011110,29132.0,29132.0,29132.0,14566000,500,1,D,29115.0,29132.0
57,S*Iran.Chem..Ind.,20011111,29132.0,29132.0,29132.0,21004172,721,2,D,29132.0,29132.0
58,S*Iran.Chem..Ind.,20011114,29139.0,29139.0,29139.0,17483400,600,1,D,29132.0,29139.0
59,S*Iran.Chem..Ind.,20011117,29145.0,29140.0,29141.0,233145500,8000,11,D,29139.0,29141.0
60,S*Iran.Chem..Ind.,20011118,29145.0,29141.0,29141.0,26229300,900,2,D,29141.0,29141.0
61,S*Iran.Chem..Ind.,20011124,29158.0,29158.0,29158.0,4519490,155,1,D,29141.0,29158.0
62,S*Iran.Chem..Ind.,20011126,29449.0,29449.0,29449.0,134876420,4580,7,D,29158.0,29449.0
63,S*Iran.Chem..Ind.,20011127,29695.0,29166.0,29166.0,106371000,3600,8,D,29449.0,29166.0
64,S*Iran.Chem..Ind.,20011201,29169.0,29169.0,29169.0,29169000,1000,2,D,29166.0,29169.0
65,S*Iran.Chem..Ind.,20011202,29171.0,29171.0,29171.0,29171000,1000,2,D,29169.0,29171.0
66,S*Iran.Chem..Ind.,20011203,29350.0,29300.0,29350.0,58650000,2000,3,D,29171.0,29350.0
67,S*Iran.Chem..Ind.,20011204,29400.0,29400.0,29400.0,29400000,1000,1,D,29350.0,29400.0
68,S*Iran.Chem..Ind.,20011205,29186.0,29186.0,29186.0,29186000,1000,1,D,29400.0,29186.0
69,S*Iran.Chem..Ind.,20011211,29193.0,29193.0,29193.0,8174040,280,1,D,29186.0,29193.0
70,S*Iran.Chem..Ind.,20011215,29484.0,29201.0,29484.0,181152760,6165,5,D,29193.0,29484.0
