,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Neiriz.Cement,20071127,5050.0,5050.0,5050.0,12463556550,2468031,415,D,0.0,5050.0
1,Neiriz.Cement,20071128,5050.0,4949.0,4954.0,426597249,86109,25,D,5050.0,4954.0
2,Neiriz.Cement,20071201,5050.0,5025.0,5025.0,151999134,30101,9,D,4954.0,5025.0
3,Neiriz.Cement,20071202,5025.0,5025.0,5025.0,2442150,486,1,D,5025.0,5025.0
4,Neiriz.Cement,20071208,5124.0,5025.0,5053.0,158988600,31410,28,D,5025.0,5053.0
5,Neiriz.Cement,20071209,5130.0,5121.0,5129.0,220615290,43010,7,D,5053.0,5129.0
6,Neiriz.Cement,20071212,5130.0,5129.0,5129.0,25701290,5010,4,D,5129.0,5129.0
7,Neiriz.Cement,20071222,5129.0,5129.0,5129.0,5129000,1000,1,D,5129.0,5129.0
8,Neiriz.Cement,20071223,5129.0,5129.0,5129.0,25645000,5000,1,D,5129.0,5129.0
9,Neiriz.Cement,20071225,5230.0,5138.0,5138.0,18837540,3602,3,D,5129.0,5138.0
10,Neiriz.Cement,20071226,5240.0,5164.0,5164.0,52451640,10010,2,D,5138.0,5164.0
11,Neiriz.Cement,20071230,5267.0,5267.0,5267.0,210680000,40000,5,D,5164.0,5267.0
12,Neiriz.Cement,20071231,5372.0,5372.0,5372.0,355357800,66150,17,D,5267.0,5372.0
13,Neiriz.Cement,20080101,5479.0,5479.0,5479.0,860203000,157000,48,D,5372.0,5479.0
14,Neiriz.Cement,20080102,5588.0,5588.0,5588.0,1257300000,225000,55,D,5479.0,5588.0
15,Neiriz.Cement,20080105,5699.0,5690.0,5698.0,2147541779,376865,113,D,5588.0,5698.0
16,Neiriz.Cement,20080106,5701.0,5698.0,5698.0,54101460,9490,4,D,5698.0,5698.0
17,Neiriz.Cement,20080108,5700.0,5585.0,5692.0,11857690,2121,4,D,5698.0,5692.0
18,Neiriz.Cement,20080109,5805.0,5579.0,5628.0,582027775,103415,32,D,5692.0,5628.0
19,Neiriz.Cement,20080112,5632.0,5629.0,5629.0,80116870,14230,4,D,5628.0,5629.0
20,Neiriz.Cement,20080113,5599.0,5517.0,5599.0,60772990,11010,8,D,5629.0,5599.0
