,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Oroumiyeh.Cem.,20010325,18752.0,18750.0,18750.0,25688144,1370,8,D,0.0,18750.0
1,Oroumiyeh.Cem.,20010326,18750.0,18747.0,18748.0,137386588,7328,27,D,18750.0,18748.0
2,Oroumiyeh.Cem.,20010327,18792.0,18756.0,18792.0,31921200,1700,2,D,18748.0,18792.0
3,Oroumiyeh.Cem.,20010414,19062.0,19060.0,19062.0,15248500,800,3,D,18792.0,19062.0
4,Oroumiyeh.Cem.,20010415,19303.0,19301.0,19303.0,28953500,1500,2,D,19062.0,19303.0
5,Oroumiyeh.Cem.,20010416,19322.0,19310.0,19322.0,9213498,477,3,D,19303.0,19322.0
6,Oroumiyeh.Cem.,20010418,20288.0,20000.0,20288.0,28115200,1400,6,D,19322.0,20288.0
7,Oroumiyeh.Cem.,20010423,20301.0,20301.0,20301.0,3045150,150,1,D,20288.0,20301.0
8,Oroumiyeh.Cem.,20010513,20504.0,20504.0,20504.0,20504000,1000,7,D,20301.0,20504.0
9,Oroumiyeh.Cem.,20010529,23000.0,20712.0,23000.0,43883240,1989,9,D,20504.0,23000.0
10,Oroumiyeh.Cem.,20010725,20966.0,20966.0,20966.0,20966000,1000,1,D,23000.0,20966.0
11,Oroumiyeh.Cem.,20010903,22014.0,22014.0,22014.0,23114700,1050,2,D,20966.0,22014.0
12,Oroumiyeh.Cem.,20010904,22564.0,22564.0,22564.0,53657192,2378,5,D,22014.0,22564.0
13,Oroumiyeh.Cem.,20010905,23128.0,23128.0,23128.0,46256000,2000,6,D,22564.0,23128.0
14,Oroumiyeh.Cem.,20010908,23359.0,23359.0,23359.0,23359000,1000,1,D,23128.0,23359.0
15,Oroumiyeh.Cem.,20010909,23592.0,23592.0,23592.0,23592000,1000,3,D,23359.0,23592.0
16,Oroumiyeh.Cem.,20010910,23827.0,23827.0,23827.0,238270000,10000,1,D,23592.0,23827.0
17,Oroumiyeh.Cem.,20010911,24065.0,24065.0,24065.0,45651305,1897,20,D,23827.0,24065.0
18,Oroumiyeh.Cem.,20010912,24305.0,24305.0,24305.0,298951500,12300,19,D,24065.0,24305.0
19,Oroumiyeh.Cem.,20010915,24548.0,24548.0,24548.0,154456016,6292,19,D,24305.0,24548.0
20,Oroumiyeh.Cem.,20010916,24793.0,24548.0,24548.0,673051896,27232,31,D,24548.0,24548.0
21,Oroumiyeh.Cem.,20010917,24305.0,24303.0,24305.0,167752270,6902,12,D,24548.0,24305.0
22,Oroumiyeh.Cem.,20010918,24305.0,24062.0,24062.0,60637653,2500,6,D,24305.0,24062.0
23,Oroumiyeh.Cem.,20010919,24302.0,24060.0,24302.0,170826606,7069,17,D,24062.0,24302.0
24,Oroumiyeh.Cem.,20010922,24500.0,24500.0,24500.0,451143000,18414,22,D,24302.0,24500.0
25,Oroumiyeh.Cem.,20010923,24745.0,24745.0,24745.0,26897815,1087,3,D,24500.0,24745.0
26,Oroumiyeh.Cem.,20010925,24992.0,24992.0,24992.0,26266592,1051,6,D,24745.0,24992.0
27,Oroumiyeh.Cem.,20010926,25241.0,25241.0,25241.0,50482000,2000,8,D,24992.0,25241.0
28,Oroumiyeh.Cem.,20011008,25493.0,25493.0,25493.0,62508836,2452,8,D,25241.0,25493.0
29,Oroumiyeh.Cem.,20011009,25496.0,25493.0,25494.0,181517800,7120,31,D,25493.0,25494.0
30,Oroumiyeh.Cem.,20011010,25502.0,25494.0,25502.0,67208046,2636,7,D,25494.0,25502.0
31,Oroumiyeh.Cem.,20011013,25757.0,25757.0,25757.0,51514000,2000,7,D,25502.0,25757.0
32,Oroumiyeh.Cem.,20011016,26014.0,26014.0,26014.0,68416820,2630,9,D,25757.0,26014.0
33,Oroumiyeh.Cem.,20011017,26274.0,26274.0,26274.0,39411000,1500,3,D,26014.0,26274.0
34,Oroumiyeh.Cem.,20011020,26536.0,26536.0,26536.0,26536000,1000,10,D,26274.0,26536.0
35,Oroumiyeh.Cem.,20011021,26801.0,26801.0,26801.0,26801000,1000,2,D,26536.0,26801.0
36,Oroumiyeh.Cem.,20011119,27069.0,27069.0,27069.0,17378298,642,3,D,26801.0,27069.0
37,Oroumiyeh.Cem.,20011201,27339.0,27339.0,27339.0,27339000,1000,2,D,27069.0,27339.0
38,Oroumiyeh.Cem.,20011204,27612.0,27612.0,27612.0,27612000,1000,4,D,27339.0,27612.0
