,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Hamkaran.System.Co,20161113,5000.0,4955.0,5000.0,3070954682,614199,52,D,1000.0,4955.0
1,Hamkaran.System.Co,20161114,5230.0,4950.0,5008.0,497278491,98978,65,D,5000.0,4950.0
2,Hamkaran.System.Co,20161115,5029.0,4760.0,4959.0,367131890,76242,36,D,5008.0,4800.0
3,Hamkaran.System.Co,20161116,4781.0,4761.0,4925.0,270218250,56525,18,D,4959.0,4781.0
4,Hamkaran.System.Co,20161119,4880.0,4780.0,4917.0,145280743,29961,17,D,4925.0,4800.0
5,Hamkaran.System.Co,20161121,4800.0,4781.0,4893.0,266536312,55670,17,D,4917.0,4786.0
6,Hamkaran.System.Co,20161122,4849.0,4714.0,4884.0,88005417,18558,22,D,4893.0,4800.0
7,Hamkaran.System.Co,20161123,4800.0,4737.0,4879.0,75305743,15723,13,D,4884.0,4800.0
8,Hamkaran.System.Co,20161126,4849.0,4800.0,4856.0,421080945,87714,29,D,4879.0,4800.0
9,Hamkaran.System.Co,20161127,4760.0,4718.0,4795.0,662900496,140279,30,D,4856.0,4718.0
10,Hamkaran.System.Co,20161129,4885.0,4800.0,4803.0,195431145,40232,7,D,4795.0,4800.0
11,Hamkaran.System.Co,20161203,4795.0,4773.0,4803.0,56097495,11701,7,D,4803.0,4795.0
12,Hamkaran.System.Co,20161204,4790.0,4612.0,4792.0,369828189,77689,21,D,4803.0,4790.0
13,Hamkaran.System.Co,20161205,4820.0,4790.0,4792.0,161883450,33760,14,D,4792.0,4820.0
14,Hamkaran.System.Co,20161206,4790.0,4660.0,4780.0,200340390,42569,26,D,4792.0,4690.0
15,Hamkaran.System.Co,20161207,4789.0,4650.0,4778.0,166811555,35013,14,D,4780.0,4780.0
16,Hamkaran.System.Co,20161210,4818.0,4700.0,4779.0,201706288,42145,14,D,4778.0,4790.0
17,Hamkaran.System.Co,20161211,4770.0,4750.0,4778.0,80399900,16870,4,D,4779.0,4750.0
18,Hamkaran.System.Co,20161212,4760.0,4675.0,4757.0,547320434,115841,24,D,4778.0,4760.0
