,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Toosgostar.Inv.,20031201,1430.0,1411.0,1419.0,2043704958,1440000,377,D,1426.0,1419.0
1,Toosgostar.Inv.,20031202,1489.0,1489.0,1489.0,52115000,35000,17,D,1419.0,1489.0
2,Toosgostar.Inv.,20031203,1563.0,1563.0,1563.0,171930000,110000,38,D,1489.0,1563.0
3,Toosgostar.Inv.,20031207,1641.0,1641.0,1641.0,292283433,178113,63,D,1563.0,1641.0
4,Toosgostar.Inv.,20031208,1723.0,1723.0,1723.0,536299257,311259,88,D,1641.0,1723.0
5,Toosgostar.Inv.,20031209,1809.0,1809.0,1809.0,3813574608,2108112,415,D,1723.0,1809.0
6,Toosgostar.Inv.,20031210,1899.0,1819.0,1898.0,1188775647,626043,145,D,1809.0,1898.0
7,Toosgostar.Inv.,20031213,1992.0,1900.0,1989.0,1318326535,662590,172,D,1898.0,1989.0
8,Toosgostar.Inv.,20031214,2088.0,1900.0,2035.0,937511257,460679,147,D,1989.0,2035.0
9,Toosgostar.Inv.,20031215,2037.0,1934.0,1968.0,251492152,127777,60,D,2035.0,1968.0
10,Toosgostar.Inv.,20031216,1990.0,1870.0,1906.0,332155583,174200,63,D,1968.0,1906.0
11,Toosgostar.Inv.,20031217,1900.0,1830.0,1880.0,88822068,47229,22,D,1906.0,1880.0
12,Toosgostar.Inv.,20031221,1855.0,1786.0,1789.0,52396580,29288,15,D,1880.0,1789.0
13,Toosgostar.Inv.,20031222,1878.0,1700.0,1784.0,158729884,88927,39,D,1789.0,1784.0
14,Toosgostar.Inv.,20031223,1873.0,1873.0,1873.0,75916436,40532,9,D,1784.0,1873.0
15,Toosgostar.Inv.,20031224,1966.0,1963.0,1965.0,436633274,222124,50,D,1873.0,1965.0
16,Toosgostar.Inv.,20031227,2000.0,1910.0,1970.0,358203514,181797,41,D,1965.0,1970.0
17,Toosgostar.Inv.,20031228,2040.0,1970.0,2003.0,518086794,258580,67,D,1970.0,2003.0
18,Toosgostar.Inv.,20031229,2030.0,1980.0,2008.0,430102045,214108,51,D,2003.0,2008.0
19,Toosgostar.Inv.,20031230,2000.0,1940.0,1992.0,138742992,69646,27,D,2008.0,1992.0
20,Toosgostar.Inv.,20031231,2000.0,1893.0,1938.0,274399553,141548,39,D,1992.0,1938.0
21,Toosgostar.Inv.,20040103,2000.0,1910.0,1923.0,411618161,214004,52,D,1938.0,1923.0
22,Toosgostar.Inv.,20040104,1999.0,1910.0,1926.0,770992254,400204,63,D,1923.0,1926.0
23,Toosgostar.Inv.,20040105,1949.0,1850.0,1911.0,444514634,232585,52,D,1926.0,1911.0
24,Toosgostar.Inv.,20040112,2160.0,1993.0,2116.0,786231824,371410,97,D,1911.0,2116.0
25,Toosgostar.Inv.,20040128,2116.0,2116.0,2116.0,4661548,2203,5,D,2116.0,2116.0
26,Toosgostar.Inv.,20040131,2200.0,2115.0,2140.0,339620534,158649,49,D,2116.0,2140.0
27,Toosgostar.Inv.,20040201,2150.0,2121.0,2144.0,32618028,15188,8,D,2140.0,2144.0
28,Toosgostar.Inv.,20040203,2134.0,2037.0,2134.0,10321660,4921,9,D,2144.0,2134.0
29,Toosgostar.Inv.,20040204,2131.0,2037.0,2131.0,1231288,604,2,D,2134.0,2131.0
30,Toosgostar.Inv.,20040207,2126.0,2025.0,2126.0,2005760,990,2,D,2131.0,2126.0
31,Toosgostar.Inv.,20040208,2117.0,2020.0,2117.0,4061170,2010,2,D,2126.0,2117.0
32,Toosgostar.Inv.,20040209,2025.0,2012.0,2025.0,42322550,21035,7,D,2117.0,2025.0
33,Toosgostar.Inv.,20040214,2022.0,1924.0,2022.0,982220,510,2,D,2025.0,2022.0
34,Toosgostar.Inv.,20040215,1921.0,1921.0,1921.0,135430500,70500,15,D,2022.0,1921.0
35,Toosgostar.Inv.,20040216,1908.0,1825.0,1908.0,5758705,3155,7,D,1921.0,1908.0
36,Toosgostar.Inv.,20040217,1820.0,1813.0,1820.0,39904200,22010,8,D,1908.0,1820.0
37,Toosgostar.Inv.,20040218,1813.0,1729.0,1735.0,993992683,572843,109,D,1820.0,1735.0
38,Toosgostar.Inv.,20040221,1821.0,1750.0,1797.0,423538717,235623,37,D,1735.0,1797.0
39,Toosgostar.Inv.,20040222,1886.0,1825.0,1873.0,289069496,154326,36,D,1797.0,1873.0
40,Toosgostar.Inv.,20040223,1966.0,1850.0,1960.0,452938804,231020,63,D,1873.0,1960.0
41,Toosgostar.Inv.,20040224,1964.0,1862.0,1926.0,645058530,334749,72,D,1960.0,1926.0
42,Toosgostar.Inv.,20040225,2022.0,1960.0,2003.0,394192370,196778,42,D,1926.0,2003.0
43,Toosgostar.Inv.,20040228,2103.0,2103.0,2103.0,549791496,261432,57,D,2003.0,2103.0
44,Toosgostar.Inv.,20040229,2208.0,2208.0,2208.0,427431264,193583,58,D,2103.0,2208.0
45,Toosgostar.Inv.,20040303,2318.0,2318.0,2318.0,811564252,350114,94,D,2208.0,2318.0
46,Toosgostar.Inv.,20040306,2321.0,2270.0,2305.0,330764406,143479,39,D,2318.0,2305.0
47,Toosgostar.Inv.,20040307,2350.0,2321.0,2333.0,341100887,146166,47,D,2305.0,2333.0
48,Toosgostar.Inv.,20040308,2449.0,2335.0,2424.0,419917912,173177,37,D,2333.0,2424.0
49,Toosgostar.Inv.,20040309,2460.0,2335.0,2401.0,1049706345,436945,72,D,2424.0,2401.0
50,Toosgostar.Inv.,20040310,2521.0,2380.0,2444.0,441184196,180449,44,D,2401.0,2444.0
51,Toosgostar.Inv.,20040313,2566.0,2521.0,2546.0,317222514,124579,35,D,2444.0,2546.0
52,Toosgostar.Inv.,20040314,2673.0,2567.0,2657.0,1396803910,525635,101,D,2546.0,2657.0
53,Toosgostar.Inv.,20040315,2789.0,2789.0,2789.0,113199932,40588,15,D,2657.0,2789.0
54,Toosgostar.Inv.,20040316,2899.0,2701.0,2826.0,1375278974,482719,76,D,2789.0,2826.0
55,Toosgostar.Inv.,20040317,2835.0,2800.0,2825.0,885954196,313556,53,D,2826.0,2825.0
56,Toosgostar.Inv.,20040327,2840.0,2708.0,2793.0,96517013,34556,9,D,2825.0,2793.0
57,Toosgostar.Inv.,20040328,2672.0,2654.0,2672.0,55272384,20826,6,D,2793.0,2672.0
58,Toosgostar.Inv.,20040329,2600.0,2539.0,2547.0,434940530,170699,31,D,2672.0,2547.0
59,Toosgostar.Inv.,20040330,2534.0,2420.0,2451.0,393664630,160610,42,D,2547.0,2451.0
60,Toosgostar.Inv.,20040403,2573.0,2455.0,2561.0,242560274,94710,29,D,2451.0,2561.0
61,Toosgostar.Inv.,20040404,2689.0,2640.0,2685.0,420719986,156641,45,D,2561.0,2685.0
62,Toosgostar.Inv.,20040405,2750.0,2576.0,2687.0,561663582,208975,55,D,2685.0,2687.0
63,Toosgostar.Inv.,20040406,2785.0,2649.0,2688.0,1678095896,631330,50,D,2687.0,2688.0
64,Toosgostar.Inv.,20040407,2822.0,2700.0,2814.0,130292520,46300,22,D,2688.0,2814.0
65,Toosgostar.Inv.,20040410,3000.0,2989.0,2993.0,361150991,120660,27,D,2814.0,2993.0
66,Toosgostar.Inv.,20040412,3140.0,2842.0,3035.0,577624473,190260,66,D,2993.0,3035.0
67,Toosgostar.Inv.,20040413,3035.0,2884.0,2929.0,510754810,174369,32,D,3035.0,2929.0
68,Toosgostar.Inv.,20040414,3050.0,2800.0,2966.0,1232838367,415640,88,D,2929.0,2966.0
69,Toosgostar.Inv.,20040417,3114.0,2961.0,3083.0,537683196,174363,56,D,2966.0,3083.0
70,Toosgostar.Inv.,20040418,3237.0,3237.0,3237.0,400721178,123794,51,D,3083.0,3237.0
71,Toosgostar.Inv.,20040421,3398.0,3398.0,3398.0,117373716,34542,7,D,3237.0,3398.0
72,Toosgostar.Inv.,20040424,3567.0,3390.0,3565.0,3066721755,860121,205,D,3398.0,3565.0
73,Toosgostar.Inv.,20040425,3743.0,3550.0,3684.0,1862770905,505630,142,D,3565.0,3684.0
74,Toosgostar.Inv.,20040426,3868.0,3868.0,3868.0,2603585612,673109,139,D,3684.0,3868.0
75,Toosgostar.Inv.,20040427,4061.0,3701.0,3790.0,1048014684,276492,105,D,3868.0,3790.0
76,Toosgostar.Inv.,20040428,3900.0,3709.0,3794.0,1533132494,404032,106,D,3790.0,3794.0
77,Toosgostar.Inv.,20040501,3899.0,3800.0,3835.0,553442265,144306,57,D,3794.0,3835.0
78,Toosgostar.Inv.,20040502,3850.0,3779.0,3802.0,557198898,146546,50,D,3835.0,3802.0
79,Toosgostar.Inv.,20040503,3949.0,3612.0,3747.0,1615510127,436026,90,D,3802.0,3747.0
