,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Techinco,20040515,10250.0,10000.0,10050.0,2939786150,292404,607,D,0.0,10050.0
1,Techinco,20040516,10552.0,10050.0,10552.0,15634722572,1495191,635,D,10050.0,10552.0
2,Techinco,20040517,11079.0,11079.0,11079.0,110778921,9999,9,D,10552.0,11079.0
3,Techinco,20040518,11632.0,11632.0,11632.0,105269600,9050,21,D,11079.0,11632.0
4,Techinco,20040519,12213.0,12213.0,12213.0,731778534,59918,155,D,11632.0,12213.0
5,Techinco,20040522,12823.0,12499.0,12788.0,4651195059,363707,520,D,12213.0,12788.0
6,Techinco,20040523,13427.0,13427.0,13427.0,1131197896,84248,80,D,12788.0,13427.0
7,Techinco,20040524,14098.0,13800.0,14087.0,2023253591,143625,156,D,13427.0,14087.0
8,Techinco,20040525,14350.0,13900.0,14177.0,1217247600,85859,127,D,14087.0,14177.0
9,Techinco,20040526,14210.0,13500.0,13923.0,2923928065,209998,243,D,14177.0,13923.0
10,Techinco,20040605,20000.0,11003.0,16180.0,1267380100,78330,19,D,13923.0,16180.0
11,Techinco,20040606,16989.0,16985.0,16988.0,866529596,51006,45,D,16180.0,16988.0
12,Techinco,20040607,17837.0,17837.0,17837.0,2798125864,156872,93,D,16988.0,17837.0
13,Techinco,20040608,18728.0,18728.0,18728.0,163214520,8715,9,D,17837.0,18728.0
14,Techinco,20040609,19664.0,19664.0,19664.0,176700704,8986,6,D,18728.0,19664.0
15,Techinco,20040612,20647.0,20647.0,20647.0,172691508,8364,4,D,19664.0,20647.0
16,Techinco,20040613,21679.0,19631.0,20372.0,5854325801,287364,229,D,20647.0,20372.0
17,Techinco,20040614,20795.0,19354.0,20196.0,2100890005,104023,127,D,20372.0,20196.0
18,Techinco,20040615,21205.0,20700.0,21132.0,418633729,19810,28,D,20196.0,21132.0
19,Techinco,20040616,22188.0,21549.0,21549.0,70373946,3172,10,D,21132.0,21549.0
20,Techinco,20040619,22626.0,21703.0,21703.0,26236930,1160,3,D,21549.0,21703.0
21,Techinco,20040620,22788.0,22788.0,22788.0,582666372,25569,36,D,21703.0,22788.0
22,Techinco,20040621,23927.0,22802.0,23803.0,14465076110,605298,90,D,22788.0,23803.0
23,Techinco,20040622,24993.0,23941.0,23941.0,23582872,944,5,D,23803.0,23941.0
24,Techinco,20040623,25138.0,25138.0,25138.0,539436342,21459,16,D,23941.0,25138.0
25,Techinco,20040626,26394.0,26394.0,26394.0,1072863312,40648,33,D,25138.0,26394.0
26,Techinco,20040627,27713.0,25138.0,27244.0,1869216049,68609,95,D,26394.0,27244.0
27,Techinco,20040628,26733.0,25882.0,26120.0,684284658,26197,54,D,27244.0,26120.0
28,Techinco,20040629,25000.0,24814.0,24832.0,498766370,20085,29,D,26120.0,24832.0
29,Techinco,20040630,26000.0,23591.0,23907.0,14963134549,632362,123,D,24832.0,23907.0
30,Techinco,20040703,25102.0,23900.0,24783.0,818151064,33012,41,D,23907.0,24783.0
31,Techinco,20040704,26022.0,26000.0,26018.0,1204392507,46290,62,D,24783.0,26018.0
32,Techinco,20040705,27318.0,26001.0,27150.0,345006791,12707,30,D,26018.0,27150.0
33,Techinco,20040706,28507.0,26994.0,27472.0,3627122833,132027,78,D,27150.0,27472.0
34,Techinco,20040707,29002.0,28000.0,28591.0,1308522425,45766,57,D,27472.0,28591.0
35,Techinco,20040710,28591.0,27500.0,28398.0,988607051,34812,48,D,28591.0,28398.0
36,Techinco,20040711,28398.0,27300.0,27689.0,996782939,35998,54,D,28398.0,27689.0
37,Techinco,20040712,27102.0,26998.0,27052.0,528656001,19542,32,D,27689.0,27052.0
38,Techinco,20040713,28500.0,27000.0,28052.0,1968270135,70163,77,D,27052.0,28052.0
39,Techinco,20040714,29454.0,29449.0,29453.0,8457930722,287158,29,D,28052.0,29453.0
40,Techinco,20040717,30925.0,30925.0,30925.0,1143730200,36984,15,D,29453.0,30925.0
41,Techinco,20040718,32471.0,32471.0,32471.0,2081456042,64102,24,D,30925.0,32471.0
42,Techinco,20040719,34093.0,33013.0,33718.0,3543218183,105082,108,D,32471.0,33718.0
43,Techinco,20040720,35000.0,33190.0,33851.0,1618037511,47798,77,D,33718.0,33851.0
44,Techinco,20040724,34000.0,33103.0,33858.0,947948459,27997,56,D,33851.0,33858.0
45,Techinco,20040725,33858.0,32896.0,33365.0,423538095,12694,33,D,33858.0,33365.0
46,Techinco,20040726,35033.0,32745.0,33599.0,4094547345,121865,89,D,33365.0,33599.0
47,Techinco,20040727,35278.0,34017.0,35110.0,1622732913,46218,33,D,33599.0,35110.0
48,Techinco,20040728,36865.0,35278.0,36168.0,2988352435,82623,73,D,35110.0,36168.0
49,Techinco,20040731,37976.0,36463.0,36463.0,49961286,1316,6,D,36168.0,36463.0
50,Techinco,20040801,38286.0,38286.0,38286.0,8952913098,233843,140,D,36463.0,38286.0
51,Techinco,20040802,40200.0,40200.0,40200.0,400673400,9967,22,D,38286.0,40200.0
52,Techinco,20040803,42210.0,40401.0,40401.0,34172010,810,4,D,40200.0,40401.0
53,Techinco,20040804,42421.0,41115.0,41115.0,120505001,2841,12,D,40401.0,41115.0
54,Techinco,20040807,43170.0,43170.0,43170.0,8095195230,187519,107,D,41115.0,43170.0
55,Techinco,20040808,44860.0,41012.0,41442.0,1473885871,35565,93,D,43170.0,41442.0
56,Techinco,20040809,40000.0,39370.0,39370.0,4429581700,112510,114,D,41442.0,39370.0
57,Techinco,20040810,41338.0,39370.0,41307.0,2977608927,72084,87,D,39370.0,41307.0
58,Techinco,20040811,43372.0,43000.0,43346.0,2566350392,59205,86,D,41307.0,43346.0
59,Techinco,20040814,43088.0,41179.0,41680.0,463024380,11109,30,D,43346.0,41680.0
60,Techinco,20040815,40011.0,39596.0,39637.0,16779183953,423640,83,D,41680.0,39637.0
61,Techinco,20040816,40970.0,40000.0,40562.0,1077961437,26575,58,D,39637.0,40562.0
62,Techinco,20040817,41000.0,40002.0,40546.0,741355694,18284,37,D,40562.0,40546.0
63,Techinco,20040818,39996.0,38519.0,38736.0,975460523,25182,35,D,40546.0,38736.0
64,Techinco,20040821,39527.0,37000.0,38676.0,282186792,7297,27,D,38736.0,38676.0
65,Techinco,20040822,37882.0,36743.0,37882.0,126846936,3444,9,D,38676.0,37882.0
66,Techinco,20040823,38750.0,35988.0,36413.0,7856072240,215747,102,D,37882.0,36413.0
67,Techinco,20040824,38230.0,34610.0,37517.0,1937424211,51641,28,D,36413.0,37517.0
68,Techinco,20040825,37810.0,37515.0,37738.0,1301627933,34491,50,D,37517.0,37738.0
69,Techinco,20040828,39624.0,37738.0,39570.0,1172640702,29634,31,D,37738.0,39570.0
70,Techinco,20040829,39570.0,39100.0,39511.0,155315532,3937,11,D,39570.0,39511.0
71,Techinco,20041011,39511.0,37536.0,39511.0,14208358,378,4,D,39511.0,39511.0
72,Techinco,20041012,39472.0,37536.0,39472.0,6212800,165,2,D,39511.0,39472.0
73,Techinco,20041106,37499.0,37499.0,37499.0,37499000,1000,1,D,39472.0,37499.0
74,Techinco,20041107,35625.0,35625.0,35625.0,17812500,500,2,D,37499.0,35625.0
75,Techinco,20041109,33844.0,33844.0,33844.0,198495060,5865,2,D,35625.0,33844.0
76,Techinco,20041110,32152.0,32152.0,32152.0,32152000,1000,1,D,33844.0,32152.0
77,Techinco,20041115,30545.0,30545.0,30545.0,30545000,1000,2,D,32152.0,30545.0
78,Techinco,20041122,29018.0,29018.0,29018.0,29018000,1000,2,D,30545.0,29018.0
79,Techinco,20041127,29018.0,28999.0,28999.0,62638350,2160,4,D,29018.0,28999.0
80,Techinco,20041129,28093.0,27550.0,28093.0,138030930,5010,7,D,28999.0,28093.0
81,Techinco,20041201,28093.0,26689.0,28093.0,2736318,102,4,D,28093.0,28093.0
82,Techinco,20041211,28074.0,26689.0,28074.0,3136463,117,2,D,28093.0,28074.0
83,Techinco,20050109,26671.0,26671.0,26671.0,218328806,8186,5,D,28074.0,26671.0
84,Techinco,20050110,25338.0,25338.0,25338.0,202704000,8000,9,D,26671.0,25338.0
85,Techinco,20050111,24072.0,24072.0,24072.0,192576000,8000,16,D,25338.0,24072.0
86,Techinco,20050112,22869.0,22869.0,22869.0,182952000,8000,5,D,24072.0,22869.0
87,Techinco,20050126,21726.0,21726.0,21726.0,274985982,12657,5,D,22869.0,21726.0
88,Techinco,20050130,20640.0,20640.0,20640.0,206400000,10000,8,D,21726.0,20640.0
89,Techinco,20050131,19608.0,19608.0,19608.0,196080000,10000,8,D,20640.0,19608.0
90,Techinco,20050201,18628.0,18628.0,18628.0,195128300,10475,7,D,19608.0,18628.0
91,Techinco,20050202,17697.0,17697.0,17697.0,173642964,9812,2,D,18628.0,17697.0
92,Techinco,20050205,16813.0,16813.0,16813.0,170214812,10124,9,D,17697.0,16813.0
93,Techinco,20050206,15973.0,15973.0,15973.0,167716500,10500,4,D,16813.0,15973.0
94,Techinco,20050207,15175.0,15175.0,15175.0,161279900,10628,2,D,15973.0,15175.0
95,Techinco,20050212,14417.0,14417.0,14417.0,86502000,6000,1,D,15175.0,14417.0
96,Techinco,20050216,13697.0,13697.0,13697.0,34242500,2500,1,D,14417.0,13697.0
97,Techinco,20050227,13014.0,13013.0,13013.0,1854457642,142508,141,D,13697.0,13013.0
98,Techinco,20050228,13290.0,12363.0,12728.0,521828513,40998,42,D,13013.0,12728.0
99,Techinco,20050301,13364.0,13190.0,13190.0,77950472,5833,10,D,12728.0,13190.0
100,Techinco,20050302,13364.0,13098.0,13258.0,140807760,10620,18,D,13190.0,13258.0
101,Techinco,20050305,13358.0,13250.0,13285.0,167030645,12572,14,D,13258.0,13285.0
102,Techinco,20050307,13285.0,13230.0,13240.0,132534132,10010,9,D,13285.0,13240.0
103,Techinco,20050309,13239.0,13100.0,13239.0,774290,59,2,D,13240.0,13239.0
104,Techinco,20050312,13238.0,12789.0,13088.0,272018027,20783,22,D,13239.0,13088.0
105,Techinco,20050313,13250.0,13090.0,13090.0,1747400,132,2,D,13088.0,13090.0
106,Techinco,20050314,13090.0,13090.0,13090.0,1479170,113,2,D,13090.0,13090.0
107,Techinco,20050315,13039.0,12550.0,13039.0,9505833,757,6,D,13090.0,13039.0
108,Techinco,20050316,13074.0,12400.0,12532.0,138667820,11065,12,D,13039.0,12532.0
109,Techinco,20050328,13158.0,11906.0,12613.0,14616254,1114,4,D,12532.0,12613.0
110,Techinco,20050329,13240.0,12239.0,12754.0,1570999054,123170,42,D,12613.0,12754.0
111,Techinco,20050330,13391.0,12800.0,13079.0,244307590,18678,22,D,12754.0,13079.0
112,Techinco,20050403,13732.0,13242.0,13242.0,27596420,2010,7,D,13079.0,13242.0
113,Techinco,20050404,13904.0,13904.0,13904.0,152944000,11000,11,D,13242.0,13904.0
114,Techinco,20050405,14590.0,13904.0,14355.0,116654762,8126,22,D,13904.0,14355.0
115,Techinco,20050406,14583.0,14300.0,14430.0,62348237,4301,12,D,14355.0,14430.0
116,Techinco,20050410,14320.0,14290.0,14300.0,193382583,13523,15,D,14430.0,14300.0
117,Techinco,20050411,14300.0,14250.0,14297.0,54862280,3838,9,D,14300.0,14297.0
118,Techinco,20050412,14300.0,14100.0,14208.0,155862643,10970,11,D,14297.0,14208.0
119,Techinco,20050413,14185.0,13995.0,14185.0,16401475,1167,8,D,14208.0,14185.0
120,Techinco,20050417,13900.0,13476.0,13886.0,203152647,14629,8,D,14185.0,13886.0
121,Techinco,20050419,13841.0,13192.0,13841.0,6853138,519,3,D,13886.0,13841.0
122,Techinco,20050420,13797.0,13149.0,13797.0,6712470,510,2,D,13841.0,13797.0
123,Techinco,20050507,13108.0,13108.0,13108.0,300369820,22915,38,D,13797.0,13108.0
124,Techinco,20050508,13108.0,13108.0,13108.0,58986000,4500,7,D,13108.0,13108.0
125,Techinco,20050509,12904.0,12453.0,12904.0,31126257,2499,6,D,13108.0,12904.0
126,Techinco,20050510,12904.0,12894.0,12903.0,7570418,587,5,D,12904.0,12903.0
127,Techinco,20050511,12890.0,12700.0,12811.0,117197707,9148,10,D,12903.0,12811.0
128,Techinco,20050514,12811.0,12500.0,12738.0,32353766,2571,12,D,12811.0,12738.0
129,Techinco,20050515,12571.0,12302.0,12571.0,39543652,3209,8,D,12738.0,12571.0
130,Techinco,20050516,12520.0,12301.0,12520.0,18577998,1510,4,D,12571.0,12520.0
131,Techinco,20050517,12501.0,11943.0,12501.0,3148325,263,3,D,12520.0,12501.0
132,Techinco,20050518,12730.0,11911.0,12251.0,164692835,13443,33,D,12501.0,12251.0
133,Techinco,20050521,12111.0,11640.0,12111.0,21305910,1830,5,D,12251.0,12111.0
134,Techinco,20050522,11506.0,11506.0,11506.0,313308380,27230,8,D,12111.0,11506.0
135,Techinco,20050523,11499.0,11012.0,11316.0,57792193,5154,9,D,11506.0,11316.0
136,Techinco,20050524,11881.0,11316.0,11566.0,54742218,4660,6,D,11316.0,11566.0
137,Techinco,20050525,11566.0,11316.0,11422.0,72446675,6363,8,D,11566.0,11422.0
138,Techinco,20050607,10062.0,10050.0,10055.0,57556784,5724,6,D,11422.0,10055.0
139,Techinco,20050611,10555.0,10055.0,10078.0,27335765,2700,11,D,10055.0,10078.0
140,Techinco,20050612,10300.0,10073.0,10166.0,40589840,3957,12,D,10078.0,10166.0
141,Techinco,20050613,10600.0,10451.0,10451.0,56462202,5329,10,D,10166.0,10451.0
142,Techinco,20050614,10973.0,10973.0,10973.0,457683830,41710,18,D,10451.0,10973.0
143,Techinco,20050615,11521.0,11000.0,11222.0,274075081,24421,22,D,10973.0,11222.0
144,Techinco,20050618,11500.0,11200.0,11236.0,79083480,7037,12,D,11222.0,11236.0
145,Techinco,20050619,11199.0,10850.0,11088.0,56710995,5152,7,D,11236.0,11088.0
146,Techinco,20050620,11189.0,10855.0,11051.0,64040875,5802,12,D,11088.0,11051.0
147,Techinco,20050621,11190.0,11000.0,11132.0,66917902,5996,8,D,11051.0,11132.0
148,Techinco,20050622,11132.0,10949.0,10965.0,587320184,53562,20,D,11132.0,10965.0
149,Techinco,20050626,10456.0,10417.0,10456.0,77429951,7433,9,D,10965.0,10456.0
150,Techinco,20050627,10978.0,10004.0,10969.0,94203002,8588,6,D,10456.0,10969.0
151,Techinco,20050628,11151.0,11099.0,11108.0,95665795,8612,18,D,10969.0,11108.0
152,Techinco,20050629,11108.0,10560.0,11059.0,34682266,3157,9,D,11108.0,11059.0
153,Techinco,20050702,11000.0,10509.0,10980.0,15640700,1471,5,D,11059.0,10980.0
154,Techinco,20050703,10682.0,10431.0,10682.0,45666958,4376,12,D,10980.0,10682.0
155,Techinco,20050704,10631.0,10500.0,10631.0,23206310,2210,6,D,10682.0,10631.0
156,Techinco,20050705,10900.0,10899.0,10899.0,94022695,8626,8,D,10631.0,10899.0
157,Techinco,20050706,11340.0,10500.0,10955.0,186111472,16988,17,D,10899.0,10955.0
158,Techinco,20050709,11491.0,10954.0,11060.0,36997726,3300,7,D,10955.0,11060.0
159,Techinco,20050711,11400.0,11060.0,11213.0,96326130,8590,9,D,11060.0,11213.0
160,Techinco,20050712,11215.0,10654.0,11177.0,66437690,5950,14,D,11213.0,11177.0
161,Techinco,20050713,11499.0,11150.0,11426.0,260369069,22786,11,D,11177.0,11426.0
162,Techinco,20050716,11350.0,11280.0,11350.0,47039110,4170,6,D,11426.0,11350.0
