,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Technotar,20040317,1500.0,1500.0,1500.0,247500000,165000,43,D,0.0,1500.0
1,Technotar,20040328,1510.0,1510.0,1510.0,15100000,10000,3,D,1500.0,1510.0
2,Technotar,20040405,1585.0,1585.0,1585.0,110157500,69500,16,D,1510.0,1585.0
3,Technotar,20040406,1664.0,1664.0,1664.0,792064000,476000,98,D,1585.0,1664.0
4,Technotar,20040407,1747.0,1747.0,1747.0,17470000,10000,9,D,1664.0,1747.0
5,Technotar,20040410,1834.0,1834.0,1834.0,91700000,50000,7,D,1747.0,1834.0
6,Technotar,20040412,1925.0,1925.0,1925.0,1193500000,620000,115,D,1834.0,1925.0
7,Technotar,20040413,2021.0,2021.0,2021.0,32336000,16000,3,D,1925.0,2021.0
8,Technotar,20040417,2122.0,2122.0,2122.0,23342000,11000,4,D,2021.0,2122.0
9,Technotar,20040418,2228.0,2228.0,2228.0,20441900,9175,4,D,2122.0,2228.0
10,Technotar,20040421,2339.0,2339.0,2339.0,23390000,10000,1,D,2228.0,2339.0
11,Technotar,20040424,2455.0,2455.0,2455.0,757220200,308440,88,D,2339.0,2455.0
12,Technotar,20040425,2577.0,2577.0,2577.0,25770000,10000,6,D,2455.0,2577.0
13,Technotar,20040426,2705.0,2705.0,2705.0,25697500,9500,7,D,2577.0,2705.0
14,Technotar,20040427,2840.0,2840.0,2840.0,38624000,13600,4,D,2705.0,2840.0
15,Technotar,20040428,2982.0,2982.0,2982.0,37275000,12500,9,D,2840.0,2982.0
16,Technotar,20040501,3131.0,2833.0,3048.0,2442266952,801207,369,D,2982.0,3048.0
17,Technotar,20040502,2936.0,2896.0,2912.0,395104976,135636,52,D,3048.0,2912.0
18,Technotar,20040503,3057.0,3000.0,3048.0,221087011,72524,43,D,2912.0,3048.0
19,Technotar,20040504,3200.0,3199.0,3199.0,861692400,269282,69,D,3048.0,3199.0
20,Technotar,20040505,3358.0,3080.0,3276.0,99779234,30451,15,D,3199.0,3276.0
21,Technotar,20040508,3439.0,3439.0,3439.0,107107655,31145,12,D,3276.0,3439.0
22,Technotar,20040509,3610.0,3610.0,3610.0,77615000,21500,11,D,3439.0,3610.0
23,Technotar,20040510,3790.0,3664.0,3664.0,10125620,2672,5,D,3610.0,3664.0
24,Technotar,20040511,3847.0,3847.0,3847.0,2013977593,523519,171,D,3664.0,3847.0
25,Technotar,20040512,4039.0,4039.0,4039.0,644450723,159557,33,D,3847.0,4039.0
26,Technotar,20040515,4240.0,4240.0,4240.0,126915920,29933,11,D,4039.0,4240.0
27,Technotar,20040516,4452.0,4452.0,4452.0,41501544,9322,7,D,4240.0,4452.0
28,Technotar,20040517,4674.0,4674.0,4674.0,518814000,111000,51,D,4452.0,4674.0
29,Technotar,20040518,4907.0,4600.0,4870.0,3776275048,775336,278,D,4674.0,4870.0
30,Technotar,20040519,5113.0,4812.0,5078.0,1466703481,288787,82,D,4870.0,5078.0
31,Technotar,20040522,5331.0,5331.0,5331.0,668960535,125485,51,D,5078.0,5331.0
32,Technotar,20040523,5597.0,5315.0,5435.0,820315314,150930,89,D,5331.0,5435.0
33,Technotar,20040524,5450.0,5164.0,5248.0,1982071328,377658,150,D,5435.0,5248.0
34,Technotar,20040525,5245.0,4986.0,5002.0,1042388198,208387,83,D,5248.0,5002.0
35,Technotar,20040526,5199.0,4780.0,5045.0,1026820064,203512,89,D,5002.0,5045.0
36,Technotar,20040529,5297.0,5045.0,5261.0,540170299,102667,38,D,5045.0,5261.0
37,Technotar,20040530,5524.0,5000.0,5239.0,2788845657,532321,167,D,5261.0,5239.0
38,Technotar,20040531,5490.0,4990.0,5072.0,1520519964,299779,80,D,5239.0,5072.0
39,Technotar,20040601,5325.0,5171.0,5317.0,276155128,51938,22,D,5072.0,5317.0
40,Technotar,20040602,5582.0,5570.0,5579.0,1059534853,189883,69,D,5317.0,5579.0
41,Technotar,20040605,5857.0,5857.0,5857.0,148234813,25309,9,D,5579.0,5857.0
42,Technotar,20040606,6149.0,5902.0,6132.0,3955706951,645079,198,D,5857.0,6132.0
