,<TICKER>,<DTYYYYMMDD>,<HIGH>,<LOW>,<CLOSE>,<VALUE>,<VOL>,<OPENINT>,<PER>,<OPEN>,<LAST>
0,Tosee.Melli.Inv,20050418,1100.0,1100.0,1100.0,32512700000,29557000,6090,D,0.0,1100.0
1,Tosee.Melli.Inv,20050419,1155.0,1155.0,1155.0,184800000000,160000000,10156,D,1100.0,1155.0
2,Tosee.Melli.Inv,20050420,1212.0,1212.0,1212.0,154029061008,127086684,10912,D,1155.0,1212.0
3,Tosee.Melli.Inv,20050424,1271.0,1212.0,1249.0,15420729659,12344235,3091,D,1212.0,1249.0
4,Tosee.Melli.Inv,20050425,1235.0,1187.0,1211.0,30347295445,25057887,2466,D,1249.0,1211.0
5,Tosee.Melli.Inv,20050427,1270.0,1230.0,1252.0,9962992906,7953849,1103,D,1211.0,1252.0
6,Tosee.Melli.Inv,20050430,1266.0,1220.0,1237.0,9033522400,7301460,942,D,1252.0,1237.0
7,Tosee.Melli.Inv,20050501,1233.0,1200.0,1218.0,8555173167,7019740,933,D,1237.0,1218.0
8,Tosee.Melli.Inv,20050502,1224.0,1204.0,1218.0,6946000730,5700662,698,D,1218.0,1218.0
9,Tosee.Melli.Inv,20050503,1225.0,1205.0,1214.0,6578448140,5417414,697,D,1218.0,1214.0
10,Tosee.Melli.Inv,20050504,1244.0,1212.0,1224.0,4265002607,3481982,508,D,1214.0,1224.0
11,Tosee.Melli.Inv,20050507,1230.0,1201.0,1211.0,4558942226,3762855,534,D,1224.0,1211.0
12,Tosee.Melli.Inv,20050508,1215.0,1191.0,1200.0,6825489347,5685463,664,D,1211.0,1200.0
13,Tosee.Melli.Inv,20050509,1205.0,1192.0,1200.0,4768168352,3971966,446,D,1200.0,1200.0
14,Tosee.Melli.Inv,20050510,1231.0,1189.0,1214.0,10471250911,8618929,883,D,1200.0,1214.0
15,Tosee.Melli.Inv,20050511,1236.0,1210.0,1229.0,9888223629,8040774,647,D,1214.0,1229.0
16,Tosee.Melli.Inv,20050514,1246.0,1224.0,1239.0,11574611394,9334606,1104,D,1229.0,1239.0
17,Tosee.Melli.Inv,20050515,1250.0,1211.0,1240.0,11666658346,9487190,551,D,1239.0,1240.0
18,Tosee.Melli.Inv,20050516,1240.0,1207.0,1229.0,3986133261,3241995,380,D,1240.0,1229.0
19,Tosee.Melli.Inv,20050517,1238.0,1200.0,1224.0,6373617981,5204949,543,D,1229.0,1224.0
20,Tosee.Melli.Inv,20050518,1218.0,1191.0,1200.0,2988094153,2489413,320,D,1224.0,1200.0
21,Tosee.Melli.Inv,20050521,1197.0,1179.0,1190.0,2037680020,1716649,291,D,1200.0,1190.0
22,Tosee.Melli.Inv,20050522,1190.0,1177.0,1184.0,2200971745,1860306,242,D,1190.0,1184.0
23,Tosee.Melli.Inv,20050523,1220.0,1188.0,1208.0,5414198171,4488391,362,D,1184.0,1208.0
24,Tosee.Melli.Inv,20050524,1217.0,1183.0,1204.0,1911603601,1587884,237,D,1208.0,1204.0
25,Tosee.Melli.Inv,20050525,1200.0,1169.0,1182.0,2722189719,2301321,246,D,1204.0,1182.0
26,Tosee.Melli.Inv,20050528,1230.0,1184.0,1208.0,7968633322,6613730,382,D,1182.0,1208.0
27,Tosee.Melli.Inv,20050529,1220.0,1178.0,1205.0,3749552918,3111270,343,D,1208.0,1205.0
28,Tosee.Melli.Inv,20050530,1193.0,1168.0,1175.0,3264854268,2776572,288,D,1205.0,1175.0
29,Tosee.Melli.Inv,20050531,1178.0,1155.0,1161.0,3171017709,2730289,280,D,1175.0,1161.0
